date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2020-10-06,103.92,96.4,-7.2363,687.7565,1040.6494,44.4548,24.2152,34381620240.0,42.6358,480.6063,12.0,1.0,49.2,40.2052
2020-10-07,104.43,96.4,-7.6894,691.1317,1038.7145,44.673,24.2343,34550352210.0,42.6358,480.6063,12.0,1.0,49.2,40.2052
2020-10-08,102.66,97.6667,-4.8639,679.4176,1038.4468,43.9158,24.2534,33964753020.0,42.6358,480.6063,12.0,1.0,49.2,40.2052
2020-10-09,111.79,97.6667,-12.6338,739.8412,1038.1791,47.8215,24.2958,36985386130.0,42.6358,480.6063,12.0,1.0,49.2,40.2052
2020-10-12,112.2,97.6667,-12.953,742.5546,1033.4801,47.9968,24.3382,37121033400.0,42.6358,480.6063,12.0,1.0,49.2,40.2052
2020-10-13,116.87,97.6667,-16.4313,773.4613,1028.7812,49.9946,24.4785,38666088890.0,42.6358,480.6063,12.0,1.0,49.2,40.2052
2020-10-14,113.55,98.2667,-13.4595,751.4891,1028.2672,48.5743,24.6188,37567676850.0,42.5778,480.4518,13.0,1.0,49.2,40.2052
2020-10-15,113.29,98.9333,-12.6725,749.7684,1027.7533,48.463,24.6698,37481656630.0,42.5778,480.4518,13.0,1.0,49.2,40.2052
2020-10-16,112.36,100.9333,-10.1697,743.6135,1027.0191,48.0652,24.7208,37173968920.0,42.5779,480.4518,13.0,1.0,49.2,40.2052
2020-10-19,111.66,100.9333,-9.6066,738.9808,1026.2849,47.7657,24.7531,36942376020.0,42.5779,480.4518,13.0,1.0,49.2,40.2052
2020-10-20,108.59,100.9333,-7.051,718.6631,1018.7225,46.4524,24.7854,35926675730.0,42.5779,480.4518,13.0,1.0,49.2,40.2052
2020-10-21,102.17,100.9333,-1.2104,676.1747,1011.1601,43.7061,24.809,33802637990.0,42.5779,480.4518,13.0,1.0,49.2,40.2052
2020-10-22,98.94,101.6,2.6885,654.7981,1000.514,42.3244,24.8325,32734002180.0,42.5779,480.4518,13.0,1.0,49.2,40.2052
2020-10-23,102.08,101.6,-0.4702,675.5791,989.8678,43.6676,25.0001,33772861760.0,42.5779,480.4518,13.0,1.0,49.2,40.2052
2020-10-26,99.76,101.6,1.8444,660.225,988.0323,42.6752,25.1676,33005296720.0,42.5779,480.4518,13.0,1.0,49.2,40.2052
2020-10-27,101.33,101.6,0.2665,670.6155,986.1968,43.3468,25.1726,33524726510.0,42.5779,480.4518,13.0,1.0,49.2,40.2052
2020-10-28,97.03,101.6,4.7099,642.1575,983.7004,41.5073,25.1776,32102084410.0,42.5779,480.4518,13.0,1.0,49.2,40.2052
2020-10-29,96.41,101.6,5.3833,638.0543,981.2041,41.2421,25.4988,31896959270.0,42.5779,480.4518,13.0,1.0,49.2,40.2052
2020-10-30,90.75,101.6,11.9559,600.5956,969.2364,38.8209,25.8201,30024365250.0,42.5779,480.4518,13.0,1.0,49.2,40.2052
2020-11-02,88.33,101.6,15.0232,584.5797,957.2687,37.7857,25.8282,29223715510.0,42.5779,480.4518,13.0,1.0,49.2,40.2052
2020-11-03,90.14,101.6,12.7136,596.5586,865.365,38.5599,25.8362,29822548580.0,42.5779,480.4518,13.0,1.0,49.2,40.2052
2020-11-04,97.62,101.6,4.077,646.0622,773.4613,41.7597,26.2221,32297284140.0,42.5779,480.4518,13.0,1.0,49.2,40.2052
2020-11-05,101.95,101.9333,-0.0164,674.7187,762.4752,43.612,26.6079,33729851650.0,42.5779,480.4518,13.0,1.0,49.2,40.2052
2020-11-06,100.35,101.9333,1.5778,664.1297,751.4891,42.9276,26.746,33200496450.0,42.5779,480.4518,13.0,1.0,49.2,40.2052
2020-11-09,94.89,101.9333,7.4226,627.9947,750.6288,40.5919,26.8842,31394071830.0,42.5779,480.4518,13.0,1.0,49.2,40.2052
2020-11-10,92.6,101.9333,10.0792,612.8392,749.7684,39.6123,26.9791,30636432200.0,42.5779,480.4518,13.0,1.0,49.2,40.2052
2020-11-11,86.83,100.8667,16.1657,449.4306,746.691,35.8051,27.074,28727445010.0,43.7804,639.1863,17.0,1.0,49.2,43.4155
2020-11-12,90.01,100.8667,12.0617,465.8903,743.6135,33.9423,27.1202,27232885540.0,43.7804,639.1863,17.0,1.0,49.2,43.4155
2020-11-13,85.82,100.8667,17.5329,444.2029,743.0841,32.3623,27.1664,25965184280.0,43.7804,639.1863,17.0,1.0,49.2,43.4155
2020-11-16,86.36,100.8667,16.7979,446.9979,742.5546,32.5659,27.4104,26128563440.0,43.7804,639.1863,17.0,1.0,49.2,43.4155
2020-11-17,88.09,100.8667,14.5041,455.9524,741.1979,33.2183,27.6543,26651981860.0,43.7804,639.1863,17.0,1.0,49.2,43.4155
2020-11-18,87.3,100.8667,15.5403,451.8634,739.8412,32.9204,27.6963,26412964200.0,43.7804,639.1863,17.0,1.0,49.2,43.4155
2020-11-19,88.89,100.8667,13.4736,460.0932,739.411,33.52,27.7383,26894025060.0,43.7804,639.1863,17.0,1.0,49.2,43.4155
2020-11-20,89.09,100.8667,13.2189,459.7007,738.9808,33.603,27.861,26954535860.0,43.7738,638.4676,18.0,1.0,49.2,43.4155
2020-11-23,91.04,100.8667,10.7938,469.7626,728.822,34.3385,27.9836,27544516160.0,43.7738,638.4676,18.0,1.0,49.2,43.4155
2020-11-24,89.18,100.8667,13.1046,460.1651,718.6631,33.6369,28.0197,26981765720.0,43.7738,638.4676,18.0,1.0,49.2,43.4155
2020-11-25,93.51,100.8667,7.8673,482.5077,714.212,35.2701,28.0558,28291824540.0,43.7738,638.4676,18.0,1.0,49.2,43.4155
2020-11-27,96.42,100.8667,4.6118,497.5232,709.761,36.3677,28.0969,29172256680.0,43.7738,638.4676,18.0,1.0,49.2,43.4155
2020-11-30,98.92,100.8667,1.968,510.4231,700.4463,37.3107,28.138,29928641680.0,43.7738,638.4676,18.0,1.0,49.2,43.4155
2020-12-01,95.67,100.8667,5.4319,493.6533,691.1317,36.0848,28.2023,28945341180.0,43.7738,638.4676,18.0,1.0,49.2,43.4155
2020-12-02,93.5,100.8667,7.8788,482.4561,689.4441,35.2663,28.2666,28288799000.0,43.7738,638.4676,18.0,1.0,49.2,43.4155
2020-12-03,97.36,100.8667,3.6018,502.3736,687.7565,36.7222,28.62,29456657440.0,43.7738,638.4676,18.0,1.0,49.2,43.4155
2020-12-04,101.57,100.8667,-0.6924,524.097,687.5369,38.3102,28.9733,30730409780.0,43.7738,638.4676,18.0,1.0,49.2,43.4155
2020-12-07,99.16,100.8667,1.7212,511.6615,687.3174,37.4012,29.047,30001254640.0,43.7738,638.4676,18.0,1.0,49.2,43.4155
2020-12-08,99.85,100.8667,1.0182,515.2219,687.251,37.6614,29.1208,30210016900.0,43.7738,638.4676,18.0,1.0,49.2,43.4155
2020-12-09,95.65,100.8667,5.4539,493.5501,687.1846,36.0773,29.175,28939290100.0,43.7738,638.4676,18.0,1.0,49.2,43.4155
