date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2022-03-15,13.64,18.3333,34.4084,8.2203,9.1678,0.13,0.1422,1294131909.84,3.165,8.2142,4.0,2.0,8.8358,238.2369,35.27684718309859,8.659509052433418,36.4743865079365,8.270729171427174,43.936356235532,28.203657336509327
2022-03-16,14.2,18.3333,29.1077,8.5352,9.146,0.1354,0.1422,1347263425.2,3.1664,8.4125,4.0,2.0,6.4901,204.5056,35.23370629370629,8.644371658909302,36.45294761904762,8.286405471302633,43.87807795261559,28.166542147744988
2022-03-17,13.86,18.3333,32.2749,8.3308,9.1243,0.1322,0.1421,1315005005.16,3.1664,8.4125,4.0,2.0,6.4901,204.5056,35.21315902777778,8.617621666158053,36.45240714285715,8.286677901317784,43.83078069393583,28.165729241539363
2022-03-18,13.22,18.3333,38.6785,7.9461,9.1131,0.1261,0.142,1254283273.32,3.1664,8.4125,4.0,2.0,6.4901,204.5056,35.237057931034485,8.592467803375072,36.50763015873016,8.278071360197561,43.82952573440956,28.2295587985326
2022-03-21,13.46,18.3333,36.2058,8.0904,9.1019,0.1284,0.1419,1277053922.76,3.1664,8.4125,4.0,2.0,6.4901,204.5056,35.24369315068493,8.56316266843166,36.570594444444446,8.2450368547514,43.80685581911659,28.325557589693048
2022-03-22,13.25,18.3333,38.3645,7.9642,9.082,0.1264,0.1417,1257129604.5,3.1664,8.4125,4.0,2.0,6.4901,204.5056,35.2649231292517,8.537667401115131,36.65135714285714,8.2120468367727,43.80259053036683,28.439310306084444
2022-03-23,12.88,18.3333,42.3393,7.7418,9.0621,0.1228,0.1415,1222024853.28,3.1664,8.4125,4.0,2.0,6.4901,204.5056,35.31272297297298,8.528426373976579,36.73843650793651,8.213739784255187,43.84114934694956,28.524696723681323
2022-03-24,13.29,18.3333,37.9481,7.9882,9.059,0.1267,0.1414,1260924712.74,3.1664,8.4125,4.0,2.0,6.4901,204.5056,35.330410067114094,8.502306878181724,36.79345317460317,8.198305083649291,43.832716945295815,28.59514809095388
2022-03-25,13.18,18.3333,39.0994,7.9976,9.0559,0.1255,0.1413,1250488165.08,3.1675,8.5487,4.0,2.0,6.4901,204.5056,35.355536666666666,8.479313744997063,36.852718253968256,8.187678555687448,43.83485041166373,28.665039698280808
2022-03-28,12.79,18.3333,43.3409,7.7609,9.0372,0.1218,0.1403,1213485859.74,3.1675,8.5487,4.0,2.0,6.4901,204.5056,35.40841986754967,8.47594998110158,36.92997936507937,8.202713312150484,43.88436984865125,28.727266052928883
2022-03-29,12.8,18.3333,43.2289,7.767,9.0185,0.1219,0.1393,1214434636.8,3.1675,8.5487,4.0,2.0,6.4901,204.5056,35.459870394736846,8.471618669070908,37.03106031746032,8.201226083205649,43.93148906380775,28.82983423425467
2022-03-30,12.42,18.3333,47.6111,7.5364,8.9964,0.1183,0.1392,1178381108.52,3.1675,8.5487,4.0,2.0,6.4901,204.5056,35.53929019607843,8.500659450686628,37.22115396825397,8.166318063398224,44.03994964676506,29.05483590485575
2022-03-31,12.4,18.3333,47.8492,7.5243,8.9742,0.1181,0.1392,1176483554.4,3.1675,8.5487,4.0,2.0,6.4901,204.5056,35.61922467532467,8.530703477962971,37.47736984126984,7.985903600653039,44.14992815328765,29.4914662406168
2022-04-01,12.72,18.3333,44.1297,7.7184,8.9582,0.1211,0.1386,1206844420.32,3.1675,8.5487,4.0,2.0,6.4901,204.5056,35.67413096774194,8.530394431979014,37.63108730158731,7.925356695033823,44.20452539972095,29.705730606553484
2022-04-04,12.92,18.3333,41.8986,7.8398,8.9423,0.123,0.1381,1225819961.52,3.1675,8.5487,4.0,2.0,6.4901,204.5056,35.71403141025641,8.517424473318467,37.732526190476186,7.897260493352651,44.23145588357488,29.83526569712353
2022-04-05,12.51,18.3333,46.5492,7.591,8.9423,0.1191,0.1372,1186920102.06,3.1675,8.5487,4.0,2.0,6.4901,204.5056,35.783045222929935,8.534005751189714,37.87957619047619,7.8874755808274015,44.31705097411965,29.99210060964879
2022-04-06,12.74,18.3333,43.9035,7.7306,8.9423,0.1213,0.1362,1208741974.44,3.1675,8.5487,4.0,2.0,6.4901,204.5056,35.83444050632911,8.531279308297384,38.01678650793651,7.8401830083268145,44.365719814626495,30.17660349960969
2022-04-07,12.79,18.3333,43.3409,7.7609,8.9199,0.1218,0.1361,1213485859.74,3.1675,8.5487,4.0,2.0,6.4901,204.5056,35.881650943396224,8.525048955936994,38.13102063492064,7.811789492527994,44.40669989933322,30.319231142392645
2022-04-08,13.02,18.3333,40.8088,7.9005,8.8975,0.124,0.136,1235307732.12,3.1675,8.5487,4.0,2.0,6.4901,204.5056,35.912445625,8.507120842877839,38.20943571428571,7.7884665082514335,44.41956646787784,30.42096920603428
2022-04-11,13.13,18.3333,39.6291,7.9672,8.8912,0.125,0.1358,1245744279.78,3.1675,8.5487,4.0,2.0,6.4901,204.5056,35.935530434782606,8.48555147813802,38.30222777777777,7.734566613365109,44.42108191292063,30.567661164412662
2022-04-12,13.12,17.8333,35.9245,8.0614,8.8848,0.125,0.1357,1244795502.72,3.1511,7.9867,4.0,2.0,6.4901,192.1507,35.935462345679014,8.459157830356625,38.35218730158731,7.698345127976366,44.39462017603564,30.65384217361094
