date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2014-01-06,27.24,30.6554,12.5382,17.1159,16.5237,1.0037,0.9115,3237298084.08,5.9598,11.4991,7.0,1.0,13.8,14.7265
2014-01-07,27.23,30.624,12.4642,17.1269,16.5237,1.0043,0.9115,3236109648.66,5.9091,11.4457,7.0,1.0,13.8,14.5913
2014-01-08,27.23,30.624,12.4642,17.1269,16.5237,1.0043,0.9115,3236109648.66,5.9091,11.4457,7.0,1.0,13.8,14.5913
2014-01-09,27.23,30.624,12.4642,17.1269,16.5237,1.0043,0.9115,3236109648.66,5.9091,11.4457,7.0,1.0,13.8,14.5913
2014-01-10,27.23,30.5452,12.1748,17.1269,16.5237,1.0043,0.9115,3236109648.66,5.9091,11.4457,7.0,1.0,13.8,14.5913
2014-01-13,27.23,30.4047,11.6588,17.085,16.5237,1.0036,0.9115,3236109648.66,6.0269,11.9194,6.0,1.0,13.8,14.4026
2014-01-14,27.23,30.4047,11.6588,17.085,16.5237,1.0036,0.9115,3236109648.66,6.0269,11.9194,6.0,1.0,13.8,14.4026
2014-01-15,27.72,30.4047,9.6851,17.3924,16.5237,1.0217,0.9115,3294342984.24,6.0269,11.9194,6.0,1.0,13.8,14.4026
2014-01-16,27.72,30.4047,9.6851,17.3924,16.5237,1.0217,0.9115,3294342984.24,6.0269,11.9194,6.0,1.0,13.8,14.4026
2014-01-17,27.72,30.4047,9.6851,17.3924,16.5258,1.0217,0.9115,3294342984.24,6.0269,11.9194,6.0,1.0,13.8,14.4026
2014-01-21,27.72,30.4047,9.6851,17.3924,16.5278,1.0217,0.9115,3294342984.24,6.0269,11.9194,6.0,1.0,13.8,14.4026
2014-01-22,27.72,30.4047,9.6851,17.3924,16.5278,1.0217,0.9115,3294342984.24,6.0269,11.9194,6.0,1.0,13.8,14.4026
2014-01-23,27.72,30.4047,9.6851,17.3924,16.5278,1.0217,0.9115,3294342984.24,6.0269,11.9194,6.0,1.0,13.8,14.4026
2014-01-24,27.72,30.4047,9.6851,17.3924,16.5278,1.0217,0.9118,3294342984.24,6.0269,11.9194,6.0,1.0,13.8,14.4026
