date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2017-10-03,202.81,212.7647,4.9084,29.8808,28.0684,3.2954,2.7746,10095237067.01,10.601,23.2822,9.0,3.0,16.997,25.2573
2017-10-04,201.64,212.7647,5.5171,29.642,28.0708,3.2764,2.7754,10036998186.44,10.601,23.2829,9.0,3.0,16.997,25.2573
2017-10-05,206.02,212.7647,3.2738,30.2859,28.0768,3.3475,2.7759,10255020662.42,10.601,23.2829,9.0,3.0,16.997,25.2573
2017-10-06,205.39,212.7647,3.5906,30.2949,28.0807,3.3366,2.7762,10223661265.19,10.6089,22.9807,9.0,3.0,16.997,25.2573
2017-10-09,205.8,212.7647,3.3842,30.3535,28.0872,3.343,2.7775,10244069761.8,10.6086,22.9811,9.0,3.0,16.997,25.2654
2017-10-10,209.44,212.7647,1.5874,30.8731,28.0888,3.3994,2.7777,10425257390.24,10.6092,22.9845,9.0,3.0,16.997,25.2654
2017-10-11,209.24,212.7647,1.6845,30.8436,28.0904,3.3962,2.7782,10415302026.04,10.6092,22.9845,9.0,3.0,16.997,25.2654
2017-10-12,201.03,217.2353,8.0611,29.288,28.0988,3.0819,2.7789,9592304861.64,11.235,23.5702,10.0,3.0,17.1671,26.6704
2017-10-13,192.98,217.2353,12.5688,28.0976,28.0988,2.9545,2.7794,9208192768.24,11.3432,23.5439,10.0,3.0,17.1671,26.6704
2017-10-16,193.19,217.2353,12.4465,28.1282,28.1045,2.9577,2.7814,9218213083.72,11.3432,23.5439,10.0,3.0,17.1671,26.6704
2017-10-17,192.27,217.2353,12.9845,27.9942,28.102,2.9437,2.7823,9174314558.76,11.3432,23.5439,10.0,3.0,17.1671,26.6704
2017-10-18,187.79,217.2353,15.6799,27.342,28.1004,2.8751,2.7832,8960547828.52,11.3432,23.5439,10.0,3.0,17.1671,26.6704
2017-10-19,186.12,217.2353,16.7179,27.0988,28.1004,2.8495,2.7848,8880862462.56,11.3432,23.5439,10.0,3.0,17.1671,26.6704
2017-10-20,186.11,217.2353,16.7241,27.0973,28.1004,2.8494,2.7855,8880385304.68,11.3432,23.5439,10.0,3.0,17.1671,26.6704
2017-10-23,182.63,217.2353,18.9483,26.5389,28.1004,2.7961,2.7857,8714334362.44,11.3432,23.7192,10.0,3.0,17.1671,26.6704
2017-10-24,183.84,217.2353,18.1654,26.7147,28.0988,2.8146,2.786,8772070465.92,11.3432,23.7192,10.0,3.0,17.1671,26.6704
2017-10-25,185.75,217.2353,16.9504,26.9923,28.0982,2.8438,2.7863,8863207621.0,11.3432,23.7192,10.0,3.0,17.1671,26.6704
2017-10-26,185.68,217.2353,16.9945,26.9821,28.0982,2.8428,2.7867,8859867515.84,11.3432,23.7192,10.0,3.0,17.1671,26.6704
2017-10-27,184.68,217.2353,17.628,26.8368,28.0982,2.8275,2.7902,8812151727.84,11.3432,23.7192,10.0,3.0,17.1671,26.6704
2017-10-30,181.7,217.2353,19.5571,26.4037,28.0982,2.7818,2.7911,8669958679.6,11.3432,23.7192,10.0,3.0,17.1671,26.6704
2017-10-31,183.0,217.2353,18.7078,26.5927,28.0976,2.8017,2.7926,8731989204.0,11.3432,23.7192,10.0,3.0,17.1671,26.6704
2017-11-01,177.25,217.8235,22.8906,25.7481,28.0976,2.7133,2.7911,8457623423.0,11.3591,23.7634,10.0,3.0,17.1671,26.6704
