date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2024-02-27,22.93,24.3333,6.1199,23.3076,18.5799,1.8839,9.1359,6092501000.0,7.9169,15.45,2.0,1.0,8.5341,13.0037,21.84723234126984,13.535068761958051,13.099100793650791,5.272399164896001,35.38230110322789,7.826701628754792
2024-02-28,22.5,24.8,10.2222,22.8705,18.593,1.8486,9.1327,5978250000.0,7.9158,15.48,2.0,1.0,8.5341,13.2378,21.79696765873016,13.531098567894396,13.031896825396826,5.254502510128482,35.32806622662456,7.777394315268344
2024-02-29,22.71,24.8,9.203,23.084,18.593,1.8658,9.1176,6034047000.0,7.9158,15.48,2.0,1.0,8.5341,13.2378,21.75257103174604,13.535647253035044,12.975465873015873,5.257159827680979,35.288218284781074,7.718306045334894
2024-03-01,22.84,24.8,8.5814,23.2161,18.593,1.8765,9.1014,6068588000.0,7.9158,15.48,2.0,1.0,8.5341,13.2378,21.73685734126984,13.54634867279844,12.920042857142857,5.266446868778345,35.283206014068284,7.653595988364512
2024-03-04,23.04,24.8,7.6389,23.4194,18.5746,1.893,9.0798,6121728000.0,7.9158,15.48,2.0,1.0,8.5341,13.2378,21.716954761904763,13.559698184696051,12.85874761904762,5.2827161643335465,35.27665294660081,7.576031454714075
2024-03-05,22.81,24.8,8.7242,23.1856,18.5799,1.8741,9.0713,6060617000.0,7.9158,15.48,2.0,1.0,8.5341,13.2378,21.705002976190475,13.568504903394588,12.821833333333332,5.295312733140192,35.27350787958506,7.52652060019314
2024-03-06,23.28,24.8,6.5292,23.6633,18.593,1.9127,9.0659,6185496000.0,7.9158,15.48,2.0,1.0,8.5341,13.2378,21.68468630952381,13.583568492505938,12.768014285714283,5.324686429733767,35.26825480202975,7.4433278559805185
2024-03-07,23.6,24.8,5.0847,23.9886,18.593,1.939,9.051,6270520000.0,7.9158,15.48,2.0,1.0,8.5341,13.2378,21.66670615079365,13.599554274793572,12.687515873015872,5.363732630180467,35.26626042558723,7.323783242835406
2024-03-08,23.41,24.8,5.9376,23.7955,18.593,1.9234,9.0325,6220037000.0,7.9158,15.48,2.0,1.0,8.5341,13.2378,21.65522996031746,13.610399422083685,12.621719841269842,5.395439984431279,35.265629382401144,7.226279856838563
2024-03-11,22.8,24.8,8.7719,23.1754,18.5746,1.8732,9.0078,6057960000.0,7.9158,15.48,2.0,1.0,8.5341,13.2378,21.63721468253968,13.621448715387787,12.556398412698412,5.391800963937196,35.25866339792747,7.164597448761216
2024-03-12,22.99,24.8,7.873,23.3686,18.5799,1.8889,9.0023,6108443000.0,7.9158,15.48,2.0,1.0,8.5341,13.2378,21.61577817460317,13.634611500939188,12.505438095238096,5.405573012776143,35.250389675542365,7.099865082461953
2024-03-13,23.0,25.0,8.6957,23.726,18.593,1.8897,8.9957,6111100000.0,7.4186,14.8901,3.0,1.0,8.5341,13.2378,21.60308253968254,13.643671898915398,12.475979365079366,5.4162146317338085,35.24675443859794,7.059764733345558
2024-03-14,21.97,24.8,12.8812,22.8521,18.593,1.822,8.9848,5837429000.0,6.735,14.891,3.0,1.0,8.5341,12.6767,21.59447876984127,13.64780958718249,12.418419047619048,5.372542892935419,35.24228835702376,7.045876154683629
2024-03-15,21.97,25.0,13.7915,22.8521,18.593,1.822,8.9677,5837429000.0,6.7349,14.893,3.0,1.0,8.5341,12.3451,21.584968253968256,13.651580651729404,12.366922222222223,5.327492711328548,35.23654890569766,7.039429510893675
2024-03-18,21.55,25.0,16.0093,22.4152,18.5746,1.7871,8.9084,5725835000.0,6.7349,14.893,3.0,1.0,8.5341,12.3451,21.591509523809524,13.64811028556042,12.348469841269845,5.31065852052641,35.23961980936994,7.037811320743433
2024-03-19,22.09,25.0,13.1734,22.9769,18.5799,1.8319,8.9051,5869313000.0,6.7349,14.893,3.0,1.0,8.5341,12.3451,21.59192698412698,13.64784905241531,12.33216746031746,5.304899583288008,35.239776036542295,7.027267877029453
2024-03-20,22.09,25.0,13.1734,22.9769,18.593,1.8319,8.8974,5869313000.0,6.7349,14.893,3.0,1.0,8.5341,12.3451,21.586553769841267,13.650634551411924,12.293453174603176,5.280571296102952,35.237188321253186,7.012881878500224
2024-03-21,22.3,25.0,12.1076,23.1953,18.593,1.8493,8.8888,5925110000.0,6.7349,14.893,3.0,1.0,8.5341,12.3451,21.58368849206349,13.652475860402236,12.258440476190476,5.26693633514068,35.23616435246573,6.991504141049798
2024-03-22,21.89,25.0,14.2074,22.7689,18.593,1.8153,8.8809,5816173000.0,6.7349,14.893,3.0,1.0,8.5341,12.3451,21.59987361111111,13.638852531592216,12.226249206349207,5.242277693624779,35.23872614270333,6.983971512724429
2024-03-25,21.75,25.0,14.9425,22.6233,18.5746,1.8037,8.8578,5778975000.0,6.7349,14.893,3.0,1.0,8.5341,12.3451,21.616930357142856,13.62510651585058,12.180385714285714,5.192403313745076,35.24203687299344,6.987982400540639
