date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2002-03-01,63.24,84.5255,29.808,11.7044,14.1507,0.2133,0.4964,16457155852.44,-10.9204,5.7602,2.0,2.0,13.5,4.307,31.45313766233766,5.305709632159916,32.148110317460315,5.031473443162816,36.75884729449758,27.11663687429749
2002-03-04,63.78,84.5255,28.709,11.8043,14.142,0.2151,0.4958,16597681851.18,-10.9204,5.7602,2.0,2.0,13.5,4.307,31.43543354838709,5.293046515657986,32.13982142857143,5.03630802196382,36.72848006404508,27.10351340660761
2002-03-05,64.11,80.0036,24.7911,11.8654,14.1329,0.2162,0.4957,16683558850.41,-10.9204,5.7602,2.0,2.0,13.5,4.307,31.392841666666666,5.302696059151096,32.10202380952381,5.073606185512288,36.69553772581776,27.02841762401152
2002-03-06,65.54,80.0036,22.0684,12.1301,14.1328,0.221,0.4955,17055692513.74,-10.9204,5.7602,2.0,3.0,12.0,4.307,31.33345031847134,5.337801917884104,32.049215079365084,5.143216624192566,36.67125223635544,26.90599845517252
2002-03-07,64.55,80.0036,23.9405,11.9468,14.1303,0.2177,0.4952,16798061516.05,-10.9204,5.7602,2.0,3.0,12.0,4.307,31.28665949367089,5.35318344791314,32.00194285714286,5.190315179214895,36.63984294158403,26.81162767792796
2002-03-08,63.13,80.0036,26.7283,11.684,14.1303,0.2129,0.4952,16428530186.03,-10.9204,5.7602,2.0,3.0,12.0,4.307,31.257990566037734,5.348447026016086,31.97130476190476,5.210080410709333,36.60643759205382,26.76122435119543
2002-03-11,62.8,79.2582,26.2073,11.6066,14.1259,0.2118,0.495,16342653186.8,-10.9204,5.7653,2.0,4.0,12.75,3.998,31.22642375,5.346532388374313,31.952831746031748,5.22646275117159,36.57295613837431,26.72636899486016
2002-03-12,62.52,79.2582,26.7726,11.5549,14.1239,0.2108,0.4948,16269787854.12,-10.9204,5.7653,2.0,4.0,12.75,3.998,31.198760248447204,5.341344225617269,31.94841111111111,5.23063833813384,36.54010447406447,26.71777277297727
2002-03-13,61.47,79.2582,28.938,11.3608,14.1226,0.2073,0.4948,15996542856.57,-10.9204,5.7653,2.0,4.0,12.75,3.998,31.184804938271604,5.32769209302791,31.944881746031747,5.232533084530294,36.51249703129952,26.71234866150145
2002-03-14,61.44,78.0469,27.0295,11.3553,14.1197,0.2072,0.4948,15988735856.64,-10.9204,5.7674,2.0,4.0,12.75,3.998,31.15931226993865,5.321186061544636,31.940600793650795,5.236361150577694,36.48049833148328,26.7042396430731
2002-03-15,61.56,78.0469,26.7818,11.3775,14.116,0.2076,0.4946,16019963856.36,-10.9204,5.7674,2.0,4.0,12.75,3.998,31.13262012195122,5.315839963825441,31.949346825396823,5.226731845682331,36.44846008577666,26.722614979714493
2002-03-18,62.77,78.0469,24.3379,11.6011,14.1115,0.2117,0.4942,16334846186.87,-10.9204,5.7674,2.0,4.0,12.75,3.998,31.09144,5.325941804413564,31.920916666666667,5.258469871447396,36.417381804413566,26.66244679521927
2002-03-19,62.98,78.0469,23.9233,11.6399,14.1091,0.2124,0.4941,16389495186.38,-10.9204,5.7674,2.0,4.0,12.75,3.998,31.04825843373494,5.338845806830374,31.85055317460317,5.305862776223093,36.387104240565314,26.544690398380084
2002-03-20,63.69,78.0469,22.5418,11.7711,14.1064,0.2148,0.494,16574260851.39,-10.9204,5.7674,2.0,4.0,12.75,3.998,30.997321556886227,5.363288217276852,31.790965079365083,5.368042932351677,36.36060977416308,26.42292214701341
2002-03-21,66.43,78.0469,17.4874,12.2775,14.1064,0.224,0.494,17287300178.33,-10.9204,5.7674,2.0,4.0,12.75,3.998,30.91690535714286,5.447846581756353,31.66506507936508,5.515177097708721,36.36475193889921,26.149887981656363
2002-03-22,66.4,78.0469,17.5405,12.3011,14.1016,0.2239,0.494,17279493178.4,-10.9204,5.7588,2.0,4.0,12.75,3.998,30.8377550295858,5.528211133530829,31.562580158730164,5.656047804182986,36.36596616311663,25.906532354547178
2002-03-25,65.65,78.0469,18.8833,12.1621,14.0831,0.2214,0.4942,17084318180.15,-10.9204,5.7588,2.0,4.0,12.75,3.998,30.76743470588235,5.587568743606474,31.42722142857143,5.753723313522918,36.35500344948883,25.67349811504851
2002-03-26,64.76,78.0469,20.5171,11.9973,14.0826,0.2184,0.4941,16852710515.56,-10.9204,5.7588,2.0,4.0,12.75,3.998,30.70749122807017,5.6259854851116815,31.305659523809524,5.821282669820164,36.33347671318186,25.48437685398936
