date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2020-12-01,24732.0,30280.5545,22.4347,6.5421,7.0397,31.4425,17.4438,14384947356.0,64.108,132.4958,1.0,1.0,15.0,85.6179
2020-12-02,24696.0,30280.5545,22.6132,6.5421,7.0397,31.3967,17.4721,14364008568.0,64.108,132.4958,1.0,1.0,15.0,85.6179
2020-12-03,24696.0,30280.5545,22.6132,6.5421,7.0397,31.3967,17.4942,14364008568.0,64.108,132.4958,1.0,1.0,15.0,85.6179
2020-12-04,36360.0,30280.5545,-16.7201,6.5421,7.0397,46.2255,17.5164,21148175880.0,64.108,132.4958,1.0,1.0,15.0,85.6179
2020-12-07,33876.0,30280.5545,-10.6135,6.5421,7.0397,43.0675,17.5263,19703399508.0,64.108,132.4958,1.0,1.0,15.0,85.6179
2020-12-08,33084.0,30280.5545,-8.4737,6.5421,7.0397,42.0606,17.5362,19242746172.0,64.108,132.4958,1.0,1.0,15.0,85.6179
2020-12-09,30780.0,30280.5545,-1.6226,6.5421,7.0397,39.1315,17.5572,17902663740.0,64.108,132.4958,1.0,1.0,15.0,85.6179
2020-12-10,29808.0,30280.5545,1.5853,6.5421,7.0397,37.8958,17.5783,17337316464.0,64.108,132.4958,1.0,1.0,15.0,85.6179
2020-12-11,28332.0,30280.5545,6.8776,6.5421,7.0397,36.0193,17.587,16478826156.0,64.108,132.4958,1.0,1.0,15.0,85.6179
2020-12-14,28980.0,34328.4754,18.4557,6.5421,7.0397,36.8431,17.5957,16855724340.0,64.108,132.4958,1.0,1.0,15.0,85.6179
2020-12-15,29448.0,34328.4754,16.5732,6.5421,7.0397,37.4381,17.6433,17127928584.0,64.108,132.4958,1.0,1.0,15.0,85.6179
2020-12-16,28872.0,34328.4754,18.8988,6.5421,7.0397,36.7058,17.6908,16792907976.0,64.108,132.4958,1.0,1.0,15.0,85.6179
2020-12-17,28800.0,34328.4754,19.1961,6.5421,7.0397,36.6143,17.7026,16751030400.0,64.108,132.4958,1.0,1.0,15.0,85.6179
2020-12-18,28368.0,34328.4754,21.0113,6.5421,7.0397,36.0651,17.7145,16499764944.0,64.108,132.4958,1.0,1.0,15.0,85.6179
2020-12-21,28872.0,34328.4754,18.8988,6.5421,7.0397,36.7058,17.764,16792907976.0,64.108,132.4958,1.0,1.0,15.0,85.6179
2020-12-22,27720.0,34328.4754,23.8401,6.5421,7.0397,35.2412,17.8136,16122866760.0,64.108,132.4958,1.0,1.0,15.0,85.6179
2020-12-23,27504.0,34328.4754,24.8127,6.5421,7.0397,34.9666,17.8235,15997234032.0,64.108,132.4958,1.0,1.0,15.0,85.6179
2020-12-24,26892.0,34328.4754,27.6531,6.5421,7.0397,34.1886,17.8334,15641274636.0,64.108,132.4958,1.0,1.0,15.0,85.6179
2020-12-28,26028.0,34328.4754,31.8906,6.5421,7.0397,33.0902,17.8535,15138743724.0,64.108,132.4958,1.0,1.0,15.0,85.6179
2020-12-29,26172.0,34328.4754,31.1649,6.5421,7.0397,33.2732,17.8737,15222498876.0,64.108,132.4958,1.0,1.0,15.0,85.6179
2020-12-30,27792.0,34328.4754,23.5193,6.5421,7.0397,35.3328,17.8924,16164744336.0,64.108,132.4958,1.0,1.0,15.0,85.6179
2020-12-31,27144.0,34328.4754,26.468,6.5421,7.0397,34.509,17.9112,15787846152.0,64.108,132.4958,1.0,1.0,15.0,85.6179
2021-01-04,27648.0,34328.4754,24.1626,6.5421,7.0397,35.1497,17.9289,16080989184.0,64.108,132.4958,1.0,1.0,15.0,85.6179
2021-01-05,28440.0,34328.4754,20.7049,6.5421,7.0397,36.1566,17.9466,16541642520.0,64.108,132.4958,1.0,1.0,15.0,85.6179
2021-01-06,27972.0,34328.4754,22.7244,6.5421,7.0397,35.5616,17.9509,16269438276.0,64.108,132.4958,1.0,1.0,15.0,85.6179
2021-01-07,27864.0,34328.4754,23.2001,6.5421,7.0397,35.4243,17.9552,16206621912.0,64.108,132.4958,1.0,1.0,15.0,85.6179
2021-01-08,27936.0,31721.1424,13.5493,20.5418,7.0623,21.9726,17.9636,16248499488.0,42.3851,212.1392,1.0,1.0,15.0,85.6179
2021-01-11,27684.0,31721.1424,14.5829,20.3565,7.0849,21.7744,17.9721,16101927972.0,42.3851,212.1392,1.0,1.0,15.0,85.6179
2021-01-12,27900.0,31721.1424,13.6959,20.5154,7.1011,21.9443,18.0118,16227560700.0,42.3851,212.1392,1.0,1.0,15.0,85.6179
2021-01-13,29340.0,31721.1424,8.1157,21.5742,7.1173,23.0769,18.0514,17065112220.0,42.3851,212.1392,1.0,1.0,15.0,85.6179
2021-01-14,29628.0,31721.1424,7.0647,21.786,7.127,23.3034,18.2,17232622524.0,42.3851,212.1392,1.0,1.0,15.0,85.6179
2021-01-15,29808.0,31721.1424,6.4182,21.9183,7.1368,23.445,18.3486,17337316464.0,42.3851,212.1392,1.0,1.0,15.0,85.6179
2021-01-19,29808.0,31721.1424,6.4182,21.9183,7.1438,23.445,18.4972,17337316464.0,42.3851,212.1392,1.0,1.0,15.0,85.6179
2021-01-20,30888.0,31721.1424,2.6973,22.7125,7.1507,24.2945,18.6458,17965480104.0,42.3851,212.1392,1.0,1.0,15.0,85.6179
2021-01-21,30996.0,31721.1424,2.3395,22.7919,7.1666,24.3794,18.7142,18028296468.0,42.3851,212.1392,1.0,1.0,15.0,85.6179
2021-01-22,31968.0,31721.1424,-0.7722,23.5066,7.1824,25.1439,18.7825,18593643744.0,42.3851,212.1392,1.0,1.0,15.0,85.6179
2021-01-25,32364.0,31721.1424,-1.9863,23.7978,7.2166,25.4554,18.8315,18823970412.0,42.3851,212.1392,1.0,1.0,15.0,85.6179
2021-01-26,30708.0,31721.1424,3.2993,22.5801,7.2507,24.1529,18.8805,17860786164.0,42.3851,212.1392,1.0,1.0,15.0,85.6179
2021-01-27,28872.0,31721.1424,9.8682,21.2301,7.261,22.7088,18.8914,16792907976.0,42.3851,212.1392,1.0,1.0,15.0,85.6179
2021-01-28,27828.0,31721.1424,13.99,20.4624,7.2713,21.8877,18.9024,16185683124.0,42.3851,212.1392,1.0,1.0,15.0,85.6179
2021-01-29,28044.0,31721.1424,13.112,20.6212,7.278,22.0576,18.9923,16311315852.0,42.3851,212.1392,1.0,1.0,15.0,85.6179
2021-02-01,28836.0,28931.4578,0.331,21.2036,7.2847,22.6805,19.0822,16771969188.0,42.3851,212.1392,1.0,1.0,15.0,85.6179
2021-02-02,30420.0,28931.4578,-4.8933,22.3684,7.298,23.9264,19.1721,17693275860.0,42.3851,212.1392,1.0,1.0,15.0,85.6179
2021-02-03,31608.0,28931.4578,-8.4679,23.2419,7.3112,24.8608,19.262,18384255864.0,42.3851,212.1392,1.0,1.0,15.0,85.6179
2021-02-04,32220.0,28931.4578,-10.2065,23.6919,7.3152,25.3421,19.4096,18740215260.0,42.3851,212.1392,1.0,1.0,15.0,85.6179
2021-02-05,32256.0,28931.4578,-10.3067,23.7184,7.3191,25.3705,19.5573,18761154048.0,42.3851,212.1392,1.0,1.0,15.0,85.6179
2021-02-08,31032.0,28931.4578,-6.769,22.8184,7.3588,24.4077,19.6264,18049235256.0,42.3851,212.1392,1.0,1.0,15.0,85.6179
2021-02-09,31860.0,28931.4578,-9.1919,23.4272,7.3985,25.059,19.6956,18530827380.0,42.3851,212.1392,1.0,1.0,15.0,85.6179
