date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2007-10-10,19.455,27.1875,39.7456,12.2358,12.0668,0.3882,0.4926,237790216.08,38.62,22.2633,1.0,1.0,22.5,100.7516,43.0953373015873,30.39046065879284,34.02460634920635,17.451661925222666,73.48579796038013,16.572944423983685
2007-10-11,19.84,27.1875,37.0338,12.478,12.0909,0.3959,0.4926,242495907.84,38.62,22.2633,1.0,1.0,22.5,100.7516,43.14268869047618,30.362318332729835,34.17744920634921,17.39244538408865,73.50500702320602,16.78500382226056
2007-10-12,20.457,27.1875,32.9007,12.866,12.107,0.4082,0.4926,250037237.232,38.62,22.2633,1.0,1.0,22.5,100.7516,43.17663948412698,30.34123095613634,34.30870238095238,17.319178332733387,73.51787044026332,16.989524048218996
2007-10-15,20.635,27.1875,31.7543,12.978,12.144,0.4118,0.4926,252212855.76,38.62,22.2633,1.0,1.0,22.5,100.7516,43.18323591269841,30.33837974194273,34.41278492063492,17.26357805057567,73.52161565464114,17.14920687005925
2007-10-16,19.99,27.1875,36.0055,12.5723,12.147,0.3989,0.4926,244329294.24,38.62,22.2633,1.0,1.0,22.5,100.7516,43.18572341269841,30.33773844832493,34.53950158730159,17.215761264626806,73.52346186102334,17.32374032267478
2007-10-17,20.375,27.1875,33.4356,12.8145,12.1501,0.4066,0.4925,249034986.0,38.62,22.2633,1.0,1.0,22.5,100.7516,43.19417003968253,30.33442325609037,34.642543650793655,17.16956283991141,73.52859329577291,17.472980810882245
2007-10-18,19.975,27.1875,36.1076,12.5629,12.1654,0.3986,0.4925,244145955.6,38.62,22.2633,1.0,1.0,22.5,100.7516,43.21702202380952,30.324717048267168,34.84292380952381,17.036595804088797,73.5417390720767,17.806328005435013
2007-10-19,19.205,27.1875,41.5647,12.0786,12.1654,0.3832,0.4925,234734572.08,38.62,22.2633,1.0,1.0,22.5,100.7516,43.23117023809524,30.32227446089713,35.05783412698413,16.94831154071501,73.55344469899237,18.10952258626912
2007-10-22,20.325,27.1875,33.7638,12.783,12.1777,0.4056,0.4926,248423857.2,38.62,22.2633,1.0,1.0,22.5,100.7516,43.23598650793651,30.32057411827954,35.19535,16.866109660493365,73.55656062621605,18.32924033950664
2007-10-23,20.845,27.1875,30.427,13.1101,12.1794,0.4159,0.4925,254779596.72,38.62,22.2633,1.0,1.0,22.5,100.7516,43.22565595238096,30.32405625833804,35.34381428571429,16.739676990196138,73.549712210719,18.60413729551815
2007-10-24,20.57,27.1875,32.1706,12.9371,12.1886,0.4105,0.4924,251418388.32,38.62,22.2633,1.0,1.0,22.5,100.7516,43.22147936507936,30.325436347828088,35.5330746031746,16.565644709694144,73.54691571290745,18.967429893480453
2007-10-25,20.17,28.0625,39.1299,12.2525,12.1996,0.398,0.4924,275804580.0,40.5322,23.0595,2.0,1.0,22.5,100.7516,43.232204761904754,30.323026561384697,35.69186507936507,16.5028530126169,73.55523132328945,19.189012066748173
2007-10-26,22.755,28.0625,23.3245,13.8227,12.2016,0.449,0.4924,311151870.0,40.5322,23.0595,2.0,1.0,22.5,100.7516,43.23130396825397,30.323612351223257,35.73788650793651,16.459817405690877,73.55491631947723,19.27806910224563
2007-10-29,23.725,28.0625,18.2824,14.412,12.2042,0.4681,0.4926,324415650.0,40.5322,23.0595,2.0,1.0,22.5,100.7516,43.20159563492064,30.340735031679184,35.71779523809524,16.479712716786207,73.54233066659982,19.238082521309035
2007-10-30,23.38,28.0625,20.0278,14.2024,12.2064,0.4613,0.4925,319698120.0,40.5322,23.0595,2.0,1.0,22.5,100.7516,43.10088392857143,30.333231047179744,35.71338174603175,16.483872145737237,73.43411497575117,19.22950960029452
2007-10-31,23.71,28.0625,18.3572,14.4029,12.2082,0.4678,0.4924,324210540.0,40.5322,23.0595,2.0,1.0,22.5,100.7516,43.0281867063492,30.348566338873585,35.709450793650795,16.48798371643383,73.37675304522278,19.221467077216964
2007-11-01,23.655,28.0625,18.6324,14.3695,12.223,0.4667,0.4924,323458470.0,40.5322,23.0595,2.0,1.0,22.5,100.7516,42.95028531746031,30.360718331422625,35.71423095238095,16.48290368094354,73.31100364888295,19.23132727143741
2007-11-02,23.75,28.0625,18.1579,14.4272,12.2358,0.4686,0.4924,324757500.0,40.5322,23.0595,2.0,1.0,22.5,100.7516,42.87761011904762,30.37616518728859,35.699150793650794,16.49820420639129,73.25377530633621,19.200946587259505
2007-11-05,24.8,28.0625,13.1552,15.065,12.2482,0.4893,0.4926,339115200.0,40.5322,23.0595,2.0,1.0,22.5,100.7516,42.795633333333335,30.40055509788075,35.64888174603175,16.557533228354153,73.19618843121408,19.091348517677595
2007-11-06,25.805,28.0625,8.7483,15.6755,12.2525,0.5091,0.4926,352857570.0,40.5322,23.0595,2.0,1.0,22.5,100.7516,42.6917,30.42727726024804,35.58371666666666,16.647591207170716,73.11897726024803,18.936125459495944
2007-11-07,25.815,27.8125,7.7377,15.6816,12.2538,0.5093,0.4927,352994310.0,40.5322,23.0595,2.0,1.0,22.5,100.7516,42.57111130952381,30.445163024157463,35.46764365079365,16.790878401067264,73.01627433368127,18.676765249726383
2007-11-08,26.56,27.8125,4.7157,16.1341,12.2576,0.524,0.494,363181440.0,40.5322,23.0595,2.0,1.0,22.5,100.7516,42.41639583333333,30.43899997296489,35.3381246031746,16.96513359425199,72.85539580629822,18.372991008922607
2007-11-09,24.295,27.8125,14.4783,14.7582,12.2601,0.4793,0.494,332209830.0,40.5322,23.0595,2.0,1.0,22.5,100.7516,42.31994384920635,30.45037694078328,35.25866507936508,17.03963121838611,72.77032078998963,18.21903386097897
2007-11-12,22.29,27.8125,24.7757,13.5403,12.2784,0.4398,0.4942,304793460.0,40.5322,23.0595,2.0,1.0,22.5,100.7516,42.25270535714286,30.451630363843137,35.28755,17.01857160107004,72.704335720986,18.268978398929963
2007-11-13,22.61,27.8125,23.0097,13.7347,12.2791,0.4461,0.4941,309169140.0,40.5322,23.0595,2.0,1.0,22.5,100.7516,42.18861071428572,30.45808129712425,35.28939444444445,17.017217453979853,72.64669201140997,18.2721769904646
2007-11-14,23.415,27.8125,18.7807,14.2237,12.284,0.462,0.494,320176710.0,40.5322,23.0595,2.0,1.0,22.5,100.7516,42.11056904761905,30.46758517712947,35.25374047619048,17.04727467314398,72.57815422474852,18.2064658030465
2007-11-15,22.65,27.8125,22.7925,13.759,12.2892,0.4469,0.494,309716100.0,40.5322,23.0595,2.0,1.0,22.5,100.7516,42.035402380952384,30.468421904912287,35.27465396825397,17.03021423987179,72.50382428586467,18.244439728382183
2007-11-16,22.905,27.8125,21.4255,13.9139,12.293,0.4519,0.494,313202970.0,40.5322,23.0595,2.0,1.0,22.5,100.7516,41.948750992063495,30.464803878857555,35.3368253968254,16.964597219357067,72.41355487092105,18.37222817746833
2007-11-19,23.055,27.8125,20.6354,14.005,12.3039,0.4549,0.4941,315254070.0,40.5322,23.0595,2.0,1.0,22.5,100.7516,41.8679505952381,30.467225456051285,35.38524920634921,16.913373114326635,72.33517605128938,18.471876092022573
2007-11-20,22.38,27.8125,24.2739,13.5949,12.3113,0.4416,0.494,306024120.0,40.5322,23.0595,2.0,1.0,22.5,100.7516,41.801459325396834,30.468985730086096,35.48887063492064,16.803763307930712,72.27044505548292,18.685107326989925
2007-11-21,21.97,27.8125,26.5931,13.3459,12.3187,0.4335,0.4934,300417780.0,40.5322,23.0595,2.0,1.0,22.5,100.7516,41.73697003968254,30.46670543160805,35.58708412698413,16.714373595778387,72.2036754712906,18.872710531205744
2007-11-23,22.835,27.8125,21.7977,13.8713,12.3388,0.4505,0.494,312245790.0,40.5322,23.0595,2.0,1.0,22.5,100.7516,41.67026071428571,30.473495264322,35.66043253968254,16.632574010002195,72.14375597860771,19.027858529680344
2007-11-26,23.31,27.8125,19.3157,14.1599,12.3561,0.4599,0.4941,318740940.0,40.5322,23.0595,2.0,1.0,22.5,100.7516,41.59153035714285,30.479902011589104,35.72368650793651,16.554335916361136,72.07143236873196,19.169350591575377
2007-11-27,23.08,27.8125,20.5048,14.0202,12.3565,0.4554,0.494,315595920.0,40.5322,23.0595,2.0,1.0,22.5,100.7516,41.50772857142857,30.479700297331096,35.75740873015873,16.51865062762667,71.98742886875966,19.23875810253206
2007-11-28,23.525,28.0625,19.288,14.3559,12.3602,0.4687,0.4934,321680850.0,40.3683,23.0444,2.0,1.0,22.5,100.7516,41.41919107142857,30.4793044848562,35.734028571428574,16.540015617800513,71.89849555628477,19.19401295362806
2007-11-29,23.82,28.0625,17.8107,14.5359,12.3734,0.4746,0.4934,325714680.0,40.3683,23.0444,2.0,1.0,22.5,100.7516,41.34224126984128,30.489873326484187,35.69892380952381,16.573557624091947,71.83211459632545,19.125366185431865
