date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2015-02-27,39.97,54.375,36.0395,6.8751,8.5027,0.8353,1.1564,1089342380.0,9.268,14.9723,1.0,3.0,16.3333,14.8507
2015-03-02,39.76,54.375,36.758,6.839,8.5034,0.8309,1.1566,1083619040.0,9.268,14.9723,1.0,3.0,16.3333,14.8507
2015-03-03,39.66,54.375,37.1029,6.8218,8.5027,0.8288,1.1564,1080893640.0,9.268,14.9723,1.0,3.0,16.3333,14.8507
2015-03-04,39.16,54.8571,40.0845,6.7358,8.5024,0.8184,1.1562,1067266640.0,9.2679,14.9733,1.0,1.0,15.0,14.8507
2015-03-05,39.81,53.625,34.7023,6.8356,8.5024,0.832,1.1562,1084981740.0,9.2679,14.9147,2.0,1.0,15.0,14.8507
2015-03-06,40.04,53.625,33.9286,6.8751,8.5024,0.8368,1.1562,1091250160.0,9.2679,14.9147,2.0,1.0,15.0,14.8507
2015-03-09,41.3,53.625,29.8426,7.0915,8.5034,0.8631,1.1566,1125590200.0,9.2679,14.9147,2.0,1.0,15.0,14.8507
2015-03-10,40.1,53.1111,32.4466,6.8675,8.5027,0.8394,1.1564,1092885400.0,9.2667,14.9113,2.0,2.0,16.5,14.8507
2015-03-11,40.5,53.1111,31.1385,6.936,8.5024,0.8478,1.1562,1103787000.0,9.2667,14.9113,2.0,2.0,16.5,14.8507
2015-03-12,41.82,53.1111,26.9993,7.1621,8.5024,0.8754,1.1562,1139762280.0,9.2667,14.9113,2.0,2.0,16.5,14.8507
2015-03-13,42.26,53.1111,25.677,7.2374,8.5024,0.8846,1.1562,1151754040.0,9.2667,14.9113,2.0,2.0,16.5,14.8507
2015-03-16,41.91,53.1111,26.7266,7.1775,8.5034,0.8773,1.1566,1142215140.0,9.2667,14.9113,2.0,2.0,16.5,14.8507
2015-03-17,41.87,53.1111,26.8476,7.1706,8.5027,0.8764,1.1564,1141124980.0,9.2667,14.9113,2.0,2.0,16.5,14.8507
2015-03-18,41.82,53.1111,26.9993,7.1621,8.5024,0.8754,1.1562,1139762280.0,9.2667,14.9113,2.0,2.0,16.5,14.8507
2015-03-19,42.49,53.1111,24.9967,7.2768,8.5024,0.8894,1.1562,1158022460.0,9.2667,14.9113,2.0,2.0,16.5,14.8507
2015-03-20,43.66,53.1111,21.647,7.4772,8.5024,0.9139,1.1562,1189909640.0,9.2667,14.9113,2.0,2.0,16.5,14.8507
2015-03-23,43.21,53.1111,22.9139,7.4001,8.5034,0.9045,1.1566,1177645340.0,9.2667,14.9113,2.0,2.0,16.5,14.8507
2015-03-24,43.0,53.1111,23.5142,7.3641,8.5027,0.9001,1.1564,1171922000.0,9.2667,14.9113,2.0,2.0,16.5,14.8507
2015-03-25,41.95,53.1111,26.6057,7.1843,8.5024,0.8781,1.1562,1143305300.0,9.2667,14.9113,2.0,2.0,16.5,14.8507
2015-03-26,41.83,53.1111,26.9689,7.1638,8.5024,0.8756,1.1562,1140034820.0,9.2667,14.9113,2.0,2.0,16.5,14.8507
2015-03-27,42.1,53.1111,26.1546,7.21,8.5024,0.8813,1.1562,1147393400.0,9.2667,14.9113,2.0,2.0,16.5,14.8507
2015-03-30,41.91,53.1111,26.7266,7.1775,8.5034,0.8773,1.1566,1142215140.0,9.2667,14.9113,2.0,2.0,16.5,14.8507
