date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2002-09-24,19.46,23.875,22.6876,13.8044,12.2908,0.523,0.6287,3008516000.0,-0.9762,41.5179,1.0,2.0,5.5,13.2926
2002-09-25,20.05,23.875,19.0773,14.2229,12.2928,0.5412,0.6286,3099730000.0,-0.998,41.9173,1.0,2.0,5.5,13.2926
2002-09-26,20.49,23.875,16.5203,14.535,12.2928,0.5531,0.6286,3167754000.0,-0.998,41.9173,1.0,2.0,5.5,13.2926
2002-09-27,19.6,23.875,21.8112,13.9037,12.2928,0.5291,0.6286,3030160000.0,-0.998,41.9173,1.0,2.0,5.5,13.2926
2002-09-30,19.09,23.875,25.0655,13.5419,12.2876,0.5153,0.6287,2951314000.0,-0.998,41.9173,1.0,2.0,5.5,13.2926
2002-10-01,20.27,23.875,17.7849,14.3789,12.2908,0.5472,0.6286,3133742000.0,-0.998,41.9173,1.0,2.0,5.5,13.2926
2002-10-02,18.61,23.875,28.2912,13.2014,12.2928,0.5024,0.6286,2877106000.0,-0.998,41.9173,1.0,2.0,5.5,13.2926
2002-10-03,18.24,23.875,30.8936,12.9389,12.2928,0.4924,0.6286,2819904000.0,-0.998,41.9173,1.0,2.0,5.5,13.2926
2002-10-04,17.82,23.875,33.9787,12.641,12.2928,0.481,0.6286,2754972000.0,-0.998,41.9173,1.0,2.0,5.5,13.2926
2002-10-07,17.85,23.875,33.7535,12.6623,12.2876,0.4818,0.6287,2759610000.0,-0.998,41.9173,1.0,2.0,5.5,13.2926
2002-10-08,18.31,23.875,30.3932,12.9886,12.2908,0.4943,0.6286,2830726000.0,-0.998,41.9173,1.0,2.0,5.5,13.2926
2002-10-09,17.68,23.875,35.0396,12.5417,12.2928,0.4773,0.6286,2733328000.0,-0.998,41.9173,1.0,2.0,5.5,13.2926
2002-10-10,18.67,23.875,27.879,13.244,12.2928,0.504,0.6286,2886382000.0,-0.998,41.9173,1.0,2.0,5.5,13.2926
2002-10-11,19.17,23.875,24.5436,13.5986,12.2928,0.5175,0.6286,2963682000.0,-0.998,41.9173,1.0,2.0,5.5,13.2926
2002-10-14,19.17,23.875,24.5436,13.5986,12.2876,0.5175,0.6287,2963682000.0,-0.998,41.9173,1.0,2.0,5.5,13.2926
2002-10-15,19.98,23.875,19.4945,14.1732,12.2908,0.537,0.6286,3088908000.0,-0.9762,41.9173,1.0,2.0,5.5,13.2926
2002-10-16,19.33,23.875,23.5127,13.7121,12.2908,0.5195,0.6286,2988418000.0,-0.9762,41.9173,1.0,2.0,5.5,13.2926
2002-10-17,19.96,23.875,19.6142,14.159,12.2908,0.5365,0.6286,3085816000.0,-0.9762,41.9173,1.0,2.0,5.5,13.2926
2002-10-18,19.32,23.875,23.5766,13.705,12.2908,0.5193,0.6286,2986872000.0,-0.9762,41.9173,1.0,2.0,5.5,13.2926
2002-10-21,19.27,23.875,23.8972,13.6696,12.2876,0.5179,0.6286,2979142000.0,-0.9762,41.9173,1.0,2.0,5.5,13.2926
2002-10-22,18.67,23.875,27.879,13.244,12.2908,0.5018,0.6286,2886382000.0,-0.9762,41.9173,1.0,2.0,5.5,13.2926
2002-10-23,18.66,23.875,27.9475,13.2369,12.2928,0.5015,0.6285,2884836000.0,-0.9762,41.9173,1.0,2.0,5.5,13.2926
2002-10-24,17.98,23.875,32.7864,12.5183,12.2928,0.4826,0.6285,2776112000.0,-0.9762,42.0648,1.0,2.0,5.5,13.2926
2002-10-25,18.29,23.1667,26.6632,13.2344,12.2928,0.4945,0.6285,2823976000.0,-1.0032,42.2733,1.0,2.0,5.5,13.5405
2002-10-28,18.17,23.1667,27.4997,13.1476,12.2876,0.4913,0.6284,2805448000.0,-1.0032,42.9673,1.0,2.0,5.5,13.5405
2002-10-29,17.94,23.1667,29.1343,12.9812,12.2908,0.4851,0.6283,2769936000.0,-1.0032,42.9673,1.0,2.0,5.5,13.5405
2002-10-30,18.17,23.1667,27.4997,13.1476,12.2928,0.4913,0.628,2805448000.0,-1.0032,42.9673,1.0,2.0,5.5,13.5405
2002-10-31,18.17,23.1667,27.4997,13.7965,12.2928,0.4913,0.6275,2805448000.0,-1.0032,43.3458,1.0,2.0,5.5,13.0198
2002-11-01,18.44,23.1667,25.6329,14.0015,12.2928,0.4986,0.6272,2847136000.0,-1.0032,43.3458,1.0,2.0,5.5,13.0198
2002-11-04,18.34,23.1667,26.3179,13.9256,12.2876,0.4959,0.627,2831696000.0,-1.0032,43.3458,1.0,2.0,5.5,13.0198
2002-11-05,18.89,23.1667,22.64,14.3432,12.2908,0.5107,0.6269,2916616000.0,-1.0032,43.3458,1.0,2.0,5.5,13.0198
2002-11-06,19.65,23.1667,17.8967,14.9203,12.2928,0.5313,0.6268,3033960000.0,-1.0032,43.3458,1.0,2.0,5.5,13.0198
2002-11-07,18.99,23.1667,21.9942,14.4191,12.2928,0.5134,0.6266,2932056000.0,-1.0032,43.3458,1.0,2.0,5.5,13.0198
2002-11-08,18.86,23.1667,22.8351,14.3204,12.2928,0.5099,0.6262,2911984000.0,-1.0032,43.3458,1.0,2.0,5.5,13.0198
2002-11-11,18.43,23.1667,25.701,13.9939,12.2876,0.4983,0.6255,2845592000.0,-1.0032,43.3458,1.0,2.0,5.5,13.0198
2002-11-12,18.71,23.1667,23.8199,14.2065,12.2908,0.5059,0.6253,2888824000.0,-1.0032,43.3458,1.0,2.0,5.5,13.0198
2002-11-13,18.75,23.1667,23.5557,14.2369,12.2928,0.507,0.625,2895000000.0,-1.0032,43.3458,1.0,2.0,5.5,13.0198
2002-11-14,19.05,23.1667,21.61,14.4647,12.2928,0.5151,0.6245,2941320000.0,-1.0032,43.3458,1.0,2.0,5.5,13.0198
2002-11-15,19.23,23.1667,20.4717,14.6014,12.2928,0.5199,0.6238,2969112000.0,-1.0032,43.3458,1.0,2.0,5.5,13.0198
2002-11-18,19.21,23.1667,20.5971,14.4122,12.2908,0.5194,0.623,2966024000.0,-1.0032,43.2553,1.0,2.0,5.5,13.0198
2002-11-19,19.48,23.1667,18.9256,14.6147,12.2928,0.5267,0.6228,3007712000.0,-1.0032,43.2553,1.0,2.0,5.5,13.0198
2002-11-20,17.98,23.1667,28.8471,13.4894,12.2948,0.4861,0.6227,2776112000.0,-1.0032,43.2553,1.0,2.0,5.5,13.0198
2002-11-21,18.52,23.1667,25.0902,13.8945,12.2948,0.5007,0.6225,2859488000.0,-1.0032,43.2553,1.0,2.0,5.5,13.0198
2002-11-22,18.49,23.1667,25.2931,13.872,12.2948,0.4999,0.6217,2854856000.0,-1.0032,43.2553,1.0,2.0,5.5,13.0198
2002-11-25,18.37,23.1667,26.1116,13.782,12.2908,0.4967,0.6211,2836328000.0,-1.0032,43.2553,1.0,2.0,5.5,13.0198
2002-11-26,18.3,23.1667,26.594,13.7295,12.2928,0.4948,0.621,2825520000.0,-1.0032,43.2553,1.0,2.0,5.5,13.0198
2002-11-27,19.34,23.1667,19.7865,14.5097,12.2948,0.5229,0.6209,2986096000.0,-1.0032,43.2553,1.0,2.0,5.5,13.0198
2002-11-29,19.57,23.1667,18.3786,14.6823,12.2928,0.5291,0.6204,3021608000.0,-1.0032,43.2553,1.0,2.0,5.5,13.0198
2002-12-02,19.76,23.1667,17.2404,14.8248,12.2876,0.5343,0.6198,3050944000.0,-1.0032,43.2553,1.0,2.0,5.5,13.0198
2002-12-03,19.8,23.1667,17.0035,14.8548,12.2908,0.5353,0.6198,3057120000.0,-1.0032,43.2553,1.0,2.0,5.5,13.0198
2002-12-04,18.34,23.1667,26.3179,13.7595,12.2928,0.4959,0.6198,2831696000.0,-1.0032,43.2553,1.0,2.0,5.5,13.0198
2002-12-05,18.49,23.1667,25.2931,13.872,12.2928,0.4999,0.6194,2854856000.0,-1.0032,43.2553,1.0,2.0,5.5,13.0198
2002-12-06,18.89,23.1667,22.64,14.1721,12.2928,0.5107,0.619,2916616000.0,-1.0032,43.2553,1.0,2.0,5.5,13.0198
2002-12-09,18.32,23.1667,26.4558,14.0426,12.2876,0.4953,0.6182,2828608000.0,-1.0032,43.136,1.0,2.0,5.5,13.0198
2002-12-10,18.49,23.1667,25.2931,14.1729,12.2908,0.4999,0.6177,2854856000.0,-1.0032,43.136,1.0,2.0,5.5,13.0198
2002-12-11,18.43,23.1667,25.701,14.1269,12.2928,0.4983,0.6176,2845592000.0,-1.0032,43.136,1.0,2.0,5.5,13.0198
2002-12-12,18.38,23.1667,26.043,14.0886,12.2948,0.497,0.6174,2837872000.0,-1.0032,43.136,1.0,2.0,5.5,13.0198
2002-12-13,18.14,23.1667,27.7106,13.9046,12.2948,0.4905,0.6174,2800816000.0,-1.0032,43.136,1.0,2.0,5.5,13.0198
2002-12-16,18.89,23.1667,22.64,14.4795,12.2908,0.5107,0.6169,2916616000.0,-1.0032,43.136,1.0,2.0,5.5,13.0198
2002-12-17,18.51,23.1667,25.1578,14.1883,12.2928,0.5005,0.6168,2857944000.0,-1.0032,43.136,1.0,2.0,5.5,13.0198
2002-12-18,18.26,23.1667,26.8713,13.9966,12.2948,0.4937,0.6167,2819344000.0,-1.0032,43.1214,1.0,2.0,5.5,13.0198
2002-12-19,18.25,23.1667,26.9408,13.989,12.2948,0.4934,0.6157,2817800000.0,-1.0032,43.1214,1.0,2.0,5.5,13.0198
2002-12-20,18.6,23.1667,24.5522,14.2572,12.2948,0.5029,0.6157,2871840000.0,-1.0032,43.1214,1.0,2.0,5.5,13.0198
2002-12-23,18.51,23.1667,25.1578,14.1883,12.2998,0.5005,0.6155,2857944000.0,-1.0032,43.1214,1.0,2.0,5.5,13.0198
2002-12-24,18.36,23.1667,26.1803,14.0733,12.3049,0.4964,0.6155,2834784000.0,-1.0032,43.1214,1.0,2.0,5.5,13.0198
2002-12-26,18.43,23.1667,25.701,14.1269,12.3097,0.4983,0.6154,2845592000.0,-1.0032,43.1214,1.0,2.0,5.5,13.0198
2002-12-27,18.15,23.1667,27.6402,13.9123,12.3228,0.4907,0.6152,2802360000.0,-1.0032,43.1214,1.0,2.0,5.5,13.0198
2002-12-30,18.3,23.1667,26.594,14.0273,12.3332,0.4948,0.6148,2825520000.0,-1.0032,43.1214,1.0,2.0,5.5,13.0198
2002-12-31,18.39,23.1667,25.9744,14.0963,12.3414,0.4972,0.6147,2839416000.0,-1.0032,43.1214,1.0,2.0,5.5,13.0198
2003-01-02,18.86,23.1667,22.8351,14.4565,12.351,0.5099,0.6142,2911984000.0,-1.0032,43.1214,1.0,2.0,5.5,13.0198
2003-01-03,18.79,23.1667,23.2927,14.6169,12.3619,0.508,0.614,2901176000.0,-0.9349,43.0386,1.0,2.0,5.5,13.0198
2003-01-06,19.18,23.1667,20.7857,14.9203,12.3821,0.5186,0.614,2961392000.0,-0.9349,43.0386,1.0,2.0,5.5,13.0198
2003-01-07,19.2,23.1667,20.6599,14.9358,12.384,0.5191,0.6139,2964480000.0,-0.9349,43.0386,1.0,2.0,5.5,13.0198
2003-01-08,19.09,23.1667,21.3552,15.0102,12.385,0.5161,0.6138,2947496000.0,-0.9349,45.9885,1.0,2.0,5.5,13.0198
2003-01-09,18.55,22.1667,19.497,14.7515,12.3883,0.5035,0.6137,2864120000.0,-0.9413,47.649,1.0,2.0,5.5,13.0198
2003-01-10,19.07,22.1667,16.2386,15.165,12.3965,0.5176,0.6137,2944408000.0,-0.9413,47.649,1.0,2.0,5.5,13.0198
2003-01-13,18.93,22.1667,17.0983,15.0537,12.4098,0.5138,0.6137,2922792000.0,-0.9413,47.649,1.0,2.0,5.5,13.0198
2003-01-14,19.0,21.625,13.8158,15.1455,12.4146,0.5209,0.6137,2933600000.0,-0.9527,49.4803,1.0,2.0,5.5,13.8742
2003-01-15,18.6,21.625,16.2634,14.8266,12.4202,0.51,0.6137,2871840000.0,-0.9527,49.4803,1.0,2.0,5.5,13.8742
2003-01-16,18.6,21.625,16.2634,14.8266,12.4259,0.51,0.6136,2871840000.0,-0.9527,49.4803,1.0,2.0,5.5,13.8742
2003-01-17,18.45,21.625,17.2087,14.7071,12.4388,0.5059,0.6135,2848680000.0,-0.9527,49.4803,1.0,2.0,5.5,13.8742
2003-01-21,18.06,21.625,19.7398,14.3962,12.4512,0.4952,0.6136,2788464000.0,-0.9527,49.4803,1.0,2.0,5.5,13.8742
2003-01-22,17.82,21.625,21.3524,14.2049,12.457,0.4886,0.6135,2751408000.0,-0.9527,49.4803,1.0,2.0,5.5,13.8742
2003-01-23,18.07,21.625,19.6735,14.4041,12.4682,0.4954,0.6135,2790008000.0,-0.9527,49.4803,1.0,2.0,5.5,13.8742
2003-01-24,17.64,21.625,22.5907,14.0614,12.4752,0.4837,0.6135,2723616000.0,-0.9527,49.4803,1.0,2.0,5.5,13.8742
2003-01-27,17.09,21.625,26.536,13.623,12.5091,0.4686,0.6137,2638696000.0,-0.9527,49.4803,1.0,2.0,5.5,13.8742
2003-01-28,17.41,21.625,24.2102,13.878,12.5139,0.4773,0.6136,2688104000.0,-0.9527,49.4803,1.0,2.0,5.5,13.8742
2003-01-29,17.31,21.625,24.9278,13.7983,12.5146,0.4746,0.6135,2672664000.0,-0.9527,49.4803,1.0,2.0,5.5,13.8742
2003-01-30,16.97,21.125,24.4844,14.3002,12.5168,0.4897,0.6135,2757625000.0,-0.9527,49.3212,1.0,2.0,5.0,13.8742
2003-01-31,17.11,20.5,19.813,14.4181,12.5181,0.4937,0.6135,2780375000.0,-0.5899,60.3325,1.0,2.0,4.6,11.0544
2003-02-03,16.95,20.5,20.944,14.105,12.5182,0.4294,0.6137,2754375000.0,7.6667,48.9414,1.0,2.0,4.6,3.6151
2003-02-04,16.98,20.5,20.7303,14.13,12.5183,0.4301,0.6136,2759250000.0,7.6667,48.4591,1.0,2.0,4.6,3.6151
2003-02-05,16.86,20.5,21.5896,14.0301,12.53,0.4271,0.6135,2739750000.0,7.6667,48.4591,1.0,2.0,4.6,3.6151
2003-02-06,16.61,20.5,23.4196,13.8221,12.5452,0.4208,0.6135,2699125000.0,7.6667,48.4591,1.0,2.0,4.6,3.6151
2003-02-07,16.43,20.5,24.7718,13.6723,12.549,0.4162,0.6135,2669875000.0,7.6667,48.4591,1.0,2.0,4.6,3.6151
2003-02-10,16.6,20.5,23.494,13.8138,12.5698,0.4205,0.6131,2697500000.0,7.6667,48.4591,1.0,2.0,4.6,3.6151
2003-02-11,16.26,20.5,26.0763,13.5308,12.5871,0.4119,0.6131,2642250000.0,7.6667,48.4591,1.0,2.0,4.6,3.6151
2003-02-12,15.91,20.5,28.8498,13.2396,12.5894,0.403,0.6131,2585375000.0,7.6667,48.4591,1.0,2.0,4.6,3.6151
2003-02-13,16.1,20.5,27.3292,13.3977,12.5963,0.4078,0.613,2616250000.0,7.6667,48.4591,1.0,2.0,4.6,3.6151
2003-02-14,16.13,20.5,27.0924,13.4227,12.6112,0.4086,0.6126,2621125000.0,7.6667,48.4591,1.0,2.0,4.6,3.6151
2003-02-18,16.53,20.5,24.0169,11.696,12.6216,0.4187,0.6118,2686125000.0,7.6667,48.4591,1.0,2.0,4.6,3.6151
2003-02-19,16.24,20.5,26.2315,11.4908,12.6112,0.4114,0.6118,2639000000.0,7.6667,48.4591,1.0,2.0,4.6,3.6151
2003-02-20,16.02,20.5,27.965,11.3352,12.6112,0.4058,0.6114,2603250000.0,7.6667,48.4591,1.0,2.0,4.6,3.6151
2003-02-21,16.24,20.5,26.2315,11.4908,12.6112,0.4114,0.6107,2639000000.0,7.6667,47.9556,1.0,2.0,4.6,3.6151
2003-02-24,15.98,20.5,28.2854,10.7566,12.6313,0.4048,0.6101,2596750000.0,7.6667,47.2043,1.0,2.0,4.6,3.6151
2003-02-25,15.96,20.5,28.4461,10.7431,12.6216,0.4043,0.61,2593500000.0,7.6667,47.2043,1.0,2.0,4.6,3.6151
2003-02-26,16.05,20.5,27.7259,10.8037,12.6112,0.4066,0.61,2608125000.0,7.6667,47.0656,1.0,2.0,4.6,3.6151
2003-02-27,16.17,20.5,26.778,10.8845,12.6112,0.4096,0.6098,2627625000.0,7.6667,47.0656,1.0,2.0,4.6,3.6151
2003-02-28,16.1,20.5,27.3292,10.8374,12.6112,0.4078,0.6096,2616250000.0,7.6667,46.6483,1.0,2.0,4.6,3.6151
2003-03-03,15.93,20.5,28.688,10.7229,12.6313,0.4035,0.6093,2588625000.0,7.6667,46.6483,1.0,2.0,4.6,3.6151
2003-03-04,15.5,20.5,32.2581,10.4335,12.6216,0.3926,0.6091,2518750000.0,7.6667,46.6483,1.0,2.0,4.6,3.6151
2003-03-05,15.62,20.5,31.242,10.5143,12.6112,0.3957,0.609,2538250000.0,7.6667,46.6483,1.0,2.0,4.6,3.6151
2003-03-06,15.37,20.5,33.3767,10.346,12.6112,0.3894,0.6088,2497625000.0,7.6667,46.6483,1.0,2.0,4.6,3.6151
2003-03-07,15.39,19.75,28.3301,10.5919,12.6112,0.385,0.6086,2500875000.0,6.9474,21.1111,1.0,2.0,4.6,-6.1152
2003-03-10,15.07,19.75,31.0551,10.3716,12.6313,0.377,0.6083,2448875000.0,6.9474,21.1111,1.0,2.0,4.6,-6.1152
2003-03-11,14.84,19.75,33.0863,10.2134,12.6216,0.3712,0.6083,2411500000.0,6.9474,21.1111,1.0,2.0,4.6,-6.1152
2003-03-12,13.95,19.0,36.2007,9.6008,12.6112,0.349,0.6083,2266875000.0,6.9474,21.0895,1.0,2.0,4.6,-6.1152
2003-03-13,14.14,19.0,34.3706,9.7316,12.6112,0.3537,0.6082,2297750000.0,6.9474,21.0895,1.0,2.0,4.6,-6.1152
2003-03-14,14.27,19.0,33.1465,9.8211,12.6112,0.357,0.6082,2318875000.0,6.9474,21.0895,1.0,2.0,4.6,-6.1152
2003-03-17,14.91,19.0,27.4313,10.2615,12.6216,0.373,0.6077,2422875000.0,6.9474,21.0895,1.0,2.0,4.6,-6.1152
2003-03-18,15.21,19.0,24.9178,10.468,12.6112,0.3805,0.6074,2471625000.0,6.9474,21.0895,1.0,2.0,4.6,-6.1152
2003-03-19,15.46,19.0,22.8978,10.6401,12.6009,0.3868,0.607,2512250000.0,6.9474,21.0895,1.0,2.0,4.6,-6.1152
2003-03-20,15.4,19.0,23.3766,10.5988,12.6009,0.3853,0.607,2502500000.0,6.9474,21.0895,1.0,2.0,4.6,-6.1152
2003-03-21,16.21,19.0,17.2116,11.1562,12.6009,0.4055,0.607,2634125000.0,6.9474,21.0895,1.0,2.0,4.6,-6.1152
2003-03-24,15.48,19.0,22.739,10.6538,12.6009,0.3873,0.6065,2515500000.0,6.9474,21.0895,1.0,2.0,4.6,-6.1152
2003-03-25,15.53,19.0,22.3439,10.6882,12.5963,0.3885,0.6063,2523625000.0,6.9474,21.0895,1.0,2.0,4.6,-6.1152
2003-03-26,15.24,18.25,19.7507,10.4886,12.5917,0.3813,0.6062,2476500000.0,6.9474,21.4444,1.0,2.0,4.6,-6.1152
2003-03-27,14.92,18.25,22.319,10.2684,12.5871,0.3732,0.6059,2424500000.0,6.9474,21.4444,1.0,2.0,4.6,-6.1152
2003-03-28,14.78,18.25,23.4777,10.1721,12.5526,0.3697,0.6059,2401750000.0,6.9474,21.4444,1.0,2.0,4.6,-6.1152
2003-03-31,14.5,18.25,25.8621,10.3034,12.5488,0.3627,0.6057,2356250000.0,6.9474,20.1355,1.0,2.0,4.6,-6.1152
2003-04-01,14.52,18.25,25.6887,10.3176,12.5452,0.3632,0.6054,2359500000.0,6.9474,20.1355,1.0,2.0,4.6,-6.1152
2003-04-02,14.94,18.25,22.1553,10.6161,12.5417,0.3738,0.605,2427750000.0,6.9474,20.1355,1.0,2.0,4.6,-6.1152
2003-04-03,14.86,18.25,22.8129,10.5592,12.5183,0.3717,0.6041,2414750000.0,6.9474,20.1355,1.0,2.0,4.6,-6.1152
2003-04-04,14.95,18.25,22.0736,10.6232,12.5181,0.374,0.6041,2429375000.0,6.9474,20.6218,1.0,2.0,4.6,-6.1152
2003-04-07,14.9,18.25,22.4832,10.5877,12.5181,0.3727,0.6035,2421250000.0,6.9474,20.6218,1.0,2.0,4.6,-6.1152
2003-04-08,14.73,18.25,23.8968,9.8148,12.5168,0.3823,0.6031,2393625000.0,6.8465,22.9993,1.0,2.0,4.6,-5.1678
2003-04-09,14.5,18.25,25.8621,9.6615,12.5154,0.3764,0.6027,2356250000.0,6.8465,22.9993,1.0,2.0,4.6,-5.1678
2003-04-10,14.48,18.25,26.0359,9.6482,12.5139,0.3759,0.6025,2353000000.0,6.8465,22.9993,1.0,2.0,4.6,-5.1678
2003-04-11,14.41,18.25,26.6482,9.6015,12.5043,0.374,0.6022,2341625000.0,6.8465,22.9993,1.0,2.0,4.6,-5.1678
2003-04-14,14.75,18.25,23.7288,9.8281,12.4735,0.3829,0.6014,2396875000.0,6.8465,22.9993,1.0,2.0,4.6,-5.1678
2003-04-15,15.0,18.25,21.6667,9.9947,12.4682,0.3894,0.6013,2437500000.0,6.8465,22.9993,1.0,2.0,4.6,-5.1678
2003-04-16,14.65,18.25,24.5734,9.7615,12.4629,0.3803,0.6011,2380625000.0,6.8465,22.9993,1.0,2.0,4.6,-5.1678
2003-04-17,14.65,18.25,24.5734,9.7615,12.4512,0.3803,0.6008,2380625000.0,6.8465,10.2083,1.0,2.0,4.6,-5.1678
