date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2010-02-18,4.62,9.9595,115.5736,5.3195,4.8039,0.307,0.2828,193725840.0,4.7757,6.1298,1.0,3.0,16.6667,4.9017,148.85745793650796,53.99173824969434,128.93417777777776,11.14736241464529,202.8491961862023,117.78681536313248
2010-02-19,4.68,10.053,114.8077,5.2626,4.8041,0.3051,0.2828,196241760.0,6.1893,6.346,1.0,3.0,16.6667,6.7411,148.51374841269842,53.65429507105834,128.82127777777777,11.218164784516516,202.1680434837568,117.60311299326123
2010-02-22,4.46,10.053,125.4036,5.0152,4.8053,0.2908,0.2828,187016720.0,6.1893,6.346,1.0,3.0,16.6667,6.7411,148.20363253968253,53.33368712850553,128.7970857142857,11.222253929362791,201.53731966818805,117.57483178492292
2010-02-23,4.49,10.053,123.8976,5.0489,4.8065,0.2927,0.2828,188274680.0,6.1893,6.346,1.0,3.0,16.6667,6.7411,147.8715156746032,52.9607978819069,128.797023015873,11.222281499180562,200.8323135565101,117.57474151669244
2010-02-24,4.48,10.053,124.3973,5.0377,4.8081,0.2921,0.2828,187855360.0,6.1893,6.346,1.0,3.0,16.6667,6.7411,147.56248174603175,52.64085142426428,128.8009261904762,11.220651995842884,200.203333170296,117.5802741946333
2010-02-25,4.48,10.053,124.3973,5.0377,4.8097,0.2921,0.2828,187855360.0,6.1893,6.346,1.0,3.0,16.6667,6.7411,147.24098055555558,52.28462509886094,128.78696984126984,11.225061101053637,199.52560565441647,117.5619087402162
2010-02-26,4.41,10.053,127.9592,4.959,4.8115,0.2875,0.2829,184920120.0,6.1893,6.346,1.0,3.0,16.6667,6.7411,146.92015714285714,51.90372727773192,128.78306031746033,11.225264550487752,198.82388442058905,117.55779576697256
2010-03-01,4.65,10.053,116.1935,5.2288,4.8133,0.3032,0.2829,194983800.0,6.1893,6.346,1.0,3.0,16.6667,6.7411,146.5527623015873,51.46182591694935,128.64819523809524,11.27391165983136,198.01458821853663,117.37428357826388
2010-03-02,4.65,10.053,116.1935,5.2288,4.8141,0.3032,0.2829,194983800.0,6.1893,6.346,1.0,3.0,16.6667,6.7411,146.17145734126987,50.97007116314943,128.4333,11.25100184859395,197.14152850441928,117.18229815140606
2010-03-03,4.67,10.053,115.2677,5.2513,4.8149,0.3045,0.2829,195822440.0,6.1893,6.346,1.0,3.0,16.6667,6.7411,145.73555436507937,50.287148164255335,128.1952746031746,11.20936175358858,196.0227025293347,116.985912849586
2010-03-04,4.74,10.053,112.0886,5.33,4.815,0.309,0.2829,198757680.0,6.1893,6.346,1.0,3.0,16.6667,6.7411,145.28113115079367,49.54743108574542,127.9159761904762,11.168378753141086,194.82856223653909,116.74759743733512
2010-03-05,4.93,10.053,103.9148,5.5437,4.8152,0.3214,0.283,206724760.0,6.1893,6.346,1.0,3.0,16.6667,6.7411,144.80634206349205,48.78771158704049,127.49330476190477,11.059566750917597,193.5940536505325,116.43373801098716
2010-03-08,4.72,10.053,112.9873,5.3075,4.8152,0.3077,0.283,197919040.0,6.1893,6.346,1.0,3.0,16.6667,6.7411,144.29652579365077,47.76224669450838,127.18265714285717,10.91076696344366,192.05877248815915,116.27189017941348
2010-03-09,4.74,10.053,112.0886,5.33,4.8152,0.309,0.283,198757680.0,6.1893,6.346,1.0,3.0,16.6667,6.7411,143.9070761904762,47.21888060536627,126.93518333333331,10.896570513906893,191.12595679584248,116.03861281942643
2010-03-10,4.65,10.053,116.1935,5.2288,4.817,0.3032,0.283,194983800.0,6.1893,6.346,1.0,3.0,16.6667,6.7411,143.5531218253968,46.75346323982176,126.76115,10.891587758826772,190.30658506521857,115.86956224117324
2010-03-11,4.62,10.053,117.5974,5.1951,4.8188,0.3012,0.2832,193725840.0,6.1893,6.346,1.0,3.0,16.6667,6.7411,143.2899204365079,46.52443703585386,126.62778809523807,10.900165699461748,189.81435747236176,115.72762239577634
2010-03-12,4.71,10.053,113.4395,5.2963,4.8204,0.3071,0.2833,197499720.0,6.1893,6.346,1.0,3.0,16.6667,6.7411,143.04835912698414,46.36212947291706,126.47106587301586,10.946970715874386,189.4104885999012,115.52409515714147
2010-03-15,4.62,10.053,117.5974,5.1951,4.8219,0.3012,0.2834,193725840.0,6.1893,6.346,1.0,3.0,16.6667,6.7411,142.83132519841269,46.22425535298865,126.35688253968254,10.96402196455106,189.0555805514013,115.39286057513148
2010-03-16,4.67,10.053,115.2677,5.2513,4.8241,0.3045,0.2835,195822440.0,6.1893,6.346,1.0,3.0,16.6667,6.7411,142.5909990079365,46.05140101449145,126.28389761904762,11.007247516491107,188.64240002242792,115.27665010255652
2010-03-17,4.58,10.053,119.4978,5.1501,4.8263,0.2986,0.2835,192048560.0,6.1893,6.346,1.0,3.0,16.6667,6.7411,142.28133134920634,45.67865615716787,126.24003095238096,11.023306608818412,187.9599875063742,115.21672434356252
2010-03-18,4.69,10.053,114.3497,5.2738,4.8266,0.3058,0.2835,196661080.0,6.1893,6.346,1.0,3.0,16.6667,6.7411,141.9673869047619,45.3237260200664,126.18602222222222,11.065012945500229,187.2911129248283,115.121009276722
