date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2020-03-02,24.67,27.0,9.4447,30.8375,26.732,8.5673,5.9192,1914711451.83,24.5846,11.5859,2.0,1.0,10.9751,12.7135
2020-03-03,24.51,27.0,10.1591,30.6375,26.7472,8.4892,6.2904,1902293379.99,24.5959,11.5859,2.0,1.0,10.9751,12.7135
2020-03-04,24.97,27.0,8.1298,31.2125,26.7625,8.6486,6.2904,1937995336.53,24.5959,11.5859,2.0,1.0,10.9751,12.7135
2020-03-05,24.68,26.8333,8.7249,30.7731,26.7664,8.5736,6.2904,1915487581.32,24.4945,12.0144,2.0,1.0,10.9751,12.7135
2020-03-06,24.14,26.75,10.8119,30.0998,26.7702,8.3781,6.2998,1873576588.86,24.483,12.0144,2.0,1.0,9.479,12.1553
2020-03-09,21.29,26.75,25.6458,26.5461,26.7664,7.389,6.3092,1652379684.21,24.483,12.0144,2.0,1.0,9.479,12.1553
2020-03-10,22.52,26.5833,18.0431,28.0798,26.7702,7.8158,6.3116,1747843611.48,24.483,12.0144,2.0,1.0,9.479,12.1553
2020-03-11,21.62,26.5833,22.957,26.9576,26.7832,7.5035,6.3139,1677991957.38,24.483,12.0144,2.0,1.0,9.479,12.1553
2020-03-12,17.71,26.1667,47.751,22.0823,26.7702,6.1773,6.3116,1374525326.79,24.4669,12.0144,2.0,1.0,8.5783,12.2175
2020-03-13,17.92,25.8333,44.159,22.3441,26.7664,6.2505,6.3092,1390824046.08,24.4669,12.0144,2.0,1.0,8.5783,12.2175
2020-03-16,10.86,24.9167,129.4355,13.5411,26.7625,3.788,6.2998,842876626.14,24.4669,12.0144,2.0,1.0,8.5783,12.2175
2020-03-17,10.12,24.9167,146.2125,12.6185,26.7472,3.5299,6.2904,785443043.88,24.4669,12.0144,2.0,1.0,8.5783,12.2175
2020-03-18,7.68,24.9167,224.4362,9.5761,26.732,2.6788,6.2904,596067448.32,24.4669,12.0144,2.0,1.0,8.5783,12.2175
2020-03-19,10.58,25.1818,138.0132,13.192,26.7252,3.6903,6.2904,821145000.42,24.4669,12.0144,2.0,1.0,8.5783,12.2175
2020-03-20,12.69,24.3636,91.9905,15.3353,26.7184,4.4361,6.2704,984908322.81,23.7,12.0626,2.0,1.0,8.5783,12.2175
2020-03-23,12.93,23.3182,80.3418,15.6254,26.712,4.663,6.2505,1003535430.57,23.6018,12.0626,2.0,1.0,4.6399,12.5393
2020-03-24,13.99,23.3182,66.6776,16.9063,26.7055,5.0453,6.2139,1085805156.51,23.6018,12.0626,2.0,1.0,4.6399,12.5393
2020-03-25,13.82,23.3182,68.7279,16.7009,26.6992,4.984,6.1773,1072610955.18,23.6018,12.0626,2.0,1.0,4.6399,12.5393
2020-03-26,15.12,23.3182,54.2209,18.2719,26.6928,5.4603,5.8626,1173507788.88,23.6053,12.0626,2.0,1.0,4.6399,12.5393
2020-03-27,14.58,22.8636,56.8148,17.6193,26.6927,5.2653,5.5479,1131596796.42,23.6053,12.0626,2.0,1.0,4.6399,12.5393
2020-03-30,13.55,22.8636,68.7351,16.3746,26.6926,4.8934,5.5347,1051655458.95,23.6053,12.0626,2.0,1.0,4.6399,12.5393
2020-03-31,13.06,22.2273,70.1937,15.9268,26.6565,4.7164,5.5299,1013625113.94,23.6053,10.8198,2.0,1.0,4.6399,12.5393
2020-04-01,10.83,22.2273,105.2382,13.2073,26.6204,3.9111,5.5251,840548237.67,23.6053,10.8198,2.0,1.0,4.6399,12.5393
2020-04-02,10.53,22.2273,111.0855,12.8415,26.6108,3.8027,5.5216,817264352.97,23.6053,10.8198,2.0,1.0,4.6399,12.5393
2020-04-03,10.1,22.2273,120.0723,12.3171,26.6013,3.6475,5.5182,783890784.9,23.6053,10.8198,2.0,1.0,4.6399,12.5393
2020-04-06,10.58,20.7727,96.3393,12.9024,26.59,3.8208,5.5166,821145000.42,23.6053,10.8198,2.0,1.0,4.6399,12.5393
2020-04-07,11.09,20.7727,87.3102,13.5244,26.5788,4.005,5.5149,860727604.41,23.6053,10.8198,2.0,1.0,4.6399,12.5393
2020-04-08,11.76,20.7727,76.6386,14.3415,26.5788,4.2469,5.497,912728280.24,23.6053,10.8198,2.0,1.0,4.6399,12.5393
2020-04-09,12.88,20.7727,61.2787,15.7073,26.5788,4.6514,5.4791,999654783.12,23.6053,10.8198,2.0,1.0,4.6399,12.5393
2020-04-13,11.67,20.7727,78.0009,14.2317,26.577,4.2144,5.4697,905743114.83,23.6053,10.8198,2.0,1.0,4.6399,12.5393
2020-04-14,11.86,19.8636,67.484,14.4634,26.5752,4.3058,5.4603,920489575.14,23.5364,10.8198,2.0,1.0,4.6399,12.5393
2020-04-15,10.89,18.1364,66.5418,14.1429,26.5621,4.9354,5.4467,845205014.61,16.614,5.5463,2.0,1.0,4.6399,12.5393
2020-04-16,10.17,18.1364,78.3324,13.2078,26.549,4.6078,5.4331,789323691.33,16.6329,5.5463,2.0,1.0,4.6399,12.5393
2020-04-17,11.22,18.1364,61.6435,14.5714,26.5476,5.0836,5.4322,870817287.78,16.6329,5.5463,2.0,1.0,4.6399,12.5393
2020-04-20,10.89,18.1364,66.5418,14.1429,26.5461,4.934,5.4312,845205014.61,16.6329,5.5463,2.0,1.0,4.6399,12.5393
2020-04-21,10.14,18.1364,78.86,13.1688,26.5279,4.5942,5.4309,786995302.86,16.6329,5.5463,2.0,1.0,4.6399,12.5393
2020-04-22,10.01,18.1364,81.1828,13.0,26.5098,4.5353,5.4306,776905619.49,16.6329,5.5463,2.0,1.0,4.6399,12.5393
2020-04-23,10.3,18.1364,76.0816,13.3766,26.4992,4.6667,5.4293,799413374.7,16.6329,5.5463,2.0,1.0,4.6399,12.5393
