date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2009-05-29,7.98,10.4167,30.5351,28.5408,27.8206,5.3152,5.0831,419588400.0,28.724,28.7083,3.0,2.0,25.0,51.14
2009-06-01,7.62,10.4167,36.7021,27.2532,27.8206,5.0754,5.0823,400659600.0,28.724,28.7083,3.0,2.0,25.0,51.14
2009-06-02,6.84,10.4167,52.2909,24.4635,27.8101,4.5559,5.0806,359647200.0,28.724,28.7083,3.0,2.0,25.0,51.14
2009-06-03,6.37,10.4167,63.5275,22.7825,27.7996,4.2428,5.079,334934600.0,28.724,28.7083,3.0,2.0,25.0,51.14
2009-06-04,6.73,10.4167,54.7801,24.0701,27.7956,4.4826,5.0781,353863400.0,28.724,28.7083,3.0,2.0,25.0,51.14
2009-06-05,7.18,10.4167,45.0794,25.6795,27.7917,4.7824,5.0772,377524400.0,28.724,28.7083,3.0,2.0,25.0,51.14
2009-06-08,7.38,10.4167,41.1477,26.3948,27.7871,4.9156,5.0763,388040400.0,28.724,28.7083,3.0,2.0,25.0,51.14
2009-06-09,7.18,10.4167,45.0794,25.6795,27.7826,4.7824,5.0754,377524400.0,28.724,28.7083,3.0,2.0,25.0,51.14
2009-06-10,6.9,10.4167,50.9667,24.6781,27.7718,4.5959,5.0692,362802000.0,28.724,28.7083,3.0,2.0,25.0,51.14
2009-06-11,7.15,10.4167,45.6881,25.5722,27.761,4.7624,5.0631,375947000.0,28.724,28.7083,3.0,2.0,25.0,51.14
2009-06-12,7.16,10.4167,45.4846,25.608,27.7585,4.8494,5.0572,376472800.0,28.8142,28.7083,3.0,2.0,25.0,51.14
2009-06-15,7.07,10.4167,47.3366,25.2861,27.756,4.7885,5.0514,371740600.0,28.8142,28.7083,3.0,2.0,25.0,51.14
2009-06-16,6.65,9.9286,49.3023,23.8608,27.7522,4.5112,5.0281,349657000.0,28.8217,28.7042,3.0,2.0,25.0,51.14
2009-06-17,6.91,9.9286,43.6845,24.7937,27.7485,4.6875,5.0048,363327800.0,28.8217,28.7042,3.0,2.0,25.0,51.14
2009-06-18,6.76,9.9286,46.8728,24.2555,27.7386,4.5858,4.9949,355440800.0,28.8217,28.7042,3.0,2.0,25.0,51.14
2009-06-19,6.7,9.9286,48.1881,24.0402,27.7288,4.5451,4.985,352286000.0,28.8217,28.7042,3.0,2.0,25.0,51.14
2009-06-22,6.56,9.9286,51.3506,23.5379,27.7206,4.4501,4.9824,344924800.0,28.8217,28.7042,3.0,2.0,25.0,51.14
2009-06-23,6.53,9.9286,52.0459,23.4302,27.7124,4.4298,4.9799,343347400.0,28.8217,28.7042,3.0,2.0,25.0,51.14
2009-06-24,6.48,9.9286,53.2191,23.2508,27.7104,4.3958,4.959,340718400.0,28.8217,28.7042,3.0,2.0,25.0,51.14
2009-06-25,6.7,9.9286,48.1881,24.0402,27.7083,4.5451,4.9382,352286000.0,28.8217,28.7042,3.0,2.0,25.0,51.14
2009-06-26,7.36,9.9286,34.8995,26.4083,27.6944,4.9928,4.959,386988800.0,28.8217,28.7042,3.0,2.0,25.0,51.14
2009-06-29,7.09,9.9286,40.0367,25.4395,27.6804,4.8097,4.9382,372792200.0,28.8217,28.7042,3.0,2.0,25.0,51.14
2009-06-30,7.08,9.6375,36.1229,25.4037,27.6746,4.7533,4.9366,372266400.0,25.8608,28.7042,3.0,2.0,25.0,51.14
2009-07-01,7.13,9.6375,35.1683,25.5831,27.6688,4.7869,4.9351,374895400.0,25.8608,28.7042,3.0,2.0,25.0,51.14
