date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2002-01-31,20.59,22.375,8.6693,10.8084,11.4535,1.0774,0.7016,12835806000.0,3.7552,5.8338,1.0,1.0,10.0,8.3632,17.77156641791045,6.901511563428841,17.084834126984127,6.4232254789526175,24.67307798133929,10.66160864803151
2002-02-01,20.63,22.125,7.2467,10.8294,11.4481,1.0795,0.7016,12860742000.0,3.7552,5.8338,1.0,1.0,10.0,8.3632,17.693604444444443,6.935124153435339,16.920125396825394,6.407157236440347,24.628728597879785,10.512968160385046
2002-02-04,20.66,22.125,7.091,10.8451,11.4441,1.081,0.7004,12879444000.0,3.7552,5.83,1.0,1.0,10.0,8.3632,17.61564411764706,6.968949939316965,16.748185714285714,6.377630276291842,24.584594056964026,10.370555437993872
2002-02-05,20.69,22.5,8.7482,10.8512,11.4428,1.0826,0.701,12898146000.0,3.7552,5.832,1.0,1.0,10.0,8.3632,17.550918248175183,6.984490776737154,16.59539365079365,6.336387562070319,24.535409024912337,10.259006088723332
2002-02-06,20.66,22.5,8.9061,10.8355,11.4414,1.081,0.7016,12879444000.0,3.7552,5.832,1.0,1.0,10.0,8.3632,17.488274637681158,6.997754849397899,16.45722142857143,6.312501448657039,24.48602948707906,10.144719979914392
2002-02-07,20.95,22.5,7.3986,10.9876,11.4323,1.0962,0.7016,13060230000.0,3.7552,5.832,1.0,1.0,10.0,8.3632,17.41568705035971,7.0246788780474665,16.327755555555555,6.329792632136456,24.44036592840718,9.9979629234191
2002-02-08,20.86,22.5,7.8619,10.9404,11.4203,1.0915,0.7016,13004124000.0,3.7552,5.832,1.0,1.0,10.0,8.3632,17.347445714285715,7.045783740857449,16.204490476190475,6.342314188665574,24.393229455143164,9.8621762875249
2002-02-11,20.85,22.5,7.9137,10.9351,11.4165,1.091,0.7004,12997890000.0,3.7552,5.832,1.0,1.0,10.0,8.3632,17.280539716312056,7.065383878317075,16.045075396825396,6.295725382291538,24.34592359462913,9.749350014533858
2002-02-12,20.49,22.5,9.8097,10.7463,11.4156,1.0721,0.701,12773466000.0,3.7552,5.832,1.0,1.0,10.0,8.3632,17.227928169014085,7.068144149546994,15.907703174603174,6.240768515686985,24.29607231856108,9.66693465891619
2002-02-13,20.61,22.5,9.1703,10.8093,11.4123,1.0784,0.7016,12848274000.0,3.7552,5.832,1.0,1.0,10.0,8.3632,17.171581118881118,7.075370218989803,15.751168253968254,6.159264920708007,24.24695133787092,9.591903333260248
2002-02-14,20.55,22.5,9.4891,10.7778,11.4094,1.0753,0.7016,12810870000.0,3.7552,5.832,1.0,1.0,10.0,8.3632,17.118230555555556,7.079594088718499,15.617623015873017,6.11059602635505,24.197824644274057,9.507026989517968
2002-02-15,20.35,22.5,10.5651,10.6729,11.4076,1.0648,0.7016,12686190000.0,3.7552,5.832,1.0,1.0,10.0,8.3632,17.073036551724137,7.0759278248098765,15.486246031746033,6.03887654650633,24.14896437653401,9.447369485239705
2002-02-19,20.38,22.5,10.4024,10.6886,11.3954,1.0664,0.7004,12704892000.0,3.7552,5.832,1.0,1.0,10.0,8.3632,17.02734726027397,7.073063656135941,15.343866666666669,5.944085748843139,24.10041091640991,9.399780917823527
2002-02-20,20.3,22.5,10.8374,10.6467,11.3911,1.0622,0.701,12655020000.0,3.7552,5.832,1.0,1.0,10.0,8.3632,16.985238775510204,7.067263945657881,15.207655555555554,5.847606154830282,24.05250272116809,9.360049400725272
2002-02-21,20.14,22.5,11.718,10.5628,11.3911,1.0538,0.701,12555276000.0,3.7552,5.832,1.0,1.0,10.0,8.3632,16.949649324324323,7.056479831544394,15.07571746031746,5.735350235583944,24.00612915586872,9.340367224733516
2002-02-22,20.4,22.5,10.2941,10.6739,11.3849,1.0674,0.701,12717360000.0,3.7552,5.8396,1.0,1.0,10.0,8.3632,16.90498120805369,7.053704923112906,14.961580952380952,5.685666716404893,23.9586861311666,9.27591423597606
2002-02-25,20.25,22.5,11.1111,10.5954,11.3829,1.0596,0.7004,12623850000.0,3.7552,5.8396,1.0,1.0,10.0,8.3632,16.866355333333335,7.045894006746076,14.865611111111107,5.647364366105278,23.912249340079413,9.218246745005832
2002-02-26,20.36,22.5,10.5108,10.653,11.3829,1.0653,0.701,12692424000.0,3.7552,5.8396,1.0,1.0,10.0,8.3632,16.824265562913908,7.0413892145044485,14.76588015873016,5.612041639845813,23.86565477741836,9.153838518884346
2002-02-27,20.68,22.5,8.8008,10.8204,11.3782,1.0821,0.7016,12891912000.0,3.7552,5.8396,1.0,1.0,10.0,8.3632,16.77147960526316,7.048144175374545,14.646529365079363,5.5773415010819365,23.819623780637706,9.069187863997428
2002-02-28,20.64,22.5,9.0116,10.7995,11.3688,1.08,0.7016,12866976000.0,3.7552,5.8396,1.0,1.0,10.0,8.3632,16.720761437908497,7.052877794719914,14.527836507936508,5.536388938903825,23.77363923262841,8.991447569032683
2002-03-01,20.75,22.5,8.4337,10.8571,11.3642,1.0857,0.7016,12935550000.0,3.7552,5.8396,1.0,2.0,6.5,8.3632,16.66694935064935,7.061438313589776,14.404048412698414,5.496433704659557,23.72838766423913,8.907614708038857
2002-03-04,21.21,22.5,6.082,11.0977,11.3588,1.1098,0.7004,13222314000.0,3.7552,5.8396,1.0,2.0,6.5,8.3632,16.59865935483871,7.089637901416929,14.261087301587304,5.476577595425594,23.68829725625564,8.784509706161709
2002-03-05,21.32,22.4,5.0657,11.1553,11.3583,1.1156,0.701,13290888000.0,3.7552,5.8396,1.0,2.0,6.5,8.3632,16.524730128205128,7.126802308318977,14.185719047619047,5.537408478148818,23.651532436524107,8.64831056947023
2002-03-06,21.66,22.4,3.4164,11.3332,11.3583,1.1334,0.7016,13502844000.0,3.7552,5.8396,1.0,2.0,6.5,8.3632,16.441237579617834,7.180541323894439,14.10733253968254,5.619443990785283,23.621778903512272,8.487888548897256
2002-03-07,21.45,22.4,4.4289,11.2233,11.3544,1.1224,0.7016,13371930000.0,3.7552,5.8396,1.0,2.0,6.5,8.3632,16.365210126582276,7.2211517353971555,14.04327619047619,5.683548454287049,23.58636186197944,8.359727736189141
2002-03-08,21.61,22.4,3.6557,11.307,11.3504,1.1307,0.7016,13471674000.0,3.7552,5.8396,1.0,2.0,6.5,8.3632,16.28527610062893,7.268488346788482,13.95346507936508,5.757682488964716,23.55376444741741,8.195782590400363
2002-03-11,21.57,22.4,3.8479,11.2861,11.3443,1.1287,0.7004,13446738000.0,3.7552,5.8396,1.0,2.0,6.5,8.3632,16.2075425,7.312007584724114,13.850492857142855,5.821628019970763,23.51955008472412,8.028864837172094
2002-03-12,21.37,22.4,4.8198,11.1815,11.3391,1.1182,0.701,13322058000.0,3.7552,5.8396,1.0,2.0,6.5,8.3632,16.136811180124223,7.344165431364499,13.773173015873017,5.876538338871463,23.48097661148872,7.896634677001552
2002-03-13,21.18,22.4,5.7602,11.082,11.338,1.1082,0.7016,13203612000.0,3.7552,5.8396,1.0,2.0,6.5,8.3632,16.072758024691357,7.366573803595351,13.702853174603176,5.919175330853951,23.439331828286708,7.783677843749225
2002-03-14,20.98,22.4,6.7684,10.9774,11.3341,1.0978,0.7016,13078932000.0,3.7552,5.8396,1.0,2.0,6.5,8.3632,16.01567607361963,7.379874163986533,13.651974603174605,5.951178525877876,23.39555023760616,7.700796077296727
2002-03-15,20.96,22.4,6.8702,10.9669,11.3332,1.0967,0.7016,13066464000.0,3.7552,5.8396,1.0,2.0,6.5,8.3632,15.959910975609755,7.391780233284773,13.586742063492064,5.98027126645411,23.35169120889453,7.606470797037955
2002-03-18,20.76,22.4,7.8998,10.8623,11.327,1.0863,0.7004,12941784000.0,3.7552,5.8396,1.0,2.0,6.5,8.3632,15.911061818181818,7.395876119834336,13.515927777777778,5.994461131913557,23.306937938016155,7.521466645864221
2002-03-19,20.74,22.4,8.0039,10.8518,11.3249,1.0852,0.701,12929316000.0,3.7552,5.8396,1.0,2.0,6.5,8.3632,15.863428313253012,7.398926977608407,13.443042063492063,6.005283132140952,23.26235529086141,7.437758931351111
2002-03-20,20.8,22.4,7.6923,10.8832,11.3228,1.0884,0.7016,12966720000.0,3.7552,5.8396,1.0,2.0,6.5,8.3632,15.814499401197605,7.40365727061041,13.367683333333336,6.01748300203666,23.21815667180801,7.3502003312966755
2002-03-21,21.25,22.4,5.4118,11.1187,11.3212,1.1119,0.7016,13247250000.0,3.7552,5.8396,1.0,2.0,6.5,8.3632,15.752578571428572,7.42496170834009,13.230612698412695,6.000281273980212,23.177540279768664,7.230331424432485
2002-03-22,21.45,22.4,4.4289,11.2233,11.3171,1.1224,0.7016,13371930000.0,3.7552,5.8396,1.0,2.0,6.5,8.3632,15.685574556213016,7.453900536240759,13.082011111111113,5.984421017585219,23.13947509245377,7.097590093525892
2002-03-25,21.57,22.4,3.8479,11.2861,11.307,1.1287,0.7004,13446738000.0,3.7552,5.8396,1.0,2.0,6.5,8.3632,15.615941176470589,7.487066805404531,12.92503888888889,5.964992446157472,23.10300798187512,6.960046442731419
2002-03-26,21.52,22.4,4.0892,11.2599,11.3006,1.126,0.701,13415568000.0,3.7552,5.8396,1.0,2.0,6.5,8.3632,15.548533333333332,7.516875676573274,12.735956349206347,5.862799445295695,23.06540900990661,6.873156903910654
2002-03-27,21.5,22.4,4.186,11.2495,11.2941,1.125,0.7016,13403100000.0,3.7552,5.8396,1.0,2.0,6.5,8.3632,15.482472093023256,7.54477392807541,12.53002777777778,5.700283195851095,23.027246021098662,6.829744581926684
2002-03-28,21.71,22.4,3.1783,11.3594,11.2941,1.136,0.7016,13534014000.0,3.7552,5.8396,1.0,2.0,6.5,8.3632,15.41134971098266,7.580749594337583,12.287873015873016,5.436163287487435,22.99209930532024,6.851709728385581
2002-04-01,21.73,22.4,3.0833,11.3698,11.2902,1.137,0.7004,13546482000.0,3.7552,5.8396,1.0,2.0,6.5,8.3632,15.340498850574711,7.616366176327546,12.06171746031746,5.21545389402043,22.956865026902257,6.84626356629703
2002-04-02,21.97,22.4,1.9572,11.4954,11.2928,1.1496,0.7004,13696098000.0,3.7552,5.8396,1.0,2.0,6.5,8.3632,15.26402285714286,7.661537023050048,11.866562698412698,5.12843657345566,22.925559880192907,6.738126124957039
2002-04-03,21.98,22.4,1.9108,11.5006,11.2934,1.1501,0.701,13702332000.0,3.7552,5.8396,1.0,2.0,6.5,8.3632,15.188152272727272,7.705637070730977,11.680551587301588,5.060127082004724,22.89378934345825,6.620424505296865
