date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2016-02-03,45.05,57.6,27.8579,11.1731,15.2342,1.4936,1.9276,2048874000.0,3.9415,9.3008,3.0,1.0,23.0,-1.8726
2016-02-04,46.42,57.8,24.5153,11.4504,15.2305,1.5391,1.9276,2111181600.0,3.9384,9.3165,3.0,1.0,23.0,-1.8726
2016-02-05,46.03,57.8,25.5703,11.3542,15.2302,1.5261,1.9276,2093444400.0,3.9384,9.3165,3.0,1.0,23.0,-1.8726
2016-02-08,44.94,57.8,28.6159,11.0853,15.2238,1.49,1.9277,2043871200.0,3.9384,9.3165,3.0,1.0,23.0,-1.8726
2016-02-09,45.35,57.8,27.4531,11.1865,15.2206,1.5036,1.9276,2062518000.0,3.9384,9.3165,3.0,1.0,23.0,-1.8726
2016-02-10,45.67,57.8,26.5601,11.2654,15.22,1.5142,1.9276,2077071600.0,3.9384,9.3165,3.0,1.0,23.0,-1.8726
2016-02-11,44.82,57.8,28.9603,11.0557,15.2195,1.486,1.9276,2038413600.0,3.9384,9.3165,3.0,1.0,23.0,-1.8726
2016-02-12,45.65,57.8,26.6156,11.2605,15.2195,1.5135,1.9276,2076162000.0,3.9384,9.3165,3.0,1.0,23.0,-1.8726
2016-02-16,46.89,57.5,22.6274,11.6142,15.2176,1.5501,1.9277,2132557200.0,4.2147,9.246,3.0,1.0,23.0,-1.8726
2016-02-17,47.41,57.5,21.2824,11.743,15.2157,1.5673,1.9276,2156206800.0,4.2147,9.246,3.0,1.0,23.0,-1.8726
2016-02-18,46.71,57.5,23.1,11.5696,15.2157,1.5441,1.9276,2124370800.0,4.2147,9.246,3.0,1.0,23.0,-1.8726
2016-02-19,46.55,57.5,23.5231,11.53,15.2157,1.5389,1.9276,2117094000.0,4.2147,9.246,3.0,1.0,23.0,-1.8726
2016-02-22,46.42,57.5,23.869,11.4978,15.2176,1.5346,1.9277,2111181600.0,4.2147,9.246,3.0,1.0,23.0,-1.8726
2016-02-23,45.1,57.5,27.4945,11.1708,15.2157,1.4909,1.9276,2051148000.0,4.2147,9.246,3.0,1.0,23.0,-1.8726
2016-02-24,45.04,57.5,27.6643,11.156,15.2154,1.4889,1.9276,2048419200.0,4.2147,9.246,3.0,1.0,23.0,-1.8726
2016-02-25,46.36,57.5,24.0293,11.4829,15.2154,1.5326,1.9276,2108452800.0,4.2147,9.246,3.0,1.0,23.0,-1.8726
2016-02-26,46.8,57.5,22.8632,11.5919,15.2154,1.5471,1.9276,2128464000.0,4.2147,9.246,3.0,1.0,23.0,-1.8726
2016-02-29,46.67,57.5,23.2055,11.5597,15.2176,1.5428,1.9277,2122551600.0,4.2147,9.246,3.0,1.0,23.0,-1.8726
2016-03-01,48.96,57.5,17.4428,12.1269,15.2157,1.6185,1.9276,2226700800.0,4.2147,9.246,3.0,1.0,23.0,-1.8726
