date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2021-05-07,74.64,104.3333,39.782,21.1829,47.7083,6.7392,4.1343,2296672800.0,-3.5534,-35.3489,1.0,1.0,7.0,23.0173
2021-05-10,68.47,104.3333,52.3781,19.4318,47.5417,6.1821,4.1516,2106821900.0,-3.5534,-35.3489,1.0,1.0,7.0,23.0173
2021-05-11,70.02,104.3333,49.005,19.9954,47.5417,6.322,4.1553,2154515400.0,-3.0854,-35.0052,1.0,1.0,7.0,23.0173
2021-05-12,66.8,104.3333,56.1876,19.0721,47.4583,6.0313,4.159,2055436000.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-05-13,67.45,104.3333,54.6824,19.2577,47.364,6.09,4.1593,2075436500.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-05-14,70.34,104.3333,48.3271,20.0828,47.3223,6.3509,4.1646,2164361800.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-05-17,71.1,104.3333,46.7416,20.2998,47.2461,6.4196,4.2183,2187747000.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-05-18,72.52,104.3333,43.8683,20.7052,47.2083,6.5478,4.2202,2231440400.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-05-19,72.13,104.3333,44.6462,20.5939,47.1877,6.5126,4.2222,2219440100.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-05-20,73.64,104.3333,41.6802,21.025,47.1669,6.6489,4.2273,2265902800.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-05-21,71.9,104.3333,45.1089,20.5282,47.1554,6.4918,4.2418,2212363000.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-05-24,71.0,104.3333,46.9483,20.2712,47.0,6.4105,4.2488,2184670000.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-05-25,72.03,104.3333,44.847,20.5653,47.0,6.5035,4.2524,2216363100.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-05-26,75.32,104.3333,38.52,21.5046,46.9792,6.8006,4.2561,2317596400.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-05-27,76.89,104.3333,35.6916,21.9529,46.8958,6.9423,4.258,2365905300.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-05-28,74.07,104.3333,40.8577,21.1478,46.8125,6.6877,4.263,2279133900.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-06-01,69.24,104.3333,50.6836,19.7687,46.7037,6.2516,4.275,2130514800.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-06-02,74.92,104.3333,39.2596,21.3904,46.6852,6.7645,4.2825,2305288400.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-06-03,71.27,104.3333,46.3916,20.3483,46.6394,6.4349,4.2825,2192977900.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-06-04,73.75,104.3333,41.4689,21.0564,46.6121,6.6588,4.2984,2269287500.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-06-07,80.62,104.3333,29.4137,23.0178,46.4792,7.2791,4.3141,2480677400.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-06-08,83.92,104.3333,24.3247,23.96,46.4583,7.5771,4.3152,2582218400.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-06-09,84.0,104.3333,24.2063,23.9829,46.4466,7.5843,4.3163,2584680000.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-06-10,80.68,104.3333,29.3174,23.035,46.4212,7.2845,4.3289,2482523600.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-06-11,73.95,104.3333,41.0863,21.1135,46.3705,6.6769,4.3681,2275441500.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-06-14,74.59,104.3333,39.8757,21.2962,46.1042,6.7347,4.4086,2295134300.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-06-15,72.32,104.3333,44.2662,20.6481,46.0417,6.5297,4.414,2225286400.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-06-16,74.82,104.3333,39.4457,21.3619,46.0417,6.7554,4.4194,2302211400.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-06-17,75.69,104.3333,37.8429,21.6103,46.0417,6.834,4.4222,2328981300.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-06-18,77.42,104.3333,34.7627,22.1042,45.9583,6.9902,4.429,2382213400.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-06-21,78.77,104.3333,32.4531,22.4897,45.8333,7.1121,4.4384,2423752900.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-06-22,80.01,104.3333,30.4003,22.8437,45.8125,7.224,4.442,2461907700.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-06-23,82.56,104.3333,26.3727,23.5717,45.7917,7.4543,4.4466,2540371200.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-06-24,83.53,104.3333,24.9052,23.8487,45.7917,7.5419,4.4541,2570218100.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-06-25,82.14,104.3333,27.0189,23.4518,45.7647,7.4164,4.4574,2527447800.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-06-28,91.01,104.3333,14.6394,25.9843,44.5093,8.2172,4.4644,2800377700.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-06-29,95.68,104.3333,9.044,27.3176,44.49,8.6389,4.4679,2944073600.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-06-30,92.23,104.3333,13.123,26.3326,44.4706,8.3274,4.4722,2837917100.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-07-01,87.44,104.3333,19.3199,24.965,44.2917,7.8949,4.4816,2690528800.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-07-02,87.17,104.3333,19.6895,24.8879,44.25,7.8705,4.4984,2682220900.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-07-06,90.53,104.3333,15.2472,25.8473,44.2083,8.1739,4.5177,2785608100.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-07-07,86.05,104.3333,21.2473,24.5682,44.1252,7.7694,4.5215,2647758500.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-07-08,85.94,104.3333,21.4025,24.5368,44.0421,7.7594,4.5546,2644373800.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-07-09,87.77,104.3333,18.8713,25.0592,43.7502,7.9247,4.5632,2700682900.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
2021-07-12,87.58,104.3333,19.1291,25.005,43.4583,7.9075,4.5901,2694836600.0,-3.0854,-35.0047,1.0,1.0,7.0,23.0173
