date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2024-05-14,201.8,246.4264,22.1142,23.4564,26.8573,2.3324,2.3324,35920400000.0,13.1673,48.0793,18.0,4.0,36.3342,38.3971
2024-05-15,211.72,246.7256,16.5339,24.5302,26.8317,2.443,2.3877,37686160000.0,13.1731,48.075,18.0,3.0,39.719,38.3971
2024-05-16,207.57,246.7403,18.8709,24.0494,26.8291,2.3951,2.3951,36947460000.0,13.1731,48.075,18.0,3.0,39.719,38.3971
2024-05-17,206.5,246.7403,19.4868,23.9254,26.824,2.3828,2.389,36757000000.0,13.1731,48.075,18.0,3.0,39.719,38.3971
2024-05-20,209.8,246.7403,17.6074,24.3077,26.8072,2.4208,2.3951,37344400000.0,13.1731,48.075,18.0,3.0,39.719,38.3971
2024-05-21,209.69,246.7403,17.6691,24.295,26.7984,2.4196,2.4074,37324820000.0,13.1731,48.075,18.0,3.0,39.719,38.3971
2024-05-22,206.43,246.8453,19.5782,23.8993,26.783,2.3852,2.3951,36744540000.0,13.0977,48.1376,18.0,3.0,39.719,38.3667
2024-05-23,199.87,246.9531,23.5569,23.1398,26.7622,2.3094,2.3902,35576860000.0,13.0977,48.1376,18.0,3.0,39.719,38.3667
2024-05-24,204.11,246.978,21.0024,23.631,26.7396,2.3584,2.3852,36331580000.0,13.0978,48.1374,18.0,3.0,39.719,38.3667
2024-05-28,188.33,246.978,31.1411,21.804,26.7145,2.1761,2.384,33522740000.0,13.0978,48.1377,18.0,3.0,39.719,38.5405
2024-05-29,185.8,246.21,32.5135,21.6565,26.7072,2.1458,2.3828,33072400000.0,13.1328,47.674,18.0,3.0,39.719,38.5405
2024-05-30,187.9,246.5026,31.1882,21.9466,26.7052,2.1693,2.3706,33446200000.0,13.1487,47.6003,18.0,3.0,38.2857,38.4015
2024-05-31,192.09,246.2521,28.1962,22.436,26.6876,2.2164,2.3584,34192020000.0,13.2066,47.5126,18.0,3.0,38.2857,38.4015
2024-06-03,189.14,246.2521,30.1957,22.0914,26.6604,2.1823,2.3454,33666920000.0,13.2066,47.5126,18.0,3.0,38.2857,38.4015
2024-06-04,191.7,246.2521,28.457,22.3904,26.6545,2.2119,2.3324,34122600000.0,13.2066,47.5126,18.0,3.0,38.2857,38.4015
2024-06-05,186.51,246.2521,32.0316,21.7842,26.6379,2.152,2.3209,33198780000.0,13.2066,47.5126,18.0,3.0,38.2857,38.4015
