date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2011-06-28,24.48,26.2,7.0261,12.0949,9.8073,1.0603,0.8591,837999360.0,22.7208,17.6969,3.0,1.0,5.0,73.3132
2011-06-29,24.91,26.2,5.1786,12.3073,9.8098,1.0789,0.8591,852719120.0,22.7208,17.6969,3.0,1.0,5.0,73.3132
2011-06-30,24.28,26.2,7.9077,11.996,9.8123,1.0516,0.8591,831152960.0,22.7208,17.6969,3.0,1.0,5.0,73.3132
2011-07-01,24.21,26.2,8.2197,11.9615,9.8226,1.0486,0.8602,828756720.0,22.7208,17.6969,3.0,1.0,5.0,73.3132
2011-07-05,23.87,26.2,9.7612,11.7935,9.8329,1.0338,0.8612,817117840.0,22.7208,17.6969,3.0,1.0,5.0,73.3132
2011-07-06,23.85,26.2,9.8532,11.7836,9.8349,1.033,0.8616,816433200.0,22.7208,17.6969,3.0,1.0,5.0,73.3132
2011-07-07,23.89,26.2,9.6693,11.8034,9.837,1.0347,0.8621,817802480.0,22.7208,17.6969,3.0,1.0,5.0,73.3132
2011-07-08,23.84,26.2,9.8993,11.7787,9.8442,1.0325,0.8627,816090880.0,22.7208,17.6969,3.0,1.0,5.0,73.3132
2011-07-11,21.36,26.2,22.6592,10.5534,9.8514,0.9251,0.8633,731195520.0,22.7208,17.6969,3.0,1.0,5.0,73.3132
2011-07-12,20.32,26.2,28.937,10.0395,9.8664,0.8801,0.8642,695594240.0,22.7208,17.6969,3.0,1.0,5.0,73.3132
2011-07-13,19.8,26.2,32.3232,9.7826,9.8514,0.8576,0.8633,677793600.0,22.7208,17.6969,3.0,1.0,5.0,73.3132
2011-07-14,18.58,26.2,41.0118,9.1798,9.8442,0.8047,0.8627,636030560.0,22.7202,17.6969,3.0,1.0,5.0,73.3132
2011-07-15,18.68,26.2,40.257,9.2292,9.837,0.8091,0.8621,639453760.0,22.7202,17.6969,3.0,1.0,5.0,73.3132
2011-07-18,18.49,25.7,38.9941,9.1354,9.8226,0.8009,0.8602,632949680.0,22.7202,17.6969,3.0,1.0,5.0,73.3132
2011-07-19,18.5,25.7,38.9189,9.1403,9.8123,0.8014,0.8591,633292000.0,22.7202,17.6969,3.0,1.0,5.0,73.3132
2011-07-20,18.09,25.7,42.0674,8.9377,9.8098,0.7836,0.8591,619256880.0,22.7202,17.6969,3.0,1.0,5.0,73.3132
2011-07-21,18.06,25.7,42.3034,8.9229,9.8073,0.7823,0.8591,618229920.0,22.7202,17.6969,3.0,1.0,5.0,73.3132
2011-07-22,18.64,25.7,37.8755,9.2095,9.795,0.8074,0.859,638084480.0,22.7202,17.6969,3.0,1.0,5.0,73.3132
2011-07-25,18.02,25.7,42.6193,8.9032,9.7826,0.7806,0.8589,616860640.0,22.7202,17.6969,3.0,1.0,5.0,73.3132
2011-07-26,17.37,25.7,47.9562,8.582,9.7798,0.7524,0.8588,594609840.0,22.7202,17.6969,3.0,1.0,5.0,73.3132
2011-07-27,16.7,25.7,53.8922,8.251,9.7771,0.7234,0.8586,571674400.0,22.7202,17.6969,3.0,1.0,5.0,73.3132
2011-07-28,16.02,25.1,56.6792,7.915,9.7771,0.6939,0.8581,548396640.0,22.7169,17.6882,3.0,1.0,5.0,73.3132
2011-07-29,15.4,25.1,62.987,7.6087,9.7771,0.6671,0.8576,527172800.0,22.7169,17.6882,3.0,1.0,5.0,73.3132
2011-08-01,14.92,24.4,63.5389,7.5967,9.7735,0.6652,0.8571,510741440.0,20.0115,15.3706,3.0,1.0,5.0,73.3132
2011-08-02,14.39,24.4,69.5622,7.3269,9.7699,0.6416,0.8566,492598480.0,20.0115,15.3706,3.0,1.0,5.0,73.3132
2011-08-03,15.06,24.4,62.0186,7.668,9.7644,0.6714,0.854,515533920.0,20.0115,15.3706,3.0,1.0,5.0,73.3132
2011-08-04,15.05,24.4,62.1262,7.7979,9.7588,0.6815,0.8514,515191600.0,20.0478,15.4242,3.0,1.0,5.0,73.3132
2011-08-05,14.37,24.4,69.7982,7.4456,9.7578,0.6507,0.8506,491913840.0,20.0478,15.4242,3.0,1.0,5.0,73.3132
2011-08-08,12.9,24.4,89.1473,6.6839,9.7567,0.5842,0.8498,441592800.0,20.0478,15.4242,3.0,1.0,5.0,73.3132
2011-08-09,15.38,24.4,58.6476,7.9689,9.7498,0.6965,0.8496,526488160.0,20.0478,15.4242,3.0,1.0,5.0,73.3132
2011-08-10,14.7,23.0,56.4626,7.84,9.7428,0.6801,0.8494,503210400.0,18.2853,13.4407,2.0,1.0,5.0,73.3132
2011-08-11,14.54,23.0,58.1843,7.7547,9.7355,0.6727,0.8478,497733280.0,18.2853,13.4407,2.0,1.0,5.0,73.3132
2011-08-12,15.03,22.75,51.3639,7.9629,9.7282,0.7025,0.8461,514506960.0,17.5737,13.5798,2.0,1.0,5.0,73.3132
2011-08-15,15.26,23.2,52.0315,8.0485,9.709,0.7018,0.8458,522380320.0,19.7828,15.1763,5.0,1.0,5.0,51.672
2011-08-16,17.94,23.2,29.32,8.4543,9.6899,0.7343,0.8454,614122080.0,8.1842,2.2902,1.0,1.0,5.0,15.5312
2011-08-17,16.38,23.2,41.6361,7.7191,9.6868,0.6705,0.845,560720160.0,8.1842,2.2902,1.0,1.0,5.0,15.5312
2011-08-18,15.16,23.2,53.0343,7.1442,9.6838,0.6205,0.8446,518957120.0,8.1842,2.2902,1.0,1.0,5.0,15.5312
2011-08-19,14.48,23.2,60.221,6.8238,9.6739,0.5927,0.844,495679360.0,8.1842,2.2902,1.0,1.0,5.0,15.5312
