date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2019-08-08,35.0,42.1111,20.3174,12.4197,14.4324,1.737,1.847,21840000000.0,4.6079,9.0644,12.0,5.0,-0.8968,2.6507
2019-08-09,35.37,42.1111,19.0588,12.551,14.4299,1.7553,1.8459,22070880000.0,4.6079,9.0644,12.0,5.0,-0.8968,2.6507
2019-08-12,34.81,41.9444,20.4953,12.4011,14.4185,1.7279,1.8458,21721440000.0,4.5914,8.6906,13.0,5.0,-0.8968,0.5772
2019-08-13,35.0,41.9444,19.8411,12.4964,14.4071,1.7373,1.8457,21840000000.0,4.5914,8.7334,13.0,5.0,-0.8968,0.5772
2019-08-14,33.66,41.9444,24.612,12.018,14.4049,1.6708,1.8456,21003840000.0,4.5914,8.7334,13.0,5.0,-0.8968,0.5772
2019-08-15,32.81,41.9444,27.8403,11.7145,14.4027,1.6286,1.8456,20473440000.0,4.5914,8.7334,13.0,5.0,-0.8968,0.5772
2019-08-16,33.01,41.9444,27.0657,11.7859,14.4017,1.6385,1.8455,20598240000.0,4.5914,8.7334,13.0,5.0,-0.8968,0.5772
2019-08-19,33.6,41.9444,24.8345,11.9966,14.4007,1.6678,1.8454,20966400000.0,4.5914,8.7334,13.0,5.0,-0.8968,0.5772
2019-08-20,33.36,41.9444,25.7326,11.9109,14.3807,1.6559,1.845,20816640000.0,4.5914,8.7334,13.0,5.0,-0.8968,0.5772
2019-08-21,33.15,41.9444,26.5291,11.8359,14.3607,1.6455,1.8445,20685600000.0,4.5914,8.7334,13.0,5.0,-0.8968,0.5772
2019-08-22,32.82,41.9444,27.8013,11.7181,14.3602,1.6291,1.842,20479680000.0,4.5914,8.7334,13.0,5.0,-0.8968,0.5772
2019-08-23,31.44,41.9444,33.4109,11.2254,14.3596,1.5606,1.8395,19618560000.0,4.5914,8.7334,13.0,5.0,-0.8968,0.5772
2019-08-26,31.71,41.9444,32.275,11.3218,14.353,1.5751,1.8384,19787040000.0,4.5914,8.7334,13.0,5.0,-0.8968,0.5772
2019-08-27,31.62,41.9444,32.6515,11.2896,14.3465,1.5706,1.8384,19730880000.0,4.5914,8.7334,13.0,5.0,-0.8968,0.5772
2019-08-28,31.56,41.9444,32.9037,11.2682,14.3292,1.5676,1.8383,19693440000.0,4.506,8.7334,13.0,5.0,-0.8968,0.5772
2019-08-29,32.45,41.9444,29.2586,11.586,14.3119,1.6118,1.8374,20248800000.0,4.506,8.7334,13.0,5.0,-0.8968,0.5772
2019-08-30,32.8,41.9444,27.8793,11.7109,14.3104,1.6292,1.8366,20467200000.0,4.506,8.7334,13.0,5.0,-0.8968,0.5772
2019-09-03,32.43,41.9444,29.3383,11.5788,14.3088,1.6108,1.8356,20236320000.0,4.506,8.7334,13.0,5.0,-0.8968,0.5772
2019-09-04,33.21,41.9444,26.3005,11.8573,14.303,1.6496,1.8346,20723040000.0,4.506,8.7334,13.0,5.0,-0.8968,0.5772
2019-09-05,33.91,41.9444,23.6933,12.1073,14.2973,1.6843,1.8344,21159840000.0,4.506,8.7334,13.0,5.0,-0.8968,0.5772
2019-09-06,33.87,41.9444,23.8394,12.093,14.2881,1.6824,1.8342,21134880000.0,4.506,8.7334,13.0,5.0,-0.8968,0.5772
2019-09-09,33.99,40.8333,20.1333,12.122,14.2738,1.6889,1.8315,21209760000.0,4.4548,8.7215,13.0,5.0,-0.8968,0.5772
2019-09-10,34.22,40.8333,19.3258,12.2031,14.2688,1.7004,1.8312,21353280000.0,4.4548,8.7221,13.0,5.0,-0.8968,0.5772
2019-09-11,33.97,40.8333,20.204,12.114,14.2678,1.6879,1.831,21197280000.0,4.4548,8.7221,13.0,5.0,-0.8968,0.8748
2019-09-12,33.7,40.7222,20.8374,12.0581,14.2669,1.6762,1.8305,21028800000.0,4.3929,8.4351,13.0,5.0,-0.8968,0.8748
