date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2003-05-08,32.29,25.7571,-20.232,7.8756,7.3428,0.8581,0.8581,493843938.09,10.3867,376.0151,5.0,2.0,39.35,37.5234,0.7927408675799087,35.27680590627391,-9.60555873015873,15.10498880017742,36.069546773853816,-24.71054753033615
2003-05-09,35.19,25.7571,-26.8056,8.3474,7.3428,0.9305,0.8943,538196598.99,12.5425,387.6755,6.0,2.0,39.35,39.2255,0.7298744874715262,35.26112343306002,-10.076500793650792,14.700289956860086,35.99099792053155,-24.77679075051088
2003-05-12,36.23,25.7571,-28.9067,8.538,7.3416,0.958,0.9305,554102380.83,12.5612,403.1416,6.0,2.0,39.35,39.0296,0.6625186363636363,35.24926662136945,-10.56591984126984,14.283343230501927,35.91178525773309,-24.84926307177177
2003-05-13,36.34,25.7571,-29.1219,8.5639,7.3428,0.9609,0.9305,555784723.14,12.5612,403.1416,6.0,2.0,39.35,39.0296,0.5949802721088435,35.237742550901125,-11.048689682539685,13.8649735712743,35.832722823009966,-24.913663253813983
2003-05-14,38.25,25.7571,-32.6612,9.1306,7.3428,1.0125,0.9442,584996303.25,11.9962,402.2849,7.0,3.0,28.093,37.9752,0.5197400452488687,35.23329476183607,-11.551323015873017,13.48316144333621,35.75303480708494,-25.034484459209224
2003-05-15,36.99,25.7571,-30.3674,8.8298,7.3428,0.9791,0.958,565725836.79,11.9962,402.2849,7.0,3.0,28.093,37.9752,0.450017381489842,35.223997927132366,-11.94724126984127,13.294638899305438,35.67401530862221,-25.241880169146707
2003-05-16,35.35,25.7571,-27.1369,8.438,7.3524,0.9357,0.9468,540643642.35,11.9865,404.5894,7.0,3.0,28.093,37.952,0.3878846846846847,35.20856905009676,-12.325388095238091,13.0392299610897,35.59645373478144,-25.364618056327792
2003-05-19,35.35,25.7571,-27.1369,8.4163,7.3428,0.9357,0.9357,540643642.35,11.9865,406.3585,7.0,3.0,28.093,38.2499,0.3260312359550562,35.19309375319933,-12.728462698412695,12.698766868270306,35.519124989154385,-25.427229566683003
2003-05-20,35.6,25.7571,-27.6486,8.4758,7.3428,0.9424,0.939,544467147.6,11.9865,406.3585,7.0,3.0,28.093,38.2499,0.2633078475336323,35.17847700666496,-13.123228571428571,12.376704564164864,35.441784854198595,-25.49993313559344
2003-05-21,35.57,25.7571,-27.5876,8.4036,7.3524,0.9339,0.9357,544008326.97,12.3344,413.3389,7.0,3.0,28.093,39.3541,0.2010015659955257,35.16370018548572,-13.507646031746033,12.061289428757869,35.36470175148125,-25.5689354605039
2003-05-22,36.12,25.7571,-28.6902,8.5076,7.3524,0.9482,0.939,552420038.52,12.3426,415.2517,7.0,3.0,28.093,39.937,0.1365122767857143,35.15085768928102,-13.916300793650793,11.687784733633729,35.287369966066734,-25.60408552728452
2003-05-23,38.55,25.7571,-33.1852,9.08,7.3619,1.012,0.9424,589584509.55,12.3426,415.2517,7.0,3.0,28.093,39.937,0.0622991091314031,35.14680225566275,-14.32866746031746,11.439165444376393,35.20910136479415,-25.76783290469385
2003-05-27,40.0,25.7571,-30.968,9.3985,7.3619,1.0523,0.9482,611760840.0,12.2163,433.7701,8.0,3.0,28.093,40.7898,-0.0066571111111111,35.13810212713256,-14.703188095238096,11.20096007474089,35.13144501602145,-25.904148169978985
2003-05-28,40.03,25.7571,-31.0197,9.4055,7.3658,1.0531,0.9531,612219660.63,12.2163,433.7701,8.0,3.0,28.093,40.7898,-0.0754221729490022,35.12940488751327,-15.099701587301588,10.880138014205508,35.05398271456426,-25.97983960150709
2003-05-29,40.14,25.7571,-31.2088,9.4314,7.3658,1.056,0.958,613902002.94,12.2163,433.7701,8.0,3.0,28.093,40.7898,-0.1443013274336283,35.12097977126005,-15.523331746031747,10.448019859496174,34.97667844382642,-25.97135160552792
2003-05-30,39.68,25.7571,-30.4113,9.4216,7.3658,1.0493,0.9594,606866753.28,11.7186,438.984,8.0,3.0,28.093,40.6931,-0.2111158940397351,35.110917836405754,-15.91821111111111,10.052441841441208,34.89980194236602,-25.97065295255232
2003-06-02,40.52,25.7571,-31.8539,9.614,7.3697,1.0715,0.9791,619713730.92,11.7186,438.984,8.0,3.0,28.093,40.6931,-0.2808136563876652,35.103569925593746,-16.296041269841268,9.742427103126076,34.82275626920608,-26.038468372967344
2003-06-03,40.09,29.0599,-27.5133,9.3708,7.3702,1.0595,0.9955,613137301.89,11.9599,451.4461,8.0,3.0,28.093,42.457,-0.3406652747252747,35.08812191406364,-16.59494761904762,9.499303231885834,34.74745663933837,-26.094250850933456
