date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2023-02-08,16.93,18.5,9.2735,260.8629,260.8629,7.0395,7.1695,4853780210.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-02-09,15.79,18.5,17.1628,243.2974,252.0802,6.5655,7.1644,4526945630.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-02-10,15.82,18.5,16.9406,243.7596,243.7596,6.578,7.1604,4535546540.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-02-13,15.97,18.5,15.8422,246.0709,244.9152,6.6403,7.1564,4578551090.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-02-14,16.58,18.5,11.5802,255.47,246.0709,6.894,7.1562,4753436260.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-02-15,16.56,18.5,11.715,255.1618,250.6164,6.8856,7.1561,4747702320.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-02-16,15.77,18.5,17.3114,242.9892,246.0709,6.5572,7.1488,4521211690.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-02-17,15.76,18.5,17.3858,242.8351,244.9152,6.553,7.1416,4518344720.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-02-21,15.3,18.5,20.915,235.7473,243.7596,6.3617,7.1266,4386464100.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-02-22,15.31,18.5,20.8361,235.9014,243.5285,6.3659,7.1115,4389331070.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-02-23,15.34,18.5,20.5997,236.3636,243.2974,6.4175,7.1074,4424930380.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-02-24,14.89,18.5,24.2445,229.4299,243.1433,6.2293,7.1034,4295124730.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-02-27,14.9,18.5,24.1611,229.584,242.9892,6.2334,7.0986,4298009300.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-02-28,14.94,18.5,23.8286,230.2003,242.9122,6.2502,7.0937,4309547580.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-03-01,14.5,18.5,27.5862,223.4206,242.8351,6.0661,7.0908,4182626500.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-03-02,14.76,18.5,25.3388,227.4268,239.5994,6.1749,7.088,4257625320.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-03-03,15.56,18.5,18.8946,239.7535,239.7535,6.5096,7.074,4488390920.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-03-06,15.59,18.5,18.6658,240.2157,239.9846,6.5221,7.0601,4497044630.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-03-07,15.51,18.5,19.2779,238.9831,239.7535,6.4886,7.0579,4473968070.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-03-08,15.4,18.5,20.1299,237.2881,239.3683,6.4426,7.0557,4442237800.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-03-09,14.62,18.5,26.539,225.2696,238.9831,6.1163,7.0476,4217241340.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-03-10,13.64,18.5,35.6305,210.1695,238.1356,5.7063,7.0395,3934553480.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-03-13,14.01,18.5,32.0485,215.8706,237.2881,5.8611,7.0352,4041282570.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-03-14,14.43,18.5,28.2051,222.3421,236.8258,6.0368,7.0308,4162434510.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-03-15,14.3,18.5,29.3706,220.339,236.3636,5.9824,7.0289,4124935100.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-03-16,14.01,18.5,32.0485,215.8706,236.1325,5.8611,7.027,4041282570.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-03-17,13.73,18.5,34.7414,211.5562,235.9014,5.744,7.0245,3960514610.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-03-20,13.51,18.5,36.9356,208.1664,235.8244,5.6519,7.022,3897054070.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-03-21,13.95,18.5,32.6165,214.9461,235.7473,5.836,7.022,4023975150.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-03-22,13.42,18.5,37.8539,206.7797,232.9738,5.6143,7.022,3871092940.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-03-23,13.84,18.5,33.6705,213.2512,230.2003,5.79,7.0204,3992244880.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-03-24,13.84,18.5,33.6705,213.2512,229.8922,5.79,7.0188,3992244880.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-03-27,13.84,18.5,33.6705,213.2512,229.584,5.79,7.0148,3992244880.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-03-28,14.05,18.5,31.6726,216.4869,229.507,5.8778,7.0109,4052820850.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-03-29,14.44,18.5,28.1163,222.4961,229.4299,6.041,7.0093,4165319080.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-03-30,14.74,18.5,25.5088,227.1186,228.4284,6.1665,7.0077,4251856180.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-03-31,15.36,18.5,20.4427,236.6718,229.4299,6.4259,7.0067,4430699520.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-04-03,15.22,18.5,21.5506,234.5146,229.507,6.3673,7.0057,4390315540.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-04-04,15.17,18.5,21.9512,233.7442,229.584,6.3464,6.9948,4375892690.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-04-05,14.54,18.5,27.2352,224.037,229.507,6.0828,6.9838,4194164780.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-04-06,14.81,18.5,24.9156,228.1972,229.4299,6.1958,6.979,4272048170.0,18.167,540.7416,4.0,1.0,30.0,375.2779
2023-04-10,14.77,18.5,25.2539,227.5809,228.8136,6.1791,6.9743,4260509890.0,18.167,540.7416,4.0,1.0,30.0,375.2779
