date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2017-04-26,26.41,27.7993,5.2605,21.1263,21.1555,0.8521,0.8521,12383649000.0,2.857,5.8726,23.0,3.0,-1.0481,4.1536
2017-04-27,24.72,27.5424,11.4175,19.6815,21.1555,0.7951,0.8236,11591208000.0,2.7727,4.795,24.0,4.0,-0.2861,9.8206
2017-04-28,24.67,27.2099,10.2955,19.6323,21.1555,0.789,0.7951,11567763000.0,2.9015,5.0156,25.0,4.0,-0.4502,10.0231
2017-05-01,24.61,27.3435,11.1073,19.7069,21.1682,0.7901,0.7926,11539629000.0,2.6766,5.0669,25.0,4.0,-0.4502,10.2667
2017-05-02,25.18,27.1201,7.7049,20.0894,21.1629,0.8124,0.7951,11806902000.0,2.4575,4.8971,25.0,4.0,-0.4502,10.2706
2017-05-03,25.52,26.8984,5.4013,20.4209,21.1555,0.8233,0.8038,11966328000.0,2.4579,4.133,25.0,4.0,-0.4502,10.2745
2017-05-04,25.39,26.9017,5.9539,20.3153,21.1555,0.8191,0.8124,11905371000.0,2.4621,4.1399,25.0,4.0,-0.4502,10.2883
2017-05-05,26.14,26.9054,2.9281,20.917,21.1555,0.8433,0.8158,12257046000.0,2.4632,4.1383,25.0,4.0,-0.4502,10.292
2017-05-08,25.86,26.9005,4.0236,20.7794,21.1682,0.8358,0.8191,12125754000.0,2.453,4.1526,25.0,4.0,-0.4502,10.2821
2017-05-09,25.88,26.8251,3.6519,20.9623,21.1629,0.8389,0.8212,12135132000.0,2.222,3.4365,25.0,4.0,-0.4502,10.2779
2017-05-10,26.2,26.8231,2.3782,21.2232,21.1682,0.8493,0.8233,12285180000.0,2.2197,3.4414,25.0,4.0,-0.4502,10.2699
2017-05-11,25.81,26.823,3.9248,20.9039,21.1682,0.8366,0.8296,12102309000.0,2.2228,3.4408,25.0,4.0,-0.4502,10.2852
