date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2009-01-28,20.04,57.0,184.4311,4.9702,10.7858,0.3028,1.2471,64799340.0,14.5624,-7.1656,3.0,2.0,24.0,-1.2901
2009-01-29,17.4,57.0,227.5862,4.3155,10.7828,0.2629,1.2457,56262900.0,14.5624,-7.1656,3.0,2.0,24.0,-1.2901
2009-01-30,17.34,57.0,228.7197,4.3006,10.777,0.262,1.2443,56068890.0,14.5624,-7.1656,3.0,2.0,24.0,-1.2901
2009-02-02,17.04,57.0,234.507,4.2262,10.7712,0.2574,1.2426,55098840.0,14.5624,-7.1656,3.0,2.0,24.0,-1.2901
2009-02-03,16.98,57.0,235.689,4.2113,10.7598,0.2565,1.2409,54904830.0,14.5624,-7.1656,3.0,2.0,24.0,-1.2901
2009-02-04,16.08,57.0,254.4776,3.9881,10.7484,0.2429,1.2409,51994680.0,14.5624,-7.1656,3.0,2.0,24.0,-1.2901
2009-02-05,16.74,57.0,240.5018,4.1518,10.7253,0.2529,1.2409,54128790.0,14.5624,-7.1656,3.0,2.0,24.0,-1.2901
2009-02-06,16.56,57.0,244.2029,4.466,10.7022,0.2502,1.2376,53546760.0,14.5624,-3.5648,4.0,2.0,24.0,-1.2901
2009-02-09,15.84,57.0,76.7677,5.0286,10.6648,0.2506,1.233,51218640.0,14.5624,-3.5648,4.0,2.0,24.0,-1.2901
2009-02-10,14.82,57.0,88.9339,4.7048,10.6623,0.2345,1.2318,47920470.0,14.5624,-3.5648,4.0,2.0,24.0,-1.2901
2009-02-11,15.06,57.0,85.923,4.781,10.6598,0.2383,1.2292,48696510.0,14.5624,-3.5648,4.0,2.0,24.0,-1.2901
2009-02-12,15.18,57.0,84.4532,4.819,10.6528,0.2402,1.2267,49084530.0,14.5624,-3.5648,4.0,2.0,24.0,-1.2901
2009-02-13,15.06,57.0,85.923,4.781,10.6458,0.2383,1.222,48696510.0,14.5624,-3.5648,4.0,2.0,24.0,-1.2901
2009-02-17,13.5,57.0,107.4074,4.2857,10.6239,0.2136,1.2173,43652250.0,14.5624,-3.5648,4.0,2.0,24.0,-1.2901
2009-02-18,13.26,57.0,111.1614,4.2095,10.6019,0.2098,1.217,42876210.0,14.5624,-3.5648,4.0,2.0,24.0,-1.2901
2009-02-19,12.6,57.0,122.2222,4.0,10.5917,0.1994,1.2166,40742100.0,14.5624,-3.5648,4.0,2.0,24.0,-1.2901
2009-02-20,11.58,57.0,141.7962,3.6762,10.5814,0.1832,1.2166,37443930.0,14.5624,-3.5648,4.0,2.0,24.0,-1.2901
2009-02-23,12.0,57.0,133.3333,3.8095,10.5728,0.1899,1.2166,38802000.0,14.5624,-3.5648,4.0,2.0,24.0,-1.2901
2009-02-24,12.66,57.0,121.169,4.019,10.5643,0.2003,1.2152,40936110.0,14.5624,-3.5648,4.0,2.0,24.0,-1.2901
2009-02-25,12.12,57.0,131.0231,3.8476,10.5598,0.1918,1.2139,39190020.0,14.7219,-0.101,4.0,2.0,24.0,-1.2901
2009-02-26,12.36,57.0,126.5372,3.9238,10.5553,0.1956,1.2115,39966060.0,14.7219,-0.101,4.0,2.0,24.0,-1.2901
2009-02-27,12.0,57.0,133.3333,3.8095,10.5504,0.1899,1.2091,38802000.0,14.7219,-0.101,4.0,2.0,24.0,-1.2901
2009-03-02,10.32,27.0,161.6279,4.0234,10.5455,0.1698,1.2071,33369720.0,14.2968,4.4885,4.0,2.0,24.0,-4.0338
2009-03-03,9.42,19.5,107.0064,4.4857,10.5381,0.1632,1.2051,30459570.0,13.0482,9.3712,3.0,1.0,18.0,12.1966
2009-03-04,10.32,19.5,88.9535,4.9143,10.5307,0.1788,1.2005,33369720.0,13.0482,9.3712,3.0,1.0,18.0,12.1966
2009-03-05,7.92,19.5,146.2121,3.7714,10.5255,0.1372,1.1959,25609320.0,13.0482,9.3712,3.0,1.0,18.0,12.1966
2009-03-06,7.68,19.5,153.9062,3.6571,10.5204,0.1331,1.1955,24833280.0,13.0482,9.3712,3.0,1.0,18.0,12.1966
2009-03-09,7.92,19.5,146.2121,3.7714,10.5172,0.1372,1.1952,25609320.0,13.0482,9.3712,3.0,1.0,18.0,12.1966
2009-03-10,8.7,19.5,124.1379,4.1429,10.5141,0.1508,1.1945,28131450.0,13.0482,9.3712,3.0,1.0,18.0,12.1966
2009-03-11,8.28,19.5,135.5072,3.1011,10.5132,0.1332,1.1938,26773380.0,13.9412,2.0809,4.0,1.0,18.0,12.1966
2009-03-12,9.24,19.5,111.039,3.4607,10.5123,0.1486,1.1938,29877540.0,13.9412,2.0809,4.0,1.0,18.0,12.1966
2009-03-13,9.78,19.5,99.3865,3.6629,10.4993,0.1573,1.1937,31623630.0,13.9412,2.0809,4.0,1.0,18.0,12.1966
2009-03-16,7.92,18.0,127.2727,2.411,10.4863,0.1174,1.1936,25147354.32,6.666,20.084,1.0,1.0,18.0,8.0957
2009-03-17,8.34,18.0,115.8273,2.9733,10.472,0.1236,1.1936,26480926.14,6.666,27.2799,1.0,1.0,18.0,8.0957
2009-03-18,7.68,18.0,134.375,2.738,10.4577,0.1138,1.1919,24385313.28,6.666,27.2799,1.0,1.0,18.0,8.0957
2009-03-19,7.92,18.0,127.2727,2.8235,10.4264,0.1174,1.1902,25147354.32,6.666,27.2799,1.0,1.0,18.0,8.0957
2009-03-20,7.86,18.0,129.0076,2.8021,10.3951,0.1165,1.1888,24956844.06,6.666,27.2799,1.0,1.0,18.0,8.0957
2009-03-23,8.28,18.0,-27.5362,3.2598,10.3824,0.1247,1.1872,26290415.88,6.666,27.2799,1.0,1.0,18.0,8.0957
2009-03-24,10.14,18.0,-40.8284,3.9921,10.3574,0.1528,1.1868,32196233.94,6.666,27.2799,1.0,1.0,18.0,8.0957
2009-03-25,11.88,18.0,-49.4949,4.6772,10.3323,0.179,1.1864,37721031.48,6.666,27.2799,1.0,1.0,18.0,8.0957
