date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2004-10-11,5.72,5.5228,-3.4476,18.5473,18.2902,0.7172,0.716,17612155984.28,2.1503,8.305,2.0,2.0,16.4,4.3658,19.655467063492065,14.639422569040676,6.707181746031746,4.272752609031153,34.294889632532744,2.434429137000593
2004-10-12,5.72,5.5228,-3.4476,18.5473,18.3059,0.7172,0.7172,17612155984.28,1.2397,6.2936,2.0,2.0,16.4,4.3658,19.485804761904763,14.408408762261548,6.607179365079365,4.361587628399684,33.89421352416631,2.245591736679681
2004-10-13,5.71,5.4637,-4.3135,18.4432,18.3059,0.7121,0.716,17581365501.79,1.1879,9.8096,3.0,1.0,1.8,4.3658,19.315968055555555,14.181215411203592,6.501915079365078,4.463458788501265,33.49718346675915,2.038456290863813
2004-10-14,5.62,5.4637,-2.7811,18.1525,18.2745,0.7009,0.7147,17304251159.38,1.1879,9.8096,3.0,1.0,1.8,4.3658,19.15222003968254,13.956728351613478,6.405586507936508,4.531812636786178,33.10894839129602,1.8737738711503305
2004-10-15,5.73,5.4637,-4.6475,18.4422,18.2745,0.7156,0.7151,17642946466.77,1.0326,11.3498,3.0,1.0,1.8,6.0508,19.00202579365079,13.803588156921178,6.316996825396825,4.637530076252683,32.80561395057197,1.679466749144142
2004-10-18,5.71,7.6066,33.2154,18.3956,18.2745,0.7131,0.7147,17581365501.79,1.0326,11.3519,3.0,2.0,13.6051,6.0508,18.91491130952381,13.572682520846843,6.541246825396825,5.2181849232801465,32.487593830370656,1.3230619021166783
2004-10-19,5.68,7.6066,33.919,18.299,18.2745,0.7093,0.7139,17488994054.32,1.0326,11.3519,3.0,2.0,13.6051,6.0508,18.84395297619048,13.39911841249562,6.771080952380952,5.757823657135801,32.2430713886861,1.0132572952451513
2004-10-20,5.72,7.6066,32.9825,18.4278,18.2867,0.7143,0.7143,17612155984.28,1.0326,11.3519,3.0,2.0,13.6051,6.0508,18.762149404761903,13.184556060200617,6.9827047619047615,6.213055228865712,31.94670546496252,0.7696495330390496
2004-10-21,5.68,7.6066,33.919,18.299,18.2867,0.7093,0.7137,17488994054.32,1.0326,11.3519,3.0,2.0,13.6051,6.0508,18.68641071428572,12.985739043200288,7.211016666666667,6.657867775962393,31.672149757486,0.5531488907042732
2004-10-22,5.64,7.6066,34.8688,18.1701,18.2745,0.7043,0.7131,17365832124.36,1.0326,11.3519,3.0,2.0,13.6051,6.0508,18.601841666666665,12.73844639829197,7.455921428571428,7.092562152752388,31.340288064958635,0.3633592758190405
2004-10-25,5.54,7.1152,28.4332,18.0163,18.2649,0.6893,0.7126,17057927299.46,1.3678,10.8663,4.0,3.0,19.4034,6.0508,18.51172003968254,12.505308477838538,7.651239682539683,7.326716459261347,31.01702851752108,0.3245232232783355
2004-10-26,5.62,7.1152,26.605,18.2764,18.2713,0.6993,0.7121,17304251159.38,1.3678,10.8663,4.0,3.0,19.4034,6.0508,18.40168591269841,12.184895464763628,7.8260555555555555,7.513213737042714,30.58658137746204,0.3128418185128412
2004-10-27,5.72,7.1152,24.3916,18.6016,18.2729,0.7117,0.7119,17612155984.28,1.3678,10.8663,4.0,3.0,19.4034,6.0508,18.28957063492064,11.864463694300351,7.981792857142858,7.651437200716415,30.15403432922099,0.3303556564264429
2004-10-28,5.65,7.1152,25.9327,18.374,18.2729,0.703,0.7117,17396622606.85,1.3678,10.8663,4.0,3.0,19.4034,6.0508,18.182794444444443,11.54820400080567,8.154280158730158,7.808836268781774,29.730998445250115,0.3454438899483838
2004-10-29,5.67,7.7259,36.2593,18.3614,18.2729,0.7055,0.7105,17458203571.83,1.3654,10.7951,4.0,3.0,19.4034,6.0508,18.092689087301583,11.224469944575576,8.399365873015872,8.19602792867036,29.31715903187716,0.2033379443455132
2004-11-01,5.66,7.7259,36.5,18.329,18.2649,0.7043,0.7093,17427413089.34,1.3654,10.7951,4.0,3.0,19.4034,6.0508,18.00913234126984,10.92582797598431,8.664844444444444,8.555234936094239,28.934960317254152,0.1096095083502053
2004-11-02,5.79,7.7259,33.4352,18.75,18.2713,0.7204,0.7105,17827689361.71,1.3654,10.7951,4.0,3.0,19.4034,6.0508,17.966057936507937,10.821427613653928,8.909,8.817775698213156,28.787485550161865,0.0912243017868448
2004-11-03,5.84,7.7259,32.2928,18.9119,18.2729,0.7266,0.7117,17981641774.16,1.3654,10.7951,4.0,3.0,19.4034,6.0508,17.930520238095237,10.744484432257211,9.145581746031748,9.041065755295817,28.67500467035245,0.1045159907359316
2004-11-04,5.89,7.7259,31.1698,19.0738,18.2729,0.7329,0.7119,18135594186.61,1.3654,10.7951,4.0,3.0,19.4034,6.0508,17.896502976190476,10.675012515657066,9.327626984126985,9.25101715085993,28.571515491847546,0.076609833267053
2004-11-05,5.93,7.7259,30.285,19.2034,18.2729,0.7378,0.7121,18258756116.57,1.3654,10.7951,4.0,3.0,19.4034,6.0508,17.867363492063493,10.620866971119998,9.479444444444445,9.436367610614132,28.48823046318349,0.0430768338303124
2004-11-08,5.85,7.4931,28.0872,18.975,18.2649,0.7275,0.7126,18012432256.65,1.8704,11.1747,5.0,3.0,19.4034,5.3103,17.834451587301587,10.563175140480592,9.599474603174604,9.576189020155589,28.39762672778218,0.0232855830190157
2004-11-09,5.89,7.4931,27.2173,19.1048,18.2713,0.7324,0.7131,18134972202.61,1.8704,11.1747,5.0,3.0,19.4034,5.3103,17.79981369047619,10.503441202807135,9.733946825396826,9.703846307766238,28.303254893283324,0.0301005176305881
2004-11-10,5.8,7.4931,29.1914,18.8128,18.2729,0.7212,0.7137,17857867364.2,1.8704,11.1747,5.0,3.0,19.4034,5.3103,17.770842857142856,10.451613444730942,9.87708492063492,9.856801851148749,28.2224563018738,0.0202830694861724
2004-11-11,5.84,7.4931,28.3065,18.9426,18.2729,0.7262,0.7143,17981025070.16,1.8704,11.1747,5.0,3.0,19.4034,5.3103,17.74127142857143,10.40045147868757,9.989650793650792,9.985824005240527,28.141722907259,0.0038267884102651
2004-11-12,5.95,7.4931,25.9345,19.2994,18.2729,0.7399,0.7145,18319708761.55,1.8704,11.1747,5.0,3.0,19.4034,5.3103,17.710403373015872,10.35279807839105,10.060509523809523,10.067356094692745,28.06320145140692,-0.006846570883221
2004-11-15,5.9,6.2982,6.7492,19.1372,18.2649,0.7336,0.7147,18165761629.1,1.8703,11.1785,5.0,3.0,19.4034,5.3103,17.64479821428571,10.317153219560227,9.990687301587302,10.059506334511454,27.96195143384594,-0.0688190329241518
2004-11-16,5.81,6.2982,8.4028,18.8453,18.2713,0.7225,0.7151,17888656790.69,1.8703,11.1785,5.0,3.0,19.4034,5.3103,17.590976984126982,10.294401658348391,9.939673015873016,10.05106051450814,27.885378642475374,-0.1113874986351231
2004-11-17,5.89,6.2982,6.9304,19.1048,18.2729,0.7324,0.7156,18134972202.61,1.8703,11.1785,5.0,3.0,19.4034,5.3103,17.53729007936508,10.279260718119511,9.876973015873016,10.044945554085627,27.816550797484588,-0.1679725382126111
