date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2008-03-20,13.24,16.2325,22.602,19.7376,29.175,2.2812,2.475,2895897855.72,24.0829,46.8255,4.0,2.0,27.0,6.6589,22.609294074074075,10.658636396738332,23.348426984126984,10.645753071683847,33.26793047081241,12.702673912443135
2008-03-24,13.9,16.3575,17.6799,20.7215,29.1537,2.4085,2.463,3040255301.7,23.6179,45.487,5.0,2.0,27.0,6.6589,22.573048529411764,10.627495874395535,23.37489365079365,10.627320018990648,33.2005444038073,12.747573631803004
2008-03-25,13.48,16.3575,21.3464,20.0954,29.1528,2.3357,2.4614,2948391472.44,23.6179,45.487,5.0,2.0,27.0,6.6589,22.564094890510948,10.588870731910276,23.341429365079364,10.627013752057104,33.15296562242122,12.71441561302226
2008-03-26,12.89,16.3575,26.9007,19.935,29.1518,2.2335,2.4599,2819344664.67,23.6179,45.1019,5.0,2.0,27.0,6.6589,22.59551956521739,10.556610965921726,23.34058412698413,10.626724087464869,33.152130531139115,12.71386003951926
2008-03-27,12.39,16.3575,32.0218,19.1618,29.1421,2.1469,2.4595,2709982963.17,23.6179,45.1019,5.0,2.0,27.0,6.6589,22.6633345323741,10.548636262808136,23.364931746031747,10.643189928412635,33.21197079518224,12.721741817619112
2008-03-28,12.49,16.3575,30.9648,19.3164,29.1324,2.1642,2.4591,2731855303.47,23.6179,45.1019,5.0,2.0,27.0,6.6589,22.72263071428572,10.534013565655968,23.43266507936508,10.664330477274737,33.25664427994168,12.76833460209034
2008-03-31,12.25,16.2657,32.7812,18.9453,29.1017,2.1226,2.4513,2679361686.75,23.6178,44.927,5.0,2.0,27.0,6.6589,22.793968085106386,10.530450293786243,23.6090626984127,10.633394888833834,33.32441837889263,12.975667809578866
2008-04-01,12.6,16.2657,29.0929,19.4865,29.071,2.1832,2.4435,2755914877.8,23.6178,44.927,5.0,2.0,27.0,6.6589,22.83832676056338,10.506347559768558,23.80640079365079,10.500738120231327,33.34467432033194,13.305662673419462
2008-04-02,12.88,16.2657,26.2865,19.9196,29.071,2.2318,2.442,2817157430.64,23.6178,44.927,5.0,2.0,27.0,6.6589,22.86243986013986,10.47325821954463,24.01562063492064,10.28143658391233,33.33569807968449,13.734184051008304
2008-04-03,12.78,16.2657,27.2746,19.7649,29.071,2.2144,2.4405,2795285090.34,23.6178,44.927,5.0,2.0,27.0,6.6589,22.89307986111111,10.443048856392668,24.22680793650793,10.069058399462014,33.33612871750378,14.15774953704592
2008-04-04,12.92,16.2657,25.8955,19.9814,29.071,2.2387,2.4396,2825906366.76,23.6178,44.927,5.0,2.0,27.0,6.6589,22.91378620689655,10.40971163951548,24.41644126984127,9.870173324089258,33.323497846412025,14.54626794575201
2008-04-07,12.76,16.2657,27.4741,19.734,29.071,2.211,2.4386,2790910622.28,23.6178,44.927,5.0,2.0,27.0,6.6589,22.945021232876712,10.380617184675849,24.621861904761907,9.658395871562584,33.32563841755256,14.963466033199325
2008-04-08,12.67,16.2657,28.3796,19.5948,29.0497,2.1954,2.4386,2771225516.01,23.6178,44.927,5.0,2.0,27.0,6.6589,22.981991156462584,10.354712260264238,24.809123015873013,9.498111621767036,33.33670341672682,15.311011394105975
2008-04-09,12.44,16.2657,30.7532,19.2391,29.0284,2.1555,2.4386,2720919133.32,23.6178,44.927,5.0,2.0,27.0,6.6589,23.03449932432433,10.33918419060607,24.98891111111111,9.39311521112541,33.3736835149304,15.5957958999857
2008-04-10,12.31,16.2325,31.8643,19.038,28.9986,2.1304,2.4376,2692485090.93,23.6182,44.8222,5.0,2.0,27.0,6.6589,23.09375973154362,10.329554617533653,25.143851587301587,9.343713779286984,33.42331434907727,15.800137808014602
2008-04-11,12.04,16.2325,34.8214,18.6205,28.9688,2.0837,2.4366,2633429772.12,23.6182,44.8222,5.0,2.0,27.0,6.6589,23.171944,10.339270293981622,25.33505396825397,9.292754161996545,33.511214293981624,16.042299806257425
2008-04-14,12.05,16.2325,34.7095,18.6359,28.9605,2.0854,2.4352,2635617006.15,23.6182,44.8222,5.0,2.0,27.0,6.6589,23.24835165562914,10.347434355896182,25.51538809523809,9.252040981877302,33.59578601152532,16.263347113360794
2008-04-15,12.03,16.2325,34.9335,18.605,28.9522,2.0819,2.4338,2631242538.09,23.6182,44.8222,5.0,2.0,27.0,6.6589,23.325227631578947,10.356574533763744,25.72835317460317,9.156296097350165,33.68180216534269,16.572057077253014
2008-04-16,12.17,16.2325,33.3813,18.8215,28.951,2.1062,2.4275,2661863814.51,23.6182,44.8222,5.0,2.0,27.0,6.6589,23.390953594771243,10.354416072102474,25.90371825396825,9.088811020637634,33.745369666873714,16.814907233330622
