date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2002-02-14,12.79,19.8,54.8084,31.0512,23.1087,0.7288,1.6137,11030352490.66,4.8507,55.7878,4.0,2.0,16.0,-3.1154
2002-02-15,12.35,19.8,60.3239,29.983,23.1087,0.7037,1.6122,10650887666.9,4.8507,55.7878,4.0,2.0,16.0,-3.1154
2002-02-19,12.26,19.8,61.5008,30.835,23.1029,0.7158,1.605,10573269862.04,4.8561,55.0526,4.0,2.0,16.0,-3.1154
2002-02-20,13.33,19.8,48.5371,33.5262,23.1058,0.7782,1.6045,11496059319.82,4.8561,55.0526,4.0,2.0,16.0,-3.1154
2002-02-21,13.06,19.8,51.608,32.8471,23.1058,0.7625,1.6005,11263205905.24,4.8561,55.0526,4.0,2.0,16.0,-3.1154
2002-02-22,12.41,19.8,59.5488,31.2123,23.1058,0.7245,1.5998,10702632870.14,4.8561,55.0526,4.0,2.0,16.0,-3.1154
2002-02-25,12.94,19.8,53.0139,32.5453,23.1058,0.7555,1.5989,11159715498.76,4.8561,55.0526,4.0,2.0,16.0,-3.1154
2002-02-26,13.55,20.0,47.6015,35.0582,23.1087,0.8016,1.5979,11685791731.7,4.1177,44.1109,6.0,2.0,15.0,-3.8688
2002-02-27,12.4,19.4,56.4516,17.5787,23.1058,0.6931,1.5953,10694008669.6,3.7068,74.6302,6.0,3.0,15.0,16.0349
2002-02-28,11.97,19.4,62.0718,16.9691,23.0994,0.669,1.5917,10323168046.38,3.7068,74.1979,6.0,3.0,13.3333,16.0349
2002-03-01,12.07,19.4,60.7291,17.1109,23.0915,0.6746,1.5862,10409410051.78,3.7068,74.1979,6.0,3.0,13.3333,16.0349
2002-03-04,12.38,19.0,53.4733,17.5503,23.008,0.6919,1.5786,10676760268.52,3.7068,73.7668,6.0,3.0,13.3333,16.0349
2002-03-05,12.86,19.0,47.7449,20.6819,23.0033,0.7348,1.5761,11090721894.44,3.6783,69.9983,6.0,3.0,13.3333,16.0349
2002-03-06,13.18,19.0,44.1578,21.1965,22.9982,0.7531,1.5758,11366696311.72,3.6783,69.9983,6.0,3.0,13.3333,16.0349
2002-03-07,13.51,19.0,40.6366,22.0463,22.9774,0.772,1.5753,11651294929.54,3.6783,69.674,6.0,3.0,13.3333,16.0349
2002-03-08,13.91,19.0,36.5924,22.6991,22.9616,0.7948,1.5748,11996262951.14,3.6783,69.674,6.0,3.0,13.3333,16.0349
2002-03-11,14.15,19.4,37.1025,23.273,22.9589,0.8085,1.5709,12203243764.1,3.6783,69.5206,6.0,4.0,13.75,16.0349
2002-03-12,14.06,19.4,37.9801,23.125,22.9612,0.8034,1.5707,12125625959.24,3.6783,69.5206,6.0,4.0,13.75,16.0349
2002-03-13,13.95,19.4,39.0681,22.9441,22.9589,0.7971,1.5662,12030759753.3,3.6783,69.5206,6.0,4.0,13.75,16.0349
2002-03-14,14.4,19.4,34.7222,23.6842,22.9589,0.8228,1.5616,12418848777.6,3.6783,69.5206,6.0,4.0,13.75,16.0349
2002-03-15,14.18,19.4,36.8124,23.3224,22.9589,0.8103,1.5608,12229116365.72,3.6783,69.5206,6.0,4.0,13.75,16.0349
2002-03-18,14.26,19.4,36.0449,23.4539,22.9504,0.8148,1.558,12298109970.04,3.6783,69.5206,6.0,4.0,13.75,16.0349
2002-03-19,14.7,19.6,33.3333,24.4511,22.9566,0.8716,1.558,12677574793.8,3.7077,68.7881,6.0,4.0,13.75,16.0349
2002-03-20,15.31,19.6,28.0209,25.4657,22.9589,0.9077,1.5579,13203651026.74,3.7077,68.7881,6.0,4.0,13.75,16.0349
2002-03-21,15.13,19.6,29.544,25.1663,22.9589,0.8971,1.5563,13048415417.02,3.7077,68.7881,6.0,4.0,13.75,16.0349
2002-03-22,14.7,19.6,33.3333,24.4511,22.9589,0.8716,1.5549,12677574793.8,3.7077,68.7881,6.0,4.0,13.75,16.0349
2002-03-25,14.5,19.6,35.1724,24.1184,22.9504,0.8597,1.5503,12505090783.0,3.7077,68.7881,6.0,4.0,13.75,16.0349
2002-03-26,14.42,19.6,35.9223,23.9854,22.9566,0.855,1.5469,12436097178.68,3.7077,68.7881,6.0,4.0,13.75,16.0349
2002-03-27,15.0,19.6,30.6667,24.9501,22.9589,0.8894,1.546,12936300810.0,3.7077,68.7881,6.0,4.0,13.75,16.0349
2002-03-28,15.04,19.6,30.3191,25.0166,22.9589,0.8917,1.5438,12970797612.16,3.7077,68.7881,6.0,4.0,13.75,16.0349
2002-04-01,14.93,19.6,31.2793,24.8337,22.9441,0.8852,1.5357,12875931406.22,3.7077,68.7881,6.0,4.0,13.75,16.0349
2002-04-02,14.71,19.6,33.2427,24.4677,22.9504,0.8714,1.5343,12686198994.34,3.7071,68.7881,6.0,4.0,13.75,16.0349
2002-04-03,14.76,19.6,32.7913,24.5509,22.9566,0.8744,1.5328,12729319997.04,3.7071,68.7881,6.0,4.0,13.75,16.0349
2002-04-04,15.27,21.3333,39.7073,25.3992,22.9566,0.9046,1.5276,13169154224.58,3.7071,68.7881,6.0,4.0,13.75,16.0349
2002-04-05,15.45,21.3333,38.0796,25.6986,22.9566,0.9153,1.5259,13324389834.3,3.7071,68.7881,6.0,4.0,13.75,16.0349
2002-04-08,15.67,21.3333,36.141,26.0645,22.9441,0.9283,1.5256,13514122246.18,3.7071,68.7881,6.0,4.0,13.75,16.0349
2002-04-09,15.47,21.3333,37.9011,25.9303,22.9504,0.9165,1.524,13341638235.38,3.7071,68.6348,6.0,4.0,13.75,16.0349
2002-04-10,15.44,21.3333,38.169,25.8887,22.9566,0.9147,1.5223,13315765633.76,3.7071,68.6282,6.0,4.0,13.75,16.0771
2002-04-11,13.86,21.3333,53.9199,23.2394,22.9566,0.8211,1.5218,11953141948.44,3.7071,68.6282,6.0,4.0,13.75,16.0771
2002-04-12,14.0,21.3333,52.3807,23.989,22.9566,0.8294,1.5193,12073880756.0,3.7032,67.9435,6.0,4.0,13.75,15.9316
2002-04-15,14.0,21.3333,52.3807,23.989,22.9441,0.8294,1.513,12073880756.0,3.7032,67.9435,6.0,4.0,13.75,15.9316
2002-04-16,14.25,21.3333,49.7074,26.7204,22.9504,0.8445,1.5128,12289485769.5,3.7035,66.5614,6.0,4.0,13.75,15.9316
2002-04-17,14.25,21.3333,49.7074,29.0283,22.9566,0.8683,1.5125,12289485769.5,3.7841,66.0421,6.0,4.0,13.75,15.9316
2002-04-18,14.55,21.3333,46.6206,29.6394,22.9566,0.8866,1.508,12548211785.7,3.7841,66.0421,6.0,4.0,13.75,15.9316
2002-04-19,14.57,20.4286,40.21,29.6802,22.9566,0.8878,1.5071,12565460186.78,3.7747,65.6525,6.0,4.0,13.75,15.9316
2002-04-22,14.4,20.4286,42.3611,32.7273,22.9504,0.9035,1.5039,12418848777.6,3.7747,65.6525,6.0,4.0,13.75,15.9316
2002-04-23,14.66,20.4286,39.8363,34.0139,22.9566,0.9198,1.502,12643077991.64,3.7747,65.1106,6.0,4.0,13.75,15.9316
2002-04-24,14.24,20.4286,43.9607,33.0394,22.9589,0.8934,1.501,12280861568.96,3.7747,65.1106,6.0,4.0,13.75,15.9316
2002-04-25,14.07,20.4286,45.7001,32.645,22.9589,0.8828,1.5,12134250159.78,3.7747,65.1106,6.0,4.0,13.75,15.9316
2002-04-26,14.41,20.4286,42.2623,33.4339,22.9589,0.9041,1.4932,12427472978.14,3.7747,65.1106,6.0,4.0,13.75,15.9316
2002-04-29,14.14,20.4286,44.9788,32.8074,22.9504,0.8872,1.4913,12194619563.56,3.7747,65.7761,6.0,5.0,13.4,15.9316
2002-04-30,14.11,20.4286,45.287,32.7378,22.9504,0.8853,1.4908,12168746961.94,3.7747,65.7761,6.0,5.0,13.4,15.9316
2002-05-01,14.4,20.4286,42.3611,33.5664,22.9504,0.9035,1.4904,12418848777.6,3.7747,64.8938,6.0,5.0,13.4,15.9316
2002-05-02,14.96,20.4286,37.0321,34.8718,22.9504,0.9386,1.487,12901804007.84,3.7747,64.8938,6.0,5.0,13.4,15.9316
2002-05-03,14.77,20.4286,38.7949,35.0915,22.9504,0.9267,1.4853,12737944197.58,3.7747,64.6897,6.0,5.0,13.4,15.9316
2002-05-06,14.6,20.4286,40.411,34.6876,22.9134,0.916,1.4827,12591332788.4,3.7747,64.6897,6.0,5.0,13.4,15.9316
2002-05-07,14.83,20.4286,38.2333,35.3853,22.9441,0.9306,1.482,12789689400.82,3.9184,64.7757,6.0,5.0,13.4,15.9316
2002-05-08,14.71,20.4286,39.361,35.099,22.9504,0.923,1.4814,12686198994.34,3.9184,64.7757,6.0,5.0,13.4,15.9316
2002-05-09,15.79,18.3333,16.107,38.2788,22.9504,0.9908,1.4759,13617612652.66,3.8418,64.9197,6.0,5.0,13.4,15.9316
2002-05-10,15.5,18.3333,18.2794,37.3494,22.9504,0.9434,1.4745,13367510837.0,3.7374,65.2752,6.0,5.0,13.4,18.7421
2002-05-13,16.19,18.3333,13.2384,38.6212,22.9134,0.9854,1.4689,13962580674.26,3.7374,65.5055,6.0,5.0,13.4,18.7421
2002-05-14,16.88,18.3333,8.6096,39.4854,22.9441,1.0303,1.4683,14557650511.52,3.7441,65.6688,6.0,5.0,13.4,18.7421
2002-05-15,16.82,18.3333,8.997,39.345,22.9504,1.0267,1.4677,14505905308.28,3.7441,64.588,6.0,5.0,13.4,18.7421
2002-05-16,16.89,18.6667,10.5192,37.743,22.9504,1.0309,1.4661,14566274712.06,3.7441,64.1658,6.0,5.0,14.4,18.7421
2002-05-17,16.3,18.8571,15.6877,34.9635,22.9504,0.9949,1.4641,14057446880.2,3.7441,64.4732,6.0,5.0,14.4,18.7421
2002-05-20,16.33,18.8571,15.4752,35.058,22.9441,0.9983,1.4521,14083319481.82,3.7481,64.4785,6.0,5.0,14.4,18.6209
2002-05-21,16.0,18.8571,17.8569,35.461,22.9504,0.9825,1.451,13798720864.0,3.761,64.2417,6.0,5.0,14.4,18.6209
2002-05-22,13.55,18.8571,39.1668,30.0777,22.9566,0.832,1.4498,11685791731.7,3.761,42.3834,1.0,5.0,14.4,18.6209
2002-05-23,13.85,18.8571,36.1523,30.7436,22.9566,0.8505,1.4441,11944517747.9,3.761,42.3834,1.0,5.0,14.4,18.6209
2002-05-24,14.06,18.8571,34.1188,31.2098,22.9566,0.8634,1.4414,12125625959.24,3.761,42.3834,1.0,5.0,14.4,18.6209
2002-05-28,14.01,18.8571,34.5974,29.8784,22.9504,0.8603,1.4409,12082504956.54,3.761,42.3834,1.0,5.0,14.4,18.6209
2002-05-29,13.99,18.8571,34.7898,28.6094,22.9566,0.8591,1.4408,12065256555.46,3.761,44.9765,1.0,5.0,14.4,18.9818
2002-05-30,14.31,18.8571,31.7757,29.2638,22.9589,0.8787,1.4407,12341230972.74,3.761,44.9765,1.0,5.0,14.4,18.9818
2002-05-31,14.57,18.8571,29.4242,29.7529,22.9589,0.8947,1.4384,12565460186.78,3.761,45.0512,1.0,5.0,14.4,18.9818
2002-06-03,14.27,18.8571,32.1451,29.1403,22.9504,0.8763,1.4373,12306734170.58,3.761,45.0512,1.0,5.0,14.4,18.9818
2002-06-04,14.55,18.8571,29.6021,29.7121,22.9566,0.8935,1.4359,12548211785.7,3.761,45.0512,1.0,5.0,14.4,18.9818
2002-06-05,15.18,18.8571,24.2233,30.9986,22.9589,0.9251,1.4345,13091536419.72,3.7454,45.0512,1.0,5.0,14.4,18.9818
2002-06-06,15.13,18.8571,24.6338,31.8728,22.9589,0.9231,1.4332,12920263500.0,3.7735,44.3312,1.0,5.0,14.4,18.9818
2002-06-07,15.26,18.8571,23.5721,32.1466,22.9589,0.9529,1.4315,13337424371.32,3.7735,44.2862,1.0,5.0,14.4,18.9818
2002-06-10,15.45,18.8571,22.0524,32.5469,22.9504,0.9647,1.4299,13503486666.9,3.7735,44.2862,1.0,5.0,14.4,18.9818
2002-06-11,15.44,18.8571,22.1315,32.2338,22.9566,0.9621,1.4294,13494746546.08,3.7665,44.6373,1.0,5.0,14.4,18.9818
2002-06-12,15.5,18.8571,21.6587,32.2648,22.9589,0.9658,1.4289,13547187271.0,3.7665,44.73,1.0,5.0,13.4,18.9818
2002-06-13,15.26,18.8571,23.5721,31.8647,22.9589,0.9521,1.4274,13337424371.32,3.7711,44.6889,1.0,5.0,13.4,18.9818
2002-06-14,14.45,18.8571,30.499,30.1733,22.9589,0.9016,1.4269,12629474584.9,3.7711,44.6889,1.0,5.0,13.4,18.9818
