date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2011-12-09,15.45,15.1683,-1.8233,11.8919,12.0222,4.0571,5.484,319940824.8,38.0737,8.1703,1.0,1.0,8.0,8.1854
2011-12-12,15.18,15.1683,-0.0771,11.6841,12.0221,3.9862,5.474,314349625.92,38.0737,8.1703,1.0,1.0,8.0,8.1854
2011-12-13,15.14,15.1683,0.1869,11.6533,12.0221,3.9757,5.4714,313521300.16,38.0737,8.1703,1.0,1.0,8.0,8.1854
2011-12-14,15.5,15.1683,-2.14,11.9304,12.0221,4.0702,5.4688,320976232.0,38.0737,8.1703,1.0,1.0,8.0,8.1854
2011-12-15,15.59,15.1683,-2.7049,11.9997,12.0186,4.0939,5.4642,322839964.96,38.0737,8.1703,1.0,1.0,8.0,8.1854
2011-12-16,15.38,15.1683,-1.3765,11.8381,12.015,4.0387,5.4596,318491254.72,38.0737,8.1703,1.0,1.0,8.0,8.1854
2011-12-19,15.36,15.1683,-1.248,11.8227,12.01,4.0335,5.4566,318077091.84,38.0737,8.1703,1.0,1.0,8.0,8.1854
2011-12-20,15.94,15.1683,-4.8413,12.2691,12.015,4.1858,5.4535,330087815.36,38.0737,8.1703,1.0,1.0,8.0,8.1854
2011-12-21,15.88,15.1683,-4.4817,12.2229,12.0186,4.17,5.447,328845326.72,38.0737,8.1703,1.0,1.0,8.0,8.1854
2011-12-22,15.71,15.1683,-3.4481,12.0921,12.0221,4.1254,5.4406,325324942.24,38.0737,8.1703,1.0,1.0,8.0,8.1854
2011-12-23,15.73,15.1683,-3.5709,12.1075,12.0221,4.1306,5.4406,325739105.12,38.0737,8.1703,1.0,1.0,8.0,8.1854
2011-12-27,15.87,15.1683,-4.4216,12.2152,12.0221,4.1674,5.4406,328638245.28,38.0737,8.1703,1.0,1.0,8.0,8.1854
2011-12-28,15.69,15.1683,-3.325,12.0767,12.0222,4.1201,5.4401,324910779.36,38.0737,8.1703,1.0,1.0,8.0,8.1854
2011-12-29,15.73,15.1683,-3.5709,12.1075,12.0222,4.1306,5.4396,325739105.12,38.0737,8.1703,1.0,1.0,8.0,8.1854
2011-12-30,15.5,15.1683,-2.14,11.9304,12.0222,4.0702,5.4384,320976232.0,38.0737,8.1703,1.0,1.0,8.0,8.1854
2012-01-03,15.48,15.1683,-2.0136,11.915,12.0221,4.065,5.4371,320562069.12,38.0737,8.1703,1.0,1.0,8.0,8.1854
2012-01-04,15.23,15.1683,-0.4051,11.7226,12.0221,3.9993,5.4369,315385033.12,38.0737,8.1703,1.0,1.0,8.0,8.1854
2012-01-05,15.19,15.1683,-0.1429,11.6918,12.0221,3.9888,5.4367,314556707.36,38.0737,8.1703,1.0,1.0,8.0,8.1854
2012-01-06,15.28,15.1683,-0.731,11.7611,12.0186,4.0125,5.4362,316420440.32,38.0737,8.1703,1.0,1.0,8.0,8.1854
2012-01-09,15.35,15.1683,-1.1837,11.815,12.015,4.0309,5.4357,317870010.4,38.0737,8.1703,1.0,1.0,8.0,8.1854
2012-01-10,15.46,15.1683,-1.8868,11.8996,12.01,4.0597,5.4357,320147906.24,38.0737,8.1703,1.0,1.0,8.0,8.1854
2012-01-11,15.41,15.1683,-1.5685,11.8611,12.0051,4.0466,5.4357,319112499.04,38.0737,8.1703,1.0,1.0,8.0,8.1854
2012-01-12,15.42,15.1683,-1.6323,11.8688,12.0028,4.0492,5.4338,319319580.48,38.0737,8.1703,1.0,1.0,8.0,8.1854
2012-01-13,15.27,15.1683,-0.666,11.7534,12.0006,4.0098,5.4319,316213358.88,38.0737,8.1703,1.0,1.0,8.0,8.1854
2012-01-17,15.48,15.1683,-2.0136,11.915,12.0002,4.065,5.4272,320562069.12,38.0737,8.1703,1.0,1.0,8.0,8.1854
2012-01-18,15.64,15.1683,-3.016,12.0382,12.0006,4.107,5.4226,323875372.16,38.0737,8.1703,1.0,1.0,8.0,8.1854
2012-01-19,15.55,15.1683,-2.4547,11.9689,12.0002,4.0834,5.4188,322011639.2,38.0737,8.1703,1.0,1.0,8.0,8.1854
2012-01-20,15.59,15.1683,-2.7049,11.9997,11.9997,4.0939,5.4151,322839964.96,38.0737,8.1703,1.0,1.0,8.0,8.1854
2012-01-23,15.47,15.1683,-1.9502,11.9073,11.9997,4.0624,5.4138,320354987.68,38.0737,8.1703,1.0,1.0,8.0,8.1854
2012-01-24,15.75,15.1683,-3.6933,12.1228,11.9997,4.1359,5.4126,326153268.0,38.0737,8.1703,1.0,1.0,8.0,8.1854
2012-01-25,15.77,15.1683,-3.8155,12.1382,12.0002,4.1411,5.4123,326567430.88,38.0737,8.1703,1.0,1.0,8.0,8.1854
2012-01-26,15.71,15.1683,-3.4481,12.0921,12.0006,4.1254,5.412,325324942.24,38.0737,8.1703,1.0,1.0,8.0,8.1854
2012-01-27,15.95,15.1683,-4.9009,12.2768,12.0028,4.1884,5.4104,330294896.8,38.0737,8.1703,1.0,1.0,8.0,8.1854
2012-01-30,15.62,15.1683,-2.8918,12.0228,12.0051,4.1018,5.4088,323461209.28,38.0737,8.1703,1.0,1.0,8.0,8.1854
2012-01-31,15.28,15.1683,-0.731,11.7611,12.0028,4.0125,5.4057,316420440.32,38.0737,8.1703,1.0,1.0,8.0,8.1854
2012-02-01,15.32,15.1683,-0.9902,11.8137,12.0006,4.0307,5.4026,317248766.08,37.8215,7.9641,1.0,1.0,8.0,7.9687
2012-02-02,15.28,15.1683,-0.731,11.6392,12.0002,4.0022,5.401,316420440.32,38.282,9.141,1.0,1.0,8.0,9.2829
2012-02-03,15.28,15.1683,-0.731,11.6392,11.9997,4.0022,5.3995,316420440.32,38.282,9.141,1.0,1.0,8.0,9.2829
2012-02-06,15.35,15.1683,-1.1837,11.6926,11.9997,4.0205,5.3964,317870010.4,38.282,9.141,1.0,1.0,8.0,9.2829
2012-02-07,15.28,15.1683,-0.731,11.682,11.9997,3.8882,5.3934,316420440.32,38.3981,9.1327,1.0,1.0,8.0,9.2829
2012-02-08,15.29,15.1683,-0.7959,11.6896,11.9971,3.8907,5.3933,316627521.76,38.3981,9.1327,1.0,1.0,8.0,9.2829
2012-02-09,15.28,15.1683,-0.731,11.6615,11.9944,3.9284,5.3932,316420440.32,36.5338,8.0984,1.0,1.0,8.0,8.0867
2012-02-10,15.25,15.1683,-0.5357,11.6386,11.9925,3.9207,5.3917,315799196.0,36.5338,8.0984,1.0,1.0,8.0,8.0867
2012-02-13,15.25,15.1683,-0.5357,11.767,11.9905,3.9452,5.3902,315799196.0,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-02-14,15.31,15.1683,-0.9255,11.8133,11.9886,3.9607,5.388,317041684.64,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-02-15,15.21,15.1683,-0.2742,11.7361,11.9867,3.9349,5.3857,314970870.24,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-02-16,15.3,15.1683,-0.8608,11.8056,11.9843,3.9581,5.3857,316834603.2,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-02-17,15.21,15.1683,-0.2742,11.7361,11.9819,3.9349,5.3857,314970870.24,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-02-21,15.23,15.1683,-0.4051,11.7515,11.9804,3.94,5.3848,315385033.12,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-02-22,15.21,15.1683,-0.2742,11.7361,11.9789,3.9349,5.3838,314970870.24,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-02-23,15.26,15.1683,-0.6009,11.7747,11.9781,3.9478,5.3822,316006277.44,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-02-24,15.3,15.1683,-0.8608,11.8056,11.9773,3.9581,5.3807,316834603.2,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-02-27,15.36,15.1683,-1.248,11.8519,11.9764,3.9737,5.3792,318077091.84,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-02-28,15.21,15.1683,-0.2742,11.7361,11.9754,3.9349,5.3776,314970870.24,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-02-29,15.0,15.1683,1.122,11.5741,11.9726,3.8805,5.3766,310622160.0,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-03-01,15.04,15.1683,0.8531,11.6049,11.9698,3.8909,5.3757,311450485.76,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-03-02,15.1,15.1683,0.4523,11.6512,11.9693,3.9064,5.375,312692974.4,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-03-05,14.9,15.1683,1.8007,11.4969,11.9689,3.8547,5.3742,308551345.6,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-03-06,14.7,15.1683,3.1857,11.3426,11.968,3.8029,5.3704,304409716.8,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-03-07,14.93,15.1683,1.5961,11.5201,11.967,3.8624,5.3665,309172589.92,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-03-08,14.7,15.1683,3.1857,11.3426,11.9668,3.8029,5.3646,304409716.8,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-03-09,14.82,15.1683,2.3502,11.4352,11.9666,3.834,5.3627,306894694.08,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-03-12,15.02,15.1683,0.9874,11.5895,11.9656,3.8857,5.3592,311036322.88,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-03-13,15.14,15.1683,0.1869,11.6821,11.9647,3.9168,5.3557,313521300.16,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-03-14,14.75,15.1683,2.8359,11.3812,11.9642,3.8159,5.3553,305445124.0,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-03-15,14.73,15.1683,2.9756,11.3657,11.9636,3.8107,5.355,305030961.12,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-03-16,14.57,15.1683,4.1064,11.2423,11.9612,3.7693,5.3486,301717658.08,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-03-19,14.57,15.1683,4.1064,11.2423,11.9587,3.7693,5.3422,301717658.08,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-03-20,14.65,15.1683,3.5379,11.304,11.9565,3.79,5.3396,303374309.6,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-03-21,14.71,15.1683,3.1156,11.3503,11.9543,3.8055,5.3369,304616798.24,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-03-22,14.71,15.1683,3.1156,11.3503,11.9534,3.8055,5.3353,304616798.24,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-03-23,14.98,15.1683,1.257,11.5586,11.9526,3.8754,5.3337,310207997.12,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-03-26,14.96,15.1683,1.3924,11.5432,11.9513,3.8702,5.3328,309793834.24,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-03-27,14.75,15.1683,2.8359,11.3812,11.95,3.8159,5.3319,305445124.0,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-03-28,14.81,15.1683,2.4193,11.4275,11.9494,3.8314,5.3312,306687612.64,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-03-29,15.15,15.1683,0.1208,11.6898,11.9488,3.9193,5.3306,313728381.6,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-03-30,15.27,15.1683,-0.666,11.7824,11.9444,3.9504,5.33,316213358.88,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-04-02,15.15,15.1683,0.1208,11.6898,11.9401,3.9193,5.3293,313728381.6,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-04-03,15.01,15.1683,1.0546,11.5818,11.9374,3.8831,5.3279,310829241.44,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-04-04,14.92,15.1683,1.6642,11.5123,11.9348,3.8598,5.3266,308965508.48,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-04-05,15.01,15.1683,1.0546,11.5818,11.9342,3.8831,5.3216,310829241.44,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-04-09,14.8,15.1683,2.4885,11.4198,11.9337,3.8288,5.3165,306480531.2,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-04-10,14.68,15.1683,3.3263,11.3272,11.9329,3.7977,5.3157,303995553.92,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-04-11,14.83,15.1683,2.2812,11.4429,11.9321,3.8366,5.3149,307101775.52,36.4383,8.0858,1.0,1.0,8.0,8.0867
2012-04-12,14.81,15.1683,2.4193,11.3853,11.9321,3.8096,5.3134,306687612.64,36.484,8.0879,1.0,1.0,8.0,8.0867
2012-04-13,14.79,15.1683,2.5578,11.3699,11.9321,3.8045,5.3118,306273449.76,36.484,8.0879,1.0,1.0,8.0,8.0867
2012-04-16,14.81,15.1683,2.4193,11.3853,11.9312,3.8096,5.31,306687612.64,36.484,8.0879,1.0,1.0,8.0,8.0867
2012-04-17,14.83,15.1683,2.2812,11.4007,11.9304,3.8148,5.3082,307101775.52,36.484,8.0879,1.0,1.0,8.0,8.0867
2012-04-18,14.8,15.1683,2.4885,11.3776,11.9304,3.8071,5.3069,306480531.2,36.484,8.0879,1.0,1.0,8.0,8.0867
2012-04-19,14.8,15.1683,2.4885,11.3776,11.9304,3.8071,5.3055,306480531.2,36.484,8.0879,1.0,1.0,8.0,8.0867
2012-04-20,14.68,15.1683,3.3263,11.2854,11.9303,3.7762,5.3054,303995553.92,36.484,8.0879,1.0,1.0,8.0,8.0867
2012-04-23,14.74,15.1683,2.9057,11.3315,11.9301,3.7916,5.3051,305238042.56,36.484,8.0879,1.0,1.0,8.0,8.0867
2012-04-24,14.58,15.1683,4.035,11.3844,11.9301,3.7522,5.305,301924739.52,36.7739,8.4508,1.0,1.0,8.0,8.4189
2012-04-25,14.54,15.1683,4.3212,11.3532,11.9264,3.7419,5.299,301096413.76,36.7739,8.4508,1.0,1.0,8.0,8.4189
2012-04-26,14.69,15.1683,3.256,11.4703,11.9226,3.7805,5.293,304202635.36,36.7739,8.4508,1.0,1.0,8.0,8.4189
2012-04-27,14.83,15.1683,2.2812,11.5796,11.9208,3.8165,5.2884,307101775.52,36.7739,8.4508,1.0,1.0,8.0,8.4189
2012-04-30,14.86,15.1683,2.0747,11.603,11.9182,3.8242,5.279,307723019.84,36.7739,8.4508,1.0,1.0,8.0,8.4189
2012-05-01,14.65,15.1683,3.5379,11.4391,11.9173,4.174,5.2742,335871217.95,36.7739,8.4508,1.0,1.0,8.0,8.4189
2012-05-02,14.6,15.1683,3.8925,11.4,11.9172,4.6047,5.2711,370529501.8,36.7739,8.4508,1.0,1.0,8.0,8.4189
2012-05-03,14.59,15.1683,3.9637,11.4981,11.9171,4.7855,5.268,370275714.47,36.5673,8.4579,1.0,1.0,8.0,8.4189
2012-05-04,14.39,15.1683,5.4086,11.3405,11.916,4.8132,5.2615,365199967.87,36.5298,8.4585,1.0,1.0,8.0,8.4189
2012-05-07,14.38,15.1683,5.4819,11.3327,11.915,4.8099,5.255,364946180.54,36.5298,8.4585,1.0,1.0,8.0,8.4189
2012-05-08,14.35,15.1683,5.7024,11.309,11.915,4.7999,5.2512,364184818.55,36.5298,8.4585,1.0,1.0,8.0,8.4189
2012-05-09,14.32,15.1683,5.9239,11.2854,11.915,4.7898,5.2473,363423456.56,36.5298,8.4585,1.0,1.0,8.0,8.4189
2012-05-10,14.79,15.1683,2.5578,11.6558,11.915,4.947,5.2467,375351461.07,36.5298,8.4585,1.0,1.0,8.0,8.4189
2012-05-11,14.57,15.1683,4.1064,11.4824,11.915,4.8734,5.246,369768139.81,36.5298,8.4585,1.0,1.0,8.0,8.4189
2012-05-14,14.43,15.1683,5.1164,11.3721,11.9111,4.8266,5.2429,366215117.19,36.5298,8.4585,1.0,1.0,8.0,8.4189
2012-05-15,14.35,15.1683,5.7024,11.309,11.9073,4.7999,5.2398,364184818.55,36.5298,8.4585,1.0,1.0,8.0,8.4189
2012-05-16,14.45,15.1683,4.9709,11.3878,11.9052,4.8333,5.2366,366722691.85,36.5298,8.4585,1.0,1.0,8.0,8.4189
2012-05-17,14.31,15.1683,5.9979,11.2775,11.9031,4.7865,5.2335,363169669.23,36.5298,8.4585,1.0,1.0,8.0,8.4189
2012-05-18,14.27,15.1683,6.295,11.246,11.9031,4.7731,5.232,362154519.91,36.5298,8.4585,1.0,1.0,8.0,8.4189
2012-05-21,14.36,15.1683,5.6288,11.3169,11.9031,4.8032,5.2304,364438605.88,36.5298,8.4585,1.0,1.0,8.0,8.4189
2012-05-22,14.25,15.1683,6.4442,11.2302,11.9031,4.7664,5.2265,361646945.25,36.5298,8.4585,1.0,1.0,8.0,8.4189
2012-05-23,14.31,15.1683,5.9979,11.2775,11.9031,4.7865,5.2226,363169669.23,36.5298,8.4585,1.0,1.0,8.0,8.4189
2012-05-24,14.34,15.1683,5.7762,11.3011,11.9031,4.7965,5.2202,363931031.22,36.5298,8.4585,1.0,1.0,8.0,8.4189
2012-05-25,14.5,15.1683,4.609,11.4272,11.9031,4.85,5.2178,367991628.5,36.5298,8.4585,1.0,1.0,8.0,8.4189
2012-05-29,14.53,15.1683,4.393,11.4509,11.9022,4.8601,5.2126,368752990.49,36.5298,8.4585,1.0,1.0,8.0,8.4189
2012-05-30,14.42,15.1683,5.1893,11.3642,11.9013,4.8233,5.2073,365961329.86,36.5298,8.4585,1.0,1.0,8.0,8.4189
2012-05-31,14.57,15.1683,4.1064,11.643,11.9004,4.9267,5.2032,369768139.81,34.9449,6.8688,1.0,1.0,8.0,6.9132
2012-06-01,14.41,15.1683,5.2623,11.5151,11.8996,4.8726,5.1991,365707542.53,34.9449,6.8688,1.0,1.0,8.0,6.9132
2012-06-04,14.4,15.1683,5.3354,11.5071,11.896,4.8692,5.1922,365453755.2,34.9449,6.8688,1.0,1.0,8.0,6.9132
2012-06-05,14.53,15.1683,4.393,11.611,11.8925,4.9132,5.1852,368752990.49,34.9449,6.8688,1.0,1.0,8.0,6.9132
2012-06-06,14.68,15.1683,3.3263,11.7309,11.8922,4.9639,5.1734,372559800.44,34.9449,6.8688,1.0,1.0,8.0,6.9132
2012-06-07,14.73,15.1683,2.9756,11.7708,11.8919,4.9808,5.1615,373828737.09,34.9449,6.8688,1.0,1.0,8.0,6.9132
2012-06-08,14.8,15.1683,2.4885,11.8268,11.8885,5.0045,5.149,375605248.4,34.9449,6.8688,1.0,1.0,8.0,6.9132
2012-06-11,14.79,15.1683,2.5578,11.8188,11.8851,5.0011,5.1364,375351461.07,34.9449,6.8688,1.0,1.0,8.0,6.9132
2012-06-12,15.18,15.1683,-0.0771,12.1304,11.8885,5.133,5.1347,385249166.94,34.9449,6.8688,1.0,1.0,8.0,6.9132
2012-06-13,15.08,15.1683,0.5855,12.0505,11.8919,5.0992,5.133,382711293.64,34.9449,6.8688,1.0,1.0,8.0,6.9132
2012-06-14,15.09,15.1683,0.5189,12.0585,11.8922,5.1025,5.1325,382965080.97,34.9449,6.8688,1.0,1.0,8.0,6.9132
2012-06-15,15.15,15.1683,0.1208,12.1064,11.8925,5.1228,5.132,384487804.95,34.9449,6.8688,1.0,1.0,8.0,6.9132
2012-06-18,15.0,15.1683,1.122,11.9866,11.896,5.0721,5.1309,380680995.0,34.9449,6.8688,1.0,1.0,8.0,6.9132
2012-06-19,15.12,15.1683,0.3194,12.0825,11.8996,5.1127,5.1298,383726442.96,34.9449,6.8688,1.0,1.0,8.0,6.9132
2012-06-20,14.95,15.1683,1.4602,11.9466,11.9004,5.0552,5.1263,379412058.35,34.9449,6.8688,1.0,1.0,8.0,6.9132
2012-06-21,14.74,15.1683,2.9057,11.7788,11.8996,4.9842,5.1228,374082524.42,34.9449,6.8688,1.0,1.0,8.0,6.9132
2012-06-22,15.1,15.1683,0.4523,12.0665,11.9004,5.1059,5.1219,383218868.3,34.9449,6.8688,1.0,1.0,8.0,6.9132
2012-06-25,15.08,15.1683,0.5855,12.0505,11.9013,5.0992,5.121,382711293.64,34.9449,6.8688,1.0,1.0,8.0,6.9132
2012-06-26,14.99,15.1683,1.1895,11.9786,11.9022,5.0687,5.1209,380427207.67,34.9449,6.8688,1.0,1.0,8.0,6.9132
2012-06-27,15.02,15.1683,0.9874,12.0026,11.9031,5.0789,5.1208,381188569.66,34.9449,6.8688,1.0,1.0,8.0,6.9132
2012-06-28,14.77,15.1683,2.6967,11.8028,11.9022,4.9943,5.1208,374843886.41,34.9449,6.8688,1.0,1.0,8.0,6.9132
2012-06-29,15.09,15.1683,0.5189,12.0585,11.9031,5.1025,5.1208,382965080.97,34.9449,6.8688,1.0,1.0,8.0,6.9132
2012-07-02,15.4,15.1683,-1.5045,12.3062,11.9031,5.2074,5.1208,390832488.2,34.9449,6.8688,1.0,1.0,8.0,6.9132
2012-07-03,15.4,15.1683,-1.5045,12.3062,11.9031,5.2074,5.1208,390832488.2,34.9449,6.8688,1.0,1.0,8.0,6.9132
2012-07-05,15.37,15.1683,-1.3123,12.2822,11.9031,5.1972,5.1209,390071126.21,34.9449,6.8688,1.0,1.0,8.0,6.9132
2012-07-06,15.22,15.1683,-0.3397,12.1624,11.9031,5.1465,5.121,386264316.26,34.9449,6.8688,1.0,1.0,8.0,6.9132
2012-07-09,15.15,15.1683,0.1208,12.1064,11.9031,5.1228,5.1219,384487804.95,34.9449,6.8688,1.0,1.0,8.0,6.9132
2012-07-10,15.05,15.1683,0.786,12.0265,11.9031,5.089,5.121,381949931.65,34.9449,6.8688,1.0,1.0,8.0,6.9132
2012-07-11,15.26,15.1683,-0.6009,12.1943,11.9052,5.1847,5.1219,387279465.58,34.9276,6.8801,1.0,1.0,8.0,6.9132
2012-07-12,15.27,15.1683,-0.666,12.2023,11.9073,5.1881,5.1228,387533252.91,34.9276,6.8801,1.0,1.0,8.0,6.9132
2012-07-13,15.3,15.1683,-0.8608,12.2263,11.9111,5.1983,5.1228,388294614.9,34.9276,6.8801,1.0,1.0,8.0,6.9132
2012-07-16,15.2,15.1683,-0.2086,12.1464,11.915,5.1643,5.1228,385756741.6,34.9276,6.8801,1.0,1.0,8.0,6.9132
2012-07-17,15.25,15.1683,-0.5357,12.1864,11.915,5.1813,5.1263,387025678.25,34.9276,6.8801,1.0,1.0,8.0,6.9132
2012-07-18,15.33,15.1683,-1.0548,12.2503,11.915,5.2085,5.1298,389055976.89,34.9276,6.8801,1.0,1.0,8.0,6.9132
2012-07-19,15.24,15.1683,-0.4705,12.1784,11.915,5.1779,5.1309,386771890.92,34.9276,6.8801,1.0,1.0,8.0,6.9132
2012-07-20,15.29,15.1683,-0.7959,12.2183,11.915,5.1949,5.132,388040827.57,34.9276,6.8801,1.0,1.0,8.0,6.9132
2012-07-23,15.25,15.1683,-0.5357,12.1864,11.916,5.1813,5.1325,387025678.25,34.9276,6.8801,1.0,1.0,8.0,6.9132
2012-07-24,15.3,15.1683,-0.8608,12.2263,11.9171,5.1983,5.133,388294614.9,34.9276,6.8801,1.0,1.0,8.0,6.9132
2012-07-25,15.33,15.1683,-1.0548,12.2503,11.9172,5.2085,5.1347,389055976.89,34.9276,6.8801,1.0,1.0,8.0,6.9132
2012-07-26,15.39,15.1683,-1.4405,12.2982,11.9173,5.2288,5.1364,390578700.87,34.9276,6.8801,1.0,1.0,8.0,6.9132
2012-07-27,15.4,15.1683,-1.5045,12.4354,11.9182,5.3224,5.1414,390832488.2,33.2343,6.1945,1.0,1.0,8.0,6.1661
2012-07-30,15.17,15.1683,-0.0112,12.2497,11.919,5.2429,5.1465,384995379.61,33.2343,6.1945,1.0,1.0,8.0,6.1661
2012-07-31,15.38,15.1683,-1.3765,12.4193,11.9208,5.3155,5.154,390324913.54,33.2343,6.1945,1.0,1.0,8.0,6.1661
2012-08-01,15.09,15.1683,0.5189,12.1851,11.9226,5.2152,5.1615,382965080.97,33.2343,6.1945,1.0,1.0,8.0,6.1661
