date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2022-09-07,7.84,9.625,22.7679,10.7309,14.5594,3.0449,3.7068,1484536441.92,-3.469,11.4509,1.0,1.0,10.0642,26.5032
2022-09-08,7.85,9.625,22.6115,10.7446,14.5455,3.0488,3.7022,1486429983.3,-3.469,11.4509,1.0,1.0,10.0642,26.5032
2022-09-09,8.14,9.625,18.2432,11.1415,14.5455,3.1614,3.7014,1541342683.32,-3.469,11.4509,1.0,1.0,10.0642,26.5032
2022-09-12,8.16,9.625,17.9534,11.1689,14.5455,3.1692,3.7007,1545129766.08,-3.469,11.4509,1.0,1.0,10.0642,26.5032
2022-09-13,8.04,9.625,19.7139,11.0047,14.5398,3.1226,3.6994,1522407269.52,-3.469,11.4509,1.0,1.0,10.0642,26.5032
2022-09-14,8.25,9.625,16.6667,11.2921,14.5342,3.2041,3.6982,1562171638.5,-3.469,11.4509,1.0,1.0,10.0642,26.5032
2022-09-15,8.22,9.625,17.0925,11.251,14.5278,3.1925,3.6976,1556491014.36,-3.469,11.4509,1.0,1.0,10.0642,26.5032
2022-09-16,8.3,9.625,15.9639,11.3605,14.5213,3.2235,3.6971,1571639345.4,-3.469,11.4509,1.0,1.0,10.0642,26.5032
2022-09-19,8.43,9.625,14.1756,11.5385,14.5194,3.274,3.696,1596255383.34,-3.469,11.4509,1.0,1.0,10.0642,26.5032
2022-09-20,8.28,9.625,16.244,11.3332,14.5175,3.2158,3.6948,1567852262.64,-3.469,11.4509,1.0,1.0,10.0642,26.5032
2022-09-21,8.24,9.625,16.8083,11.2784,14.5105,3.2002,3.693,1560278097.12,-3.469,11.4509,1.0,1.0,10.0642,26.5032
2022-09-22,8.1,9.625,18.8272,11.0868,14.5035,3.1459,3.6912,1533768517.8,-3.469,11.4509,1.0,1.0,10.0642,26.5032
2022-09-23,7.67,9.625,25.4889,10.4982,14.5035,2.9789,3.6912,1452346238.46,-3.469,11.4509,1.0,1.0,10.0642,26.5032
2022-09-26,7.86,9.625,22.4555,10.7583,14.5035,3.0527,3.6912,1488323524.68,-3.469,11.4509,1.0,1.0,10.0642,26.5032
2022-09-27,7.84,9.625,22.7679,10.7309,14.4914,3.0449,3.6906,1484536441.92,-3.469,11.4509,1.0,1.0,10.0642,26.5032
2022-09-28,7.88,9.625,22.1447,10.7857,14.4794,3.0604,3.69,1492110607.44,-3.469,11.4509,1.0,1.0,10.0642,26.5032
2022-09-29,7.73,9.625,24.5149,10.5803,14.4774,3.0022,3.6899,1463707486.74,-3.469,11.4509,1.0,1.0,10.0642,26.5032
2022-09-30,7.89,9.625,21.9899,10.7993,14.4755,3.0643,3.6898,1494004148.82,-3.469,11.4509,1.0,1.0,10.0642,26.5032
2022-10-03,8.05,9.625,19.5652,11.0183,14.4704,3.1265,3.6886,1524300810.9,-3.469,11.4509,1.0,1.0,10.0642,26.5032
2022-10-04,8.14,9.625,18.2432,11.1415,14.4654,3.1614,3.6875,1541342683.32,-3.469,11.4509,1.0,1.0,10.0642,26.5032
2022-10-05,8.0,9.375,17.1875,11.0711,14.4634,3.107,3.687,1514833104.0,-3.469,11.4962,1.0,1.0,7.3787,26.5032
2022-10-06,7.85,9.375,19.4268,10.8635,14.4615,3.0488,3.6864,1486429983.3,-3.469,11.4962,1.0,1.0,7.3787,26.5032
2022-10-07,7.55,9.375,24.1722,10.4484,14.4476,2.9323,3.6852,1429623741.9,-3.469,11.4962,1.0,1.0,7.3787,26.5032
2022-10-10,7.5,9.375,25.0,10.3792,14.4336,2.9128,3.6839,1420156035.0,-3.469,11.4962,1.0,1.0,7.3787,26.5032
2022-10-11,7.3,9.375,28.4247,10.1024,14.4336,2.8352,3.682,1382285207.4,-3.469,11.4962,1.0,1.0,7.3787,26.5032
2022-10-12,7.12,9.375,31.6713,9.8533,14.4336,2.7653,3.6802,1348201462.56,-3.469,11.4962,1.0,1.0,7.3787,26.5032
2022-10-13,7.27,9.375,28.9546,10.0609,14.4286,2.8235,3.6726,1376604583.26,-3.469,11.4962,1.0,1.0,7.3787,26.5032
2022-10-14,7.25,9.375,29.3103,10.0332,14.4235,2.8157,3.665,1372817500.5,-3.469,11.4962,1.0,1.0,7.3787,26.5032
2022-10-17,7.4,9.1,22.973,10.4757,14.4216,2.8772,3.6635,1401220621.2,-0.3702,11.6414,2.0,1.0,7.3787,9.7251
2022-10-18,7.45,9.1,22.1477,10.6596,14.4196,2.899,3.662,1410688328.1,-0.1895,10.7387,2.0,1.0,7.3787,8.7895
2022-10-19,7.46,9.1,21.9839,10.6739,14.4196,2.9029,3.6602,1412581869.48,-0.1895,10.7387,2.0,1.0,7.3787,8.7895
2022-10-20,7.5,9.1,21.3333,10.7311,14.4196,2.9185,3.6583,1420156035.0,-0.1895,10.7387,2.0,1.0,7.3787,8.7895
