date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2018-03-16,28.43,37.5,31.9029,17.1523,17.429,0.8036,0.885,726414930.0,25.6595,433.7685,1.0,1.0,15.0,46.6889,12.240342063492063,14.362276318605284,19.92785238095238,10.680144894395813,26.602618382097347,9.247707486556568
2018-03-19,26.45,37.5,41.7769,15.9578,17.3957,0.7476,0.8738,675823950.0,25.6595,433.7685,1.0,1.0,15.0,46.6889,12.36872619047619,14.33645376739818,20.13887777777777,10.847114901740309,26.70517995787437,9.291762876037469
2018-03-20,25.52,37.5,46.9436,15.3967,17.3851,0.7213,0.8734,652061520.0,25.6595,433.7685,1.0,1.0,15.0,46.6889,12.508386111111111,14.329724385234012,20.39012777777777,11.09755917157266,26.838110496345124,9.29256860620512
2018-03-21,25.33,37.5,48.0458,15.2821,17.382,0.716,0.8734,647206830.0,25.6595,433.7685,1.0,1.0,15.0,46.6889,12.651386904761903,14.324020868811644,20.646989682539683,11.35916420103639,26.97540777357355,9.287825481503294
2018-03-22,24.23,37.5,54.7668,14.6184,17.3765,0.6849,0.8733,619100730.0,25.6595,433.7685,1.0,1.0,15.0,46.6889,12.808008730158727,14.352132559345396,20.951253968253965,11.751948258544957,27.160141289504125,9.199305709709009
2018-03-23,23.56,37.5,59.1681,14.2142,17.3741,0.6659,0.873,601981560.0,25.6595,433.7685,1.0,1.0,15.0,46.6889,12.972790674603177,14.40670416285216,21.29044920634921,12.22754932633734,27.379494837455336,9.06289988001187
2018-03-26,24.07,37.5,55.7956,14.5219,17.3194,0.6804,0.8714,615012570.0,25.6595,433.7685,1.0,1.0,15.0,46.6889,13.131311111111112,14.437501869103892,21.602080952380952,12.599945226281235,27.568812980215004,9.002135726099715
2018-03-27,23.84,37.5,57.2987,14.3831,17.2919,0.6739,0.8702,609135840.0,25.6595,433.7685,1.0,1.0,15.0,46.6889,13.29324126984127,14.47431662084622,21.931196825396825,12.983716674661482,27.76755789068749,8.947480150735343
2018-03-28,23.35,37.5,60.5996,14.0875,17.2854,0.66,0.8696,596615850.0,25.6595,433.7685,1.0,1.0,15.0,46.6889,13.460719642857145,14.532378315642704,22.34174126984127,13.379253225675024,27.993097958499845,8.962488044166244
2018-03-29,23.23,37.5,61.4292,14.0151,17.2668,0.6566,0.868,593549730.0,25.6595,433.7685,1.0,1.0,15.0,46.6889,13.633497023809522,14.584014109575802,22.79107063492064,13.731922021959736,28.21751113338532,9.0591486129609
2018-04-02,22.79,37.5,64.5459,13.7496,17.2381,0.6442,0.8615,582307290.0,25.6595,433.7685,1.0,1.0,15.0,46.6889,13.813547023809525,14.651274146588916,23.2419,14.159682017493596,28.46482117039844,9.082217982506403
2018-04-03,23.4,37.5,60.2564,14.1176,17.2381,0.6614,0.8611,597893400.0,25.6595,433.7685,1.0,1.0,15.0,46.6889,13.98399742063492,14.690902323437362,23.63483571428572,14.493186905780432,28.67489974407228,9.141648808505284
2018-04-04,24.09,37.5,55.6663,14.5339,17.2381,0.6809,0.8606,615523590.0,25.6595,433.7685,1.0,1.0,15.0,46.6889,14.142830555555555,14.707975603759978,23.9920626984127,14.723596320258451,28.85080615931553,9.268466378154246
2018-04-05,25.06,37.5,49.6409,15.1192,17.2298,0.7083,0.8594,640308060.0,25.6595,433.7685,1.0,1.0,15.0,46.6889,14.288709325396823,14.694689170941096,24.29858015873016,14.852818901217832,28.98339849633792,9.445761257512324
2018-04-06,24.58,37.5,52.5631,14.8296,17.2109,0.6948,0.8556,628043580.0,25.6595,433.7685,1.0,1.0,15.0,46.6889,14.441809523809525,14.690686039555008,24.63153809523809,15.012881664869916,29.13249556336453,9.618656430368176
2018-04-09,24.15,37.5,55.2795,14.5701,17.1523,0.6826,0.8546,617056650.0,25.6595,433.7685,1.0,1.0,15.0,46.6889,14.60086130952381,14.698029701148396,24.99706349206349,15.194308419236012,29.298891010672207,9.802755072827477
2018-04-10,24.16,37.5,55.2152,14.5762,17.1414,0.6829,0.8544,617312160.0,25.6595,433.7685,1.0,1.0,15.0,46.6889,14.759645436507936,14.703671969452117,25.35322222222222,15.37287894313722,29.46331740596005,9.980343279085002
2018-04-11,23.42,37.5,60.1196,14.1297,17.1304,0.662,0.8541,598404420.0,25.6595,433.7685,1.0,1.0,15.0,46.6889,14.92773869047619,14.737040937848832,25.646208730158733,15.680290496147462,29.66477962832502,9.965918234011273
2018-04-12,23.72,37.5,58.0944,14.3107,17.102,0.6705,0.8536,606069720.0,25.6595,433.7685,1.0,1.0,15.0,46.6889,15.090962896825395,14.758694027686843,25.938536507936508,15.939090889211514,29.84965692451224,9.999445618724994
2018-04-13,23.12,37.5,62.1972,13.9487,17.0629,0.6535,0.8493,590739120.0,25.6595,433.7685,1.0,1.0,15.0,46.6889,15.263880158730158,14.799077308507051,26.25873492063492,16.25838895439088,30.06295746723721,10.000345966244035
2018-04-16,24.14,37.5,55.3438,14.5641,17.0612,0.6823,0.8468,616801140.0,25.6595,433.7685,1.0,1.0,15.0,46.6889,15.423059523809524,14.797860813180232,26.499972222222222,16.462998881520665,30.22092033698976,10.036973340701556
2018-04-17,25.15,37.5,49.1054,15.1735,17.0612,0.7109,0.8466,642607650.0,25.6595,433.7685,1.0,1.0,15.0,46.6889,15.57124761904762,14.760334455683465,26.68838333333333,16.585303673843548,30.331582074731084,10.103079659489786
2018-04-18,25.32,37.5,48.1043,15.276,17.0612,0.7157,0.8465,646951320.0,25.6595,433.7685,1.0,1.0,15.0,46.6889,15.72054246031746,14.707906787975777,26.873401587301583,16.693656102863912,30.42844924829324,10.179745484437674
