date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2018-07-03,3.55,5.75,61.9718,25.9231,18.0,712.3339,5.9259,569867111.85,3018.3061,167.6731,1.0,1.0,2.0,3.3865
2018-07-05,3.61,5.75,59.2798,25.9231,18.0,724.3733,5.9259,579498668.67,3018.3061,167.6731,1.0,1.0,2.0,3.3865
2018-07-06,3.75,5.75,53.3333,25.9231,18.0,752.4654,5.9259,601972301.25,3018.3061,167.6731,1.0,1.0,2.0,3.3865
2018-07-09,3.75,5.75,53.3333,25.9231,18.0,752.4654,5.9246,601972301.25,3018.3061,167.6731,1.0,1.0,2.0,3.3865
2018-07-10,3.6,5.75,59.7222,25.9231,18.0,722.3668,5.9259,577893409.2,3018.3061,167.6731,1.0,1.0,2.0,3.3865
2018-07-11,3.59,5.75,60.1671,25.9231,18.0,720.3602,5.9259,576288149.73,3018.3061,167.6731,1.0,1.0,2.0,3.3865
2018-07-12,3.81,5.75,50.9186,25.9231,18.0,764.5048,5.9259,611603858.07,3018.3061,167.6731,1.0,1.0,2.0,3.3865
2018-07-13,3.62,5.75,58.8398,25.9231,18.0,726.3799,5.9259,581103928.14,3018.3061,167.6731,1.0,1.0,2.0,3.3865
2018-07-16,3.44,5.75,67.1512,25.9231,18.0,690.2616,5.9246,552209257.68,3018.3061,167.6731,1.0,1.0,2.0,3.3865
2018-07-17,3.59,5.75,60.1671,25.9231,18.0,720.3602,5.9259,576288149.73,3018.3061,167.6731,1.0,1.0,2.0,3.3865
2018-07-18,3.59,5.75,60.1671,25.9231,18.0,720.3602,5.9259,576288149.73,3018.3061,167.6731,1.0,1.0,2.0,3.3865
2018-07-19,3.48,5.75,65.2299,25.9231,18.0,698.2879,5.9259,558630295.56,3018.3061,167.6731,1.0,1.0,2.0,3.3865
2018-07-20,3.43,5.75,67.6385,25.9231,18.0,688.255,5.9259,550603998.21,3018.3061,167.6731,1.0,1.0,2.0,3.3865
2018-07-23,3.37,5.75,70.6231,25.9231,18.0,676.2156,5.9246,540972441.39,3018.3061,167.6731,1.0,1.0,2.0,3.3865
2018-07-24,3.35,5.75,71.6418,25.9231,18.0,672.2024,5.9259,537761922.45,3018.3061,167.6731,1.0,1.0,2.0,3.3865
2018-07-25,3.22,5.75,78.5714,25.9231,18.0,646.1169,5.9259,516893549.34,3018.3061,167.6731,1.0,1.0,2.0,3.3865
2018-07-26,3.44,5.75,67.1512,25.9231,18.0,690.2616,5.9259,552209257.68,3018.3061,167.6731,1.0,1.0,2.0,3.3865
2018-07-27,3.34,5.75,72.1557,25.9231,18.0,670.1958,5.9259,536156662.98,3018.3061,167.6731,1.0,1.0,2.0,3.3865
2018-07-30,3.3,5.75,74.2424,25.9231,18.0,662.1695,5.9246,529735625.1,3018.3061,167.6731,1.0,1.0,2.0,3.3865
2018-07-31,3.59,5.75,60.1671,25.9231,18.0,782.9577,5.9259,626366125.96,3018.3061,167.6731,1.0,1.0,2.0,3.3865
2018-08-01,3.45,5.75,66.6667,25.9231,18.0,752.4245,5.9259,601939591.8,3018.1971,191.0774,1.0,1.0,2.0,3.3865
2018-08-02,3.56,5.75,61.5169,25.9231,18.0,776.4148,5.9259,621131868.64,3018.1971,191.0774,1.0,1.0,2.0,3.3865
2018-08-03,3.46,5.75,66.185,25.9231,18.0,754.6054,5.9259,603684344.24,3018.1971,191.0774,1.0,1.0,2.0,3.3865
2018-08-06,3.81,5.75,50.9186,25.9231,18.0,830.9383,5.9259,664750679.64,3018.1971,191.0774,1.0,1.0,2.0,3.3865
2018-08-07,3.9,5.75,47.4359,25.9231,18.0,850.5668,5.9259,680453451.6,3018.1971,191.0774,1.0,1.0,2.0,3.3865
2018-08-08,3.87,5.75,48.5788,25.9231,18.0,844.024,5.9259,675219194.28,3018.1971,191.0774,1.0,1.0,2.0,3.3865
2018-08-09,3.75,5.75,53.3333,25.9231,18.0,817.8527,5.9259,654282165.0,3018.1971,191.0774,1.0,1.0,2.0,3.3865
2018-08-10,3.77,5.75,52.5199,25.9231,18.0,822.2146,5.9259,657771669.88,3018.1971,191.0774,1.0,1.0,2.0,3.3865
2018-08-13,3.9,5.75,47.4359,25.9231,18.0,850.5668,5.9259,680453451.6,3018.1971,191.0774,1.0,1.0,2.0,3.3865
2018-08-14,3.91,5.75,47.0588,25.9231,18.0,852.7478,5.9259,682198204.04,3018.1971,191.0774,1.0,1.0,2.0,3.3865
2018-08-15,3.86,5.75,48.9637,25.9231,18.0,841.8431,5.9259,673474441.84,3018.1971,191.0774,1.0,1.0,2.0,3.3865
