date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2020-02-05,108.4,103.625,-4.405,14.2607,13.2844,2.4536,2.222,11996086000.0,4.265,4.512,1.0,1.0,6.3008,4.7132
2020-02-06,108.08,103.625,-4.1219,14.2186,13.2844,2.4464,2.222,11960673200.0,4.265,4.512,1.0,1.0,6.3008,4.7132
2020-02-07,108.58,103.625,-4.5635,14.2844,13.2844,2.4577,2.222,12016005700.0,4.265,4.512,1.0,1.0,6.3008,4.7132
2020-02-10,108.79,103.625,-4.7477,14.312,13.2816,2.4625,2.2204,12039245350.0,4.265,4.512,1.0,1.0,6.3008,4.7132
2020-02-11,109.44,103.625,-5.3134,14.3975,13.2835,2.4772,2.2212,12111177600.0,4.265,4.512,1.0,1.0,6.3008,4.7132
2020-02-12,109.39,103.625,-5.2701,14.3675,13.2844,2.479,2.222,12105644350.0,4.0512,5.1715,1.0,1.0,6.3008,4.7132
2020-02-13,110.59,103.625,-6.298,14.5251,13.2844,2.5062,2.222,12238442350.0,4.0512,5.1715,1.0,1.0,6.3008,4.7132
2020-02-14,110.95,104.25,-6.0388,14.5843,13.2844,2.5143,2.2232,12278281750.0,4.0512,5.1707,1.0,1.0,6.3008,4.7132
2020-02-18,110.33,104.25,-5.5107,14.5028,13.2816,2.5003,2.2237,12209669450.0,4.0512,5.1707,1.0,1.0,6.3008,4.7132
2020-02-19,110.57,104.25,-5.7158,14.5343,13.2835,2.5057,2.2238,12236229050.0,4.0512,5.1707,1.0,1.0,6.3008,4.7132
2020-02-20,111.16,104.25,-6.2163,14.6119,13.2835,2.5191,2.224,12301521400.0,4.0512,5.1707,1.0,1.0,6.3008,4.7132
2020-02-21,110.14,104.25,-5.3477,14.4778,13.2835,2.496,2.2242,12188643100.0,4.0512,5.1707,1.0,1.0,6.3008,4.7132
2020-02-24,106.67,104.25,-2.2687,14.0217,13.2798,2.4174,2.2243,11804635550.0,4.0512,5.1707,1.0,1.0,6.3008,4.7132
2020-02-25,103.08,104.25,1.135,13.5498,13.2816,2.336,2.2243,11407348200.0,4.0512,5.1707,1.0,1.0,6.3008,4.7132
2020-02-26,100.74,104.25,3.4842,13.2422,13.2798,2.283,2.2248,11148392100.0,4.0512,5.1707,1.0,1.0,6.3008,4.7132
2020-02-27,95.48,104.25,9.1852,12.5508,13.2776,2.1638,2.2248,10566294200.0,4.0512,5.1707,1.0,1.0,6.3008,4.7132
2020-02-28,92.66,104.25,12.5081,12.1801,13.2756,2.0999,2.2248,10254218900.0,4.0512,5.1707,1.0,1.0,6.3008,4.7132
2020-03-02,96.14,104.25,8.4356,12.6375,13.2713,2.1787,2.2253,10639333100.0,4.0512,5.1707,1.0,1.0,6.3008,4.7132
2020-03-03,91.18,104.25,14.3343,11.9855,13.2696,2.0663,2.2253,10090434700.0,4.0512,5.1707,1.0,1.0,6.3008,4.7132
2020-03-04,95.05,104.25,9.6791,12.4942,13.2679,2.154,2.2248,10518708250.0,4.0512,5.1707,1.0,1.0,6.3008,4.7132
2020-03-05,89.65,104.25,16.2856,11.7844,13.2644,2.0316,2.2248,9921117250.0,4.0512,5.1707,1.0,1.0,6.3008,4.7132
2020-03-06,86.6,104.25,20.3811,11.3835,13.2618,1.9625,2.2248,9583589000.0,4.0512,5.1707,1.0,1.0,6.3008,4.7132
2020-03-09,74.97,104.25,39.0556,9.8547,13.26,1.699,2.2253,8296555050.0,4.0512,5.1707,1.0,1.0,6.3008,4.7132
2020-03-10,78.73,102.75,30.5093,10.3643,13.2598,1.7858,2.2248,8712655450.0,3.5097,5.3668,2.0,1.0,6.3008,4.7132
2020-03-11,73.37,102.75,40.0436,9.6586,13.2585,1.6642,2.2243,8119491050.0,3.5097,5.3668,2.0,1.0,6.3008,4.7132
