date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2002-03-11,8.9,9.5,6.7416,115.1358,37.6623,1.7709,3.805,8461449278.2,-3.1056,14.8885,1.0,2.0,15.0,189.9825
2002-03-12,8.1,9.5,17.284,104.7865,37.8578,1.6117,3.8034,7700869567.8,-3.1056,14.8885,1.0,2.0,15.0,189.9825
2002-03-13,8.0,9.5,18.75,103.4929,38.0533,1.5918,3.8017,7605797104.0,-3.1056,14.8885,1.0,2.0,15.0,189.9825
2002-03-14,7.91,9.0,13.78,102.3286,38.0584,1.5739,3.8017,7520231886.58,-3.1056,14.8885,1.0,2.0,15.0,189.9825
2002-03-15,7.82,9.0,15.0895,101.1643,38.3606,1.556,3.8017,7434666669.16,-3.1056,14.8885,1.0,2.0,15.0,189.9825
2002-03-18,8.03,9.0,12.0797,103.881,38.6189,1.5978,3.805,7634318843.14,-3.1056,14.8885,1.0,2.0,15.0,189.9825
2002-03-19,7.75,9.0,16.129,100.2587,38.6276,1.5421,3.8034,7368115944.5,-3.1056,14.8885,1.0,2.0,15.0,189.9825
2002-03-20,7.54,9.0,19.3634,97.542,38.6364,1.5003,3.8017,7168463770.52,-3.1056,14.8885,1.0,2.0,15.0,189.9825
2002-03-21,7.45,9.0,20.8054,96.3777,38.7252,1.4824,3.8017,7082898553.1,-3.1056,14.8885,1.0,2.0,15.0,189.9825
2002-03-22,7.36,9.0,22.2826,95.2135,38.7692,1.4645,3.8017,6997333335.68,-3.1056,14.8885,1.0,2.0,15.0,189.9825
2002-03-25,7.06,9.0,27.4788,91.3325,39.1922,1.4048,3.805,6712115944.28,-3.1056,14.8885,1.0,2.0,15.0,189.9825
2002-03-26,7.25,9.0,24.1379,93.7904,39.2337,1.4426,3.8034,6892753625.5,-3.1056,14.8885,1.0,2.0,15.0,189.9825
2002-03-27,7.28,9.0,23.6264,94.1785,39.2752,1.4486,3.8017,6921275364.64,-3.1056,14.8885,1.0,2.0,15.0,189.9825
2002-03-28,7.62,9.0,18.1102,98.577,39.8601,1.5162,3.8017,7244521741.56,-3.1056,14.8885,1.0,2.0,15.0,189.9825
2002-04-01,7.78,9.0,15.6812,100.6468,40.3655,1.5481,3.8066,7396637683.64,-3.1056,14.8885,1.0,2.0,15.0,189.9825
2002-04-02,7.37,9.0,22.1167,95.3428,40.5656,1.4665,3.805,7006840582.06,-3.1056,14.8885,1.0,2.0,15.0,189.9825
2002-04-03,7.06,9.0,27.4788,91.3325,40.6032,1.4048,3.805,6712115944.28,-3.1056,14.8885,1.0,2.0,15.0,189.9825
2002-04-04,7.0,9.0,28.5714,90.5563,40.7965,1.3929,3.805,6655072466.0,-3.1056,14.8885,1.0,2.0,15.0,189.9825
2002-04-05,6.79,9.0,32.5479,87.8396,41.1242,1.3511,3.805,6455420292.02,-3.1056,14.8885,1.0,2.0,15.0,189.9825
2002-04-08,7.02,9.0,28.2051,90.815,41.7999,1.3968,3.8083,6674086958.76,-3.1056,14.8885,1.0,2.0,15.0,189.9825
2002-04-09,6.96,9.0,29.3103,90.0388,41.9542,1.3849,3.8066,6617043480.48,-3.1056,13.5525,1.0,2.0,15.0,189.9825
2002-04-10,6.89,9.0,30.6241,89.1332,42.1439,1.371,3.805,6550492755.82,-3.1056,13.5525,1.0,2.0,15.0,189.9825
2002-04-11,6.61,9.0,36.1573,85.511,42.3923,1.3153,3.805,6284289857.18,-3.1056,13.5525,1.0,2.0,15.0,189.9825
2002-04-12,6.85,9.0,31.3869,86.1635,42.6122,1.3816,3.805,6512463770.3,-2.9575,13.6901,1.0,2.0,15.0,189.9825
2002-04-15,6.83,8.6,25.9151,89.281,42.8448,1.3988,3.8083,6493449277.54,-2.7144,20.0641,1.0,2.0,15.0,189.9825
2002-04-16,7.44,8.6,15.5914,93.5849,42.8458,1.5373,3.8066,7073391306.72,-2.5693,18.7059,1.0,2.0,15.0,26.1914
2002-04-17,7.64,8.6,12.5654,96.1006,42.8468,1.5787,3.805,7263536234.32,-2.5693,18.7059,1.0,2.0,15.0,26.1914
2002-04-18,7.44,8.6,15.5914,93.5849,42.8991,1.5373,3.805,7073391306.72,-2.5693,18.7059,1.0,2.0,15.0,26.1914
2002-04-19,7.42,8.6667,16.8019,91.1548,43.0057,1.5448,3.805,7054376813.96,-2.5246,18.3454,1.0,2.0,15.0,26.1914
2002-04-22,7.0,8.6667,23.81,85.9951,43.3658,1.4486,3.8083,6615000000.0,-2.5246,18.3454,1.0,2.0,15.0,26.1914
2002-04-23,6.8,8.6667,27.4515,101.6442,43.4324,1.4553,3.8066,6426000000.0,-2.1759,48.6965,1.0,2.0,15.0,26.1914
2002-04-24,6.6,8.5,28.7879,98.6547,43.4991,1.4261,3.805,6237000000.0,-2.0658,48.9505,1.0,2.0,15.0,18.2628
2002-04-25,6.83,8.5,24.451,102.0927,43.5028,1.4757,3.8034,6454350000.0,-2.0658,48.9505,1.0,2.0,15.0,18.2628
2002-04-26,6.39,8.3333,30.4116,83.4204,43.587,1.4004,3.8034,6038550000.0,-6.8818,17.1887,1.0,2.0,15.0,19.784
2002-04-29,6.67,8.3333,24.937,87.0757,43.9174,1.4617,3.8066,6303150000.0,-6.8818,17.1887,1.0,2.0,15.0,19.784
2002-04-30,6.69,8.3333,24.5635,87.3368,44.0656,1.4661,3.805,6322050000.0,-6.8818,17.1887,1.0,2.0,15.0,19.784
2002-05-01,6.74,8.3333,23.6395,84.9937,44.0859,1.4771,3.8034,6369300000.0,-6.8818,19.3921,1.0,2.0,15.0,19.784
2002-05-02,6.7,8.3333,24.3776,84.4893,44.1125,1.4683,3.8034,6331500000.0,-6.8818,19.3921,1.0,2.0,15.0,19.784
2002-05-03,6.7,8.3333,24.3776,115.1203,44.1659,1.4678,3.8034,6331500000.0,-6.8007,59.9197,1.0,2.0,15.0,19.784
2002-05-06,6.54,8.3333,27.4205,112.3711,44.2859,1.4328,3.8066,6180300000.0,-6.8007,59.9197,1.0,2.0,15.0,19.784
2002-05-07,6.26,8.3333,33.1198,107.5601,44.5016,1.3714,3.805,5915700000.0,-6.7339,61.7904,1.0,2.0,15.0,19.784
2002-05-08,6.78,8.3333,22.91,116.4948,44.7174,1.4853,3.805,6407100000.0,-6.7339,61.7904,1.0,2.0,15.0,19.784
2002-05-09,6.61,8.3333,26.0711,113.5739,44.754,1.4481,3.805,6246450000.0,-6.7339,61.7904,1.0,2.0,15.0,19.784
2002-05-10,6.38,8.3333,30.616,114.5422,44.8447,1.3977,3.805,6029100000.0,-6.7339,68.5122,1.0,2.0,15.0,19.784
2002-05-13,6.1,8.3333,36.6115,109.5153,44.8819,1.3364,3.8083,5764500000.0,-6.7339,68.5122,1.0,2.0,15.0,19.784
2002-05-14,6.45,8.3333,29.1984,115.7989,45.0712,1.413,3.8066,6095250000.0,-6.7339,68.5122,1.0,2.0,15.0,19.784
2002-05-15,6.23,8.3333,33.7608,111.8492,45.2606,1.3649,3.805,5887350000.0,-6.7339,71.1641,1.0,2.0,15.0,19.784
