date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2013-03-08,1.83,2.1621,18.1475,61.0,61.0,7.1357,5.3368,842592499.8,13.3845,770.9981,5.0,1.0,-37.3,76.1016
2013-03-11,1.83,2.1621,18.1475,61.0,61.0,7.1357,5.3675,842592499.8,13.3845,770.9981,5.0,1.0,-37.3,76.1016
2013-03-12,1.83,2.1621,18.1475,61.0,61.0,7.1357,5.3695,842592499.8,13.3845,770.9981,5.0,1.0,-37.3,76.1016
2013-03-13,1.83,2.1621,18.1475,61.0,61.0,7.1357,5.3715,842592499.8,13.3845,770.9981,5.0,1.0,-37.3,76.1016
2013-03-14,1.83,2.1621,18.1475,61.0,61.0,7.1357,5.3728,842592499.8,13.3845,770.9981,5.0,1.0,-37.3,76.1016
2013-03-15,1.83,2.1621,18.1475,61.0,61.0,7.1357,5.3741,842592499.8,13.3845,770.9981,5.0,1.0,-37.3,76.1016
2013-03-18,1.83,2.1621,18.1475,61.0,61.0,7.1357,5.3746,842592499.8,13.3845,770.9981,5.0,1.0,-37.3,76.1016
2013-03-19,1.83,2.1621,18.1475,61.0,61.0,7.1357,5.375,842592499.8,13.3845,770.9981,5.0,1.0,-37.3,76.1016
2013-03-20,1.83,2.1621,18.1475,61.0,61.0,7.1357,5.375,842592499.8,13.3845,770.9981,5.0,1.0,-37.3,76.1016
2013-03-21,1.83,2.1621,18.1475,61.0,61.0,7.1357,5.3812,842592499.8,13.3845,770.9981,5.0,1.0,-37.3,76.1016
2013-03-22,2.23,2.1621,-3.0448,74.3333,61.0,8.6954,5.3874,1026765723.8,13.3845,770.9981,5.0,1.0,-37.3,76.1016
2013-03-25,2.23,2.1621,-3.0448,74.3333,61.0,8.6954,5.3874,1026765723.8,13.3845,770.9981,5.0,1.0,-37.3,76.1016
2013-03-26,2.23,2.1621,-3.0448,74.3333,61.0,8.6954,5.392,1026765723.8,13.3845,770.9981,5.0,1.0,-37.3,76.1016
2013-03-27,2.23,2.1621,-3.0448,74.3333,61.0,8.6954,5.3966,1026765723.8,13.3845,770.9981,5.0,1.0,-37.3,76.1016
2013-03-28,2.23,2.1621,-3.0448,117.3684,61.0,9.1821,5.4055,1026765723.8,13.351,428.3324,5.0,1.0,-37.3,48.4643
2013-04-01,2.35,2.1575,-8.1915,123.6842,61.0,9.6912,5.4055,1082017691.0,13.3443,428.3324,5.0,1.0,-37.3,48.4643
2013-04-02,2.35,2.1575,-8.1915,123.6842,61.0,9.6912,5.4055,1082017691.0,13.3443,428.3324,5.0,1.0,-37.3,48.4643
2013-04-03,2.35,2.1575,-8.1915,123.6842,61.0,9.6912,5.4184,1082017691.0,13.3443,428.3324,5.0,1.0,-37.3,48.4643
2013-04-04,2.42,2.1575,-10.8471,127.3684,61.0,9.9798,5.433,1114248005.2,13.3443,428.3324,5.0,1.0,-37.3,48.4643
2013-04-05,2.42,2.3165,-4.2769,129.4118,67.6666,9.9978,5.4347,1114248005.2,13.502,81.2736,5.0,1.0,-37.3,48.4643
2013-04-08,2.42,2.4227,0.1116,111.0092,74.3333,9.8052,5.4813,1114248005.2,13.3344,55.9184,5.0,1.0,-37.3,59.6303
2013-04-09,2.42,2.4227,0.1116,111.0092,74.3333,9.8052,5.487,1114248005.2,13.3344,55.9184,5.0,1.0,-37.3,59.6303
2013-04-10,2.42,2.4227,0.1116,111.0092,74.3333,9.8052,5.4917,1114248005.2,13.3344,55.9184,5.0,1.0,-37.3,59.6303
2013-04-11,2.68,2.6384,-1.5522,335.0,74.3333,10.8887,5.4992,1233960600.8,17.5091,213.5592,6.0,1.0,-37.3,992.123
2013-04-12,2.68,2.6384,-1.5522,335.0,74.3333,10.8887,5.5019,1233960600.8,17.5091,213.5592,6.0,1.0,-37.3,992.123
2013-04-15,2.73,2.6384,-3.3553,341.25,74.3333,11.0919,5.5046,1256982253.8,17.5091,213.5592,6.0,1.0,-37.3,992.123
2013-04-16,2.73,2.6385,-3.3516,341.25,74.3333,11.0919,5.5072,1256982253.8,17.5091,213.5592,6.0,1.0,-37.3,992.123
2013-04-17,2.73,2.6385,-3.3516,341.25,92.6712,11.0919,5.5072,1256982253.8,17.5091,213.5592,6.0,1.0,-37.3,992.123
