date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2002-07-22,6.67,8.5,27.4363,21.6629,23.3276,4.8326,5.3336,2044196414.08,7.7632,12.6701,2.0,1.0,17.0,46.4341
2002-07-23,6.38,8.5,33.2288,20.721,23.3276,4.6225,5.3336,1955318309.12,7.7632,12.6701,2.0,1.0,17.0,46.4341
2002-07-24,6.74,8.5,26.1128,21.8902,23.3222,4.8833,5.3336,2065649749.76,7.7632,12.6701,2.0,1.0,17.0,46.4341
2002-07-25,6.81,8.5,24.8164,22.1176,23.3222,4.934,5.3336,2087103085.44,8.2408,12.6707,2.0,1.0,17.0,46.4341
2002-07-26,6.88,8.5,23.5465,22.3449,23.3222,4.9848,5.3336,2108556421.12,8.2408,12.6707,2.0,1.0,17.0,46.4341
2002-07-29,7.52,8.5,13.0319,24.4235,23.3538,5.4485,5.3367,2304701204.48,8.2408,12.6707,2.0,1.0,17.0,46.4341
2002-07-30,7.4,8.5,14.8649,24.0338,23.3651,5.3615,5.3367,2267924057.6,8.2408,12.6707,2.0,1.0,17.0,46.4341
2002-07-31,7.3,8.5,16.4384,23.518,23.371,5.2891,5.3367,2237276435.2,7.7974,12.7302,2.0,1.0,17.0,46.4341
2002-08-01,7.22,8.5,17.7285,22.8698,23.3651,5.2311,5.3352,2212758337.28,7.7974,12.8642,2.0,1.0,17.0,46.4341
2002-08-02,6.69,8.5,27.0553,21.2179,23.3651,4.8471,5.3352,2050325938.56,7.7974,12.8616,2.0,1.0,21.0,46.4341
2002-08-05,6.56,8.5,29.5732,20.8056,23.377,4.7529,5.3367,2010484029.44,7.7974,12.8616,2.0,1.0,21.0,46.4341
2002-08-06,6.87,8.5,23.7263,21.7888,23.371,4.9775,5.3367,2105491658.88,7.7974,12.8616,2.0,1.0,21.0,46.4341
2002-08-07,7.11,8.5,19.5499,22.55,23.3651,5.1514,5.3352,2179045952.64,7.7974,12.8616,2.0,1.0,21.0,46.4341
2002-08-08,7.07,8.5,20.2263,22.4231,23.3651,5.1224,5.3352,2166786903.68,7.7974,12.8616,2.0,1.0,21.0,46.4341
2002-08-09,7.08,8.5,20.0565,22.4548,23.3651,5.1297,5.3352,2169851665.92,7.7974,12.8616,2.0,1.0,21.0,46.4341
2002-08-12,7.05,8.5,20.5674,22.3597,23.377,5.1079,5.3367,2160657379.2,7.7974,12.8616,2.0,1.0,21.0,46.4341
2002-08-13,6.87,8.5,23.7263,21.7888,23.371,4.9775,5.3367,2105491658.88,7.7974,12.8616,2.0,1.0,21.0,46.4341
2002-08-14,7.0,8.5,21.4286,22.2011,23.3651,5.0717,5.3352,2145333568.0,7.7974,12.8616,2.0,1.0,21.0,46.4341
2002-08-15,7.06,8.5,20.3966,22.3914,23.3651,5.1152,5.3352,2163722141.44,7.7974,12.8616,2.0,1.0,21.0,46.4341
2002-08-16,7.15,8.5,18.8811,22.6768,23.3651,5.1804,5.3352,2191305001.6,7.7974,12.8616,2.0,1.0,21.0,46.4341
2002-08-19,7.59,9.75,28.4585,24.0723,23.3905,5.4992,5.3373,2326154540.16,7.7974,12.8616,2.0,1.0,21.0,46.4341
2002-08-20,7.58,9.75,28.628,24.0406,23.3936,5.4919,5.3379,2323089777.92,7.7974,12.8616,2.0,1.0,21.0,46.4341
2002-08-21,7.5,9.75,30.0,23.7869,23.3968,5.434,5.3398,2298571680.0,7.7974,12.8616,2.0,1.0,21.0,46.4341
2002-08-22,7.67,9.75,27.1186,24.326,23.4286,5.5571,5.3438,2350672638.08,7.7974,12.8616,2.0,1.0,21.0,46.4341
2002-08-23,7.7,9.75,26.6234,24.4212,23.4603,5.5789,5.3474,2359866924.8,7.7974,12.8616,2.0,1.0,21.0,46.4341
2002-08-26,7.93,9.75,22.9508,25.0395,23.4615,5.2719,5.3488,2430356456.32,8.6983,12.8973,2.0,1.0,21.0,46.4341
2002-08-27,7.66,9.75,27.2846,24.1869,23.4632,5.0924,5.3488,2347607875.84,8.6983,12.8973,2.0,1.0,21.0,46.4341
2002-08-28,7.42,9.75,31.4016,23.4291,23.4615,4.9329,5.3474,2274053582.08,8.6983,12.8973,2.0,1.0,21.0,46.4341
2002-08-29,7.63,9.75,27.7851,24.0922,23.4648,5.0725,5.3474,2338413589.12,8.6983,12.8973,2.0,1.0,21.0,46.4341
2002-08-30,7.44,9.75,31.0484,23.4923,23.4648,4.9462,5.3474,2280183106.56,8.6983,12.8973,2.0,1.0,21.0,46.4341
2002-09-03,7.21,9.75,35.2288,22.766,23.4667,4.7933,5.3488,2209693575.04,8.6983,12.8973,2.0,1.0,21.0,46.4341
