date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2018-06-15,61.02,62.014,1.629,57.713,47.4385,9.9413,5.5716,6811627635.54,23.2067,28.6041,5.0,1.0,25.3718,34.3465
2018-06-18,64.73,62.014,-4.1959,61.222,47.4434,10.5457,5.5735,7225772809.71,23.2067,28.6041,5.0,1.0,25.3718,34.3465
2018-06-19,67.42,62.014,-8.0184,63.7662,47.4483,10.984,5.575,7526055968.34,23.2067,28.6041,5.0,1.0,25.3718,34.3465
2018-06-20,64.0,61.5454,-3.8353,60.5144,47.4562,10.4404,5.5765,7144283328.0,23.2103,29.0415,4.0,1.0,25.3718,44.5476
2018-06-21,62.15,61.9638,-0.2996,58.8542,47.464,10.14,5.5952,6937768888.05,23.0473,28.4578,5.0,1.0,25.3718,44.5476
2018-06-22,57.61,62.5482,8.5718,53.7858,47.5626,9.3499,5.6139,6430971289.47,23.2295,29.8754,6.0,1.0,25.3718,44.5476
2018-06-25,58.84,62.5482,6.3022,54.9342,47.6613,9.5495,5.6158,6568275484.68,23.2295,29.8754,6.0,1.0,25.3718,44.5476
2018-06-26,57.35,62.4478,8.8889,53.6132,47.7138,9.3337,5.6178,6401947638.45,23.2277,29.8745,6.0,1.0,25.0722,44.8756
2018-06-27,56.61,62.4478,10.3123,52.9214,47.7664,9.2132,5.6326,6319341862.47,23.2277,29.8745,6.0,1.0,25.0722,44.8756
2018-06-28,58.2,62.4478,7.2986,54.4078,47.7868,9.472,5.6473,6496832651.4,23.2277,29.8745,6.0,1.0,25.0722,44.8756
2018-06-29,58.85,62.528,6.2498,54.9486,47.8072,9.566,5.6596,6569391778.95,23.3447,29.9904,6.0,1.0,25.0722,44.8756
2018-07-02,58.88,62.528,6.1957,54.9767,47.8332,9.5709,5.6719,6572740661.76,23.3447,29.9904,6.0,1.0,25.0722,44.8756
2018-07-03,59.31,62.528,5.4257,55.3782,47.8592,9.6408,5.6763,6620741315.37,23.3447,29.9904,6.0,1.0,25.0722,44.8756
2018-07-05,60.02,62.528,4.1786,56.0411,47.863,9.7562,5.6807,6699998208.54,23.3447,29.9904,6.0,1.0,25.0722,44.8756
2018-07-06,59.61,62.528,4.8952,55.5338,47.8667,9.6895,5.7228,6654230143.47,23.3447,29.988,6.0,1.0,25.0722,44.8756
2018-07-09,60.16,63.1222,4.9239,56.0462,47.8814,9.7789,5.7649,6715626328.32,23.3447,29.988,6.0,1.0,25.0722,44.8756
2018-07-10,61.58,63.1222,2.5044,57.3691,47.896,10.0098,5.7797,6874140114.66,23.3447,29.988,6.0,1.0,25.0722,44.8756
2018-07-11,60.98,63.1222,3.513,56.8101,47.9126,9.9122,5.7945,6807162458.46,23.3447,29.988,6.0,1.0,25.0722,44.8756
2018-07-12,60.31,63.1222,4.6629,56.186,47.9292,9.8033,5.81,6732370742.37,23.3447,29.988,6.0,1.0,25.0722,44.8756
2018-07-13,60.27,63.1222,4.7324,56.1487,47.9604,9.7968,5.8255,6727905565.29,23.3447,29.988,6.0,1.0,25.0722,44.8756
2018-07-16,61.12,63.1222,3.2759,56.9406,47.9917,9.935,5.8482,6822790578.24,23.3447,29.988,6.0,1.0,25.0722,44.8756
2018-07-17,63.6,63.1222,-0.7513,59.251,48.0028,10.3381,5.8709,7099631557.2,23.3447,29.988,6.0,1.0,25.0722,44.8756
2018-07-18,64.77,63.1222,-2.5441,60.341,48.014,10.5283,5.8923,7230237986.79,23.3447,29.988,6.0,1.0,25.0722,44.8756
2018-07-19,64.3,63.1222,-1.8317,59.9031,48.0157,10.4519,5.9137,7177772156.1,23.3447,29.988,6.0,1.0,25.0722,44.8756
2018-07-20,62.7,63.1222,0.6734,58.4125,48.0174,10.1918,5.9301,6999165072.9,23.3447,29.988,6.0,1.0,25.0722,44.8756
2018-07-23,63.33,63.1222,-0.3281,58.9994,48.0336,10.2942,5.9465,7069491611.91,23.3447,29.988,6.0,1.0,25.0722,44.8756
2018-07-24,61.2,63.1222,3.1408,57.0151,48.0499,9.948,5.9705,6831720932.4,23.3447,29.988,6.0,1.0,25.0722,44.8756
2018-07-25,61.87,63.1222,2.0239,57.6393,48.0554,10.0569,5.9945,6906512648.49,23.3447,29.988,6.0,1.0,25.0722,44.8756
2018-07-26,62.06,63.1222,1.7116,57.8163,48.0609,10.0878,6.0,6927722239.62,23.3447,29.988,6.0,1.0,25.0722,44.8756
2018-07-27,58.98,63.2167,7.1833,54.8753,48.1156,9.5724,6.0056,6583903604.46,23.3467,29.9888,6.0,1.0,25.0722,44.8756
2018-07-30,55.35,63.2167,14.2126,51.498,48.1703,8.9832,6.0067,6178688784.45,23.3467,29.9888,6.0,1.0,25.0722,44.8756
2018-07-31,57.43,62.7421,9.2497,53.3488,48.279,9.3208,6.0078,6410877992.61,23.3467,29.9902,6.0,1.0,25.0722,44.8756
2018-08-01,57.05,62.7421,9.9774,52.9958,48.3878,9.2591,6.0101,6368458810.35,23.3467,29.9902,6.0,1.0,25.0722,44.8756
2018-08-02,58.24,62.8141,7.8539,54.041,48.4268,9.4413,6.0125,6501297828.48,23.463,30.0995,6.0,1.0,25.0722,44.8756
2018-08-03,57.25,63.292,10.5537,52.9798,48.4658,9.2729,6.0271,6390784695.75,23.5107,30.4865,6.0,1.0,25.0722,44.8756
2018-08-06,57.17,63.292,10.7084,52.9058,48.4661,9.26,6.0417,6381854341.59,23.5107,30.4865,6.0,1.0,25.0722,44.8756
2018-08-07,56.0,63.292,13.0214,51.8231,48.4664,9.0704,6.055,6251247912.0,23.5107,30.4865,6.0,1.0,25.0722,44.8756
2018-08-08,55.91,63.292,13.2034,51.7398,48.4724,9.0559,6.0684,6241201263.57,23.5107,30.4865,6.0,1.0,25.0722,44.8756
2018-08-09,54.0,63.8792,18.2948,49.2072,48.4785,8.2784,6.0832,5867666676.0,24.1936,30.477,6.0,2.0,36.0361,40.1585
2018-08-10,55.06,64.0004,16.2376,49.8416,48.4795,8.4186,6.0979,5982846799.64,24.2678,30.5531,6.0,2.0,36.5558,39.9697
2018-08-13,54.02,64.0228,18.5168,48.7369,48.4805,8.2446,6.1069,5869839885.88,24.2734,30.5705,6.0,2.0,36.5558,39.9697
2018-08-14,51.54,64.0228,24.2196,46.4995,48.4795,7.8661,6.1159,5600361860.76,24.2734,30.5705,6.0,2.0,36.5558,39.9697
2018-08-15,50.85,64.0228,25.9052,45.8769,48.4785,7.7608,6.134,5525386119.9,24.2734,30.5705,6.0,2.0,36.5558,39.9697
2018-08-16,51.55,64.0228,24.1955,46.5085,48.4724,7.8676,6.1521,5601448465.7,24.2734,30.5705,6.0,2.0,36.5558,39.9697
2018-08-17,50.85,64.0228,25.9052,45.8769,48.4664,7.7608,6.1562,5525386119.9,24.2734,30.5705,6.0,2.0,36.5558,39.9697
2018-08-20,53.78,64.0273,19.0541,48.516,48.4724,8.2011,6.1603,5843761367.32,24.2759,30.5709,6.0,2.0,36.629,40.0748
2018-08-21,54.03,64.0273,18.5032,48.7415,48.4785,8.2392,6.1606,5870926490.82,24.2759,30.5709,6.0,2.0,36.629,40.0748
2018-08-22,55.25,64.0273,15.8865,49.8421,48.4795,8.4253,6.1609,6003492293.5,24.2759,30.5709,6.0,2.0,36.629,40.0748
2018-08-23,56.3,64.0273,13.7252,50.7894,48.4805,8.5854,6.1808,6117585812.2,24.2759,30.5709,6.0,2.0,36.629,40.0748
2018-08-24,56.5,64.0273,13.3227,50.9698,48.4982,8.6159,6.2006,6139317911.0,24.2759,30.5709,6.0,2.0,36.629,40.0748
2018-08-27,58.02,64.0273,10.3538,52.341,48.516,8.8477,6.2021,6304481861.88,24.2759,30.5709,6.0,2.0,36.629,40.0748
2018-08-28,58.7,64.0273,9.0755,52.9544,48.54,8.9514,6.2036,6378370997.8,24.2759,30.5709,6.0,2.0,36.629,40.0748
2018-08-29,59.33,64.0273,7.9172,53.5228,48.5639,9.0475,6.2054,6446827109.02,24.2759,30.5709,6.0,2.0,36.629,40.0748
2018-08-30,59.94,64.0273,6.819,54.0731,48.5946,9.1405,6.2073,6513110010.36,24.2759,30.5709,6.0,2.0,36.629,40.0748
2018-08-31,60.87,64.0273,5.187,54.912,48.6252,9.2823,6.2197,6614164269.78,24.2759,30.5709,6.0,2.0,36.629,40.0748
2018-09-04,60.24,63.9682,6.1889,54.3879,48.6262,9.1862,6.2321,6545708158.56,24.2759,30.5683,6.0,2.0,36.629,40.0748
2018-09-05,55.83,63.9682,14.5768,50.4063,48.6273,8.5137,6.2483,6066515380.02,24.2759,30.5683,6.0,2.0,36.629,40.0748
2018-09-06,55.21,63.9682,15.8634,49.8465,48.6506,8.4192,6.2645,5999145873.74,24.2759,30.5683,6.0,2.0,36.629,40.0748
2018-09-07,55.9,63.9682,14.4333,50.4695,48.6739,8.5244,6.2655,6074121614.6,24.2759,30.5683,6.0,2.0,36.629,40.0748
