date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2002-11-13,29.67,36.0,21.3347,12.9039,12.0404,0.6143,0.5737,5199697170.0,1.9541,5.7137,1.0,1.0,7.5,14.502
2002-11-14,30.06,36.0,19.7605,13.0735,12.0468,0.6223,0.5743,5268045060.0,1.9541,5.7137,1.0,1.0,7.5,14.502
2002-11-15,30.17,36.0,19.3238,13.1214,12.0808,0.6246,0.5754,5287322670.0,1.9541,5.7137,1.0,1.0,7.5,14.502
2002-11-18,30.34,36.0,18.6552,13.1953,12.1277,0.6281,0.5765,5317115340.0,1.9541,5.7137,1.0,1.0,7.5,14.502
2002-11-19,30.53,36.0,17.9168,13.278,12.1306,0.6321,0.5769,5350413030.0,1.9541,5.7137,1.0,1.0,7.5,14.502
2002-11-20,31.03,36.0,16.0168,13.4954,12.1336,0.6424,0.5773,5438038530.0,2.0014,5.7137,1.0,1.0,7.5,18.8479
2002-11-21,31.69,36.0,13.6005,13.7825,12.1595,0.6561,0.5776,5553704190.0,2.0014,5.7137,1.0,1.0,7.5,18.8479
2002-11-22,31.49,36.0,14.322,13.6955,12.1936,0.6519,0.5777,5518653990.0,2.0014,5.6861,1.0,1.0,7.5,24.1448
2002-11-25,31.85,36.0,13.0298,13.852,12.2174,0.6594,0.5815,5581744350.0,2.0014,5.6861,1.0,1.0,7.5,24.1448
2002-11-26,31.1,36.0,15.7556,13.5259,12.2198,0.6439,0.5816,5450306100.0,2.0014,5.6861,1.0,1.0,7.5,24.1576
2002-11-27,31.64,36.0,13.78,13.7607,12.2222,0.655,0.5817,5544941640.0,2.0014,5.6861,1.0,1.0,7.5,24.1576
2002-11-29,31.79,36.0,13.2432,13.8259,12.2348,0.6581,0.5828,5571229290.0,2.0014,5.6861,1.0,1.0,7.5,24.1576
2002-12-02,32.0,36.0,12.5,13.9173,12.2457,0.6625,0.5835,5608032000.0,2.0014,5.6861,1.0,1.0,7.5,24.1576
2002-12-03,31.11,36.0,15.7184,13.5302,12.2566,0.6441,0.5839,5452058610.0,2.0014,5.6861,1.0,1.0,7.5,24.1576
2002-12-04,30.45,36.0,18.2266,13.2432,12.2612,0.6304,0.5841,5336392950.0,2.0014,5.6861,1.0,1.0,7.5,24.1576
2002-12-05,30.06,36.0,19.7605,13.0735,12.2702,0.6223,0.5852,5268045060.0,2.0014,5.6861,1.0,1.0,7.5,24.1576
2002-12-06,30.09,36.0,19.6411,13.0866,12.2766,0.623,0.5868,5273302590.0,2.0014,5.6861,1.0,1.0,7.5,24.1576
2002-12-09,29.5,36.0,22.0339,12.83,12.2956,0.6107,0.5885,5169904500.0,2.0014,5.6861,1.0,1.0,7.5,24.1576
2002-12-10,29.93,36.0,20.2807,13.017,12.3042,0.6196,0.5888,5245262430.0,2.0014,5.6861,1.0,1.0,7.5,24.1576
2002-12-11,30.28,36.0,18.8904,13.1692,12.3085,0.6269,0.5892,5306600280.0,2.0014,5.6861,1.0,1.0,7.5,24.1576
2002-12-12,30.55,36.0,17.8396,13.2867,12.3212,0.6325,0.5896,5353918050.0,2.0014,5.6861,1.0,1.0,7.5,24.1576
2002-12-13,30.25,36.0,19.0083,13.1562,12.3362,0.6263,0.5902,5301342750.0,2.0014,5.6861,1.0,1.0,7.5,24.1576
2002-12-16,31.09,36.0,15.7929,13.5215,12.3693,0.6437,0.5942,5448553590.0,2.0014,5.6861,1.0,1.0,7.5,24.1576
2002-12-17,31.1,36.0,15.7556,13.5259,12.3723,0.6439,0.5972,5450306100.0,2.0014,5.6861,1.0,1.0,7.5,24.1576
2002-12-18,30.89,36.0,16.5426,13.4345,12.3851,0.6395,0.6001,5413503390.0,2.0014,5.6861,1.0,1.0,7.5,24.1576
2002-12-19,30.59,36.0,17.6855,13.304,12.4032,0.6333,0.6029,5360928090.0,2.0014,5.6861,1.0,1.0,7.5,24.1576
2002-12-20,31.03,36.0,16.0168,13.4954,12.4106,0.6424,0.6029,5438038530.0,2.0014,5.6861,1.0,1.0,7.5,24.1576
2002-12-23,31.24,36.0,15.2369,13.5867,12.4212,0.6468,0.6045,5474841240.0,2.0014,5.6861,1.0,1.0,7.5,24.1576
2002-12-24,31.01,36.1667,16.6292,13.4867,12.4276,0.642,0.6052,5434533510.0,2.0014,5.6861,1.0,1.0,7.5,24.1737
2002-12-26,31.01,36.1667,16.6292,13.4867,12.4447,0.642,0.606,5434533510.0,2.0014,5.6861,1.0,1.0,7.5,24.1737
2002-12-27,30.77,36.1667,17.5388,13.5235,12.4612,0.637,0.6065,5392473270.0,2.0014,5.6813,1.0,1.0,7.5,24.3072
2002-12-30,30.68,36.1667,17.8836,13.4839,12.5249,0.6352,0.6083,5376700680.0,2.0014,5.6813,1.0,1.0,7.5,24.3072
2002-12-31,30.8,35.1667,14.1776,13.5367,12.5318,0.6377,0.6099,5397730800.0,2.0014,5.6813,1.0,1.0,7.5,24.3072
2003-01-02,31.61,35.1667,11.2518,13.8927,12.5426,0.6544,0.6107,5539684110.0,2.0014,5.6813,1.0,1.0,7.5,24.3072
