date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2007-03-15,17.16,21.3333,24.3199,7.6345,9.2474,0.3825,0.4909,279176040.0,10.697,12.7296,1.0,1.0,35.0,22.0732,22.19194621212121,11.78170653004317,21.8977373015873,11.978817132907464,33.973652742164376,9.918920168679836
2007-03-16,17.18,21.3333,24.1752,7.6434,9.2459,0.3829,0.4908,279501420.0,10.697,12.7296,1.0,1.0,35.0,22.0732,22.20685789473684,11.7382537901384,21.8701626984127,11.969466018029268,33.94511168487524,9.900696680383431
2007-03-19,17.29,21.8333,26.277,7.9127,9.2443,0.3854,0.4906,281291010.0,17.0342,13.8422,1.0,1.0,35.0,22.0732,22.23723208955224,11.699326469583402,21.84290476190476,11.95536854188515,33.93655855913564,9.887536220019612
2007-03-20,17.39,21.8333,25.5509,7.9584,9.2427,0.3932,0.4904,282917910.0,12.8343,13.8422,1.0,1.0,35.0,22.0732,22.26177777777778,11.659079146752918,21.82478253968254,11.947942300845474,33.920856924530696,9.876840238837069
2007-03-21,17.6,21.8333,24.0528,8.0546,9.2306,0.398,0.4903,286334400.0,12.8343,13.8422,1.0,1.0,35.0,22.0732,22.27494705882353,11.616832338005254,21.79842777777778,11.939264276539914,33.89177939682878,9.859163501237864
2007-03-22,17.6,21.8333,24.0528,8.0546,9.2184,0.398,0.4896,286334400.0,12.8343,13.8422,1.0,1.0,35.0,22.0732,22.28792408759124,11.575041234105983,21.76399206349206,11.926345785874917,33.862965321697224,9.837646277617145
2007-03-23,17.2,21.8333,26.9378,7.8715,9.2154,0.3889,0.489,279826800.0,12.8343,13.8422,1.0,1.0,35.0,22.0732,22.32161884057971,11.53950987942957,21.75980476190476,11.924420489874423,33.86112872000928,9.835384272030335
2007-03-26,17.78,21.8333,22.797,8.1369,9.2124,0.4021,0.4888,289262820.0,12.8343,13.8422,1.0,1.0,35.0,22.0732,22.325038848920865,11.49769474459681,21.69577777777777,11.896769676055014,33.822733593517675,9.799008101722764
2007-03-27,18.52,21.8333,17.8904,8.4756,9.2002,0.4188,0.4886,301301880.0,12.8343,13.8422,1.0,1.0,35.0,22.0732,22.293362857142856,11.46239061372592,21.56354126984127,11.845212062285889,33.755753470868775,9.718329207555383
2007-03-28,18.09,21.8333,20.6926,8.2788,9.1881,0.4091,0.488,294306210.0,12.8343,13.8422,1.0,1.0,35.0,22.0732,22.28200992907801,11.422175696933357,21.41738809523809,11.740151161191116,33.704185626011366,9.677236934046975
2007-03-29,17.39,21.8333,25.5509,7.9584,9.176,0.3932,0.4874,282917910.0,12.8343,13.8422,1.0,1.0,35.0,22.0732,22.30503028169014,11.384904794551046,21.31584523809524,11.647532339592669,33.689935076241184,9.668312898502572
2007-03-30,18.16,21.8333,20.2274,8.3108,9.1638,0.4107,0.4868,295445040.0,12.8343,13.8422,1.0,1.0,35.0,22.0732,22.2905013986014,11.346076577098284,21.11507301587302,11.443133581060126,33.63657797569968,9.671939434812892
2007-04-02,17.81,21.8333,22.5901,8.1507,9.1638,0.4027,0.4861,289750890.0,12.8343,13.8422,1.0,1.0,35.0,22.0732,22.292581944444446,11.306362946593008,20.95085,11.269626200031654,33.598944891037455,9.681223799968343
2007-04-03,17.41,21.8333,25.4067,7.9676,9.1638,0.3937,0.4861,283243290.0,12.8343,13.8422,1.0,1.0,35.0,22.0732,22.314058620689657,11.270003946936766,20.807133333333333,11.093663274334585,33.584062567626425,9.71347005899875
2007-04-04,17.32,21.8333,26.0583,7.9264,9.1364,0.3917,0.4861,281779080.0,12.8343,13.8422,1.0,1.0,35.0,22.0732,22.33970410958904,11.235348691370136,20.5765873015873,10.668855817940242,33.57505280095918,9.907731483647057
2007-04-05,17.64,21.8333,23.7715,8.0729,9.1091,0.3989,0.4846,286985160.0,12.8343,13.8422,1.0,1.0,35.0,22.0732,22.34944421768708,11.197428100324444,20.32137301587301,10.19031044391808,33.54687231801152,10.131062571954931
2007-04-09,17.32,21.8333,26.0583,7.9264,9.0848,0.3917,0.4832,281779080.0,12.8343,13.8422,1.0,1.0,35.0,22.0732,22.374504054054054,11.163440236376056,20.148514285714285,9.900407476048356,33.53794429043011,10.248106809665927
2007-04-10,17.17,21.8333,27.1596,7.8578,9.0605,0.3883,0.4819,279338730.0,12.8343,13.8422,1.0,1.0,35.0,22.0928,22.40661879194631,11.132566046698484,19.99894126984127,9.64572267458914,33.53918483864479,10.353218595252132
2007-04-11,17.1,21.8333,27.6801,7.8257,9.047,0.3867,0.4806,278199900.0,12.8343,13.8422,1.0,1.0,35.0,22.0928,22.441775333333336,11.1034972937633,19.83501349206349,9.330671059514229,33.54527262709664,10.504342432549263
2007-04-12,17.4,21.8333,25.4787,7.963,9.0335,0.3935,0.4801,283080600.0,12.8343,13.8422,1.0,1.0,35.0,22.0928,22.46188741721854,11.069183048230824,19.739733333333334,9.20951612555621,33.53107046544936,10.530217207777124
2007-04-13,18.39,21.8333,18.7238,8.4161,9.0106,0.4159,0.4796,299186910.0,12.8343,13.8422,1.0,1.0,35.0,22.0928,22.437294736842105,11.036634772170215,19.600938095238096,9.09028830384477,33.47392950901232,10.510649791393323
