date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2012-11-02,30.06,35.5,18.0971,77.4144,79.5076,4.8505,5.3626,1621935636.48,19.6226,20.4736,3.0,1.0,12.0,2.5819,15.434654117647058,9.194018251550029,17.24218650793651,6.660540709658376,24.628672369197083,10.581645798278132
2012-11-05,31.4,35.5,13.0573,80.8653,79.5076,5.0667,5.3539,1694237491.2,19.6226,20.4736,3.0,1.0,12.0,2.5819,15.420751461988305,9.168739718107112,17.226988095238095,6.667942473352417,24.58949118009541,10.559045621885678
2012-11-06,29.99,35.5,18.3728,77.2341,79.5076,4.8392,5.3452,1618158673.92,19.6226,20.4736,3.0,1.0,12.0,2.5819,15.43791453488372,9.144661909945846,17.25532380952381,6.665142566450366,24.582576444829566,10.590181243073442
2012-11-07,29.2922,35.5,21.1927,75.437,79.5076,4.7266,5.3231,1580507752.8576,19.6226,20.4736,3.0,1.0,12.0,2.5819,15.471179190751446,9.128531177941907,17.267476984126983,6.670958430308649,24.59971036869335,10.596518553818337
2012-11-08,28.68,35.5,23.7796,73.8604,79.5035,4.6278,5.301,1547475517.44,19.6226,20.4736,3.0,1.0,12.0,2.5819,15.518928735632183,9.123876807996323,17.26922142857143,6.672645551007272,24.642805543628505,10.59657587756416
2012-11-09,28.62,35.5,24.0391,73.7059,79.4995,4.6181,5.293,1544238120.96,19.6226,20.4736,3.0,1.0,12.0,2.5819,15.567615428571427,9.120390709488609,17.18699761904762,6.522002539140435,24.68800613806004,10.664995079907186
2012-11-12,29.06,35.5,22.161,74.839,79.465,4.6891,5.2851,1567979028.48,19.6226,20.4736,3.0,1.0,12.0,2.5819,15.605077840909091,9.107865160154892,17.19872777777778,6.52966521036586,24.712943001063984,10.66906256741192
2012-11-13,29.24,35.5,21.409,75.3026,79.4306,4.7182,5.2803,1577691217.92,19.6226,20.4736,3.0,1.0,12.0,2.5819,15.63786836158192,9.092425218880006,17.23854365079365,6.539995184579218,24.730293580461925,10.69854846621443
2012-11-14,29.06,35.5,22.161,74.839,79.4083,4.6891,5.2754,1567979028.48,19.6226,20.4736,3.0,1.0,12.0,2.5819,15.674515168539326,9.07987740837532,17.297616666666666,6.550651181355942,24.754392576914647,10.746965485310724
2012-11-15,29.5,35.5,20.339,75.9722,79.386,4.7601,5.2753,1591719936.0,19.6226,20.4736,3.0,1.0,12.0,2.5819,15.70057374301676,9.06104596948102,17.299694444444444,6.55158133435653,24.76161971249778,10.748113110087914
2012-11-16,30.87,35.5,14.9984,79.5004,79.4083,4.9812,5.2752,1665640488.96,19.6226,20.4736,3.0,1.0,12.0,2.5819,15.696672777777778,9.035851909479089,17.23986111111111,6.537775499797737,24.732524687256863,10.702085611313374
2012-11-19,30.84,35.5,15.1102,79.4231,79.4231,4.9764,5.2732,1664021790.72,19.6226,20.4736,3.0,1.0,12.0,2.5819,15.693432596685083,9.010822807946523,17.18358968253968,6.525239057945133,24.70425540463161,10.658350624594547
2012-11-20,30.17,35.5,17.6666,77.6977,79.4046,4.8683,5.2713,1627870863.36,19.6226,20.4736,3.0,1.0,12.0,2.5819,15.704274175824176,8.98708680085627,17.168123015873018,6.521737530151458,24.691360976680446,10.64638548572156
2012-11-21,30.11,35.5,17.901,77.5431,79.386,4.8586,5.2674,1624633466.88,19.6226,20.4736,3.0,1.0,12.0,2.5819,15.716278142076504,8.963833993169551,17.16355793650794,6.521015852743843,24.680112135246056,10.642542083764097
2012-11-23,30.4,35.5,16.7763,78.29,79.3016,4.9054,5.2635,1640280883.2,19.6226,20.4736,3.0,1.0,12.0,2.5819,15.722039130434782,8.939650655622994,17.173469047619047,6.519458183075821,24.66168978605777,10.654010864543226
