date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2011-02-17,48.73,50.9286,4.5118,55.5075,89.0244,2.0912,1.8932,8488766000.0,9.1278,61.0859,6.0,3.0,23.6667,15.5044,6.485521806853583,9.213554821848646,7.170791269841271,6.363211111494199,15.69907662870223,0.8075801583470721
2011-02-18,46.51,51.6875,11.132,52.7683,88.958,2.0017,1.8942,8102042000.0,8.8683,61.4967,7.0,4.0,20.25,15.5044,6.499951863354037,9.202835858528346,7.137120634920635,6.330595198675307,15.702787721882384,0.8065254362453276
2011-02-22,45.83,51.6875,12.7809,51.9909,88.7506,1.9724,1.8948,7983586000.0,8.8683,61.4967,7.0,4.0,20.25,15.5044,6.519397523219815,9.19517839974971,7.100622222222222,6.284156847665586,15.714575922969525,0.8164653745566364
2011-02-23,44.74,51.8235,15.8326,50.5423,88.7377,1.9301,1.8954,7793708000.0,8.8722,61.3908,7.0,4.0,20.25,15.5044,6.548141975308642,9.19550107155636,7.066939682539683,6.225147001433199,15.743643046865005,0.841792681106484
2011-02-24,44.7,51.8235,15.9362,50.4971,88.7248,1.9284,1.8968,7786740000.0,8.3984,61.0971,7.0,4.0,20.25,15.5044,6.577028307692308,9.19605607779024,7.036419841269842,6.171507552149898,15.773084385482548,0.8649122891199434
2011-02-25,45.86,51.8235,13.0037,51.8075,88.7013,1.9785,1.8983,7988812000.0,8.3984,61.0971,7.0,4.0,20.25,15.5044,6.596742024539877,9.18879390570162,6.971074603174603,6.062571361156081,15.785535930241496,0.9085032420185222
2011-02-28,45.75,51.8235,13.2754,51.6832,88.6779,1.9737,1.8984,7969650000.0,8.3984,61.0971,7.0,4.0,20.25,15.5044,6.617166055045871,9.182120602554534,6.943949206349206,6.02626154489493,15.799286657600405,0.9176876614542762
2011-03-01,44.57,51.8235,16.2744,50.3502,88.6487,1.9228,1.8984,7764094000.0,8.3984,61.0971,7.0,4.0,20.25,15.5044,6.646608841463415,9.183563676266298,6.912990476190476,5.967477910520376,15.830172517729713,0.9455125656701
2011-03-02,45.42,51.8235,14.0984,51.3104,88.6195,1.9595,1.8986,7912164000.0,8.3984,61.0971,7.0,4.0,20.25,15.5044,6.669258662613982,9.178752418851849,6.893380158730158,5.939485781001857,15.848011081465833,0.9538943777283012
2011-03-03,46.08,51.8235,12.4642,52.056,88.5664,1.9879,1.8987,8027136000.0,8.3984,61.0971,7.0,4.0,20.25,15.5044,6.68681909090909,9.170342421255002,6.880043650793651,5.92494243124095,15.857161512164092,0.9551012195527004
