date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2002-02-14,13.5,19.0,40.7407,14.932,16.3844,0.7047,0.7585,2361825000.0,5.6149,35.7969,1.0,1.0,10.0,64.4138
2002-02-15,13.2,19.0,43.9394,14.6002,16.3844,0.6891,0.7585,2309340000.0,5.6149,35.7969,1.0,1.0,10.0,64.4138
2002-02-19,13.14,19.0,44.5967,14.5338,16.3667,0.6859,0.7582,2298843000.0,5.6149,35.7969,1.0,1.0,10.0,64.4138
2002-02-20,13.24,19.0,43.5045,14.6444,16.358,0.6912,0.7582,2316338000.0,5.6149,35.7969,1.0,1.0,10.0,64.4138
2002-02-21,13.44,19.0,41.369,14.8656,16.3453,0.7016,0.7553,2351328000.0,5.6149,35.7969,1.0,1.0,10.0,64.4138
2002-02-22,13.52,19.0,40.5325,14.9541,16.3379,0.7058,0.755,2365324000.0,5.6149,35.7969,1.0,1.0,10.0,64.4138
2002-02-25,13.52,19.0,40.5325,14.9541,16.3227,0.7058,0.755,2365324000.0,5.6149,35.7969,1.0,1.0,10.0,64.4138
2002-02-26,13.8,19.0,37.6812,15.2638,16.3092,0.7204,0.755,2414310000.0,5.6149,35.7969,1.0,1.0,10.0,64.4138
2002-02-27,14.23,19.0,33.5207,15.7394,16.2958,0.7428,0.755,2489538500.0,5.6149,35.7969,1.0,1.0,10.0,64.4138
2002-02-28,14.31,19.0,32.7743,15.4186,16.1612,0.747,0.755,2503534500.0,5.6149,35.8617,1.0,1.0,10.0,64.4138
2002-03-01,14.48,19.0,31.2155,15.6018,16.1202,0.7559,0.755,2533276000.0,5.6149,35.6514,1.0,1.0,10.0,64.4138
2002-03-04,14.6,19.0,30.137,15.7311,16.0858,0.7621,0.7545,2554270000.0,5.6149,35.6514,1.0,1.0,10.0,64.4138
2002-03-05,14.75,19.0,28.8136,15.8927,16.0656,0.77,0.755,2580512500.0,5.6149,35.6514,1.0,1.0,10.0,64.4138
2002-03-06,15.06,19.0,26.162,16.2215,16.0858,0.7862,0.755,2634747000.0,5.6149,35.6542,1.0,1.0,10.0,64.4138
2002-03-07,14.99,19.0,26.7512,16.1461,16.0858,0.7825,0.755,2622500500.0,5.6149,35.6542,1.0,1.0,10.0,64.4138
2002-03-08,15.03,19.0,26.4138,16.1891,16.0858,0.7846,0.755,2629498500.0,5.6149,35.6542,1.0,1.0,10.0,64.4138
2002-03-11,15.24,19.0,24.6719,16.4153,16.0453,0.7956,0.7545,2666238000.0,5.6149,35.6542,1.0,1.0,10.0,64.4138
2002-03-12,15.35,19.0,23.7785,16.5338,16.0656,0.8013,0.755,2685482500.0,5.6149,35.6542,1.0,1.0,10.0,64.4138
2002-03-13,15.38,19.0,23.5371,16.5661,16.0858,0.8029,0.755,2690731000.0,5.6149,35.6542,1.0,1.0,10.0,64.4138
2002-03-14,15.25,19.0,24.5902,16.4261,16.0858,0.7961,0.755,2667987500.0,5.6149,35.6542,1.0,1.0,10.0,64.4138
2002-03-15,15.6,19.0,21.7949,16.8031,16.0858,0.8143,0.755,2729220000.0,5.6149,35.6542,1.0,1.0,10.0,64.4138
2002-03-18,15.45,19.0,22.9773,16.6415,16.0453,0.8065,0.7545,2702977500.0,5.6149,35.6542,1.0,1.0,10.0,64.4138
2002-03-19,15.91,19.0,19.4217,17.137,16.0656,0.8305,0.755,2783454500.0,5.6149,35.6542,1.0,1.0,10.0,64.4138
2002-03-20,15.88,19.0,19.6474,16.7387,16.0858,0.829,0.755,2778206000.0,5.6149,35.8592,1.0,1.0,10.0,64.4138
2002-03-21,15.75,19.0,20.6349,16.6017,16.0858,0.8222,0.755,2755462500.0,5.6149,35.8592,1.0,1.0,10.0,64.4138
2002-03-22,15.64,19.0,21.4834,16.4857,16.0858,0.8164,0.755,2736218000.0,5.6149,35.8592,1.0,1.0,10.0,64.4138
2002-03-25,15.55,18.5,18.9711,16.4376,16.0453,0.8117,0.7545,2720472500.0,5.6149,35.6522,1.0,1.0,10.0,64.4138
2002-03-26,15.54,18.5,19.0476,16.4271,16.0656,0.8112,0.755,2718723000.0,5.6149,35.6522,1.0,1.0,10.0,64.4138
2002-03-27,15.64,18.5,18.2864,16.5328,16.0858,0.8164,0.755,2736218000.0,5.6149,35.6522,1.0,1.0,10.0,64.4138
2002-03-28,15.82,18.5,16.9406,16.9506,16.0858,0.8258,0.755,2767709000.0,5.5603,35.2352,1.0,1.0,10.0,64.4138
2002-04-01,15.91,18.5,16.2791,17.0288,16.0453,0.8305,0.7539,2783454500.0,5.5603,35.2352,1.0,1.0,10.0,64.4138
2002-04-02,15.66,18.5,18.1354,16.7612,16.0656,0.8175,0.7545,2739717000.0,5.5603,35.2352,1.0,1.0,10.0,64.4138
2002-04-03,15.43,18.5,19.8963,16.515,16.0858,0.8055,0.755,2699478500.0,5.5603,35.2352,1.0,1.0,10.0,64.4138
2002-04-04,15.34,18.5,20.5997,16.4187,16.0858,0.8008,0.755,2683733000.0,5.5603,35.2352,1.0,1.0,10.0,64.4138
2002-04-05,15.6,18.5,18.5897,16.697,16.0858,0.8143,0.755,2729220000.0,5.5603,35.2352,1.0,1.0,10.0,64.4138
2002-04-08,15.67,18.5,18.06,16.7719,16.0453,0.818,0.7539,2741466500.0,5.5603,35.2352,1.0,1.0,10.0,64.4138
2002-04-09,16.16,18.5,14.4802,17.2964,16.0656,0.8436,0.7545,2827192000.0,5.5603,35.2352,1.0,1.0,10.0,64.4138
2002-04-10,16.45,18.5,12.462,17.6068,16.0858,0.8587,0.755,2877927500.0,5.5603,35.2352,1.0,1.0,10.0,64.4138
2002-04-11,16.27,18.5,13.7062,17.4141,16.0858,0.8493,0.755,2846436500.0,5.5603,35.2352,1.0,1.0,10.0,64.4138
2002-04-12,16.5,18.5,12.1212,17.6603,16.0858,0.8613,0.755,2886675000.0,5.5603,35.2352,1.0,1.0,10.0,64.4138
2002-04-15,16.32,18.5,13.3578,17.2936,16.0453,0.8519,0.7539,2855184000.0,5.5603,35.3948,1.0,1.0,10.0,64.4138
2002-04-16,16.19,18.5,14.2681,17.1559,16.0656,0.8451,0.7545,2832440500.0,5.5603,35.3948,1.0,1.0,10.0,64.4138
2002-04-17,16.14,18.5,14.6221,17.1029,16.0858,0.8425,0.755,2823693000.0,5.5603,35.3948,1.0,1.0,10.0,64.4138
2002-04-18,16.52,18.5,11.9855,17.5056,16.0858,0.8624,0.755,2890174000.0,5.5603,35.3948,1.0,1.0,10.0,64.4138
2002-04-19,16.65,18.5,11.1111,17.4803,16.0858,0.8692,0.755,2912917500.0,5.5603,35.5173,1.0,1.0,10.0,64.4138
2002-04-22,16.45,17.5,6.383,17.2703,16.0453,0.8472,0.7539,2839171300.0,5.5496,35.5765,1.0,1.0,10.0,64.4138
2002-04-23,16.48,17.5,6.1893,17.3018,16.0656,0.8487,0.7545,2844349120.0,5.5496,35.5765,1.0,1.0,10.0,64.4138
2002-04-24,16.21,17.5,7.9581,17.0184,16.0858,0.8348,0.755,2797748740.0,5.5496,35.5765,1.0,1.0,10.0,64.4138
2002-04-25,16.65,17.5,5.1051,17.4803,16.0962,0.8575,0.755,2873690100.0,5.5496,35.5765,1.0,1.0,10.0,64.4138
2002-04-26,16.2,17.5,8.0247,17.0079,16.0962,0.8343,0.755,2796022800.0,5.5496,35.5765,1.0,1.0,10.0,64.4138
2002-04-29,15.99,17.5,9.4434,16.7874,16.0656,0.8235,0.7545,2759778060.0,5.5496,35.5765,1.0,1.0,10.0,64.4138
2002-04-30,15.98,17.5,9.5119,16.7769,16.0858,0.823,0.755,2758052120.0,5.5496,35.5765,1.0,1.0,10.0,64.4138
