date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2019-02-28,31.79,40.75,28.185,10.0013,14.1171,1.4,1.9643,3076451627.26,7.6063,5.5889,2.0,1.0,6.0,62.4922,23.606733134920635,14.007196210513865,40.84237936507937,10.664278358417434,37.6139293454345,30.178101006661933
2019-03-01,32.7,41.0,25.3823,10.2325,14.116,1.4394,1.964,3164516143.8,7.7844,6.9818,3.0,1.0,6.0,62.4922,23.631845833333333,13.998992510873958,40.74228253968254,10.750068021790948,37.63083834420729,29.9922145178916
2019-03-04,33.33,40.5,21.5122,10.4296,14.1148,1.4671,1.9638,3225483886.02,7.7813,6.9399,3.0,1.0,6.0,62.4922,23.65629861111111,13.984468656191472,40.60945238095238,10.883694520966396,37.640767267302586,29.72575785998599
2019-03-05,33.32,40.5,21.5486,10.4265,14.1108,1.4667,1.9636,3224516144.08,7.7813,6.9399,3.0,1.0,6.0,62.4922,23.667020039682537,13.980769435127158,40.4812753968254,11.012583887460266,37.6477894748097,29.46869150936513
2019-03-06,32.97,40.5,22.8389,10.317,14.1067,1.4513,1.9635,3190645176.18,7.7813,6.9399,3.0,1.0,6.0,62.4922,23.67815575396825,13.97786419060012,40.36266984126984,11.121808056817148,37.65601994456838,29.240861784452694
2019-03-07,32.02,40.5,26.4834,10.0197,14.0975,1.4095,1.9624,3098709691.88,7.7813,6.9399,3.0,1.0,6.0,62.4922,23.69354583333333,13.97667183256909,40.27732380952381,11.187054428711262,37.67021766590242,29.090269380812543
2019-03-08,32.22,40.375,25.3104,10.0823,14.0883,1.4183,1.9612,3118064530.68,7.7813,6.9399,3.0,1.0,6.0,62.4922,23.69924444444445,13.976744532923856,40.178668253968254,11.26414590494032,37.67598897736831,28.914522349027934
2019-03-11,31.68,40.375,27.4463,9.9133,14.075,1.3945,1.9606,3065806465.92,7.7813,6.9399,3.0,1.0,6.0,62.4922,23.703304166666666,13.977536714574516,40.076858730158726,11.321102742869304,37.68084088124118,28.755755987289422
2019-03-12,31.51,40.375,28.1339,9.8601,14.0618,1.387,1.9599,3049354852.94,7.7813,6.9399,3.0,1.0,6.0,62.4922,23.71039861111111,13.978878891452148,39.96893492063492,11.36990663132334,37.68927750256326,28.599028289311583
2019-03-13,31.95,40.375,26.3693,9.9978,14.032,1.4064,1.9598,3091935498.3,7.7813,6.9399,3.0,1.0,6.0,62.4922,23.7187873015873,13.9792040397715,39.84059285714286,11.431748529635712,37.6979913413588,28.408844327507147
2019-03-14,31.47,40.375,28.2968,9.8476,14.0021,1.3853,1.9597,3045483885.18,7.7813,6.9399,3.0,1.0,6.0,62.4922,23.73275119047619,13.98025706760432,39.72069920634921,11.473225764001992,37.71300825808051,28.24747344234721
2019-03-15,31.89,40.375,26.6071,9.979,13.9913,1.4037,1.9588,3086129046.66,7.7813,6.9399,3.0,1.0,6.0,62.4922,23.74294781746032,13.980476089728208,39.55069047619048,11.507796946303332,37.723423907188526,28.042893529887152
2019-03-18,31.9,40.375,26.5674,9.9822,13.9805,1.4041,1.9579,3087096788.6,7.7812,6.9399,3.0,1.0,6.0,62.4922,23.751981349206343,13.98082795839487,39.40825,11.556829954486645,37.732809307601215,27.85142004551336
2019-03-19,31.58,40.375,27.8499,9.882,13.9786,1.3901,1.9574,3056129046.52,7.7812,6.9387,3.0,1.0,6.0,62.4922,23.763559523809526,13.981802457835284,39.31219285714286,11.60247415649043,37.745361981644805,27.70971870065243
2019-03-20,31.36,40.375,28.7468,9.8132,13.9767,1.3804,1.9569,3034838723.84,7.7812,6.9387,3.0,1.0,6.0,62.4922,23.77808472222222,13.9831718671035,39.21433253968254,11.639409413937308,37.76125658932572,27.57492312574523
2019-03-21,31.61,40.375,27.7286,9.8914,13.968,1.3914,1.9564,3059032272.34,7.7812,6.9387,3.0,1.0,6.0,62.4922,23.78950595238096,13.984044798310578,39.10645634920635,11.682636396296818,37.77355075069153,27.42381995290953
2019-03-22,30.51,40.375,32.3337,9.5472,13.9593,1.343,1.956,2952580658.94,7.7812,6.9387,3.0,1.0,6.0,62.4922,23.80545615079365,13.989205913764206,39.04401587301587,11.697753514403772,37.794662064557855,27.3462623586121
2019-03-25,30.49,40.375,32.4205,9.5409,13.941,1.3421,1.9552,2950645175.06,7.7812,6.9387,3.0,1.0,6.0,62.4922,23.819296825396822,13.994280973250463,38.99632857142857,11.712518420062224,37.81357779864729,27.283810151366342
2019-03-26,30.69,40.375,31.5575,9.6035,13.9228,1.3509,1.9544,2970000013.86,7.7812,6.9387,3.0,1.0,6.0,62.4922,23.837811507936507,13.998341170068134,38.942122222222224,11.731148702989916,37.83615267800464,27.210973519232308
