date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2014-01-17,45.65,50.1876,9.94,23.0044,20.8287,1.4617,1.4307,14982563636.7,10.4974,-3.5913,15.0,3.0,20.5667,-8.0422,4.181116,1.6813374045879863,4.181116,1.6813374045879863,5.862453404587987,2.499778595412014
2014-01-21,44.97,49.8886,10.9375,23.5297,20.831,1.4403,1.432,14759384156.46,10.4872,-4.0461,20.0,3.0,20.5667,-10.4004,4.440976923076923,2.1141286224461733,4.440976923076923,2.1141286224461733,6.555105545523096,2.32684830063075
2014-01-22,46.08,49.8886,8.2652,24.1105,20.8496,1.4758,1.4332,15123691837.44,10.4872,-4.0461,20.0,3.0,20.5667,-10.4004,4.582614814814814,2.19983848230583,4.582614814814814,2.19983848230583,6.782453297120645,2.382776332508984
2014-01-23,46.49,49.8886,7.3104,24.325,20.8682,1.4889,1.4332,15258255935.82,10.4872,-4.0461,20.0,3.0,20.5667,-10.4004,4.680035714285714,2.219414268611042,4.680035714285714,2.219414268611042,6.899449982896757,2.4606214456746724
2014-01-24,46.06,49.8886,8.3122,24.1,20.8832,1.4752,1.4332,15117127735.08,10.4872,-4.0461,20.0,3.0,20.5667,-10.4004,4.805282758620689,2.2814022265560663,4.805282758620689,2.2814022265560663,7.086684985176755,2.5238805320646227
2014-01-27,45.12,49.8886,10.5687,23.6082,20.8981,1.4451,1.4335,14808614924.16,10.4872,-4.0461,20.0,3.0,20.5667,-10.4004,4.997396666666666,2.476399200658688,4.997396666666666,2.476399200658688,7.473795867325354,2.520997466007978
2014-01-28,44.93,49.8886,11.0363,23.5088,20.8981,1.439,1.4339,14746255951.74,10.4872,-4.0461,20.0,3.0,20.5667,-10.4004,5.192200000000001,2.665432997969873,5.192200000000001,2.665432997969873,7.857632997969874,2.526767002030127
2014-01-29,44.44,49.8886,12.2606,23.2524,20.8981,1.4233,1.4335,14585435443.92,10.4872,-4.0461,20.0,3.0,20.5667,-10.4004,5.4130875,2.9045956320364392,5.4130875,2.9045956320364392,8.31768313203644,2.5084918679635604
2014-01-30,44.44,49.8886,12.2606,23.2524,20.9027,1.4233,1.4332,14585435443.92,10.4872,-4.0461,20.0,3.0,20.5667,-10.4004,5.620587878787879,3.09740070137018,5.620587878787879,3.09740070137018,8.717988580158059,2.5231871774176984
2014-01-31,44.42,49.8886,12.3111,23.2419,20.9074,1.4226,1.4332,14578871341.56,10.4872,-4.0461,20.0,3.0,20.5667,-10.4004,5.817367647058823,3.258791886082994,5.817367647058823,3.258791886082994,9.076159533141816,2.5585757609758293
2014-02-03,42.98,49.8886,16.074,22.4885,20.9458,1.3765,1.4332,14106255971.64,10.4872,-4.0461,20.0,3.0,20.5667,-10.4004,6.110414285714286,3.648705435061693,6.110414285714286,3.648705435061693,9.75911972077598,2.461708850652592
2014-02-04,43.15,49.8886,15.6167,22.5774,20.9842,1.382,1.432,14162050841.7,10.4872,-4.0461,20.0,3.0,20.5667,-10.4004,6.374477777777778,3.929750813772956,6.374477777777778,3.929750813772956,10.304228591550734,2.4447269640048224
2014-02-05,42.68,49.8886,16.8899,22.3315,20.9875,1.3669,1.4307,14007794436.24,10.4872,-4.0461,20.0,3.0,20.5667,-10.4004,6.6586783783783785,4.242930611429841,6.6586783783783785,4.242930611429841,10.90160898980822,2.415747766948537
2014-02-06,43.5,49.8886,14.6864,22.7606,20.9907,1.3932,1.4297,14276922633.0,10.4872,-4.0461,20.0,3.0,20.5667,-10.4004,6.869934210526316,4.383127902215082,6.869934210526316,4.383127902215082,11.253062112741398,2.486806308311234
2014-02-07,44.42,50.4285,13.5266,22.9501,21.02,1.4254,1.4287,14578871341.56,10.3468,-3.6544,20.0,3.0,20.5667,-10.4004,7.040617948717948,4.454483230992758,7.040617948717948,4.454483230992758,11.495101179710703,2.58613471772519
2014-02-10,43.93,50.4285,14.7929,22.697,21.0492,1.4097,1.4286,14418050833.74,10.3468,-3.6544,20.0,3.0,20.5667,-10.4004,7.234425,4.564656368044952,7.234425,4.564656368044952,11.799081368044952,2.669768631955048
2014-02-11,44.5,50.4285,13.3225,22.9915,21.0917,1.428,1.4285,14605127751.0,10.3468,-3.6544,20.0,3.0,20.5667,-10.4004,7.382914634146341,4.606430461190149,7.382914634146341,4.606430461190149,11.989345095336487,2.7764841729561924
2014-02-12,44.91,50.4285,12.2879,23.2033,21.1343,1.4412,1.4286,14739691849.38,10.3468,-3.6544,20.0,3.0,20.5667,-10.4004,7.4997,4.61242784246553,7.4997,4.61242784246553,12.11212784246553,2.88727215753447
2014-02-13,45.03,50.4285,11.9887,23.2653,21.1482,1.445,1.4287,14779076463.54,10.3468,-3.6544,20.0,3.0,20.5667,-10.4004,7.604095348837209,4.608317028195739,7.604095348837209,4.608317028195739,12.212412377032948,2.9957783206414703
2014-02-14,45.14,50.4285,11.7158,23.3221,21.162,1.4485,1.4297,14815179026.52,10.3468,-3.6544,20.0,3.0,20.5667,-10.4004,7.697543181818181,4.596405294656154,7.697543181818181,4.596405294656154,12.293948476474336,3.101137887162027
2014-02-18,44.64,50.4285,12.9671,23.0638,21.3759,1.4325,1.4307,14651076467.52,10.3468,-3.6544,20.0,3.0,20.5667,-10.4004,7.814644444444444,4.611274837314788,7.814644444444444,4.611274837314788,12.425919281759231,3.203369607129656
2014-02-19,44.17,50.4285,14.1691,22.821,21.5898,1.4174,1.4297,14496820062.06,10.3468,-3.6544,20.0,3.0,20.5667,-10.4004,7.952784782608695,4.6550115079923335,7.952784782608695,4.6550115079923335,12.60779629060103,3.297773274616362
2014-02-20,44.09,50.4285,14.3763,22.7796,21.9606,1.4149,1.4287,14470563652.62,10.3468,-3.6544,20.0,3.0,20.5667,-10.4004,8.089455319148936,4.698507137462527,8.089455319148936,4.698507137462527,12.787962456611464,3.390948181686409
2014-02-21,45.45,50.4285,10.9538,23.4823,22.3315,1.4585,1.4297,14916922613.1,10.3468,-3.6544,20.0,3.0,20.5667,-10.4004,8.149129166666667,4.666604152228823,8.149129166666667,4.666604152228823,12.81573331889549,3.482525014437844
2014-02-24,45.67,50.4285,10.4193,23.596,22.41,1.4656,1.4307,14989127739.06,10.3468,-3.6544,20.0,3.0,20.5667,-10.4004,8.195459183673469,4.629112206321638,8.195459183673469,4.629112206321638,12.824571389995109,3.566346977351831
2014-02-25,45.9,50.4285,9.866,23.7148,22.4885,1.4729,1.4316,15064614916.2,10.3468,-3.6544,20.0,3.0,20.5667,-10.4004,8.228869999999999,4.587719908058459,8.228869999999999,4.587719908058459,12.816589908058456,3.6411500919415394
2014-02-26,46.25,50.4285,9.0346,23.8956,22.533,1.4842,1.4325,15179486707.5,10.3527,-3.5956,20.0,4.0,17.925,-10.4004,8.24466862745098,4.543012205992416,8.24466862745098,4.543012205992416,12.787680833443396,3.7016564214585648
