date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2012-02-22,23.45,27.0,15.1386,16.1724,21.0726,1.6366,1.8171,440720847.7,4.7484,11.182,1.0,1.0,9.0,3.6283,11.80720119047619,8.840042106998897,16.55359126984127,6.947807293228876,20.64724329747509,9.605783976612392
2012-02-23,24.56,27.6667,12.6494,18.1926,21.0726,1.709,1.8168,461582260.96,4.758,10.4218,1.0,1.0,9.0,4.0806,11.794088888888888,8.833867539754712,16.475958730158727,6.936247686099766,20.6279564286436,9.53971104405896
2012-02-24,24.48,27.6667,13.0176,18.1333,21.0726,1.7034,1.8167,460078735.68,4.758,10.4218,1.0,1.0,9.0,4.0806,11.775786706349209,8.821725722953067,16.410506349206347,6.929606551298607,20.59751242930228,9.48089979790774
2012-02-27,24.13,27.6667,14.6569,17.8741,21.0842,1.679,1.8162,453500812.58,4.758,10.4218,1.0,1.0,9.0,4.0806,11.761601785714287,8.81130702263461,16.319029365079366,6.875434531537043,20.5729088083489,9.443594833542324
2012-02-28,23.85,27.6667,16.0029,17.6667,21.0815,1.6596,1.8158,448238474.1,4.758,10.4218,1.0,1.0,9.0,4.0806,11.748896825396823,8.80053799453795,16.24762380952381,6.831133577009733,20.54943481993477,9.416490232514075
2012-02-29,23.89,27.6667,15.8087,17.6963,21.0726,1.6623,1.8158,448990236.74,4.758,10.4218,1.0,1.0,9.0,4.0806,11.741125595238096,8.795208105341118,16.20348888888889,6.81572288091856,20.536333700579213,9.387766007970331
2012-03-01,23.77,27.6667,16.3934,17.6074,21.0726,1.654,1.8157,446734948.82,4.758,10.4218,1.0,1.0,9.0,4.0806,11.73930634920635,8.794148622862217,16.170628571428573,6.804650301514279,20.53345497206857,9.365978269914294
2012-03-02,23.4,27.6667,18.2338,17.3333,21.0726,1.6282,1.8156,439781144.4,4.758,10.815,1.0,1.0,9.0,4.0806,11.74233134920635,8.796123552430787,16.156066666666668,6.79820211093501,20.53845490163713,9.357864555731656
2012-03-05,23.98,27.6667,15.3741,17.763,21.0815,1.6686,1.8151,450681702.68,4.758,10.815,1.0,1.0,9.0,4.0806,11.741058333333331,8.795550270101508,16.091053174603175,6.765866534547595,20.536608603434843,9.32518664005558
2012-03-06,23.64,27.6667,17.0334,17.7304,21.0726,1.6502,1.8148,444291720.24,7.2151,21.0212,1.0,1.0,9.0,4.0806,11.745207142857144,8.79755625377607,16.02203492063492,6.710888493716167,20.54276339663321,9.311146426918752
2012-03-07,23.91,27.6667,15.7118,17.9329,21.0636,1.6691,1.8146,449366118.06,7.2151,21.0212,1.0,1.0,9.0,4.0806,11.74835257936508,8.798692669479799,15.93211507936508,6.63755828076651,20.54704524884488,9.29455679859857
2012-03-08,24.06,27.6667,14.9904,18.0455,21.0636,1.6795,1.8144,452185227.96,7.2151,21.0212,1.0,1.0,9.0,4.0806,11.749972023809525,8.799215144156221,15.863190476190477,6.601505903697266,20.549187167965744,9.261684572493207
2012-03-09,24.22,27.6667,14.2308,18.1655,21.0636,1.6907,1.8143,455192278.52,7.2151,21.0212,1.0,1.0,9.0,4.0806,11.75017896825397,8.799272373979639,15.769234126984127,6.539035249566049,20.54945134223361,9.23019887741808
2012-03-12,24.1,27.6667,14.7996,18.0755,21.0815,1.6823,1.8141,452936990.6,7.2151,21.0212,1.0,1.0,9.0,4.0806,11.751040674603171,8.799550240975254,15.65485873015873,6.4271214459510935,20.550590915578425,9.227737284207638
2012-03-13,24.73,27.6667,11.8751,18.548,21.0726,1.7263,1.8138,464777252.18,7.2151,21.0212,1.0,1.0,9.0,4.0806,11.745146428571427,8.798468014630519,15.522920634920636,6.33125567284501,20.543614443201943,9.191664962075627
2012-03-14,24.26,27.6667,14.0425,18.1955,21.0636,1.6935,1.8136,455944041.16,7.2151,21.0212,1.0,1.0,9.0,4.0806,11.745733531746032,8.798611704127113,15.416078571428573,6.240379786950348,20.544345235873145,9.175698784478223
2012-03-15,24.15,27.6667,14.5619,18.113,21.0636,1.6858,1.8135,453876693.9,7.2151,21.0212,1.0,1.0,9.0,4.0806,11.753027777777778,8.799421046811197,15.32475,6.166996043777014,20.55244882458897,9.157753956222988
2012-03-16,24.22,27.6667,14.2308,18.1655,21.0636,1.6907,1.8132,455192278.52,7.2151,21.0212,1.0,1.0,9.0,4.0806,11.761172023809523,8.799811791240739,15.230793650793652,6.091711808780905,20.560983815050264,9.139081842012748
2012-03-19,24.24,27.6667,14.1366,18.1805,21.0815,1.6921,1.8126,455568159.84,7.2151,21.0212,1.0,1.0,9.0,4.0806,11.77495615079365,8.79807719378903,15.140573809523811,6.022123100770187,20.573033344582683,9.118450708753624
2012-03-20,24.14,27.6667,14.6094,18.1055,21.0726,1.6851,1.8123,453688753.24,7.2151,21.0212,1.0,1.0,9.0,4.0806,11.78804503968254,8.79737581108381,15.038230952380951,5.919012823415376,20.58542085076635,9.119218128965574
2012-03-21,24.11,27.6667,14.752,18.083,21.0636,1.683,1.812,453124931.26,7.2151,21.0212,1.0,1.0,9.0,4.0806,11.806832142857145,8.793566629478175,14.925367460317462,5.785252841449031,20.60039877233532,9.14011461886843
2012-03-22,24.26,27.6667,14.0425,18.1955,21.0636,1.6935,1.812,455944041.16,7.2151,21.0212,1.0,1.0,9.0,4.0806,11.823730555555557,8.789654720724675,14.789613492063491,5.5992453806756775,20.61338527628024,9.190368111387816
2012-03-23,24.55,27.6667,12.6953,18.413,21.0636,1.7138,1.8119,461394320.3,7.2151,21.0212,1.0,1.0,9.0,4.0806,11.830293849206347,8.789066875553976,14.633821428571428,5.376079090945238,20.619360724760327,9.25774233762619
2012-03-26,24.91,27.6667,11.0666,18.683,21.0815,1.7389,1.8119,468160184.06,7.2151,21.0212,1.0,1.0,9.0,4.0806,11.82886130952381,8.78913252433284,14.502900793650795,5.258281381280467,20.61799383385665,9.244619412370328
