date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2008-06-20,17.25,19.1,10.7246,18.3296,19.9169,0.6812,0.6121,1290472500.0,7.1568,11.4119,4.0,4.0,19.1,13.8645
2008-06-23,16.86,19.0,12.6928,17.9152,19.9196,0.6658,0.6143,1261296600.0,7.1568,11.4119,4.0,4.0,19.1,13.8645
2008-06-24,16.57,19.0,14.6651,17.6071,19.9182,0.6544,0.6151,1239601700.0,7.1568,11.4119,4.0,4.0,19.1,13.8645
2008-06-25,17.34,19.0,9.5732,18.4252,19.9169,0.6848,0.6152,1297205400.0,7.1568,11.4119,4.0,4.0,19.1,13.8645
2008-06-26,16.99,19.0,11.8305,18.0533,19.9169,0.6709,0.6155,1271021900.0,7.1568,11.4119,4.0,4.0,19.1,13.8645
2008-06-27,17.35,19.0,9.5101,18.4359,19.9169,0.6852,0.6155,1297953500.0,7.1568,11.4119,4.0,4.0,19.1,13.8645
2008-06-30,17.07,19.0,11.3064,18.1692,19.9196,0.6746,0.617,1277006700.0,7.157,11.4089,4.0,4.0,19.1,13.792
2008-07-01,17.15,19.0,10.7872,18.2544,19.9182,0.6777,0.6171,1282991500.0,7.157,11.4089,4.0,4.0,19.1,13.792
2008-07-02,15.97,19.0,18.9731,16.9984,19.9169,0.6311,0.6172,1194715700.0,7.157,11.4089,4.0,4.0,19.1,13.792
2008-07-03,15.66,19.0,21.3282,16.6684,19.9169,0.6188,0.6173,1171524600.0,7.157,11.4089,4.0,4.0,19.1,13.792
2008-07-07,15.82,19.0,20.1011,16.8387,19.9232,0.6252,0.6192,1183494200.0,7.157,11.4089,4.0,4.0,19.1,13.792
2008-07-08,16.27,19.0,16.7793,17.3177,19.9196,0.6429,0.6195,1217158700.0,7.157,11.4089,4.0,4.0,19.1,13.792
2008-07-09,16.15,19.0,17.6471,17.19,19.9182,0.6382,0.6197,1208181500.0,7.157,11.4089,4.0,4.0,19.1,13.792
2008-07-10,16.43,19.0,15.6421,17.488,19.9182,0.6493,0.6197,1229128300.0,7.157,11.4089,4.0,4.0,19.1,13.792
2008-07-11,16.83,19.0,12.8936,17.9138,19.9182,0.6651,0.6206,1259052300.0,7.157,11.4089,4.0,4.0,19.1,13.792
2008-07-14,16.71,19.0,13.7044,17.7861,19.9232,0.6603,0.6218,1250075100.0,7.157,11.4089,4.0,4.0,19.1,13.792
2008-07-15,16.86,19.0,12.6928,17.9457,19.9196,0.6663,0.6218,1261296600.0,7.157,11.4089,4.0,4.0,19.1,13.792
2008-07-16,18.07,19.0,5.1467,19.2336,19.9182,0.7141,0.6218,1351816700.0,7.157,11.4089,4.0,4.0,19.1,13.792
2008-07-17,18.07,19.0,5.1467,19.2336,19.9182,0.7141,0.622,1351816700.0,7.157,11.4089,4.0,4.0,19.1,13.792
2008-07-18,18.32,19.0,3.7118,19.4997,19.9182,0.724,0.623,1370519200.0,7.157,11.4089,4.0,4.0,19.1,13.792
2008-07-21,18.2,19.0,4.3956,19.372,19.9232,0.7192,0.6252,1361542000.0,7.157,11.4089,4.0,4.0,19.1,13.792
2008-07-22,18.81,19.0,1.0101,20.0213,19.9268,0.7433,0.6252,1407176100.0,7.157,11.4089,4.0,4.0,19.1,13.792
2008-07-23,18.94,19.0,0.3168,20.1597,19.9278,0.7485,0.6253,1416901400.0,7.157,11.4089,4.0,4.0,19.1,13.792
2008-07-24,18.6,20.7143,11.3672,19.5296,19.9278,0.7018,0.6255,1394590800.0,8.8769,13.3044,6.0,4.0,13.925,14.8339
2008-07-25,18.86,20.9286,10.9682,19.8088,19.9278,0.7051,0.6267,1414085080.0,9.1758,13.4493,6.0,4.0,13.925,14.8339
2008-07-28,18.61,20.9286,12.4589,19.5463,19.9301,0.6958,0.6294,1395340580.0,9.1758,13.4493,6.0,4.0,13.925,14.8339
2008-07-29,19.7,20.9286,6.2365,20.6911,19.9314,0.7365,0.6294,1477066600.0,9.1758,13.4493,6.0,4.0,13.925,14.8339
2008-07-30,19.49,20.9286,7.3812,20.4705,19.9323,0.7287,0.6295,1461321220.0,9.1758,13.4493,6.0,4.0,13.925,14.8339
2008-07-31,19.43,21.3571,9.9182,20.2544,19.9332,0.7186,0.6297,1456822540.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-08-01,18.79,21.3571,13.6621,19.5872,19.9332,0.6949,0.6301,1408836620.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-08-04,19.08,21.3571,11.9345,19.8895,19.9383,0.7056,0.6307,1430580240.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-08-05,19.63,21.3571,8.7983,20.4628,19.9426,0.726,0.6311,1471818140.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-08-06,19.48,21.3571,9.636,20.3065,19.9469,0.7204,0.6319,1460571440.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-08-07,18.89,21.3571,13.0603,19.6914,19.9383,0.6986,0.633,1416334420.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-08-08,19.88,21.3571,7.4301,20.7234,19.9469,0.7352,0.6335,1490562640.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-08-11,20.39,21.3571,4.743,21.2551,19.9332,0.7541,0.6342,1528801420.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-08-12,19.77,21.3571,8.0278,20.6088,19.94,0.7312,0.6346,1482315060.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-08-13,20.05,21.3571,6.5192,20.9007,19.9469,0.7415,0.6349,1503308900.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-08-14,20.27,21.3571,5.3631,21.13,19.9469,0.7497,0.6354,1519804060.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-08-15,20.29,21.3571,5.2592,21.1508,19.9469,0.7504,0.6362,1521303620.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-08-18,20.5,21.3571,4.181,21.3697,19.9332,0.7582,0.6375,1537049000.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-08-19,19.74,21.3571,8.192,20.5775,19.94,0.7301,0.6377,1480065720.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-08-20,19.11,21.3571,11.7588,19.9208,19.9332,0.7068,0.638,1432829580.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-08-21,18.67,21.3571,14.3926,19.4621,19.9314,0.6905,0.6384,1399839260.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-08-22,19.44,21.3571,9.8616,20.2648,19.9314,0.719,0.6385,1457572320.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-08-25,18.84,21.3571,13.3604,19.6393,19.9268,0.6968,0.6389,1412585520.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-08-26,18.84,21.3571,13.3604,19.6393,19.9238,0.6968,0.6392,1412585520.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-08-27,19.27,21.3571,10.8308,20.0876,19.9268,0.7127,0.6397,1444826060.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-08-28,20.13,21.3571,6.0959,20.9841,19.9268,0.7445,0.6404,1509307140.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-08-29,19.97,21.3571,6.9459,20.8173,19.9268,0.7386,0.6412,1497310660.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-09-02,19.95,21.3571,7.0531,20.7964,19.9288,0.7378,0.6424,1495811100.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-09-03,20.0,21.3571,6.7855,20.8485,19.9301,0.7397,0.6429,1499560000.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-09-04,19.46,21.3571,9.7487,20.2856,19.9301,0.7197,0.6431,1459071880.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-09-05,19.27,21.3571,10.8308,20.0876,19.9301,0.7127,0.6435,1444826060.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-09-08,19.72,21.3571,8.3017,20.5567,19.9278,0.7293,0.6436,1478566160.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-09-09,18.91,21.3571,12.9408,19.7123,19.9268,0.6994,0.6436,1417833980.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-09-10,19.82,21.3571,7.7553,20.6609,19.9278,0.733,0.6436,1486063960.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-09-11,19.86,21.3571,7.5383,20.7026,19.9278,0.7345,0.6437,1489063080.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-09-12,19.93,21.3571,7.1606,20.7756,19.9278,0.7371,0.6438,1494311540.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-09-15,19.99,21.3571,6.8389,20.8381,19.9301,0.7393,0.6438,1498810220.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-09-16,20.07,21.3571,6.4131,20.9215,19.9314,0.7423,0.644,1504808460.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-09-17,18.84,21.3571,13.3604,19.6393,19.9301,0.6968,0.6441,1412585520.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-09-18,19.9,21.3571,7.3221,20.7443,19.9323,0.736,0.6446,1492062200.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-09-19,20.88,21.3571,2.285,21.7659,19.9323,0.7722,0.6449,1565540640.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-09-22,20.22,21.3571,5.6236,21.0779,19.9323,0.7478,0.6457,1516055160.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-09-23,19.79,21.3571,7.9186,20.6296,19.9332,0.7319,0.6458,1483814620.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-09-24,19.41,21.3571,10.0314,20.2335,19.94,0.7178,0.646,1455322980.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-09-25,19.5,21.3571,9.5236,20.3273,19.94,0.7212,0.6461,1462071000.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-09-26,19.41,21.3571,10.0314,20.2335,19.94,0.7178,0.6462,1455322980.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-09-29,18.29,21.3571,16.7693,19.066,19.9301,0.6764,0.6468,1371347620.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-09-30,18.82,21.3571,13.4809,19.6185,19.9278,0.696,0.647,1411085960.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-10-01,18.25,21.3571,17.0252,19.0243,19.9268,0.6749,0.6472,1368348500.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-10-02,16.3,21.3571,31.0252,16.9916,19.9208,0.6028,0.6472,1222141400.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-10-03,16.19,21.3571,31.9154,16.8769,19.9196,0.5988,0.6472,1213893820.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-10-06,16.14,21.3571,32.324,16.8248,19.9039,0.5969,0.6472,1210144920.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
2008-10-07,15.52,21.3571,37.6102,16.1785,19.9006,0.574,0.6472,1163658560.0,9.8788,14.0546,6.0,4.0,13.925,14.8339
