date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2006-02-24,20.74,24.5,18.1292,7.8176,6.222,0.348,0.3323,4573170000.0,-1.1818,12.1707,3.0,1.0,3.0,15.6314,37.00929181034483,12.005654811859884,40.33922063492064,12.260736647124068,49.01494662220471,28.078483987796574
2006-02-27,20.85,25.0,19.9041,7.859,6.2223,0.3498,0.3324,4597425000.0,-1.1818,12.2919,3.0,1.0,3.0,15.6314,36.93587896995708,12.032049426600937,40.15362142857144,12.392015809541943,48.967928396558015,27.76160561902949
2006-02-28,20.41,25.0,22.489,7.7025,6.2224,0.3498,0.3326,4500405000.0,-1.2445,12.2946,3.0,1.0,3.0,15.7724,36.87414017094017,12.043289209070542,39.94936349206349,12.469766227207984,48.91742938001072,27.479597264855503
2006-03-01,20.5,25.0,21.9512,7.7364,6.2224,0.3513,0.3327,4520250000.0,-1.2445,12.2946,3.0,1.0,3.0,15.7724,36.81063829787234,12.05689085474476,39.73652380952381,12.546656520067362,48.867529152617095,27.189867289456448
2006-03-02,20.38,25.0,22.6693,7.6911,6.2253,0.3492,0.3342,4493790000.0,-1.2445,12.2946,3.0,1.0,3.0,15.7724,36.75071737288136,12.066374322667029,39.49040952380952,12.575076808642912,48.81709169554839,26.91533271516661
2006-03-03,20.23,25.0,23.5788,7.6345,6.2281,0.3467,0.3356,4460715000.0,-1.2445,12.2946,3.0,1.0,3.0,15.7724,36.69513966244726,12.071143948031528,39.27481984126984,12.613411758847937,48.76628361047879,26.6614080824219
2006-03-06,20.03,25.0,24.8128,7.5591,6.2281,0.3432,0.3367,4416615000.0,-1.2371,12.2946,3.0,1.0,3.0,15.7724,36.64521386554622,12.070249821245428,39.09995396825397,12.660251324719598,48.71546368679165,26.43970264353437
2006-03-07,19.83,25.0,26.0716,7.4836,6.2281,0.3398,0.3378,4372515000.0,-1.2273,12.2946,3.0,1.0,3.0,15.7724,36.60097280334728,12.064268394234388,38.92658015873016,12.688092395300538,48.66524119758167,26.238487763429625
2006-03-08,19.67,25.0,27.0971,7.4232,6.2353,0.3371,0.3375,4337235000.0,-1.2273,12.2946,3.0,1.0,3.0,15.7724,36.561373333333336,12.054623127326712,38.773447619047616,12.71368192966752,48.61599646066005,26.059765689380097
2006-03-09,19.9,25.0,25.6281,7.51,6.2425,0.341,0.3378,4387950000.0,-1.2273,12.2946,3.0,1.0,3.0,15.7724,36.51600705394191,12.05008157357555,38.62924603174603,12.759201395533507,48.56608862751746,25.87004463621252
2006-03-10,20.09,25.0,24.44,7.5817,6.2452,0.3443,0.3388,4429845000.0,-1.2273,12.2946,3.0,1.0,3.0,15.7724,36.46610619834711,12.05008551241859,38.43667777777778,12.789002221426903,48.516191710765696,25.64767555635088
2006-03-13,20.0,25.0,25.0,7.5477,6.2479,0.3427,0.3397,4410000000.0,-1.2273,12.2946,3.0,1.0,3.0,15.7724,36.41892057613168,12.047637833427872,38.22903650793651,12.793116859727991,48.46655840955955,25.43591964820852
2006-03-14,19.99,23.9,19.5598,7.544,6.254,0.3426,0.3398,4407795000.0,-1.2273,12.4057,3.0,1.0,3.0,15.7724,36.34982581967213,12.071170087983775,37.96884603174603,12.837059984938302,48.42099590765591,25.131786046807733
2006-03-15,20.0,23.9,19.5,7.4463,6.26,0.3435,0.3398,4410000000.0,-7.971,-10.4558,1.0,1.0,3.0,-5.4185,36.28105102040816,12.09441216643147,37.65010317460318,12.792649485700364,48.37546318683963,24.85745368890281
2006-03-16,20.01,23.9,19.4403,7.45,6.2601,0.3437,0.34,4412205000.0,-7.971,-10.4558,1.0,1.0,3.0,-5.4185,36.21259268292683,12.11736998879098,37.34845476190476,12.770171606857016,48.32996267171781,24.578283155047743
2006-03-17,19.94,23.9,19.8596,7.948,6.2602,0.3425,0.3403,4396770000.0,-7.971,-11.8073,1.0,1.0,3.0,-5.4185,36.14638623481781,12.137399079853592,37.02357698412698,12.689371517235434,48.283785314671405,24.334205466891547
2006-03-20,19.13,23.9,24.9347,7.6252,6.2604,0.3286,0.34,4218165000.0,-7.971,-11.8073,1.0,1.0,3.0,-5.4185,36.101177822580645,12.13370908075135,36.728181746031744,12.53191183857531,48.234886903332,24.19626990745644
2006-03-21,19.05,23.9,25.4593,7.5933,6.2605,0.3272,0.3398,4200525000.0,-7.971,-11.8073,1.0,1.0,3.0,-5.4185,36.05843935742972,12.12798650814849,36.41854365079365,12.321102340083016,48.18642586557821,24.09744131071064
