date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2015-04-22,72.99,76.475,4.7746,12.8386,11.2368,0.4094,0.429,1193751450.0,2.0634,0.993,1.0,1.0,-0.7,9.3602,11.435145238095238,13.731932349526964,12.05971746031746,8.041730005217325,25.1670775876222,4.017987455100135
2015-04-23,73.99,76.475,3.3586,13.0145,11.2394,0.415,0.4282,1210106450.0,2.0634,0.993,1.0,1.0,-0.7,9.3602,11.441208333333332,13.727681244259204,11.840590476190476,7.89723556428631,25.168889577592537,3.9433549119041658
2015-04-24,73.54,76.475,3.991,12.9353,11.2421,0.4125,0.4275,1202746700.0,2.0634,0.993,1.0,1.0,-0.7,9.3602,11.45387718253968,13.717830455829583,11.597325396825395,7.657690687176506,25.171707638369263,3.9396347096488897
2015-04-27,73.86,76.475,3.5405,12.9916,11.2449,0.4143,0.4274,1207980300.0,2.0634,0.993,1.0,1.0,-0.7,9.3602,11.458935912698411,13.714434036520332,11.380492063492063,7.492881016747593,25.173369949218745,3.8876110467444702
2015-04-28,74.66,76.475,2.431,13.1323,11.2543,0.4188,0.4274,1221064300.0,2.0634,0.993,1.0,1.0,-0.7,9.3602,11.459475992063492,13.714072420592482,11.153435714285717,7.323936421116326,25.17354841265597,3.829499293169389
2015-04-29,73.98,76.475,3.3725,13.0127,11.2638,0.4144,0.427,1208167380.0,2.0634,0.993,1.0,1.0,-0.7,9.3602,11.465340476190477,13.709972258301908,10.912851587301589,7.071370230643944,25.175312734492383,3.841481356657643
2015-04-30,73.34,76.975,4.9564,12.8381,11.2657,0.4245,0.4265,1197715540.0,2.0842,1.3278,1.0,1.0,-0.7,9.3602,11.472095238095235,13.705916404025388,10.727113492063491,6.915076313509232,25.178011642120623,3.812037178554261
2015-05-01,73.26,76.975,5.071,12.8241,11.2676,0.424,0.4263,1196409060.0,2.0842,1.3278,1.0,1.0,-0.7,9.3602,11.474497023809525,13.704685925068922,10.535290476190475,6.73016343481111,25.179182948878445,3.805127041379365
2015-05-04,75.37,76.975,2.1295,13.1934,11.2734,0.4362,0.4265,1230867470.0,2.0842,1.3278,1.0,1.0,-0.7,9.3602,11.468837499999998,13.707961031779655,10.49373253968254,6.765962764447689,25.176798531779653,3.727769775234851
2015-05-05,73.12,76.975,5.2722,12.7996,11.2791,0.4232,0.4263,1194122720.0,2.0842,1.3278,1.0,1.0,-0.7,9.3602,11.485043253968254,13.695768104068913,10.459638095238097,6.7814704342802425,25.180811358037168,3.678167660957854
2015-05-06,73.09,76.975,5.3154,12.7943,11.281,0.423,0.4261,1193632790.0,2.0842,1.3278,1.0,1.0,-0.7,9.3602,11.500993849206347,13.683863322207532,10.416139682539685,6.796854661939787,25.18485717141388,3.619285020599896
2015-05-07,72.9,76.975,5.5898,12.761,11.283,0.4219,0.426,1190529900.0,2.0842,1.3278,1.0,1.0,-0.7,9.3602,11.521007936507935,13.667784893503622,10.366585714285716,6.809187392254248,25.18879283001156,3.557398322031468
2015-05-08,73.05,76.975,5.373,12.7873,11.2836,0.4228,0.4259,1192979550.0,2.0842,1.3278,1.0,1.0,-0.7,9.3602,11.536936309523808,13.655904187280235,10.32501507936508,6.823657426243694,25.192840496804045,3.501357653121386
2015-05-11,73.8,76.975,4.3022,12.9186,11.2843,0.4271,0.426,1205227800.0,2.0842,1.3278,1.0,1.0,-0.7,9.3602,11.551962896825398,13.6437386836565,10.280220634920632,6.844656681462607,25.1957015804819,3.4355639534580265
2015-05-12,73.86,76.975,4.2174,12.9291,11.2863,0.4275,0.4261,1206207660.0,2.0842,1.3278,1.0,1.0,-0.7,9.3602,11.56187003968254,13.63658029637337,10.241065873015872,6.865248659632509,25.19845033605591,3.375817213383363
