date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2004-03-31,6.52,9.3047,42.7101,19.3128,25.157,7.3796,8.2239,947577680.0,5.1736,40.4662,4.0,1.0,37.0,36.1082,30.025188397790057,17.67357179421763,23.102274603174603,15.17615105568964,47.69876019200768,7.926123547484963
2004-04-01,6.39,9.3839,46.8529,18.7941,25.1067,7.2194,8.2108,928684260.0,7.3966,40.2207,4.0,1.0,37.0,36.3515,30.117648351648352,17.66876652169903,23.325419047619047,15.317494599165824,47.78641487334738,8.007924448453222
2004-04-02,6.38,9.1922,44.0784,18.7647,25.0563,7.2081,8.1977,927230920.0,7.3966,40.1682,4.0,1.0,37.0,36.3834,30.19393661202185,17.650355462476792,23.54004920634921,15.417786512159235,47.84429207449865,8.122262694189972
2004-04-05,6.34,9.1922,44.9874,18.6471,25.0463,7.1629,8.1846,921417560.0,7.3966,40.1682,4.0,1.0,37.0,36.3834,30.274335869565217,17.63581736448472,23.739164285714285,15.531967810079772,47.910153234049936,8.207196475634513
2004-04-06,6.42,9.1922,43.1807,18.8824,25.0413,7.2533,8.1715,933044280.0,7.3966,40.1682,4.0,1.0,37.0,36.3834,30.3441,17.613407340247328,23.92549047619048,15.623716879126698,47.95750734024733,8.30177359706378
2004-04-07,6.39,9.1922,43.8529,18.7941,25.0363,7.2194,8.1604,928684260.0,7.3966,40.1682,4.0,1.0,37.0,36.3834,30.41672795698925,17.593643861081357,24.16390952380952,15.697190786728322,48.01037181807061,8.4667187370812
2004-04-08,6.25,9.1922,47.0752,18.3824,25.004,7.0612,8.1493,908337500.0,7.3966,40.1682,4.0,1.0,37.0,36.3834,30.505810695187165,17.588522193045712,24.422111904761906,15.80485113181953,48.09433288823288,8.617260772942375
2004-04-12,6.06,9.1922,48.4472,17.8235,24.9716,6.8465,8.1276,880724040.0,7.3966,40.1682,4.0,1.0,37.0,36.3834,30.60124361702128,17.590167747182615,24.682377777777777,15.92882913314542,48.19141136420389,8.753548644632358
2004-04-13,5.79,9.0649,56.5613,16.4069,24.9288,6.5415,8.106,841483860.0,7.3966,40.7684,4.0,1.0,37.0,36.2569,30.738598412698416,17.64465699462672,25.00435634920635,16.160106500884186,48.38325540732514,8.844249848322164
2004-04-14,5.52,9.0649,64.2192,15.6418,24.8859,6.2364,8.0995,802243680.0,7.3966,40.7684,4.0,1.0,37.0,36.2569,30.91481210526316,17.76475137660542,25.412842063492064,16.494906012484478,48.67956348186858,8.917936051007587
2004-04-15,5.51,9.0649,64.5172,15.6135,24.8859,6.2251,8.0929,800790340.0,7.3966,40.7684,4.0,1.0,37.0,36.2569,31.090740837696337,17.883988256926997,25.81527777777778,16.82483072244301,48.974729094623335,8.99044705533477
2004-04-16,5.72,9.0649,58.4773,16.2086,24.8859,6.4624,8.092,831310480.0,7.3966,40.7684,4.0,1.0,37.0,36.2569,31.233379166666666,17.946277317418787,26.17540555555556,17.03483133646027,49.179656484085456,9.140574219095283
2004-04-19,5.71,9.0649,58.7548,16.1802,24.8344,6.4511,8.0911,829857140.0,7.3966,40.7684,4.0,1.0,37.0,36.2569,31.37597720207254,18.008773641400076,26.540523015873017,17.236603634127754,49.38475084347262,9.303919381745263
2004-04-20,5.2,9.0649,74.325,14.7351,24.8085,5.8749,8.0911,755736800.0,7.3966,40.7684,4.0,1.0,37.0,36.2569,31.597363917525776,18.22481488922921,27.022211904761907,17.7144143555856,49.82217880675499,9.307797549176309
2004-04-21,5.17,9.0649,75.3366,14.65,24.7826,5.841,8.0792,751376780.0,7.3966,40.7684,4.0,1.0,37.0,36.2569,31.82166769230769,18.445668100179844,27.50796349206349,18.19086565746932,50.267335792487536,9.31709783459418
2004-04-22,5.54,9.0649,63.6264,15.6985,24.7752,6.259,8.0673,805150360.0,7.3966,40.7684,4.0,1.0,37.0,36.2569,31.98393673469388,18.53803551898796,27.93293571428572,18.4046727663622,50.52197225368184,9.52826294792352
2004-04-23,5.54,9.0649,63.6264,15.6985,24.7679,6.259,8.0556,805150360.0,7.3966,40.7684,4.0,1.0,37.0,36.2569,32.14455837563452,18.62761026678731,28.375634126984128,18.58759978326696,50.77216864242183,9.788034343717168
2004-04-26,5.39,9.0649,68.18,15.2734,24.757,6.0896,8.0439,783350260.0,7.3966,40.7684,4.0,1.0,37.0,36.2569,32.32655555555556,18.75592848373953,28.851984126984128,18.832839249457475,51.082484039295096,10.019144877526651
2004-04-27,5.26,9.0649,72.3365,14.9051,24.746,5.9427,8.0422,764456840.0,7.3966,40.7684,4.0,1.0,37.0,36.2569,32.52761055276382,18.92227157022948,29.38909126984127,19.10054024109693,51.44988212299329,10.28855102874434
2004-04-28,4.83,9.0649,87.6791,13.6866,24.7456,5.4569,8.0405,701963220.0,7.3966,40.7684,4.0,1.0,37.0,36.2569,32.803368,19.273337469711443,30.06958412698413,19.6345798231158,52.07670546971144,10.435004303868327
2004-04-29,4.85,9.0649,86.9052,14.0092,24.7451,5.4795,8.0363,704869900.0,7.3966,40.5884,4.0,1.0,37.0,36.2569,33.072531343283586,19.600164782831875,30.72348253968254,20.14207824043618,52.67269612611546,10.581404299246358
2004-04-30,4.8,9.0649,88.8521,13.913,24.6881,5.423,8.0322,697603200.0,7.3966,40.1886,4.0,1.0,37.0,35.8718,33.34866782178218,19.94136297390974,31.44624126984127,20.57980644702868,53.29003079569192,10.866434822812591
2004-05-03,4.57,9.0649,98.3567,13.2464,24.6311,5.1631,8.0298,664176380.0,7.3966,40.1886,4.0,1.0,37.0,35.8718,33.66890443349754,20.40851061364977,32.237228571428574,21.21629745617216,54.07741504714731,11.020931115256417
2004-05-04,4.97,9.0424,81.9396,14.2489,24.6127,5.6151,8.0274,722309980.0,7.3966,40.9477,4.0,1.0,37.0,35.8718,33.90552549019608,20.636797434062284,32.89374365079365,21.46479996589205,54.54232292425836,11.4289436849016
2004-05-05,4.97,9.0424,81.9396,14.2489,24.5943,5.6151,8.0239,722309980.0,7.3966,40.9477,4.0,1.0,37.0,35.8718,34.13983804878049,20.857726646918284,33.51286587301588,21.74589920110976,54.99756469569877,11.766966671906118
2004-05-06,4.82,9.0424,87.6017,13.8188,24.5908,5.4456,8.0205,700509880.0,7.3966,40.9477,4.0,1.0,37.0,35.8718,34.39936165048544,21.13757806087873,34.22365555555555,22.03892781044869,55.53693971136417,12.18472774510686
2004-05-07,4.5,9.0424,100.9422,12.9014,24.5874,5.0841,8.0022,654003000.0,7.3966,40.9477,4.0,1.0,37.0,35.8718,34.720824637681154,21.58748126565424,35.04134603174602,22.58547525067082,56.3083059033354,12.455870781075202
2004-05-10,4.67,8.9362,91.3533,13.8288,24.5245,5.1816,7.9788,678709780.0,7.7464,40.5689,4.0,1.0,37.0,35.7491,34.99309615384615,21.89035075394872,35.76941111111111,22.910666610363734,56.88344690779488,12.858744500747378
2004-05-11,4.85,8.9362,84.2515,14.3619,24.52,5.3813,7.9738,704869900.0,7.7464,40.5689,4.0,1.0,37.0,35.7491,35.228782296650714,22.101882125450977,36.42750555555555,23.103646733758048,57.33066442210169,13.3238588217975
2004-05-12,4.83,8.9362,85.0145,14.3026,24.489,5.3591,7.9328,701963220.0,7.7464,40.5689,4.0,1.0,37.0,35.7491,35.46585714285714,22.3149915269536,37.08953412698413,23.29201619499408,57.78084866981074,13.797517931990054
2004-05-13,4.73,8.5554,80.8753,14.1702,24.4581,5.2554,7.8919,688386126.67,7.7821,42.4332,5.0,1.0,37.0,35.4727,35.681067772511845,22.480218171395222,37.73024603174603,23.37782998448453,58.16128594390708,14.352416047261492
2004-05-14,4.83,8.1865,69.4928,14.6719,24.4474,5.3665,7.8919,702939744.57,7.2817,39.4876,6.0,1.0,37.0,34.5082,35.84055707547169,22.546790160855,38.32465317460317,23.22400044798376,58.38734723632669,15.100652726619408
2004-05-17,4.84,8.1865,69.1426,14.7023,24.4366,5.3777,7.8919,704395106.36,7.2817,39.4876,6.0,1.0,37.0,34.5082,35.99690469483568,22.608992188728315,38.852114285714286,23.16265999343155,58.60589688356399,15.689454292282736
