date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2008-03-12,22.74,28.6667,26.0629,15.1076,13.4977,0.6178,0.6054,344260860.0,-7.3352,-17.4574,1.0,3.0,16.7413,-13.4298
2008-03-13,21.77,28.6667,31.6798,14.4632,13.5034,0.5914,0.6053,329576030.0,-7.3352,-17.4574,1.0,3.0,16.7413,-13.4298
2008-03-14,21.19,28.6667,35.2841,14.0779,13.509,0.5734,0.6052,320795410.0,-7.1363,-16.9026,2.0,3.0,16.7413,-13.4298
2008-03-17,20.05,28.6667,42.9761,13.3205,13.5034,0.5425,0.6045,303536950.0,-7.1363,-16.9026,2.0,3.0,16.7413,-13.4298
2008-03-18,19.96,28.6667,43.6207,13.2607,13.4977,0.5401,0.6039,302174440.0,-7.1363,-16.9026,2.0,3.0,16.7413,-13.4298
2008-03-19,19.73,28.6667,45.295,13.1079,13.4937,0.5339,0.6038,298692470.0,-7.1363,-16.9026,2.0,3.0,16.7413,-13.4298
2008-03-20,20.02,28.6667,43.1903,13.3006,13.4897,0.5417,0.6037,303082780.0,-7.1363,-16.9026,2.0,3.0,16.7413,-13.4298
2008-03-24,20.15,28.6667,42.2665,13.3869,13.4862,0.5452,0.6037,305050850.0,-7.1363,-16.9026,2.0,3.0,16.7413,-13.4298
2008-03-25,19.98,28.6667,43.477,13.274,13.4828,0.5406,0.6037,302477220.0,-7.1363,-16.9026,2.0,3.0,16.7413,-13.4298
2008-03-26,20.37,28.6667,40.73,13.5331,13.4862,0.5512,0.6034,308381430.0,-7.1363,-16.9026,2.0,3.0,16.7413,-13.4298
2008-03-27,20.5,28.6667,39.8376,13.6195,13.4897,0.5547,0.6032,310349500.0,-7.1363,-16.9026,2.0,3.0,16.7413,-13.4298
2008-03-28,20.08,28.6667,42.7625,13.3404,13.4862,0.5434,0.6026,303991120.0,-7.1363,-16.9026,2.0,3.0,16.7413,-13.4298
2008-03-31,20.05,28.6667,42.9761,13.3205,13.4828,0.5425,0.602,303536950.0,-7.1363,-16.9026,2.0,3.0,16.7413,-13.4298
2008-04-01,20.21,28.6667,41.8441,13.4268,13.4828,0.5469,0.6014,305959190.0,-7.1363,-16.9026,2.0,3.0,16.7413,-13.4298
2008-04-02,20.84,28.6667,37.5561,13.8453,13.4828,0.5639,0.6007,315496760.0,-7.1363,-16.9026,2.0,3.0,16.7413,-13.4298
2008-04-03,20.93,28.6667,36.9646,13.9051,13.4862,0.5664,0.6001,316859270.0,-7.1363,-16.9026,2.0,3.0,16.7413,-13.4298
