date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2007-12-31,30.93,33.6499,8.7937,26.4043,19.3448,2.3938,1.7292,1845064630.02,83.7082,17.4748,3.0,1.0,17.0,31.5242
2008-01-02,30.96,33.4332,7.9884,26.4299,19.3518,2.3961,1.7295,1846854217.44,83.7082,17.4748,3.0,1.0,17.0,31.5242
2008-01-03,31.7,33.4332,5.4675,27.0616,19.3616,2.4534,1.7314,1890997373.8,83.7082,17.4748,3.0,1.0,17.0,31.5242
2008-01-04,31.74,33.4332,5.3346,27.0958,19.3648,2.4453,1.7314,1893383490.36,83.5608,17.3239,4.0,1.0,17.0,31.5242
2008-01-07,31.955,33.4332,4.6259,27.2793,19.3719,2.4619,1.736,1906208866.87,83.5608,17.3239,4.0,1.0,17.0,31.5242
2008-01-08,31.335,33.4332,6.696,26.75,19.377,2.4141,1.737,1869224060.19,87.3111,17.0736,4.0,1.0,17.0,30.5619
2008-01-09,32.33,33.4332,3.4123,27.5995,19.382,2.4907,1.7395,1928578709.62,87.3111,17.0736,4.0,1.0,17.0,30.5619
2008-01-10,33.445,33.4332,-0.0353,28.4881,19.3894,2.5833,1.7434,1995091708.73,86.2828,17.6052,5.0,2.0,18.5,35.4088
2008-01-11,32.935,34.8249,5.7383,28.0537,19.3923,2.5439,1.7454,1964668722.59,86.2828,17.6052,5.0,2.0,18.5,35.4088
2008-01-14,33.35,34.8249,4.4225,28.4072,19.3935,2.576,1.7518,1989424681.9,86.2828,17.6052,5.0,2.0,18.5,35.4088
2008-01-15,32.465,34.8249,7.2691,27.6533,19.3946,2.5076,1.7529,1936631853.01,86.2828,17.6052,5.0,2.0,18.5,35.4088
2008-01-16,33.23,34.8249,4.7996,28.3049,19.3958,2.5667,1.7567,1982266332.22,86.2828,17.6052,5.0,2.0,18.5,35.4088
2008-01-17,33.575,34.8249,3.7227,28.5988,19.403,2.5934,1.7605,2002846587.55,86.2817,17.5955,5.0,2.0,18.5,36.2318
2008-01-18,32.355,35.3599,9.2873,27.5362,19.4156,2.5034,1.7672,1930070032.47,85.8389,18.1349,6.0,2.0,18.5,36.2318
2008-01-22,31.84,35.3599,11.017,27.0979,19.4331,2.4635,1.794,1899348781.76,85.8389,18.1349,6.0,2.0,18.5,36.2318
2008-01-23,31.06,35.3599,13.8049,26.434,19.444,2.4032,1.7949,1852819508.84,85.8389,18.1349,6.0,2.0,18.5,36.2318
2008-01-24,30.85,35.3599,14.5796,26.2553,19.4594,2.3869,1.8016,1840292396.9,85.8389,18.1349,6.0,2.0,18.5,36.2318
2008-01-25,31.34,35.3599,12.7881,26.6723,19.4798,2.4249,1.818,1869522324.76,85.8389,18.1349,6.0,2.0,18.5,36.2318
