date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2003-04-08,7.6,7.4543,-1.9171,16.222,31.5917,0.7998,2.6482,6146037608.4,18.947,151.9011,6.0,1.0,20.0,90.1382
2003-04-09,7.41,7.4543,0.5978,16.463,31.5676,0.7827,2.6476,5992386668.19,18.9412,145.2489,6.0,1.0,20.0,89.8766
2003-04-10,7.36,7.4709,1.5068,16.4139,31.506,0.7759,2.6391,5951952210.24,18.7581,137.3565,6.0,1.0,20.0,90.16
2003-04-11,7.43,7.4709,0.5505,16.5774,31.4382,0.783,2.6387,6008560451.37,18.7584,135.8213,6.0,1.0,20.0,89.9027
2003-04-14,7.36,7.4709,1.5068,16.4212,31.2996,0.7756,2.6363,5951952210.24,18.7584,135.8213,6.0,1.0,20.0,89.9027
2003-04-15,7.55,7.2371,-4.1444,18.0449,31.29,0.7967,2.6346,6105603150.45,18.7566,132.3104,6.0,1.0,20.0,89.2362
2003-04-16,7.79,7.2837,-6.4994,20.0154,31.2804,0.8314,2.6326,6299688548.61,18.0355,130.572,7.0,1.0,20.0,87.772
2003-04-17,8.17,6.914,-15.3733,20.9918,31.2743,0.8713,2.6288,6606990429.03,18.0399,128.7019,7.0,1.0,20.0,88.3723
2003-04-21,8.33,6.914,-16.9988,22.0838,31.0245,0.8875,2.6227,6736380694.47,18.042,126.5554,7.0,1.0,20.0,87.9028
2003-04-22,8.38,7.1292,-14.926,23.7865,30.9708,0.8874,2.6227,6776815152.42,17.9966,119.3114,7.0,1.0,20.0,82.6487
2003-04-23,8.14,7.3401,-9.8268,23.9271,30.9171,0.86,2.6227,6582729754.26,18.0031,113.7413,7.0,1.0,20.0,82.7428
2003-04-24,8.03,7.3401,-8.5915,24.0491,30.9171,0.8466,2.6227,6493773946.77,20.2582,115.77,7.0,1.0,20.0,83.2572
2003-04-25,7.5,7.3401,-2.132,23.0415,30.9131,0.7907,2.6124,6065168692.5,20.2582,115.9275,7.0,1.0,20.0,82.7053
2003-04-28,7.66,7.3401,-4.1762,23.5475,30.6566,0.8083,2.6099,6194558957.94,20.2588,115.593,7.0,1.0,20.0,82.5999
2003-04-29,7.97,7.2017,-9.6399,24.8287,30.6173,0.8403,2.6097,6445252597.23,20.2607,115.2778,7.0,1.0,20.0,82.6806
2003-04-30,7.61,7.2017,-5.3653,23.6924,30.5085,0.8023,2.6094,6154124499.99,20.2607,114.7602,7.0,1.0,20.0,81.5468
2003-05-01,7.47,7.2017,-3.5917,23.2565,30.3958,0.7875,2.6081,6040908017.73,20.2607,122.3775,6.0,1.0,20.0,81.5468
2003-05-02,7.8,7.2017,-7.6705,24.2839,30.3838,0.8219,2.6054,6307775440.2,20.2614,122.3775,6.0,1.0,20.0,81.5725
2003-05-05,7.87,7.2017,-8.4917,24.6245,30.3687,0.8295,2.6014,6364383681.33,20.2634,122.2776,6.0,1.0,20.0,81.4606
2003-05-06,7.93,7.2017,-9.1841,26.7634,30.3677,0.8379,2.5998,6412905030.87,20.2612,126.6114,6.0,1.0,20.0,80.9407
2003-05-07,7.73,7.2017,-6.8344,26.0884,30.3598,0.8167,2.5991,6251167199.07,20.2612,126.6114,6.0,1.0,20.0,80.9407
2003-05-08,7.51,7.3545,-2.0706,25.3203,30.3217,0.7935,2.5923,6073255584.09,20.2612,127.1066,6.0,1.0,20.0,80.3091
2003-05-09,7.77,7.3545,-5.3475,26.339,30.2916,0.8195,2.5846,6283514765.43,20.2634,127.3285,6.0,1.0,20.0,80.3619
2003-05-12,7.8,7.3545,-5.7115,26.4407,30.1685,0.8227,2.5801,6307775440.2,20.2634,127.3285,6.0,1.0,20.0,80.3619
2003-05-13,7.62,7.3545,-3.4843,25.8305,30.1659,0.8037,2.5798,6162211391.58,20.2634,127.3959,6.0,1.0,20.0,80.3619
2003-05-14,7.7,7.3545,-4.487,26.1017,30.1447,0.8121,2.5772,6226906524.3,20.2634,127.3959,6.0,1.0,20.0,80.3619
2003-05-15,8.1,7.3545,-9.2037,27.4576,30.11,0.8543,2.5717,6550382187.9,20.2634,127.3959,6.0,1.0,20.0,80.3619
2003-05-16,8.2,7.4539,-9.0988,27.3973,30.068,0.8631,2.5682,6631251103.8,20.2607,129.4697,7.0,1.0,20.0,82.5638
2003-05-19,7.65,7.8433,2.5268,25.3563,29.9382,0.8052,2.5565,6186472066.35,20.2607,128.5162,7.0,1.0,20.0,82.5638
2003-05-20,7.57,7.8433,3.6103,25.0912,29.8765,0.7968,2.5523,6121776933.63,20.2607,130.7306,8.0,1.0,20.0,82.5638
2003-05-21,7.4,7.8433,5.9905,24.8406,29.8354,0.7796,2.5453,5984299776.6,20.2647,131.3809,8.0,1.0,20.0,82.1758
2003-05-22,7.6,7.8433,3.2013,25.3756,29.7941,0.8003,2.5332,6146037608.4,20.5212,132.0868,9.0,1.0,20.0,84.8124
2003-05-23,7.8,7.8433,0.5551,26.0434,29.7683,0.8213,2.5255,6307775440.2,20.5212,131.992,9.0,1.0,20.0,84.8124
2003-05-27,8.25,7.8433,-4.9297,27.6104,29.6023,0.8677,2.5137,6671685561.75,19.2984,117.6067,10.0,1.0,20.0,83.8661
2003-05-28,8.34,7.8433,-5.9556,27.9116,29.5775,0.8772,2.5119,6744467586.06,19.2984,117.6067,10.0,1.0,20.0,83.8661
2003-05-29,8.26,7.8433,-5.0448,27.6347,29.4864,0.8684,2.5087,6679772453.34,19.2995,117.2502,11.0,1.0,20.0,84.3299
2003-05-30,8.96,7.7673,-13.3114,29.9766,29.532,0.942,2.5073,7245854864.64,19.2995,117.2502,11.0,1.0,20.0,84.3299
2003-06-02,9.31,7.7673,-16.5704,31.1475,29.4748,0.9788,2.4783,7528896070.29,19.2995,117.2502,11.0,1.0,20.0,84.3299
2003-06-03,9.31,7.7673,-16.5704,30.9714,29.4864,0.9789,2.4774,7528896070.29,19.2866,117.6295,11.0,1.0,20.0,84.1541
2003-06-04,9.74,7.7673,-20.2536,32.9722,29.532,1.0249,2.4764,7876632408.66,19.2889,118.7244,11.0,1.0,20.0,84.1189
2003-06-05,10.25,8.5841,-16.2527,34.971,29.532,1.0752,2.4553,8289063879.75,19.2999,120.0661,11.0,1.0,20.0,84.1311
2003-06-06,10.17,8.6305,-15.1377,34.5097,29.532,1.0614,2.453,8224368747.03,19.8217,118.8089,11.0,1.0,20.0,84.2169
2003-06-09,9.78,8.6305,-11.7536,33.1863,29.4748,1.0207,2.4466,7908979975.02,19.8217,118.8089,11.0,1.0,20.0,84.2169
2003-06-10,10.72,9.1155,-14.9674,34.1837,29.4864,1.1144,2.4453,8669147784.48,20.1515,120.7182,11.0,1.0,20.0,86.0013
2003-06-11,10.65,9.1155,-14.4085,33.9605,29.532,1.1071,2.444,8612539543.35,20.1515,120.7182,11.0,1.0,20.0,86.0013
2003-06-12,10.83,9.1367,-15.6353,34.5344,29.532,1.1258,2.4422,8758103591.97,20.1515,120.6029,11.0,1.0,20.0,86.0536
2003-06-13,10.51,9.1367,-13.0666,33.1024,29.532,1.0882,2.4409,8499323061.09,20.1566,118.9472,11.0,1.0,20.0,86.3512
2003-06-16,10.56,9.1367,-13.4782,33.2598,29.4748,1.092,2.4077,8539757519.04,20.042,112.249,12.0,1.0,20.0,86.7223
2003-06-17,10.6,9.1367,-13.8047,33.3858,29.4864,1.0957,2.4072,8572105085.4,20.0945,112.254,12.0,1.0,20.0,86.7223
2003-06-18,10.53,9.1367,-13.2317,33.3122,29.532,1.0885,2.4067,8515496844.27,20.0945,112.5025,12.0,1.0,20.0,86.7223
2003-06-19,10.46,9.1367,-12.6511,33.1117,29.532,1.0817,2.4052,8458888603.14,20.0273,114.0936,13.0,1.0,20.0,84.7047
2003-06-20,10.15,9.1367,-9.9833,32.7948,29.532,1.0487,2.3954,8208194963.85,20.032,114.6797,13.0,1.0,20.0,84.6568
2003-06-23,9.62,9.1367,-5.0239,31.0824,29.4748,0.9939,2.389,7779589709.58,20.032,114.6797,13.0,1.0,20.0,84.6568
2003-06-24,9.4,9.1367,-2.8011,30.3716,29.4864,0.9712,2.3888,7601678094.6,20.032,114.6797,13.0,1.0,20.0,84.6568
2003-06-25,9.41,9.1367,-2.9044,30.4039,29.532,0.9722,2.3887,7609764986.19,20.032,114.6276,13.0,1.0,20.0,84.6566
2003-06-26,9.7,9.1367,-5.8072,31.4527,29.532,1.0037,2.3846,7844284842.3,20.0273,114.805,13.0,1.0,20.0,84.5593
2003-06-27,9.39,9.1367,-2.6976,30.4475,29.532,0.9717,2.3776,7593591203.01,20.0273,114.805,13.0,1.0,20.0,84.5593
2003-06-30,9.59,9.1367,-4.7268,31.096,29.4748,0.9924,2.3567,7755329034.81,20.0686,114.7485,13.0,1.0,20.0,84.5615
2003-07-01,9.75,9.1367,-6.2903,31.6148,29.4864,1.0089,2.3543,7884719300.25,20.0686,114.7485,13.0,1.0,20.0,84.5615
2003-07-02,10.39,9.1367,-12.0626,33.69,29.532,1.0751,2.3519,8402280362.01,20.3648,114.7485,13.0,1.0,20.0,84.5615
2003-07-03,10.39,9.1367,-12.0626,34.2678,29.532,1.0754,2.3443,8402280362.01,20.3688,115.9163,13.0,1.0,20.0,84.5139
2003-07-07,11.42,9.1367,-19.9939,39.5292,29.4864,1.1834,2.324,9235230195.78,20.3687,117.913,13.0,1.0,20.0,83.6426
2003-07-08,11.25,9.2662,-17.6338,38.9678,29.532,1.1707,2.3215,9097753038.75,20.2168,117.8151,13.0,1.0,20.0,86.5771
2003-07-09,11.33,9.2662,-18.2154,39.2585,29.532,1.179,2.3205,9162448171.47,22.4712,124.3225,14.0,1.0,20.0,87.5164
2003-07-10,10.97,9.2662,-15.5314,34.7812,29.532,1.1375,2.3195,8871320074.23,22.4671,119.2999,15.0,1.0,20.0,88.3686
2003-07-11,11.31,9.2662,-18.0707,35.8592,29.532,1.1727,2.3192,9146274388.29,22.4671,119.2999,15.0,1.0,20.0,88.3686
2003-07-14,11.95,9.2662,-22.4586,37.4373,29.532,1.2379,2.3175,9663835450.05,22.335,119.5094,15.0,1.0,20.0,88.6198
2003-07-15,12.24,9.2662,-24.2958,38.3459,29.532,1.268,2.3168,9898355306.16,22.335,119.5183,15.0,1.0,20.0,88.6198
2003-07-16,12.42,9.5422,-23.1707,39.0198,29.5775,1.2877,2.3136,10043919354.78,22.1147,119.516,16.0,1.0,20.0,87.5384
2003-07-17,11.9,9.7111,-18.3941,37.3861,29.5775,1.2337,2.3032,9623400992.1,22.1132,119.2633,16.0,1.0,20.0,87.5234
2003-07-18,12.6,9.9055,-21.3849,38.5911,29.5775,1.3022,2.2902,10189483403.4,21.8689,118.4575,16.0,1.0,20.0,87.5234
2003-07-21,12.6,9.9055,-21.3849,38.0895,29.532,1.2998,2.2806,10189483403.4,21.8284,120.8876,17.0,1.0,20.0,88.0811
2003-07-22,12.69,10.0301,-20.9606,32.9183,29.5775,1.3,2.279,10262265427.71,22.0407,115.719,17.0,1.0,20.0,89.1915
2003-07-23,13.18,11.0062,-16.4932,33.199,29.6023,1.3432,2.2787,10658523115.62,22.1419,116.247,18.0,1.0,20.0,90.734
2003-07-24,12.9,11.0062,-14.6806,33.179,29.6023,1.316,2.2777,10432090151.1,22.178,116.898,18.0,1.0,20.0,90.9673
2003-07-25,13.0,11.0062,-15.3369,33.121,29.6023,1.325,2.2708,10512959067.0,22.1815,116.4183,18.0,1.0,20.0,91.1052
2003-07-28,13.17,11.0062,-16.4298,33.2492,29.532,1.3404,2.2577,10650436224.03,22.1851,115.8708,18.0,1.0,20.0,91.1609
2003-07-29,13.16,11.0062,-16.3663,32.6551,29.5775,1.3396,2.2571,10642349332.44,22.1897,115.3845,18.0,1.0,20.0,91.4292
