date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2006-02-22,95.6,138.6,44.9791,17.2563,20.8451,1.1415,1.776,291264520.0,20.0112,38.7744,3.0,3.0,29.0,34.0725
2006-02-23,85.0,135.5,59.4118,17.0,20.8283,1.0087,1.776,258969500.0,20.0465,39.9666,3.0,4.0,28.0,34.0725
2006-02-24,84.8,135.5,59.7877,16.96,20.8135,1.0063,1.776,258360160.0,20.0465,39.9666,3.0,4.0,28.0,34.0725
2006-02-27,83.6,135.5,62.0813,16.72,20.7987,0.9921,1.7765,254704120.0,20.0465,39.9666,3.0,4.0,28.0,34.0725
2006-02-28,81.6,135.5,66.0539,16.32,20.7886,0.9683,1.7762,248610720.0,20.0465,39.9666,3.0,4.0,28.0,34.0725
2006-03-01,85.0,135.5,59.4118,17.0,20.7784,1.0087,1.776,258969500.0,20.0465,39.9666,3.0,4.0,28.0,34.0725
2006-03-02,84.1,135.5,61.1177,16.82,20.756,0.998,1.776,256227470.0,20.0465,39.9666,3.0,4.0,28.0,34.0725
2006-03-03,84.0,135.5,61.3095,16.8,20.7335,0.9968,1.776,255922800.0,20.0465,39.9666,3.0,4.0,28.0,34.0725
2006-03-06,82.0,135.5,65.2439,16.4,20.7146,0.9731,1.7765,249829400.0,20.0465,39.9666,3.0,4.0,28.0,34.0725
2006-03-07,84.2,135.5,60.9264,16.84,20.6957,0.9992,1.7762,256532140.0,20.0465,39.9666,3.0,4.0,28.0,34.0725
2006-03-08,84.5,135.5,60.355,16.9,20.6716,1.0027,1.776,257446150.0,20.0465,39.9666,3.0,4.0,28.0,34.0725
2006-03-09,84.9,135.5,59.5995,16.98,20.6476,1.0075,1.776,258664830.0,20.0465,39.9666,3.0,4.0,28.0,34.0725
2006-03-10,84.6,135.5,60.1655,16.92,20.5633,1.0039,1.776,257750820.0,20.0465,39.9666,3.0,4.0,28.0,34.0725
2006-03-13,84.5,135.5,60.355,18.5714,20.479,1.0027,1.7762,257446150.0,20.0465,41.7034,3.0,4.0,28.0,34.0725
2006-03-14,84.3,135.5,60.7355,18.5275,20.4569,1.0004,1.776,256836810.0,20.0465,41.7034,3.0,4.0,28.0,34.0725
2006-03-15,86.1,135.5,57.3751,18.9231,20.4348,1.0217,1.7749,262320870.0,20.0465,41.7034,3.0,4.0,28.0,34.0725
2006-03-16,86.9,135.5,55.9264,19.0989,20.4344,1.0312,1.7749,264758230.0,20.0465,41.7034,3.0,4.0,28.0,34.0725
2006-03-17,86.0,135.5,57.5581,18.9011,20.4341,1.0205,1.7749,262016200.0,20.0465,41.7034,3.0,4.0,28.0,34.0725
2006-03-20,82.5,131.8571,59.8268,17.6365,20.4341,0.9827,1.7762,251352750.0,20.0214,42.3861,3.0,4.0,28.0,34.0725
2006-03-21,83.3,131.8571,58.2918,17.8075,20.4341,0.9922,1.776,253790110.0,20.0214,42.3861,3.0,4.0,28.0,34.0725
2006-03-22,86.6,131.8571,52.2599,18.513,20.4308,1.0315,1.7749,263844220.0,20.0214,42.3861,3.0,4.0,28.0,34.0725
2006-03-23,86.9,131.8571,51.7343,18.5771,20.4275,1.0351,1.7749,264758230.0,20.0214,42.3861,3.0,4.0,28.0,34.0725
2006-03-24,88.7,131.8571,48.6551,19.6239,20.3952,1.0824,1.7749,270242290.0,19.89,42.3969,3.0,4.0,28.0,34.0725
2006-03-27,90.0,131.8571,46.5079,19.9115,20.3629,1.0982,1.7762,274203000.0,19.89,42.3969,3.0,4.0,28.0,34.0725
2006-03-28,90.6,131.8571,45.5376,20.4639,20.3952,1.0945,1.776,276031020.0,19.9413,43.9961,3.0,4.0,28.0,30.3124
2006-03-29,91.7,131.8571,43.7918,20.7124,20.4275,1.1078,1.7749,279382390.0,19.9413,43.9961,3.0,4.0,28.0,30.3124
2006-03-30,89.8,131.8571,46.8342,20.2832,20.3952,1.0849,1.7749,273593660.0,19.9413,43.9961,3.0,4.0,28.0,30.3124
2006-03-31,89.5,131.8571,47.3264,20.2155,20.3629,1.0812,1.7749,272679650.0,19.9413,43.9961,3.0,4.0,28.0,30.3124
2006-04-03,89.9,131.8571,46.6709,20.3058,20.3402,1.0861,1.7762,273898330.0,19.9413,43.9961,3.0,4.0,28.0,30.3124
2006-04-04,88.8,131.8571,48.4877,20.0574,20.3175,1.0728,1.776,270546960.0,19.9413,43.9961,3.0,4.0,28.0,30.3124
2006-04-05,88.2,127.1429,44.1529,20.9094,20.3402,1.0655,1.7749,268718940.0,19.9413,47.8757,3.0,4.0,28.0,42.6127
2006-04-06,95.0,127.1429,33.8346,22.5215,20.3629,1.1477,1.7749,289436500.0,19.9413,47.8757,3.0,4.0,28.0,42.6127
2006-04-07,96.4,127.1429,31.891,22.8533,20.3952,1.1646,1.7749,293701880.0,19.9413,47.8757,3.0,4.0,28.0,42.6127
2006-04-10,94.7,127.1429,21.4361,22.4503,20.4275,1.1441,1.7762,288522490.0,19.9413,47.8757,3.0,4.0,28.0,42.6127
2006-04-11,93.6,115.0,22.8632,22.1896,20.4308,1.1308,1.776,285171120.0,19.9413,47.8757,3.0,4.0,28.0,42.6127
