date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2007-11-06,20.01,26.8,33.933,22.2333,23.3155,3.8731,3.7514,915077310.0,26.969,25.5457,3.0,2.0,29.0,740.0618,36.11406108374384,10.75677425822853,38.62376746031747,8.115235756534279,46.87083534197237,30.508531703783188
2007-11-07,20.36,27.25,33.8409,22.7664,23.3116,3.9409,3.7518,931083160.0,26.969,25.4994,3.0,2.0,29.0,740.0618,36.1029181372549,10.731427261041704,38.58084841269841,8.126196948563164,46.834345398296605,30.45465146413525
2007-11-08,20.8,27.25,31.0096,23.2584,23.2952,4.0261,3.7558,951204800.0,26.969,25.4994,3.0,2.0,29.0,740.0618,36.07807268292683,10.711001342038571,38.55360555555555,8.145912586747338,46.7890740249654,30.407692968808213
2007-11-09,21.24,27.25,28.2957,23.7504,23.3116,4.1112,3.7599,971326440.0,26.969,25.4994,3.0,2.0,29.0,740.0618,36.04029417475728,10.69859426986031,38.50695476190476,8.187919552224297,46.73888844461759,30.31903520968046
2007-11-12,20.94,27.25,30.1337,23.415,23.3155,4.0532,3.7599,957607140.0,26.969,25.4994,3.0,2.0,29.0,740.0618,36.011759903381645,10.680488239575686,38.482282539682544,8.208567467782213,46.69224814295733,30.27371507190033
2007-11-13,20.44,27.25,33.317,22.8559,23.3116,3.9564,3.7599,934741640.0,26.969,25.4994,3.0,2.0,29.0,740.0618,35.99880432692308,10.656296952267644,38.48809126984127,8.204618998851986,46.65510127919072,30.28347227098929
2007-11-14,20.12,27.25,35.4374,22.498,23.2952,3.8944,3.7648,920107720.0,26.969,25.4994,3.0,2.0,29.0,740.0618,35.99611818181818,10.63072091839778,38.49385,8.202201547133537,46.62683910021596,30.291648452866458
2007-11-15,19.79,27.25,37.6958,22.129,23.2788,3.8306,3.7696,905016490.0,26.969,25.4451,3.0,2.0,29.0,740.0618,36.0042119047619,10.605906639159414,38.535448412698415,8.184599035288,46.61011854392132,30.35084937741041
2007-11-16,19.42,27.25,40.3193,21.7153,23.2728,3.7589,3.7648,888096020.0,26.969,25.4451,3.0,2.0,29.0,740.0618,36.024662559241705,10.584793712670171,38.60582380952381,8.161294268126127,46.609456271911874,30.444529541397685
2007-11-19,19.37,27.25,40.6815,21.6594,23.2669,3.7493,3.7599,885809470.0,26.969,25.4451,3.0,2.0,29.0,740.0618,36.04662877358491,10.564523932503905,38.69444523809524,8.122324757512283,46.61115270608881,30.57212048058296
2007-11-20,19.56,27.25,39.3149,21.8719,23.2626,3.786,3.7648,894498360.0,26.969,25.4451,3.0,2.0,29.0,740.0618,36.06197276995305,10.541956930876855,38.79933333333334,8.043319447143688,46.60392970082991,30.75601388618965
