date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2015-05-05,32.46,37.3333,15.0132,19.8144,25.4438,1.3754,1.5626,981265800.0,14.4532,21.6139,2.0,3.0,10.7667,22.5387,13.166680952380952,17.018713665827963,23.138053174603176,7.118803441744417,30.18539461820892,16.01924973285876
2015-05-06,32.59,37.3333,14.5545,19.8938,25.4417,1.3809,1.5626,985195700.0,14.4532,21.6139,2.0,3.0,10.7667,22.5387,13.22392242063492,16.974623616478464,23.10863015873016,7.146725552534215,30.198546037113385,15.961904606195944
2015-05-07,32.8,37.3333,13.821,20.022,25.4417,1.3898,1.5626,991544000.0,14.4532,21.6139,2.0,3.0,10.7667,22.5387,13.28393373015873,16.92298292583921,23.044927777777776,7.193674489679424,30.20691665599794,15.851253288098352
2015-05-08,32.47,37.3333,14.9778,19.9988,25.4417,1.3758,1.5626,981568100.0,14.4532,22.9105,2.0,3.0,10.7667,22.5387,13.346240277777778,16.871114001626896,22.9705507936508,7.228443385800407,30.21735427940468,15.742107407850389
2015-05-11,32.15,37.3333,16.1222,19.8017,25.4458,1.3622,1.5626,971894500.0,14.4532,22.9105,2.0,3.0,10.7667,22.5387,13.412616865079364,16.815896035104238,22.911776984126988,7.253938773727575,30.228512900183603,15.657838210399412
2015-05-12,32.35,37.3333,15.4043,19.9249,25.4438,1.3707,1.5626,977940500.0,14.4532,22.9105,2.0,3.0,10.7667,22.5387,13.485111111111111,16.745281229383114,22.856511904761906,7.284578134482423,30.230392340494227,15.57193377027948
2015-05-13,32.14,37.3333,16.1584,19.7955,25.4417,1.3618,1.5626,971592200.0,14.4532,22.9105,2.0,3.0,10.7667,22.5387,13.556682142857143,16.679205711276715,22.787204761904764,7.306574979048625,30.23588785413386,15.48062978285614
2015-05-14,32.35,37.3333,15.4043,19.9249,25.4417,1.3707,1.5626,977940500.0,14.4532,22.9105,2.0,3.0,10.7667,22.5387,13.632806746031743,16.599562957369145,22.71335,7.333963518586812,30.23236970340089,15.379386481413183
2015-05-15,32.32,37.3333,15.5114,19.9064,25.4417,1.3694,1.5626,977033600.0,14.4532,22.9105,2.0,3.0,10.7667,22.5387,13.713085912698412,16.51019828572805,22.64520158730159,7.360838535253964,30.223284198426462,15.284363052047624
2015-05-18,32.495,37.3333,14.8894,20.0142,25.4458,1.3769,1.5626,982323850.0,14.4532,22.9105,2.0,3.0,10.7667,22.5387,13.78732023809524,16.430860797668352,22.56119523809524,7.388641568568568,30.218181035763592,15.172553669526671
2015-05-19,32.48,37.3333,14.9424,20.0049,25.4438,1.3762,1.5626,981870400.0,14.4532,22.9105,2.0,3.0,10.7667,22.5387,13.86542757936508,16.34218401930933,22.50060317460317,7.419749981512322,30.20761159867441,15.080853193090851
2015-05-20,32.37,37.3333,15.333,19.9372,25.4417,1.3716,1.5626,978545100.0,14.4532,22.9105,2.0,3.0,10.7667,22.5387,13.938617063492064,16.26566062423569,22.44227857142857,7.447146711901102,30.20427768772776,14.995131859527469
2015-05-21,32.19,37.3333,15.9779,19.8263,25.4417,1.3639,1.5626,973103700.0,14.4532,22.9105,2.0,3.0,10.7667,22.5387,14.006542857142858,16.20230377427565,22.392621428571427,7.469368741848228,30.208846631418503,14.9232526867232
2015-05-22,32.13,37.3333,16.1945,19.7894,25.4417,1.3614,1.5626,971289900.0,14.4532,22.9105,2.0,3.0,10.7667,22.5387,14.06975992063492,16.14836329722082,22.31119126984127,7.480649390217764,30.21812321785574,14.830541879623508
2015-05-26,32.01,37.3333,16.6301,19.7154,25.4458,1.3563,1.5626,967662300.0,14.4532,22.9105,2.0,3.0,10.7667,22.5387,14.134813492063492,16.092297094179386,22.25081587301588,7.4956625519608515,30.22711058624288,14.755153321055024
2015-05-27,31.9,37.3333,17.0323,19.6477,25.4438,1.3516,1.5626,964337000.0,14.4532,22.9105,2.0,3.0,10.7667,22.5387,14.198709126984127,16.039551027088457,22.193349206349204,7.507780927435322,30.238260154072584,14.685568278913882
2015-05-28,32.23,37.3333,15.834,19.8509,25.4438,1.3656,1.5626,974312900.0,14.4532,22.9105,2.0,3.0,10.7667,22.5387,14.268024404761904,15.970698122319384,22.148276984126987,7.52891462057236,30.238722527081286,14.619362363554629
2015-05-29,31.95,37.3333,16.8491,19.6785,25.4438,1.3538,1.5626,965848500.0,14.4532,22.9105,2.0,3.0,10.7667,22.5387,14.33864027777778,15.902993832643585,22.13660555555556,7.536033721509683,30.24163411042137,14.600571834045876
2015-06-01,32.34,37.3333,15.44,19.9187,25.4458,1.3703,1.5626,977638200.0,14.4532,22.9105,2.0,3.0,10.7667,22.5387,14.40913869047619,15.828643554470045,22.10571349206349,7.555573436539327,30.23778224494623,14.550140055524164
