date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2002-02-25,11.1,9.3078,-16.1459,16.6542,13.6526,0.2068,0.1324,1014074077.5,1.37,7.7741,2.0,2.0,14.0,-3.867
2002-02-26,11.17,9.3078,-16.6714,16.7592,13.6587,0.2081,0.1326,1020469139.25,1.37,7.7741,2.0,2.0,14.0,-3.867
2002-02-27,11.38,9.3078,-18.2091,17.0743,13.6648,0.212,0.1326,1039654324.5,1.37,7.7741,2.0,2.0,14.0,-3.867
2002-02-28,11.3,9.3078,-17.6301,16.9542,13.6648,0.2106,0.1326,1032345682.5,1.37,7.7741,2.0,2.0,14.0,-3.867
2002-03-01,11.54,9.3078,-19.3432,17.2936,13.6648,0.215,0.1326,1054271608.5,1.37,7.7815,2.0,2.0,14.0,-3.867
2002-03-04,11.95,9.3078,-22.1105,17.908,13.6526,0.2227,0.1324,1091728398.75,1.37,7.7815,2.0,2.0,14.0,-3.867
2002-03-05,11.7,9.3078,-20.4462,17.5333,13.6587,0.218,0.1326,1068888892.5,1.37,7.7815,2.0,2.0,14.0,-3.867
2002-03-06,11.84,9.7815,-17.386,17.572,13.6648,0.2206,0.1326,1081679016.0,1.37,7.846,2.0,2.0,14.0,-3.867
2002-03-07,11.78,9.7815,-16.9652,17.4829,13.6648,0.2195,0.1326,1076197534.5,1.37,7.846,2.0,2.0,14.0,-3.867
2002-03-08,11.84,9.7815,-17.386,17.572,13.6648,0.2206,0.1326,1081679016.0,1.37,7.846,2.0,2.0,14.0,-3.867
2002-03-11,11.86,9.7815,-17.5253,17.6017,13.6526,0.221,0.1324,1083506176.5,1.37,7.846,2.0,3.0,12.6667,-3.867
2002-03-12,11.91,9.823,-17.5231,17.6759,13.6587,0.2217,0.1326,1088074077.75,1.3862,7.846,2.0,3.0,12.6667,-3.867
2002-03-13,11.78,9.823,-16.6129,17.47,13.6648,0.2192,0.1326,1076197534.5,1.3862,7.8516,2.0,3.0,12.6667,-3.867
2002-03-14,12.06,10.0717,-16.4867,17.7719,13.6648,0.2241,0.1326,1101777781.5,1.389,7.8951,2.0,3.0,12.6667,-3.867
2002-03-15,12.1,10.0717,-16.7628,17.8308,13.6648,0.2248,0.1326,1105432102.5,1.389,7.8951,2.0,3.0,12.6667,-3.867
2002-03-18,12.05,10.0717,-16.4174,17.7571,13.6526,0.2239,0.1324,1100864201.25,1.389,7.8951,2.0,3.0,12.6667,-3.867
2002-03-19,12.2,10.0717,-17.4451,17.9782,13.6587,0.2267,0.1326,1114567905.0,1.389,7.8951,2.0,3.0,12.6667,-3.867
2002-03-20,12.22,10.0717,-17.5802,18.171,13.6648,0.227,0.1326,1116395065.5,1.389,7.8333,2.0,3.0,12.6667,-3.867
2002-03-21,11.79,10.0717,-14.5742,17.5316,13.6648,0.219,0.1326,1077111114.75,1.389,7.8333,2.0,3.0,12.6667,-3.867
2002-03-22,11.7,10.0717,-13.9171,17.3978,13.6648,0.2174,0.1326,1068888892.5,1.389,7.8333,2.0,3.0,12.6667,-3.867
2002-03-25,11.6,10.0717,-13.175,17.2491,13.6526,0.2155,0.1324,1059753090.0,1.389,7.8333,2.0,3.0,12.6667,-3.867
2002-03-26,11.65,10.0717,-13.5476,17.3234,13.6587,0.2164,0.1326,1064320991.25,1.389,7.8333,2.0,3.0,12.6667,-3.867
2002-03-27,11.98,10.0717,-15.929,17.8141,13.6648,0.2226,0.1326,1094469139.5,1.389,7.8333,2.0,3.0,12.6667,-3.867
2002-03-28,12.07,10.0717,-16.5559,17.948,13.6648,0.2242,0.1326,1102691361.75,1.389,7.8333,2.0,3.0,12.6667,-8.5249
2002-04-01,12.14,10.0717,-15.916,18.052,13.6518,0.2255,0.1322,1109086423.5,1.389,7.8333,2.0,3.0,12.6667,-8.5249
2002-04-02,12.35,10.0717,-17.3457,18.3643,13.6518,0.2294,0.1324,1128271608.75,1.389,7.8333,2.0,3.0,12.6667,-8.5249
2002-04-03,12.11,10.0717,-15.7077,18.0074,13.6526,0.225,0.1326,1106345682.75,1.389,7.8333,2.0,3.0,12.6667,-8.5249
2002-04-04,12.21,10.0717,-16.398,18.1561,13.6526,0.2268,0.1326,1115481485.25,1.389,7.8333,2.0,3.0,12.6667,-8.5249
2002-04-05,12.41,10.0717,-17.7454,18.4535,13.6526,0.2306,0.1326,1133753090.25,1.389,7.8333,2.0,3.0,12.6667,-8.5249
2002-04-08,12.54,10.35,-17.4641,18.6468,13.6509,0.2344,0.1322,1145629633.5,1.384,7.8333,2.0,3.0,12.6667,-8.5249
2002-04-09,12.7,10.35,-18.5039,18.8848,13.6518,0.2374,0.1324,1160246917.5,1.384,7.8333,2.0,3.0,12.6667,-6.0898
2002-04-10,12.96,10.4921,-19.0424,19.2714,13.6526,0.2423,0.1326,1184000004.0,1.384,7.8331,2.0,3.0,12.6667,-6.0898
2002-04-11,12.98,10.4921,-19.1672,19.3011,13.6526,0.2426,0.1326,1185827164.5,1.384,7.8331,2.0,3.0,12.6667,-6.0898
2002-04-12,12.96,10.4921,-19.0424,19.2714,13.6526,0.2423,0.1326,1184000004.0,4.7098,17.9198,1.0,3.0,12.6667,10.4037
2002-04-15,12.84,10.4921,-18.2858,19.0929,13.6509,0.24,0.1324,1173037041.0,4.7017,17.9197,1.0,3.0,12.6667,10.4037
2002-04-16,12.89,10.4921,-18.6028,19.1673,13.6509,0.241,0.1326,1177604942.25,4.7017,17.9197,1.0,3.0,12.6667,10.4037
2002-04-17,12.73,10.4921,-17.5797,18.9294,13.6518,0.238,0.1326,1162987658.25,4.7017,17.9197,1.0,3.0,12.6667,10.4037
2002-04-18,12.55,10.4921,-16.3976,18.6617,13.6518,0.2346,0.1326,1146543213.75,4.7017,17.9197,1.0,3.0,12.6667,10.4037
2002-04-19,12.54,10.4921,-16.3309,18.6468,13.6518,0.2344,0.1326,1145629633.5,4.7017,17.9197,1.0,3.0,12.6667,10.4037
2002-04-22,12.49,10.4921,-15.996,18.5725,13.6509,0.2335,0.1324,1141061732.25,4.7017,17.9197,1.0,3.0,12.6667,10.4037
2002-04-23,12.56,10.5157,-16.2763,18.6461,13.6509,0.2348,0.1326,1147456794.0,4.7017,17.9146,1.0,3.0,12.6667,10.4037
2002-04-24,13.02,11.2736,-13.4132,19.3003,13.6518,0.2462,0.1326,1203048000.0,4.7004,17.9109,1.0,3.0,12.6667,10.4037
2002-04-25,13.17,11.2736,-14.3994,19.5227,13.6526,0.249,0.1326,1216908000.0,4.7004,17.9109,1.0,3.0,12.6667,10.4037
2002-04-26,13.17,11.4394,-13.1405,19.5227,13.6526,0.2487,0.1326,1216908000.0,4.9114,17.9265,1.0,3.0,14.6667,10.4228
2002-04-29,13.33,11.4394,-14.183,19.7599,13.6509,0.2517,0.1326,1231692000.0,4.9114,17.9265,1.0,3.0,14.6667,10.4228
