date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2020-02-20,173.72,172.5,-0.7023,8.6213,9.0949,6.9428,6.3346,2506021485.92,5.9607,2.213,1.0,1.0,0.0,1.6895,7.177865674603176,4.075185749122775,5.38010634920635,4.370757471629038,11.25305142372595,1.0093488775773114
2020-02-21,173.44,175.0,0.8994,8.2886,9.0949,6.9316,6.3346,2501982307.84,5.9607,7.0684,1.0,1.0,0.0,1.6895,7.145938690476191,4.061164200180318,5.320866666666666,4.380569303330527,11.20710289065651,0.9402973633361392
2020-02-24,171.44,175.0,2.0765,8.1931,9.0929,6.8517,6.3282,2473131035.84,5.9607,7.0684,1.0,1.0,0.0,1.6895,7.120515674603174,4.052688309265852,5.2758658730158725,4.384572956650138,11.173203983869026,0.8912929163657344
2020-02-25,168.02,175.0,4.1543,8.0296,9.0917,6.715,6.3291,2423795360.72,5.9607,7.0684,1.0,1.0,0.0,1.6895,7.097920833333333,4.03735838704837,5.228442857142857,4.363920998193056,11.135279220381705,0.8645218589498018
2020-02-26,166.97,175.0,4.8092,7.9795,9.0917,6.673,6.3346,2408648442.92,5.9607,7.0684,1.0,1.0,0.0,1.6895,7.079745833333333,4.0269684051018455,5.200233333333334,4.354971500379963,11.106714238435178,0.845261832953371
2020-02-27,158.03,175.0,10.7385,7.5522,9.0917,6.3157,6.3282,2279683257.08,5.9607,7.0684,1.0,1.0,0.0,1.6895,7.073761507936508,4.019263121002596,5.202183333333333,4.357414602972926,11.093024628939103,0.844768730360407
2020-02-28,152.98,175.0,14.394,7.3109,9.0902,6.1139,6.3237,2206833795.28,5.9607,7.0684,1.0,1.0,0.0,1.6895,7.069745039682539,4.010909280370618,5.228542857142857,4.403018721367226,11.080654320053156,0.8255241357756313
2020-03-02,162.88,175.0,7.4411,7.784,9.0871,6.5096,6.3199,2349647591.68,5.9607,7.0684,1.0,1.0,0.0,1.6895,7.04547242063492,3.971298601200124,5.192725396825396,4.366071349503069,11.016771021835044,0.826654047322327
2020-03-03,162.02,175.0,8.0114,7.7429,9.0858,6.4752,6.3201,2337241544.72,5.9607,7.0684,1.0,1.0,0.0,1.6895,7.023559126984127,3.935202132750305,5.157270634920635,4.324371392155455,10.958761259734432,0.8328992427651798
2020-03-04,167.16,175.0,4.6901,7.9885,9.0858,6.6806,6.3201,2411389313.76,5.9607,7.0684,1.0,1.0,0.0,1.6895,6.996572817460318,3.904293303235452,5.089485714285714,4.263311098641055,10.90086612069577,0.8261746156446588
2020-03-05,162.21,175.0,7.8848,7.752,9.0831,6.4828,6.3201,2339982415.56,5.9607,7.0684,1.0,1.0,0.0,1.6895,6.985310515873016,3.8934917745026696,5.048886507936508,4.211415728257924,10.878802290375686,0.8374707796785845
2020-03-06,158.6,175.0,10.3405,7.446,9.0805,5.7051,6.3196,2287905869.6,6.8611,7.0541,1.0,1.0,0.0,1.9997,6.980050396825396,3.887146779171458,5.03016507936508,4.182276374613771,10.867197175996854,0.8478887047513091
2020-03-09,143.66,175.0,21.8154,6.7446,9.0787,5.1677,6.3157,2072386867.76,6.8611,7.0541,1.0,1.0,0.0,1.9997,6.999362896825398,3.9364119461476377,5.101887301587301,4.388612785325128,10.935774842973036,0.7132745162621736
2020-03-10,148.13,175.0,18.1395,6.9545,9.0786,5.3285,6.3157,2136869460.68,6.8611,7.0541,1.0,1.0,0.0,1.9997,7.011933531746032,3.961819510227221,5.1527674603174605,4.501759752378442,10.973753041973254,0.6510077079390184
2020-03-11,135.95,175.0,28.7238,6.3827,9.0785,4.8904,6.3153,1961165214.2,6.8611,7.0541,1.0,1.0,0.0,1.9997,7.045649603174604,4.0728111062406605,5.29461746031746,4.9427295690068265,11.118460709415263,0.3518878913106338
2020-03-12,105.22,175.0,66.3182,4.9399,9.0764,3.7849,6.3148,1517865419.92,6.8611,7.0541,1.0,1.0,0.0,1.9997,7.157080555555556,4.851872454790388,5.738278571428571,7.33575384741465,12.008953010345945,-1.5974752759860786
2020-03-13,109.41,175.0,59.9488,5.1366,9.0716,3.9357,6.3145,1578308834.76,6.8611,7.0541,1.0,1.0,0.0,1.9997,7.2570625,5.390721482539122,6.123864285714285,8.770426664207163,12.64778398253912,-2.6465623784928773
2020-03-16,92.76,175.0,88.6589,4.355,9.0692,3.3367,6.3094,1338121995.36,6.8611,7.0541,1.0,1.0,0.0,1.9997,7.414936706349206,6.496283575040269,6.74483253968254,11.440302146575256,13.911220281389475,-4.695469606892716
2020-03-17,80.2,175.0,118.2045,3.7653,9.0692,2.8849,6.3079,1156936007.2,6.8611,7.0541,1.0,1.0,0.0,1.9997,7.6297097222222225,8.157503052767398,7.59854126984127,15.146310429525894,15.78721277498962,-7.547769159684623
2020-03-18,51.76,175.0,238.0989,2.4301,9.0692,1.8619,6.3079,746670919.36,6.8611,7.0541,1.0,1.0,0.0,1.9997,8.085011706349206,13.112348081803342,9.407222222222222,25.51670417660368,21.197359788152543,-16.109481954381458
2020-03-19,50.42,175.0,247.0845,2.3671,9.0648,1.8137,6.3058,727340567.12,6.8611,7.0541,1.0,1.0,0.0,1.9997,8.55602996031746,16.889831062380136,11.29008492063492,33.15797100085125,25.4458610226976,-21.86788608021633
2020-03-20,52.9,175.0,230.8129,2.4836,9.06,1.9029,6.3002,763116144.4,6.8611,7.0541,1.0,1.0,0.0,1.9997,8.994498214285715,19.577475487131668,13.052239682539684,38.49406178485007,28.571973701417384,-25.441822102310383
2020-03-23,50.71,175.0,245.0996,2.3808,9.0556,1.8241,6.2941,731524001.56,6.8611,7.0541,1.0,1.0,0.0,1.9997,9.461187301587302,22.22350123196779,14.935993650793652,43.68934076400925,31.684688533555093,-28.7533471132156
2020-03-24,23.98,175.0,629.7748,1.1258,9.0547,0.8626,6.292,345926751.28,6.8611,7.0541,1.0,1.0,0.0,1.9997,10.690447023809524,35.459227046758784,19.874896825396824,70.05668477639054,46.14967407056831,-50.18178795099372
2020-03-25,28.07,175.0,523.4414,1.3178,9.0538,1.0097,6.2902,404927602.52,6.8611,7.0541,1.0,1.0,0.0,1.9997,11.70792242063492,42.17831665654563,23.96610555555556,83.17790077292436,53.88623907718055,-59.2117952173688
2020-03-26,46.81,175.0,273.8517,2.1977,9.0521,1.6838,6.2883,675264021.16,6.8611,7.0541,1.0,1.0,0.0,1.9997,12.228133333333332,43.76480596541674,26.08453253968254,86.08867617944449,55.99293929875007,-60.00414363976195
2020-03-27,44.62,175.0,292.2008,2.0948,9.0501,1.6051,6.2883,643671878.32,6.8611,7.0541,1.0,1.0,0.0,1.9997,12.784621230158727,45.506942734978125,28.327124603174603,89.2780418039255,58.29156396513685,-60.9509172007509
2020-03-30,34.73,175.0,403.8871,1.6305,9.044,1.2493,6.2819,501002338.28,6.8611,7.0541,1.0,1.0,0.0,1.9997,13.56380277777778,48.72746757494982,31.449301587301587,95.32345268189984,62.2912703527276,-63.87415109459826
2020-03-31,32.44,143.75,343.1258,1.523,9.0424,1.1669,6.2819,467967631.84,6.8611,7.0541,1.0,1.0,0.0,1.9997,14.224988293650794,50.890351378556666,34.08984841269841,99.26294064620068,65.11533967220745,-65.17309223350227
2020-04-01,26.73,143.75,437.7853,1.2549,9.0408,0.9615,6.2814,385597250.28,6.8611,7.0541,1.0,1.0,0.0,1.9997,15.072921626984126,54.27472191976357,37.4712507936508,105.5526691762286,69.34764354674769,-68.08141838257781
