date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2016-06-15,62.53,70.75,13.1457,23.614,18.1399,1.358,0.9149,1863394000.0,11.4383,21.2907,2.0,2.0,18.1,38.3672
2016-06-16,61.75,70.75,14.5749,23.3195,18.1449,1.3411,0.9168,1840150000.0,11.4383,21.2907,2.0,2.0,18.1,38.3672
2016-06-17,64.24,70.75,10.1339,24.2598,18.1449,1.3952,0.9174,1914352000.0,11.4383,21.2907,2.0,2.0,18.1,38.3672
2016-06-20,64.15,70.75,10.2884,24.2258,18.1627,1.3932,0.9179,1911670000.0,11.4383,21.2907,2.0,2.0,18.1,38.3672
2016-06-21,62.84,70.75,12.5875,23.7311,18.1627,1.3648,0.918,1872632000.0,11.4383,21.2907,2.0,2.0,18.1,38.3672
2016-06-22,62.46,70.75,13.2725,23.5876,18.1627,1.3565,0.9182,1861308000.0,11.4383,21.2907,2.0,2.0,18.1,38.3672
2016-06-23,63.53,70.75,11.3647,23.9917,18.1687,1.3798,0.9185,1893194000.0,11.4383,21.2907,2.0,2.0,18.1,38.3672
2016-06-24,61.4,70.75,15.228,23.1873,18.1691,1.3335,0.9187,1829720000.0,11.4383,21.2907,2.0,2.0,18.1,38.3672
2016-06-27,58.34,70.75,21.2719,22.0317,18.176,1.267,0.9197,1738532000.0,11.4383,21.2907,2.0,2.0,18.1,38.3672
2016-06-28,57.53,70.75,22.9793,21.7917,18.176,1.252,0.9198,1714394000.0,11.4386,21.299,2.0,3.0,17.7333,38.5937
2016-06-29,59.0,70.75,19.9153,22.3485,18.1761,1.284,0.92,1758200000.0,11.4386,21.299,2.0,3.0,17.7333,38.5937
2016-06-30,61.22,70.75,15.5668,23.1894,18.1818,1.3324,0.9215,1824356000.0,11.4386,21.299,2.0,3.0,17.7333,38.5937
2016-07-01,61.49,70.75,15.0594,23.2917,18.1818,1.3382,0.9226,1832402000.0,11.4386,21.299,2.0,3.0,17.7333,38.5937
2016-07-05,60.28,70.75,17.3689,22.8333,18.1836,1.3119,0.9243,1796344000.0,11.4386,21.299,2.0,3.0,17.7333,38.5937
2016-07-06,60.25,70.75,17.4274,22.822,18.1856,1.3112,0.9244,1795450000.0,11.4386,21.299,2.0,3.0,17.7333,38.5937
2016-07-07,60.9,70.75,16.1741,23.0682,18.1904,1.3254,0.9251,1814820000.0,11.4386,21.299,2.0,3.0,17.7333,38.5937
2016-07-08,62.63,70.75,12.965,23.7235,18.1936,1.363,0.9258,1866374000.0,11.4386,21.299,2.0,3.0,17.7333,38.5937
2016-07-11,63.77,70.75,10.9456,24.1553,18.1994,1.3879,0.9268,1900346000.0,11.4386,21.299,2.0,3.0,17.7333,38.5937
2016-07-12,65.16,70.75,8.5789,24.6818,18.2045,1.4181,0.9271,1941768000.0,11.4386,21.299,2.0,3.0,17.7333,38.5937
2016-07-13,64.62,73.25,13.355,24.4773,18.2079,1.4064,0.9272,1925676000.0,11.4386,21.299,2.0,3.0,17.7333,38.5937
2016-07-14,64.46,73.25,13.6364,24.4167,18.2114,1.4029,0.9276,1920908000.0,11.4386,21.299,2.0,3.0,17.7333,38.5937
2016-07-15,65.07,73.25,12.5711,24.6477,18.2172,1.4161,0.928,1939086000.0,11.4386,21.299,2.0,3.0,17.7333,38.5937
2016-07-18,64.92,73.25,12.8312,24.5909,18.2484,1.4129,0.9287,1934616000.0,11.4386,21.299,2.0,3.0,17.7333,38.5937
2016-07-19,64.73,73.25,13.1624,24.5189,18.253,1.4087,0.9291,1928954000.0,11.4386,21.299,2.0,3.0,17.7333,38.5937
2016-07-20,66.13,73.25,10.7667,25.0492,18.254,1.4392,0.9294,1970674000.0,11.4386,21.299,2.0,3.0,17.7333,38.5937
2016-07-21,65.66,73.25,11.5595,24.8712,18.2551,1.429,0.9298,1956668000.0,11.4386,21.299,2.0,3.0,17.7333,38.5937
2016-07-22,67.38,73.25,8.7118,25.5227,18.2631,1.4664,0.9302,2007924000.0,11.4386,21.299,2.0,3.0,17.7333,38.5937
2016-07-25,67.42,73.25,8.6473,25.5379,18.2884,1.4673,0.9311,2009116000.0,11.4386,21.299,2.0,3.0,17.7333,38.5937
2016-07-26,66.76,73.25,9.7214,25.2879,18.2916,1.4529,0.9312,1989448000.0,11.4386,21.299,2.0,3.0,17.7333,38.5937
2016-07-27,67.08,77.3333,15.2852,24.2516,18.2932,1.4516,0.9316,1998984000.0,11.8687,21.2556,1.0,2.0,16.0,38.8282
2016-07-28,67.01,77.3333,15.4056,24.2263,18.2949,1.45,0.9319,1996898000.0,11.8669,21.2556,1.0,2.0,16.0,39.6146
2016-07-29,66.92,77.3333,15.5608,24.1938,18.2949,1.4481,0.9332,1994216000.0,11.8669,21.2556,1.0,2.0,16.0,39.6146
2016-08-01,66.99,77.3333,15.4401,24.2191,18.3011,1.4496,0.9334,1996302000.0,11.8669,21.2556,1.0,2.0,16.0,39.6146
2016-08-02,67.18,77.3333,15.1136,24.2878,18.3082,1.4537,0.9336,2001964000.0,11.8669,21.2556,1.0,2.0,16.0,39.6146
2016-08-03,66.61,77.3333,16.0986,24.0817,18.3152,1.4413,0.9338,1984978000.0,11.8669,21.2556,1.0,2.0,16.0,39.6146
2016-08-04,66.02,77.3333,17.1362,23.8684,18.3161,1.4286,0.934,1967396000.0,11.8669,21.2556,1.0,2.0,16.0,39.6146
2016-08-05,66.84,77.3333,15.6991,24.1649,18.3253,1.4463,0.9341,1991832000.0,11.8669,21.2556,1.0,2.0,16.0,39.6146
2016-08-08,66.48,77.3333,16.3257,24.0347,18.3336,1.4385,0.9355,1981104000.0,11.8669,21.2556,1.0,2.0,16.0,39.6146
2016-08-09,66.78,77.3333,15.8031,24.1432,18.3344,1.445,0.9356,1990044000.0,11.8669,21.2556,1.0,2.0,16.0,39.6146
2016-08-10,66.42,77.3333,16.4307,24.013,18.3352,1.4372,0.9357,1979316000.0,11.8669,21.2556,1.0,2.0,16.0,39.6146
2016-08-11,67.73,77.3333,14.1788,24.4866,18.3453,1.4656,0.9363,2018354000.0,11.8669,21.2556,1.0,2.0,16.0,39.6146
2016-08-12,66.88,77.3333,15.6299,24.1793,18.3489,1.4472,0.9376,1993024000.0,11.8669,21.2556,1.0,2.0,16.0,39.6146
2016-08-15,68.05,77.3333,13.6419,24.6023,18.358,1.4725,0.9411,2027890000.0,11.8669,21.2556,1.0,2.0,16.0,39.6146
2016-08-16,67.22,77.3333,15.0451,24.3022,18.3599,1.4545,0.9414,2003156000.0,11.8669,21.2556,1.0,2.0,16.0,39.6146
2016-08-17,67.52,77.3333,14.5339,24.4107,18.3619,1.461,0.9417,2012096000.0,11.8669,21.2556,1.0,2.0,16.0,39.6146
2016-08-18,68.2,77.3333,13.3919,24.6565,18.3691,1.4757,0.9429,2032360000.0,11.8669,21.2556,1.0,2.0,16.0,39.6146
2016-08-19,68.54,77.3333,12.8294,24.7795,18.3691,1.4831,0.9429,2042492000.0,11.8669,21.2556,1.0,2.0,16.0,39.6146
2016-08-22,69.53,77.3333,11.2229,25.1374,18.4005,1.5045,0.943,2071994000.0,11.8669,21.2556,1.0,2.0,16.0,39.6146
2016-08-23,70.14,77.3333,10.2556,25.3579,18.4076,1.5177,0.943,2090172000.0,11.8669,21.2556,1.0,2.0,16.0,39.6146
2016-08-24,69.29,77.3333,11.6082,25.0506,18.4148,1.4993,0.943,2064842000.0,11.8669,21.2556,1.0,2.0,16.0,39.6146
2016-08-25,69.26,77.3333,11.6565,25.0398,18.4154,1.4987,0.9439,2063948000.0,11.8669,21.2556,1.0,2.0,16.0,39.6146
2016-08-26,69.02,77.3333,12.0448,24.953,18.4277,1.4935,0.9447,2056796000.0,11.8669,21.2556,1.0,2.0,16.0,39.6146
2016-08-29,68.97,77.3333,12.126,24.9349,18.4398,1.4924,0.9471,2055306000.0,11.8669,21.2556,1.0,2.0,16.0,39.6146
2016-08-30,69.2,77.3333,11.7533,25.0181,18.444,1.4974,0.9474,2062160000.0,11.8669,21.2556,1.0,2.0,16.0,39.6146
2016-08-31,68.68,77.3333,12.5994,24.8301,18.4482,1.4861,0.9477,2046664000.0,11.8669,21.2556,1.0,2.0,16.0,39.6146
2016-09-01,69.06,77.3333,11.9799,24.9675,18.4733,1.4944,0.9487,2057988000.0,11.8669,21.2556,1.0,2.0,16.0,39.6146
2016-09-02,70.87,77.3333,9.1199,25.6218,18.4773,1.5335,0.9488,2111926000.0,11.8669,21.2556,1.0,2.0,16.0,39.6146
2016-09-06,69.95,77.3333,10.5551,25.2892,18.4819,1.5136,0.9503,2084510000.0,11.8669,21.2556,1.0,2.0,16.0,39.6146
2016-09-07,70.09,79.0,12.7122,25.3398,18.4824,1.5166,0.9506,2088682000.0,10.5478,19.9902,2.0,2.0,16.0,39.6146
2016-09-08,69.18,79.0,14.1949,25.0108,18.4858,1.497,0.951,2061564000.0,10.5478,19.9902,2.0,2.0,16.0,39.6146
2016-09-09,66.75,79.0,18.3521,24.1323,18.4914,1.4444,0.9511,1989150000.0,10.5478,19.9902,2.0,2.0,16.0,39.6146
2016-09-12,67.0,79.0,17.9104,24.2227,18.5011,1.4498,0.9516,1996600000.0,10.5478,19.9902,2.0,2.0,16.0,39.6146
2016-09-13,65.48,79.0,20.6475,23.6732,18.5035,1.4169,0.9521,1951304000.0,10.5478,19.9902,2.0,2.0,16.0,39.6146
2016-09-14,65.23,79.0,21.1099,23.5828,18.5046,1.4115,0.9526,1943854000.0,10.5478,19.9902,2.0,2.0,16.0,39.6146
