date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2014-03-05,84.39,96.7825,14.6848,25.9334,23.3338,7.5648,5.577,5063822118.78,52.9669,54.9352,2.0,2.0,73.5,70.9984
2014-03-06,89.7,96.7825,7.8958,27.5652,23.3405,8.0393,5.5816,5382448679.4,52.9871,54.9354,2.0,2.0,73.5,70.9984
2014-03-07,88.27,101.5325,15.0249,26.729,23.353,7.8215,5.5861,5296641526.54,51.626,52.0837,3.0,2.0,73.5,70.9984
2014-03-10,84.46,101.5325,20.2137,25.5753,23.3655,7.4839,5.5915,5068022468.92,51.626,52.0837,3.0,2.0,73.5,70.9984
2014-03-11,81.41,102.8067,26.2826,24.4791,23.3676,7.1755,5.5969,4885007212.82,51.0121,49.6027,4.0,2.0,73.5,53.2056
2014-03-12,82.28,102.8067,24.9474,24.7421,23.3697,7.2527,5.5998,4937211564.56,51.0058,49.5961,4.0,2.0,73.5,53.2056
2014-03-13,81.2,102.8067,26.6092,24.4174,23.3781,7.1575,5.6026,4872406162.4,51.0058,49.5961,4.0,2.0,73.5,53.2056
2014-03-14,81.41,102.8067,26.2826,24.4805,23.3865,7.1761,5.6068,4885007212.82,51.0058,49.5961,4.0,2.0,73.5,53.2056
2014-03-17,81.49,102.8067,26.1587,24.5289,23.3879,7.1883,5.6111,4889807612.98,51.0038,49.6035,4.0,2.0,73.5,53.2017
2014-03-18,82.0,102.8067,25.374,24.6824,23.3893,7.2333,5.6163,4920410164.0,51.0038,49.6035,4.0,2.0,73.5,53.2017
2014-03-19,79.69,102.8067,29.0083,23.9871,23.406,7.0295,5.6214,4781798609.38,51.0038,49.6035,4.0,2.0,73.5,53.2017
2014-03-20,77.02,102.8067,33.4805,23.1834,23.3893,6.794,5.6467,4621585254.04,51.0038,49.6035,4.0,2.0,73.5,53.2017
2014-03-21,77.66,102.8067,32.3805,23.3761,23.3879,6.8505,5.672,4659988455.32,51.0038,49.6035,4.0,2.0,73.5,53.2017
2014-03-24,74.35,102.8067,38.274,22.404,23.3865,6.563,5.6885,4461371898.7,50.9463,49.5248,4.0,2.0,73.5,53.2017
2014-03-25,77.02,102.8067,33.4805,23.2086,23.3813,6.7986,5.705,4621585254.04,50.9463,49.5248,4.0,2.0,73.5,53.2017
2014-03-26,73.81,102.8067,39.2856,22.2413,23.3761,6.5153,5.7441,4428969197.62,50.9463,49.5248,4.0,2.0,73.5,53.2017
2014-03-27,71.01,102.8067,44.7778,21.3976,23.3729,6.2681,5.7833,4260955192.02,50.9463,49.5248,4.0,2.0,73.5,53.2017
2014-03-28,73.6,102.8067,39.683,22.178,23.3697,6.4967,5.7854,4416368147.2,50.9463,49.5248,4.0,2.0,73.5,53.2017
2014-03-31,76.36,102.8067,34.6342,23.0097,23.3676,6.7404,5.7876,4581981952.72,50.9463,49.5248,4.0,2.0,73.5,53.2017
2014-04-01,81.84,102.8067,25.6191,24.661,23.3697,7.2241,5.789,4910809363.68,50.9463,49.5248,4.0,2.0,73.5,53.2017
2014-04-02,79.19,102.8067,29.8228,23.8625,23.3729,6.9902,5.7904,4751796108.38,50.9463,49.5248,4.0,2.0,73.5,53.2017
2014-04-03,73.56,102.8067,39.759,22.166,23.3697,6.4932,5.7908,4413967947.12,50.9463,49.5248,4.0,2.0,73.5,53.2017
2014-04-04,68.65,102.8067,49.7548,20.6864,23.3676,6.0598,5.7913,4119343387.3,50.9463,49.5248,4.0,2.0,73.5,53.2017
2014-04-07,64.52,102.8067,59.3408,19.4419,23.3655,5.6952,5.7908,3871522729.04,50.9463,49.5248,4.0,2.0,73.5,53.2017
2014-04-08,69.15,102.8067,48.672,20.8371,23.353,6.1039,5.7913,4149345888.3,50.9463,49.5248,4.0,2.0,73.5,53.2017
2014-04-09,73.56,102.8067,39.759,22.166,23.3405,6.4932,5.8051,4413967947.12,50.9463,49.5248,4.0,2.0,73.5,53.2017
2014-04-10,68.11,102.8067,50.9422,20.5237,23.3338,6.0121,5.8189,4086940686.22,50.9463,49.5248,4.0,2.0,73.5,53.2017
2014-04-11,65.16,102.8067,57.7758,19.6348,23.3272,5.7517,5.8051,3909925930.32,50.9463,49.5248,4.0,2.0,73.5,53.2017
2014-04-14,66.6,102.8067,54.3644,20.0687,23.304,5.8789,5.8189,3996333133.2,50.9463,49.5248,4.0,2.0,73.5,53.2017
2014-04-15,63.64,102.8067,61.5442,19.1768,23.2807,5.6176,5.8051,3818718327.28,50.9463,49.5248,4.0,2.0,73.5,53.2017
2014-04-16,64.97,102.8067,58.2372,19.5775,23.2713,5.735,5.7913,3898524979.94,50.9463,49.5248,4.0,2.0,73.5,53.2017
2014-04-17,67.15,102.8067,53.1001,20.2344,23.2619,5.9274,5.8051,4029335884.3,50.9463,49.5248,4.0,2.0,73.5,53.2017
2014-04-21,68.88,102.8067,49.2548,20.8134,23.2587,6.0574,5.8189,4133144537.76,50.9529,49.5493,4.0,2.0,73.5,53.1624
