date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2025-03-04,16.43,17.25,4.9909,9.5651,9.1231,5.1854,5.1126,1167071220.63,5.2863,-6.894,1.0,2.0,-3.8362,24.961,3.957972222222222,2.430249066024148,3.228394444444444,2.412121618602366,6.388221288246369,0.8162728258420779
2025-03-05,16.25,17.2,5.8462,9.4471,9.1259,5.1286,5.1164,1154285291.25,5.2863,-6.8812,1.0,1.0,-5.7421,29.2971,3.968404419889503,2.427549621161756,3.2381626984126988,2.420261864533974,6.395954041051258,0.8179008338787241
2025-03-06,16.07,17.2,7.0317,9.3425,9.1287,5.0718,5.1126,1141499361.87,5.2863,-6.8812,1.0,1.0,-5.7421,29.2971,3.9852357142857135,2.431460136945952,3.2563166666666667,2.440146531526336,6.416695851231666,0.8161701351403305
2025-03-07,16.39,17.1,4.3319,9.5764,9.1287,5.1633,5.1164,1164229902.99,-0.4876,-5.7507,2.0,1.0,-5.7421,28.8927,3.9871300546448087,2.4249065116053083,3.2484079365079364,2.43498641644189,6.4120365662501175,0.8134215200660462
2025-03-10,16.45,17.1,3.9514,9.6115,9.1287,5.1822,5.1202,1168491879.45,-0.4876,-5.7507,2.0,1.0,-5.7421,28.8927,3.986935869565217,2.418273442577976,3.2364420634920634,2.427729562413516,6.405209312143192,0.8087125010785479
2025-03-11,16.45,17.1,3.9514,9.6115,9.1287,5.1822,5.1212,1168491879.45,-0.4876,-5.7507,2.0,1.0,-5.7421,28.8927,3.986743783783784,2.4116945096569595,3.2208261904761906,2.416639278839228,6.398438293440743,0.8041869116369629
2025-03-12,16.52,17.1,3.5109,9.6524,9.1287,5.2043,5.1221,1173464185.32,-0.4876,-5.7507,2.0,1.0,-5.7421,28.8927,3.984185483870968,2.405420640868844,3.207436507936508,2.4102622468305226,6.389606124739812,0.7971742611059853
2025-03-13,16.48,17.1,3.7621,9.629,9.1343,5.1917,5.1227,1170622867.68,-0.4876,-5.7507,2.0,1.0,-5.7421,28.8927,3.982997860962567,2.3990007140285274,3.1965563492063493,2.404588037115584,6.381998574991094,0.7919683120907655
2025-03-14,16.58,17.1,3.1363,9.6897,9.1399,5.2232,5.1233,1177726161.78,-0.4876,-5.7349,2.0,1.0,-5.7421,28.8927,3.9784941489361705,2.3933744410334805,3.183281746031746,2.400228704449669,6.371868589969651,0.7830530415820767
2025-03-17,16.74,17.1,2.1505,9.7832,9.1456,5.2736,5.1258,1189091432.34,-0.4876,-5.7349,2.0,1.0,-5.7421,28.8927,3.9688222222222223,2.39070116749658,3.1626960317460315,2.3978551985105647,6.359523389718802,0.7648408332354668
2025-03-18,16.8,17.1,1.7857,9.8182,9.1512,5.2925,5.1284,1193353408.8,-0.4876,-5.7349,2.0,1.0,-5.7421,28.8927,3.957332105263158,2.389622546508948,3.1412587301587305,2.397996925077926,6.346954651772106,0.7432618050808046
2025-03-19,16.79,17.1,1.8463,9.8124,9.1524,5.2893,5.1285,1192643079.39,-0.4876,-5.7349,2.0,1.0,-5.7421,28.8927,3.946279581151833,2.388215643320748,3.117233333333333,2.395666396141168,6.3344952244725805,0.7215669371921649
2025-03-20,16.77,17.1,1.9678,9.8007,9.1537,5.283,5.1286,1191222420.57,-0.4876,-5.7349,2.0,1.0,-5.7421,28.8927,3.935975,2.386231279368944,3.082720634920635,2.3804850478948207,6.322206279368944,0.7022355870258141
2025-03-21,16.71,17.1,2.3339,9.7656,9.1566,5.2641,5.1301,1186960444.11,-0.4876,-5.7349,2.0,1.0,-5.7421,28.8927,3.927674093264249,2.3828012137879897,3.058954761904762,2.372821312332042,6.310475307052238,0.6861334495727198
2025-03-24,16.66,17.1,2.6411,9.7364,9.1594,5.2484,5.1316,1183408797.06,-0.4876,-5.7349,2.0,1.0,-5.7421,28.8927,3.921042268041237,2.3784145157156384,3.043285714285714,2.368976602593259,6.299456783756876,0.6743091116924553
