date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2010-08-16,13.09,17.4295,33.1513,11.7021,14.6931,0.4734,0.4727,16300655431.06,8.4306,384.1807,14.0,2.0,80.3785,29.19
2010-08-17,13.16,17.4397,32.5205,11.7647,14.6924,0.4759,0.4734,16387824711.44,8.4306,396.2512,14.0,2.0,80.3785,29.19
2010-08-18,13.2,17.2325,30.5492,11.75,14.6924,0.4757,0.4746,16437635728.8,8.4341,339.9801,14.0,2.0,80.3785,29.19
2010-08-19,13.15,17.2354,31.0677,11.7035,14.6924,0.4739,0.4739,16375371957.1,8.4341,339.3934,14.0,2.0,80.3785,29.19
2010-08-20,13.04,17.2481,32.2707,11.5942,14.6924,0.4696,0.4736,16238391659.36,8.4589,339.7633,14.0,2.0,80.3785,29.2739
2010-08-23,12.98,17.2292,32.7365,11.5398,14.6931,0.4674,0.4734,16163675133.32,8.4646,339.8413,14.0,2.0,80.3785,29.2739
2010-08-24,12.74,17.2038,35.0377,11.3033,14.6931,0.459,0.4727,15864809029.16,8.4481,340.3221,14.0,2.0,80.3785,29.2739
2010-08-25,12.79,17.2334,34.7412,11.1179,14.6924,0.4676,0.472,15927072800.86,8.2967,340.3624,15.0,2.0,80.3785,25.5495
2010-08-26,12.75,17.2334,35.1639,11.0831,14.6924,0.4662,0.4708,15877261783.5,8.2967,340.3624,15.0,2.0,80.3785,25.5495
2010-08-27,12.65,17.2334,36.2324,10.9962,14.6924,0.4625,0.4696,15752734240.1,8.2967,340.3624,15.0,2.0,80.3785,25.5495
2010-08-30,12.52,17.2322,37.6374,10.8832,14.6931,0.4578,0.4686,15590848433.68,8.2967,340.4601,15.0,2.0,80.3785,25.5495
2010-08-31,12.31,17.2322,39.9854,10.7006,14.6931,0.4501,0.4676,15329340592.54,8.2967,340.4601,15.0,2.0,80.3785,25.5495
