date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2024-11-25,4.1,6.375,55.4878,7.5926,3.7989,2.0947,1.6795,147993600.0,23.5399,13.1313,1.0,1.0,14.0,-8.0524,101.90471487889272,20.18461072920148,102.3412373015873,12.57868121008386,122.0893256080942,89.76255609150344
2024-11-26,4.2,6.375,51.7857,7.7778,3.8019,2.1458,1.6821,151603200.0,23.5399,13.1313,1.0,1.0,14.0,-8.0524,101.73189068965516,20.363460800425507,102.0108880952381,13.338738219496488,122.09535149008067,88.67214987574161
2024-11-27,4.22,6.375,51.0664,7.8148,3.8049,2.1561,1.6847,152325120.0,23.5399,13.1313,1.0,1.0,14.0,-8.0524,101.5577824742268,20.54414552954287,101.69222380952382,14.058820388823085,122.10192800376969,87.63340342070074
2024-11-29,4.25,6.375,50.0,7.8704,3.8075,2.1714,1.6848,153408000.0,23.5399,13.1313,1.0,1.0,14.0,-8.0524,101.3812147260274,20.72956759083952,101.37151746031746,14.761604053928954,122.11078231686692,86.60991340638851
2024-12-02,4.28,6.375,48.9486,7.9259,3.8101,2.1867,1.685,154490880.0,23.5399,13.1313,1.0,1.0,14.0,-8.0524,101.2022638225256,20.91951743380346,101.03604523809524,15.458074764071238,122.12178125632906,85.577970474024
2024-12-03,4.29,6.375,48.6014,7.9444,3.824,2.1918,1.6852,154851840.0,23.5399,13.1313,1.0,1.0,14.0,-8.0524,101.02334931972788,21.10790520751897,100.68916984126984,16.13122606547816,122.13125452724684,84.55794377579168
2024-12-04,4.39,6.375,45.2164,8.1296,3.838,2.2426,1.6853,158461440.0,23.5562,13.1313,1.0,1.0,14.0,-8.0524,100.83417322033898,21.321011903922507,100.36588412698411,16.822338704018083,122.1551851242615,83.54354542296605
2024-12-05,4.45,6.375,43.2584,8.2407,3.8408,2.2733,1.6853,160627200.0,23.5562,13.1313,1.0,1.0,14.0,-8.0524,100.63966047297296,21.5463176082744,100.01061507936508,17.54237894475688,122.18597808124736,82.4682361346082
2024-12-06,4.42,6.375,44.2308,8.1852,3.8436,2.2579,1.6853,159544320.0,23.5562,13.1313,1.0,1.0,14.0,-8.0524,100.44973164983163,21.7575062848762,99.60025555555556,18.229745081059345,122.20723793470783,81.3705104744962
2024-12-09,4.62,6.375,37.987,8.5556,3.8468,2.3601,1.6876,166763520.0,23.5562,13.1313,1.0,1.0,14.0,-8.0524,100.24012516778524,22.02016735974508,99.10100238095238,19.037555951386004,122.26029252753032,80.06344642956637
2024-12-10,4.66,6.375,36.8026,8.2478,3.85,2.3392,1.6899,168207360.0,23.4968,11.8377,1.0,1.0,14.0,-8.0524,100.02795953177257,22.287213671875623,98.62488809523808,19.829426386671283,122.3151732036482,78.7954617085668
2024-12-11,4.78,6.375,33.3682,8.4602,3.8518,2.3994,1.6899,172538880.0,23.4968,11.8377,1.0,1.0,14.0,-8.0524,99.80576033333334,22.58030929473611,98.17004841269842,20.653326006737885,122.38606962806944,77.51672240596054
2024-12-12,5.04,6.375,26.4881,8.9204,3.8537,2.5299,1.6899,181923840.0,23.4968,11.8377,1.0,1.0,14.0,-8.0524,99.56218006644518,22.93533377181885,97.621126984127,21.617396865230187,122.49751383826404,76.0037301188968
2024-12-13,5.55,6.375,14.8649,9.823,3.8654,2.7859,1.6912,200332800.0,23.4968,11.8377,1.0,1.0,14.0,-8.0524,99.28172549668874,23.41016164053533,96.9430968253968,22.838124262798544,122.69188713722409,74.10497256259826
2024-12-16,5.22,6.375,22.1264,9.2389,3.8771,2.6203,1.6926,188421120.0,23.4968,11.8377,1.0,1.0,14.0,-8.0524,99.02708745874588,23.78797303459899,96.30841904761904,23.785327065761194,122.81506049334487,72.52309198185786
2024-12-17,5.39,6.375,18.2746,9.5398,3.8918,2.7056,1.6932,194557440.0,23.4968,11.8377,1.0,1.0,14.0,-8.0524,98.7614542763158,24.1960875203204,95.67147619047618,24.7791766433525,122.95754179663618,70.89229954712368
2024-12-18,5.36,6.375,18.9366,9.4867,3.9064,2.6905,1.6939,193474560.0,23.4968,11.8377,1.0,1.0,14.0,-8.0524,98.49973344262294,24.58488670282589,95.0397873015873,25.70303406189695,123.08462014544884,69.33675323969035
2024-12-19,5.28,6.375,20.7386,9.3451,3.9252,2.6504,1.694,190586880.0,23.4968,11.8377,1.0,1.0,14.0,-8.0524,98.24561209150326,24.94385143753178,94.44523492063492,26.54151409761636,123.18946352903504,67.90372082301857
2024-12-20,5.59,6.375,14.0429,9.8938,3.9441,2.806,1.6942,201776640.0,23.4968,11.8377,1.0,1.0,14.0,-8.0524,97.9713361563518,25.3625153085732,93.79754206349206,27.49061181706172,123.333851464925,66.30693024643034
