date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2018-02-23,0.86,2.0,132.5581,43.0,9.1,0.3877,0.4385,12637700.0,23.0945,115.7407,1.0,1.0,35.0,186.1111,2902.627877579365,728.9093621769589,2699.0568611111107,1241.9648314297206,3631.537239756324,1457.0920296813902
2018-02-26,0.9,2.0,122.2222,45.0,9.1,0.4057,0.4385,13225500.0,23.0945,115.7407,1.0,1.0,35.0,186.1111,2894.565393253968,737.1158922675198,2675.757873015873,1262.54503093074,3631.681285521488,1413.212842085133
2018-02-27,0.89,2.0,124.7191,44.5,9.1,0.4012,0.4385,13078550.0,23.0945,115.7407,1.0,1.0,35.0,186.1111,2885.9925055555555,744.1350391569238,2652.2120769841267,1282.2405563435682,3630.127544712479,1369.9715206405583
2018-02-28,0.87,2.0,129.8851,43.5,9.1214,0.3922,0.4385,12784650.0,23.0945,115.7407,1.0,1.0,35.0,186.1111,2877.9452253968257,751.9410297060948,2628.973905555556,1301.2213307218983,3629.8862551029206,1327.7525748336573
2018-03-01,0.88,2.0,127.2727,44.0,9.1214,0.3967,0.4385,12931600.0,23.0945,115.7407,1.0,1.0,35.0,186.1111,2870.4596553571428,760.47654879769,2606.2317563492065,1319.721493550547,3630.936204154833,1286.5102627986596
2018-03-02,0.85,2.0,135.2941,42.5,9.1214,0.3832,0.4385,12490750.0,23.0945,115.7407,1.0,1.0,35.0,186.1111,2863.2952511904764,769.1694484056487,2583.2975825396825,1337.376523226622,3632.464699596125,1245.9210593130604
2018-03-05,0.84,2.0,138.0952,42.0,9.1,0.3786,0.4385,12343800.0,23.0945,115.7407,1.0,1.0,35.0,186.1111,2855.7239041666667,777.1510309206515,2560.641326190476,1354.455329746311,3632.874935087318,1206.1859964441649
2018-03-06,0.77,2.0,159.7403,38.5,9.1,0.3471,0.4385,11315150.0,23.0945,115.7407,1.0,1.0,35.0,186.1111,2848.5088970238094,785.2410075300477,2538.1568563492065,1370.6422857611296,3633.749904553857,1167.5145705880768
2018-03-07,0.83,2.0,140.9639,41.5,9.1214,0.3741,0.4385,12196850.0,23.0945,115.7407,1.0,1.0,35.0,186.1111,2841.256635119048,793.3093553738245,2515.006611904762,1386.3373714139334,3634.565990492873,1128.6692404908283
2018-03-08,0.81,2.0,146.9136,40.5,9.1214,0.3651,0.4385,11902950.0,23.0945,115.7407,1.0,1.0,35.0,186.1111,2833.592596626984,800.6244655770445,2492.1646563492063,1401.4947550607794,3634.217062204029,1090.669901288427
2018-03-09,0.8,2.0,150.0,40.0,9.1214,0.3606,0.4385,11756000.0,23.0945,115.7407,1.0,1.0,35.0,186.1111,2825.5852269841266,807.2286324425887,2469.853350793651,1416.2667534319378,3632.813859426715,1053.586597361713
2018-03-12,0.8,2.0,150.0,40.0,9.1,0.3606,0.4385,11756000.0,23.0945,115.7407,1.0,1.0,35.0,186.1111,2817.57785734127,813.7002545841559,2447.5420452380954,1430.5355402329342,3631.278111925426,1017.0065050051612
2018-03-13,0.76,2.0,163.1579,38.0,9.1,0.3426,0.4385,11168200.0,23.0945,115.7407,1.0,1.0,35.0,186.1111,2809.8328001984123,820.3377401033564,2423.7506825396827,1443.446560313209,3630.1705403017686,980.3041222264736
