date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2025-02-20,2.45,3.0,22.449,39.2,39.2,1.961,1.3541,368608531.9,3.4993,133.5854,3.0,2.0,5.7833,-129.8945
2025-02-21,2.5,3.0,20.0,40.0,39.6,2.001,1.3541,376131155.0,3.4993,133.5854,3.0,2.0,5.7833,-129.8945
2025-02-24,2.13,3.0,40.8451,34.08,39.2,1.7049,1.3561,320463744.06,3.4993,133.5854,3.0,2.0,5.7833,-129.8945
2025-02-25,2.04,3.0,47.0588,32.64,36.64,1.6328,1.3561,306923022.48,3.4993,133.5854,3.0,2.0,5.7833,-129.8945
2025-02-26,2.17,3.0,38.2488,34.72,34.72,1.7369,1.3561,326481842.54,3.4993,133.5854,3.0,2.0,5.7833,-129.8945
2025-02-27,2.08,3.0,44.2308,33.28,34.4,1.6648,1.3561,312941120.96,3.4993,133.5854,3.0,2.0,5.7833,-129.8945
2025-02-28,2.12,3.0,41.5094,33.92,34.08,1.6969,1.3564,318959219.44,3.4993,133.5854,3.0,2.0,5.7833,-129.8945
2025-03-03,1.97,3.0,52.2843,31.52,34.0,1.5768,1.3638,296391350.14,3.4993,133.5854,3.0,2.0,5.7833,-129.8945
2025-03-04,1.94,3.0,54.6392,31.04,33.92,1.5528,1.3638,291877776.28,3.4993,133.5854,3.0,2.0,5.7833,-129.8945
2025-03-05,2.0,3.0,50.0,32.0,33.6,1.6008,1.3638,300904924.0,3.4993,133.5854,3.0,2.0,5.7833,-129.8945
2025-03-06,2.01,3.0,49.2537,32.16,33.28,1.6088,1.3642,302409448.62,3.4993,133.5854,3.0,2.0,5.7833,-129.8945
2025-03-07,1.96,3.0,53.0612,31.36,32.96,1.5688,1.3651,294886825.52,3.4993,133.5854,3.0,2.0,5.7833,-129.8945
2025-03-10,1.82,3.0,64.8352,29.12,32.64,1.4567,1.3682,273823480.84,3.4993,133.5854,3.0,2.0,5.7833,-129.8945
2025-03-11,1.88,3.0,59.5745,30.08,32.4,1.5048,1.3683,282850628.56,3.4993,133.5854,3.0,2.0,5.7833,-129.8945
2025-03-12,1.91,3.0,57.0681,29.4299,32.16,1.5287,1.3691,287364202.42,3.4993,143.6271,3.0,2.0,5.7833,-129.8945
2025-03-13,1.87,3.0,60.4278,29.2188,32.08,1.4968,1.3707,281346103.94,3.4993,143.5675,3.0,2.0,5.7833,-129.8945
2025-03-14,1.85,3.0,62.1622,28.9062,32.0,1.4808,1.3715,278337054.7,3.4993,143.5675,3.0,2.0,5.7833,-129.8945
2025-03-17,1.86,3.0,61.2903,29.0625,31.76,1.4888,1.3715,279841579.32,3.4993,143.5675,3.0,2.0,5.7833,-129.8945
2025-03-18,1.83,3.0,63.9344,28.5938,31.52,1.4648,1.3715,275328005.46,3.4993,143.5675,3.0,2.0,5.7833,-129.8945
2025-03-19,1.86,3.0,61.2903,29.0625,31.44,1.4888,1.3716,279841579.32,3.4993,143.5675,3.0,2.0,5.7833,-129.8945
2025-03-20,1.83,3.0,63.9344,28.5938,31.36,1.4648,1.3722,275328005.46,3.4993,143.5675,3.0,2.0,5.7833,-129.8945
2025-03-21,1.87,3.0,60.4278,29.2188,31.2,1.4968,1.3726,281346103.94,3.4993,143.5675,3.0,2.0,5.7833,-129.8945
2025-03-24,2.01,3.0,49.2537,31.4062,31.36,1.6089,1.3726,302409448.62,3.4993,143.5675,3.0,2.0,5.7833,-129.8945
2025-03-25,2.09,3.0,43.5407,32.6562,31.3831,1.6729,1.3726,314445645.58,3.4993,143.5675,3.0,2.0,5.7833,-129.8945
2025-03-26,2.0,3.0,50.0,31.25,31.36,1.6008,1.374,300904924.0,3.4993,143.5675,3.0,2.0,5.7833,-129.8945
2025-03-27,1.92,3.0,56.25,30.0,31.305,1.5368,1.3766,288868727.04,3.4993,143.5675,3.0,2.0,5.7833,-129.8945
2025-03-28,1.94,3.0,54.6392,30.3125,31.25,1.5528,1.3779,291877776.28,3.4993,143.5675,3.0,2.0,5.7833,-129.8945
2025-03-31,1.88,3.0,59.5745,29.375,31.145,1.5048,1.3779,282850628.56,3.4993,143.5675,3.0,2.0,5.7833,-129.8945
2025-04-01,1.92,3.0,56.25,30.0,31.04,1.5368,1.3779,288868727.04,3.4993,143.5675,3.0,2.0,5.7833,-129.8945
2025-04-02,1.93,3.0,55.4404,30.1562,30.6762,1.5448,1.3783,290373251.66,3.4993,143.5675,3.0,2.0,5.7833,-129.8945
2025-04-03,1.77,3.0,69.4915,27.6562,30.3125,1.4168,1.3787,266300857.74,3.4993,143.5675,3.0,2.0,5.7833,-129.8945
2025-04-04,1.72,3.0,74.4186,26.875,30.2344,1.3767,1.3787,258778234.64,3.4993,143.5675,3.0,2.0,5.7833,-129.8945
2025-04-07,1.78,3.0,68.5393,27.8125,30.1562,1.4248,1.3787,267805382.36,3.4993,143.5675,3.0,2.0,5.7833,-129.8945
2025-04-08,1.8,3.0,66.6667,28.125,30.1181,1.4408,1.3787,270814431.6,3.4993,143.5675,3.0,2.0,5.7833,-129.8945
2025-04-09,1.95,3.0,53.8462,30.4688,30.1562,1.5608,1.3787,293382300.9,3.4993,143.5675,3.0,2.0,5.7833,-129.8945
2025-04-10,1.93,3.0,55.4404,30.1562,30.1562,1.5448,1.3794,290373251.66,3.4993,143.5675,3.0,2.0,5.7833,-129.8945
2025-04-11,1.96,3.0,53.0612,30.625,30.1562,1.5688,1.3806,294886825.52,3.4993,143.5675,3.0,2.0,5.7833,-129.8945
2025-04-14,1.95,3.0,53.8462,30.4688,30.2344,1.5608,1.3823,293382300.9,3.4993,143.5675,3.0,2.0,5.7833,-129.8945
2025-04-15,2.03,3.0,47.7833,31.7187,30.3125,1.6249,1.3823,305418497.86,3.4993,143.5675,3.0,2.0,5.7833,-129.8945
2025-04-16,2.01,3.0,49.2537,31.4062,30.3906,1.6089,1.384,302409448.62,3.4993,143.5675,3.0,2.0,5.7833,-129.8945
