date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2002-04-29,60.06,67.8477,12.9665,16.6155,16.4521,2.2118,2.1468,31990960981.98,5.5044,7.2282,1.0,1.0,9.0,1.1329
2002-04-30,61.37,67.8477,10.5552,16.9779,16.4567,2.26,2.1472,32688732525.21,5.4811,7.2276,1.0,1.0,9.0,1.1329
2002-05-01,61.06,67.8477,11.1164,16.8921,16.4613,2.2486,2.1476,32523611014.98,5.4811,7.2276,1.0,1.0,9.0,1.1329
2002-05-02,62.52,67.8477,8.5216,17.296,16.4613,2.3024,2.1476,33301280063.16,5.4811,7.2276,1.0,1.0,9.0,1.1329
2002-05-03,61.66,69.1042,12.073,17.0581,16.4613,2.2707,2.1476,32843201034.78,5.4811,7.2276,1.0,1.0,9.0,1.1329
2002-05-06,61.55,69.1042,14.825,16.9079,16.4567,2.2666,2.1468,32784609531.15,5.4811,7.2276,1.0,1.0,9.0,1.1329
2002-05-07,60.87,69.1042,16.1078,16.7211,16.4613,2.2416,2.1472,32422407508.71,5.4811,7.2276,1.0,1.0,9.0,1.1329
2002-05-08,62.12,69.1042,13.7714,17.0645,16.4659,2.2876,2.1476,33088220049.96,5.4811,7.2371,1.0,1.0,9.0,1.1329
2002-05-09,61.1,69.1042,15.6707,16.7843,16.4659,2.2501,2.1476,32544917016.3,5.4811,7.2371,1.0,1.0,9.0,1.1329
2002-05-10,61.58,69.1042,14.7691,16.9162,16.4659,2.2677,2.1476,32800589032.14,5.4811,7.2371,1.0,1.0,9.0,1.1329
2002-05-13,62.63,69.1042,12.845,17.2046,16.4567,2.3064,2.1468,33359871566.79,5.4811,7.2371,1.0,1.0,9.0,0.2095
2002-05-14,62.24,69.1042,13.5521,17.0998,16.4613,2.2137,2.1472,33152138053.92,5.3247,7.2367,1.0,1.0,9.0,0.2095
2002-05-15,62.24,69.1042,13.5521,17.0998,16.4659,2.2137,2.1476,33152138053.92,5.3247,7.2367,1.0,1.0,9.0,0.2095
2002-05-16,62.46,69.1042,13.1521,17.1603,16.4659,2.2215,2.1526,33269321061.18,5.3247,7.2367,1.0,1.0,9.0,0.2095
2002-05-17,62.19,69.1042,13.6434,17.0861,16.4659,2.2119,2.1526,33125505552.27,5.3247,7.2367,1.0,1.0,9.0,0.2095
2002-05-20,61.63,69.1042,14.676,16.9322,16.4567,2.192,2.1468,32827221533.79,5.3247,7.2367,1.0,1.0,9.0,0.2095
2002-05-21,61.53,69.1042,14.8623,16.9048,16.4613,2.1884,2.1497,32773956530.49,5.3247,7.2367,1.0,1.0,9.0,0.2095
2002-05-22,62.01,69.1042,13.9732,17.0507,16.4659,2.2055,2.1526,33029628546.33,5.3247,7.2359,1.0,1.0,9.0,0.2095
2002-05-23,62.19,69.1042,13.6434,17.1002,16.4659,2.2119,2.1526,33125505552.27,5.3247,7.2358,1.0,1.0,9.0,0.2095
2002-05-24,61.39,69.1042,15.1243,16.8802,16.4659,2.1835,2.1526,32699385525.87,5.3247,7.2358,1.0,1.0,9.0,0.2095
2002-05-28,61.11,69.1042,15.6518,16.8032,16.4567,2.1735,2.1468,32550243516.63,5.3247,7.2358,1.0,1.0,9.0,0.2095
2002-05-29,60.71,69.1042,16.4138,16.6877,16.4613,2.1593,2.1497,32337183503.43,5.3247,7.2362,1.0,1.0,9.0,2.1775
2002-05-30,60.99,69.1042,15.8793,16.7647,16.4659,2.1692,2.1526,32486325512.67,5.3247,7.2362,1.0,1.0,9.0,2.1775
2002-05-31,61.18,69.1042,15.5195,16.8114,16.4659,2.176,2.1526,32587529018.94,5.3247,7.2367,1.0,1.0,9.0,2.1775
2002-06-03,60.39,69.1042,17.0306,16.5729,16.4567,2.1479,2.1526,32166735492.87,5.3247,7.2382,1.0,1.0,9.0,2.1775
2002-06-04,60.63,69.1042,16.5674,16.6388,16.4613,2.1564,2.1532,32294571500.79,5.3247,7.2382,1.0,1.0,9.0,2.1775
2002-06-05,61.52,69.1042,14.881,16.8937,16.4659,2.1881,2.1538,32768630030.16,5.3247,7.2377,1.0,1.0,9.0,2.1775
2002-06-06,60.8,69.1042,16.2414,16.696,16.4659,2.1625,2.154,32385122006.4,5.3247,7.2377,1.0,1.0,9.0,2.1775
2002-06-07,60.84,69.1042,16.165,16.7622,16.4659,2.1639,2.155,32406428007.72,5.3247,7.2331,1.0,1.0,9.0,2.1775
2002-06-10,60.83,69.1042,16.1841,16.7594,16.4567,2.1635,2.155,32401101507.39,5.3247,7.2331,1.0,1.0,9.0,2.1775
2002-06-11,60.28,69.1042,17.2442,16.6079,16.4613,2.144,2.1545,32108143989.24,5.3247,7.2331,1.0,1.0,9.0,2.1775
2002-06-12,61.86,69.1042,14.2496,17.0432,16.4659,2.2002,2.155,32949731041.38,5.3247,7.2331,1.0,1.0,9.0,2.1775
2002-06-13,61.06,69.1042,15.7465,16.8228,16.4659,2.1717,2.1558,32523611014.98,5.3247,7.2331,1.0,1.0,9.0,2.1775
2002-06-14,60.71,69.1042,16.4138,16.7264,16.4659,2.1593,2.1558,32337183503.43,5.3247,7.2331,1.0,1.0,9.0,2.1775
2002-06-17,61.11,69.1042,15.6518,16.8366,16.4567,2.1735,2.155,32550243516.63,5.3247,7.2331,1.0,1.0,9.0,2.1775
2002-06-18,60.88,69.1042,16.0887,16.8661,16.4613,2.1653,2.1554,32427734009.04,5.3247,7.2264,1.0,1.0,9.0,0.3239
2002-06-19,60.13,69.1042,17.5367,16.6584,16.4659,2.1386,2.155,32028246484.29,5.3247,7.2264,1.0,1.0,9.0,0.3239
2002-06-20,60.81,69.1042,16.2223,16.8556,16.4659,2.1628,2.155,32390448506.73,5.3247,7.2258,1.0,1.0,9.0,0.2761
2002-06-21,58.99,69.1042,19.8081,16.3511,16.4567,2.0981,2.154,31421025446.67,5.3247,7.2258,1.0,1.0,9.0,0.2761
2002-06-24,59.26,69.1042,19.2622,16.426,16.4517,2.1077,2.1526,31564840955.58,5.3247,7.2258,1.0,1.0,9.0,0.2761
2002-06-25,57.91,69.1042,22.0425,16.0518,16.4517,2.0597,2.1502,30845763411.03,5.3247,7.2258,1.0,1.0,9.0,0.2761
2002-06-26,58.66,69.1042,20.4821,16.2597,16.4517,2.0864,2.1479,31245250935.78,5.3247,7.2258,1.0,1.0,9.0,0.2761
2002-06-27,58.85,69.1042,20.0931,16.3123,16.4508,2.0931,2.1468,31346454442.05,5.3247,7.2258,1.0,1.0,9.0,0.2761
