date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2022-04-28,36.23,37.625,3.8504,11.926,12.6986,0.3116,3.8673,271468491.6,140.8356,970.794,3.0,1.0,48.6328,41.1778,-7.09515873015873,21.34162108540058,6.265253174603175,6.365228148679635,14.24646235524185,-0.0999749740764599
2022-04-29,35.58,37.625,5.7476,11.712,12.6666,0.306,3.8598,266598093.6,140.8356,970.794,3.0,1.0,48.6328,41.1778,-7.146411309523809,21.27948635385721,6.341883333333333,6.299557592195958,14.133075044333404,0.0423257411373745
2022-05-02,35.85,37.625,4.9512,11.8009,12.6483,0.3083,3.8274,268621182.0,140.8356,970.794,3.0,1.0,48.6328,41.1778,-7.242488690476191,21.114365984267533,6.404543650793651,6.2454878991407154,13.871877293791345,0.1590557516529358
2022-05-03,36.76,37.625,2.3531,12.1005,12.646,0.3161,3.8075,275439739.2,140.8356,970.794,3.0,1.0,48.6328,41.1778,-7.363081944444444,20.88393743215676,6.472357142857143,6.153335260885947,13.520855487712316,0.3190218819711958
2022-05-04,36.5,37.625,3.0822,12.0149,12.6438,0.3139,3.8046,273491580.0,140.8356,970.794,3.0,1.0,48.6328,41.1778,-7.461012103174603,20.718016825475274,6.528321428571429,6.089342942230377,13.257004722300673,0.4389784863410524
2022-05-05,35.88,37.625,4.8634,11.8108,12.6301,0.3086,3.7946,268845969.6,140.8356,970.794,3.0,1.0,48.6328,41.1778,-7.573487301587301,20.4952930850814,6.608057142857143,5.999880658538329,12.9218057834941,0.6081764843188138
2022-05-06,36.3,37.625,3.6501,11.949,12.5996,0.3122,3.7776,271992996.0,140.8356,970.794,3.0,1.0,48.6328,41.1778,-7.67261369047619,20.31884573022952,6.679113492063491,5.910032854857092,12.646232039753324,0.7690806372063994
2022-05-09,33.55,37.625,12.1461,11.0438,12.4521,0.2885,3.7474,251387466.0,140.8356,970.794,3.0,1.0,48.6328,41.1778,-7.7534849206349215,20.157734163457743,6.8445873015873016,5.766018405103408,12.40424924282282,1.078568896483894
2022-05-10,33.8,37.625,11.3166,11.1261,12.445,1.4518,3.7472,1264998800.0,140.8356,970.794,3.0,1.0,48.6328,41.1778,-7.858419444444444,19.91864279743468,7.001709523809525,5.612765322831729,12.06022335299024,1.3889442009777957
2022-05-11,35.25,37.875,7.4468,11.6034,12.438,1.5141,3.7374,1319266500.0,140.8356,970.794,3.0,1.0,48.6328,41.1778,-7.984398412698412,19.617791805170626,7.125003174603175,5.446811317002237,11.633393392472216,1.6781918576009378
2022-05-12,35.48,38.625,8.8641,12.1503,12.4292,1.5867,3.7178,1327874480.0,132.2987,1037.9217,3.0,1.0,48.6328,41.1778,-8.135829166666667,19.187014712527287,7.24355873015873,5.318279135393044,11.05118554586062,1.9252795947656864
2022-05-13,36.41,34.625,-4.9025,12.4688,12.4292,1.6283,3.7078,1362680660.0,132.2987,1037.9217,3.0,1.0,48.6328,54.1554,-8.318702976190476,18.70920615676362,7.267499206349207,5.255901794538515,10.390503180573145,2.0115974118106923
2022-05-16,38.67,34.625,-10.4603,13.2427,12.4203,1.7293,3.6385,1447263420.0,132.2987,1037.9217,3.0,1.0,48.6328,54.1554,-8.506445833333334,18.248419607061283,7.237785714285715,5.3454108486240886,9.741973773727947,1.8923748656616264
2022-05-17,39.94,34.625,-13.3075,13.6776,12.4248,1.7861,3.5882,1494794440.0,132.2987,1037.9217,3.0,1.0,48.6328,54.1554,-8.660237698412699,17.958744543802574,7.193220634920635,5.492269626582858,9.298506845389875,1.7009510083377777
2022-05-18,39.04,34.625,-11.3089,13.3694,12.4292,1.7459,3.5384,1461111040.0,132.2987,1037.9217,3.0,1.0,48.6328,54.1554,-8.70261607142857,17.93969614971623,7.151439682539682,5.612485706081264,9.23708007828766,1.5389539764584184
2022-05-19,39.58,34.625,-12.5189,13.5543,12.4292,1.77,3.4287,1481321080.0,132.2987,1037.9217,3.0,1.0,48.6328,54.1554,-8.737690674603174,17.929819834731894,6.973042063492064,5.873689253493948,9.19212916012872,1.0993528099981154
